Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1,Features_1,_1_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,Models,Talk time_1,SAR EU,Music play,SAR,Browser,Keyboard
b'acer',b'Acer Chromebook Tab 10',b'https://fdn2.gsmarena.com/vv/bigpic/acer-chromebook-tab-10.jpg',b'No cellular connectivity',b'N/A',b'No',b'No',"b'2018, March'","b'Available. Released 2018, July'",b'238.3 x 172.2 x 9.9 mm (9.38 x 6.78 x 0.39 in)',b'544.3 g (1.20 lb)',b'No',b'Stylus',b'IPS LCD',"b'9.7 inches, 291.4 cm2 (~71.0% screen-to-body ratio)'","b'1536 x 2048 pixels, 4:3 ratio (~264 ppi density)'",b'Chrome OS',b'Rockchip RK3399',b'Hexa-core (4x Cortex-A53 & 2x Cortex-A72)',b'microSDXC (dedicated slot)',b'32GB 4GB RAM',b'5 MP',b'720p',b'2 MP',b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct'","b'4.1, A2DP, LE'",b'',b'No',b'No',b'USB Type-C 3.1',b'Accelerometer',"b'Li-Po 4500 mAh, non-removable (34 Wh)'",b'Up to 9 h (multimedia)',"b'Black, Blue'",b'About 330 EUR',,,,,,,,,,,,,,,,,,,,,,,,
b'acer',b'Acer Iconia Talk S',b'https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-talk-s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2016, August'","b'Available. Released 2016, October'",b'191.7 x 101 x 9.4 mm (7.55 x 3.98 x 0.37 in)',b'260 g (9.17 oz)',b'Dual SIM (Micro-SIM/Nano-SIM)',"b'3, 7, 8, 28'",b'IPS LCD',"b'7.0 inches, 135.1 cm2 (~69.8% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~210 ppi density)'",b'Android 6.0 (Marshmallow)',b'Mediatek MT8735',b'Quad-core 1.3 GHz Cortex-A53',b'microSDXC (dedicated slot)',"b'16GB 2GB RAM, 32GB 2GB RAM'","b'13 MP, AF'",b'1080p@30fps',b'2 MP',b'720p',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 3400 mAh, non-removable (12.92 Wh)'",b'Up to 9 h (multimedia)',b'Black',b'About 170 EUR',b'HSDPA 850 / 1900 / 2100',"b'1, 3, 7, 8, 20'","b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'",b'Mali-T720MP2',"b'HDR, panorama'",,,,,,,,,,,,,,,,,,,
b'acer',b'Acer Liquid Z6 Plus',b'https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z6-plus.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'Yes',b'Yes',"b'2016, August'","b'Available. Released 2016, December'",b'153.8 x 75.6 x 8.5 mm (6.06 x 2.98 x 0.33 in)',b'169 g (5.96 oz)',"b'Single SIM (Micro-SIM) or Hybrid Dual SIM (Micro-SIM, dual stand-by)'",,b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~71.7% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'",b'Android 6.0 (Marshmallow)',b'Mediatek MT6753 (28 nm)',b'Octa-core 1.3 GHz Cortex-A53',b'microSDXC (uses shared SIM slot)',b'32GB 3GB RAM',"b'13 MP, AF'",b'1080p@30fps',b'5 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (front-mounted), accelerometer, proximity'","b'Li-Po 4080 mAh, non-removable'",,"b'Black, White'",b'About 250 EUR',b'HSDPA',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'",b'Mali-T720MP3',"b'LED flash, HDR, panorama'",,,,,,,,,,,,,,,,,,,
b'acer',b'Acer Liquid Z6',b'https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z6.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'Yes',b'Yes',"b'2016, August'","b'Available. Released 2016, December'",b'145.5 x 72.5 x 8.5 mm (5.73 x 2.85 x 0.33 in)',b'126 g (4.44 oz)',"b'Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)'",b'eMMC 5.0',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 6.0 (Marshmallow)',b'Mediatek MT6737 (28 nm)',b'Quad-core 1.25 GHz Cortex-A53',b'microSDXC',b'8GB 1GB RAM',"b'8 MP, AF'",b'Yes',b'2 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2000 mAh, removable'",,"b'Black, White'",b'About 120 EUR',b'HSDPA',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE'",b'Mali-T720MP2',"b'LED flash, HDR, panorama'",,,,,,,,,,,,,,,,,,,
b'acer',b'Acer Iconia Tab 10 A3-A40',b'https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-10-a3-a40.jpg',b'No cellular connectivity',b'N/A',b'No',b'No',"b'2016, April'","b'Available. Released 2016, June'",b'259 x 167 x 8.9 mm (10.20 x 6.57 x 0.35 in)',b'-',b'No',b'HDMI',b'IPS LCD',"b'10.1 inches, 295.8 cm2 (~68.4% screen-to-body ratio)'","b'1920 x 1200 pixels, 16:10 ratio (~224 ppi density)'",b'Android 6.0 (Marshmallow)',b'Mediatek MT8163A',b'Quad-core 1.3 GHz Cortex-A53',b'microSDXC (dedicated slot)',"b'16GB 2GB RAM, 32GB 2GB RAM, 64GB 2GB RAM'",b'5 MP',b'1080p@30fps',b'2 MP',b'',"b'Yes, with stereo speakers (4 speakers)'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'4.0, A2DP'",b'',b'No',b'No',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 6100 mAh, non-removable'",,b'Black',b'About 230 EUR',,,,b'Mali-T720 MP2',,,,,,,,,,,,,,,,,,,,
b'acer',b'Acer Liquid X2',b'https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-x2-1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',,,"b'2015, April'","b'Available. Released 2016, February'",b'153.3 x 78.8 x 8.5 mm (6.04 x 3.10 x 0.33 in)',b'166 g (5.86 oz)',b'Triple SIM (Micro-SIM)',b'HSDPA 850 / 1700(AWS) / 1900 - PA',b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~69.0% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",b'Android 5.1 (Lollipop)',b'Mediatek MT6753 (28 nm)',b'Octa-core 1.3 GHz Cortex-A53',b'microSDHC (dedicated slot)',b'32GB 3GB RAM',"b'13 MP, f/1.8, AF'",b'1080p@30fps',"b'13 MP, f/1.8, AF'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Po 4020 mAh, removable'",b'Up to 23 h (3G)',"b'Black, Gold'",b'About 230 EUR',"b'HSDPA 900 / 1900 / 2100 - Europe, Taiwan'",b'LTE 800 / 1800 / 2100 / 2600 - Europe',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'",b'Mali-T720MP4',b'LED flash',b'LTE 700 / 900 / 1800 - Taiwan',b'LED flash',b'24-bit/192kHz audio',b'Up to 820 h (3G)',b'Basemark OS II 2.0: 825Basemark X: 4300',"b'Contrast ratio: 950 (nominal), 2.084 (sunlight)'",b'Photo / Video',b'Voice 61dB / Noise 62dB / Ring 67dB',b'Noise -86.1dB / Crosstalk -88.1dB',b'Endurance rating 85h',,,,,,,,,
b'acer',b'Acer Liquid Jade 2',b'https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-2.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2016, February'",b'Available',b'156.6 x 75.9 x 8.4 mm (6.17 x 2.99 x 0.33 in)',b'150 g (5.29 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'eMMC 5.0',b'Super AMOLED',"b'5.5 inches, 83.4 cm2 (~70.2% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'",b'Android 6.0 (Marshmallow)',b'Qualcomm MSM8992 Snapdragon 808 (20 nm)',b'Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57)',b'microSDXC',b'32GB 3GB RAM',"b'21 MP, AF'","b'4K@30fps, 1080p@30fps'",b'8 MP',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'","b'Li-Po 3000 mAh, non-removable'",,b'Black',,b'HSDPA 900 / 2100',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'",b'Adreno 418',"b'Dual-LED flash, HDR, panorama'",,,,,,,,,,,b'Corning Gorilla Glass 4',,,,,,,,
b'acer',b'Acer Liquid Zest Plus',b'https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-zest-plus-z628.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'Yes',b'Yes',"b'2016, April'","b'Available. Released 2016, July'",b'154 x 77 x 10 mm (6.06 x 3.03 x 0.39 in)',b'-',"b'Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)'",,b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~70.3% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",b'Android 6.0 (Marshmallow)',b'Mediatek MT6735 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'microSDXC (dedicated slot)',b'16GB 2GB RAM',"b'13 MP, PDAF, Laser AF'",b'1080p@30fps',b'5 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 5000 mAh, non-removable'",,"b'Blue, White'",b'About 200 EUR',b'HSDPA',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE'",b'Mali-T720MP2',"b'LED flash, HDR, panorama'",,,,,,,,,,,,b'Charging 10W',,,,,,,
b'acer',b'Acer Liquid Zest',b'https://fdn2.gsmarena.com/vv/bigpic/acer-zest.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',,,"b'2016, February'","b'Available. Released 2016, April'",b'145.7 x 71.2 x 8.4 mm (5.74 x 2.80 x 0.33 in)',b'125 g (4.41 oz)',"b'Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)'",,b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.4% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 6.0 (Marshmallow)',b'Mediatek MT6580 - Z525Mediatek MT6735 - Z525',b'Quad-core 1.3 GHz - Z525Quad-core 1.0 GHz - Z528',b'microSDHC (dedicated slot)',b'8GB 1GB RAM',"b'8 MP, f/2.0, AF'",b'1080p@30fps',b'5 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 2000 mAh, removable'",,"b'Black, White'",b'About 110 EUR',b'HSDPA 850 / 900 / 1900 / 2100',b'LTE (unspecified)',"b'HSPA, LTE Cat4 150/50 Mbps'",b'Mali-400MP2 - Z525Mali-T720MP2 - Z528',"b'LED flash, HDR, panorama'",,,,,,,,,,,,,,,,,,,
b'acer',b'Acer Predator 8',b'https://fdn2.gsmarena.com/vv/bigpic/acer-predator-8.jpg',b'No cellular connectivity',b'N/A',b'No',b'No',"b'2015, September. Released 2015, November'",b'Discontinued',b'217.9 x 127 x 8.6 mm (8.58 x 5.0 x 0.34 in)',b'353.8 g (12.49 oz)',b'No',,b'IPS LCD',"b'8.0 inches, 185.6 cm2 (~67.1% screen-to-body ratio)'","b'1920 x 1200 pixels, 16:10 ratio (~283 ppi density)'",b'Android 5.0 (Lollipop)',b'Intel Atom x7-Z8700',b'Quad-core 1.6 GHz',b'microSDXC (dedicated slot)',"b'32GB 2GB RAM, 64GB 2GB RAM'",b'5 MP',b'1080p@30fps',b'2 MP',b'',"b'Yes, with stereo speakers (4 speakers)'",b'Yes',b'Wi-Fi 802.11 a/b/g/n',"b'4.0, A2DP, LE'",b'',b'No',b'No',b'microUSB 2.0',b'Yes',"b'Li-Po 4420 mAh, non-removable'",b'Up to 8 h 30 min',b'Black/Silver',b'About 350 EUR',,,,,,,,,,,,,,,,,,b'GT-810-15NC',,,,,,
