Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Price,Dual,Models,32GB 3GB RAM,_1,_1_1,SAR,Quad,64GB 4GB RAM,128GB 4GB RAM,128GB 6GB RAM,32GB 2GB RAM,Single_1,16GB 2GB RAM,Protection,GPRS,EDGE,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Stand-by,Talk time,Music play,Phonebook,Call records,Messaging,Games,Java,Stand-by_1,Talk time_1,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Keyboard,Browser,Alert types,Clock,Alarm,Languages
b'allview',b'Allview Soul X7 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x7-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 2, 3, 5, 8, 20, 38, 40, 41'","b'HSPA 42.2/11.5 Mbps, LTE Cat7 300/100 Mbps'","b'2020, May 26'","b'Available. Released 2020, May 26'",b'161.9 x 76.8 x 8.3 mm (6.37 x 3.02 x 0.33 in)',b'193 g (6.81 oz)',,"b'Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)'",b'LTPS IPS LCD',"b'6.53 inches, 104.7 cm2 (~84.2% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)'",b'Android 9.0 (Pie)',b'Qualcomm SDM630 Snapdragon 630 (14 nm)',b'Octa-core (4x2.2 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'Adreno 508',b'microSDXC (uses shared SIM slot)',b'64GB 4GB RAM',b'eMMC 5.1',,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30fps'","b'16 MP, (wide), 1/3.06"" 1.0\xc2\xb5m'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',b'USB Type-C 3.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",b'Fast charging 18W',b'Black Desire',b'About 230 EUR',,,,,,,"b'13 MP, f/1.8, (wide), 1/3.1"", 1.12\xc2\xb5m, PDAF 8 MP, f/2.2, 120\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",,,,,,,b'Corning Gorilla Glass',,,,,,,,,,,,,,,,b'1.12 W/kg (head)',,,,,,,,,,,
b'allview',b'Allview Soul X7 Style',b'https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x7-style.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 5, 7, 8, 20, 38, 40'","b'HSPA 42.2/11.5 Mbps, LTE'","b'2020, May 26'","b'Available. Released 2020, May 26'",b'157.6 x 75.2 x 8.3 mm (6.20 x 2.96 x 0.33 in)',b'184.7 g (6.53 oz)',,"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.21 inches, 96.3 cm2 (~81.2% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~271 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT6763 Helio P23 (16 nm)',b'Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53)',b'Mali-G71 MP2',b'microSDXC (uses shared SIM slot)',b'64GB 4GB RAM',b'eMMC 5.1',,"b'LED flash, HDR'",b'1080p@30fps',b'5 MP',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",b'Li-Po 3400 mAh battery',,b'Turcoise',b'About 130 EUR',"b'13 MP, f/2.2, AF 0.3 MP, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'0.87 W/kg (head)',,,,,,,,,,,
b'allview',b'Allview Viva 803G',b'https://fdn2.gsmarena.com/vv/bigpic/allview-viva-803g.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 900 / 1900 / 2100',,b'HSPA 21.1/5.76 Mbps',"b'2020, April'","b'Available. Released 2020, April'",b'208 x 124 x 9.5 mm (8.19 x 4.88 x 0.37 in)',b'330 g (11.64 oz)',,b'Micro-SIM',b'IPS LCD',"b'8.0 inches, 185.6 cm2 (~72.0% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~189 ppi density)'",b'Android 9.0 Pie (Go edition)',b'Mediatek MT8321 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDHC',b'16GB 1GB RAM',,,b'LED flash',b'720p',b'VGA',,b'',b'Yes',b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Po 3600 mAh, non-removable'",,b'Black',b'About 90 EUR',,,,,,,,,,,,b'2 MP',,,,,,,,,,,,,,,,,,b'1.59 W/kg (body)',,,,,,,,,,,
b'allview',b'Allview V4 Viper Pro',b'https://fdn2.gsmarena.com/vv/bigpic/allview-v4-viper-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 7, 20, 38'","b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, January'","b'Available. Released 2020, January'",b'171 x 82 x 8.8 mm (6.73 x 3.23 x 0.35 in)',b'191.6 g (6.77 oz)',,"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.8 inches, 115.4 cm2 (~82.3% screen-to-body ratio)'","b'640 x 1352 pixels, 19:9 ratio (~220 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT6739 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'PowerVR GE8100',b'microSDXC (uses shared SIM slot)',b'32GB 2GB RAM',b'eMMC 5.1',,b'LED flash',b'1080p@30fps',b'8 MP',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 3500 mAh, non-removable'",b'Charging 10W',b'Dark Grey',b'About 170 EUR',"b'13 MP, AF 0.3 MP, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'1.20 W/kg (head)',,,,,,,,,,,
b'allview',b'Allview Viva C703',b'https://fdn2.gsmarena.com/vv/bigpic/allview-vivac703.jpg',b'No cellular connectivity',b'N/A',b'N/A',b'N/A',b'No',"b'2019, October'","b'Available. Released 2019, October'",b'188.5 x 108.3 x 9.7 mm (7.42 x 4.26 x 0.38 in)',b'242 g (8.54 oz)',,b'No',b'IPS LCD',"b'7.0 inches, 137.9 cm2 (~67.5% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio (~170 ppi density)'",b'Android 8.1 Oreo (Go edition)',,b'Quad-core 1.5 GHz Cortex-A7',b'Mali-400MP2',b'microSDHC',b'8GB 1GB RAM',b'No',,,b'480p',b'0.3 MP',,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'",b'No',b'No',b'No',b'microUSB 2.0',b'Accelerometer',"b'Li-Po 2000 mAh, non-removable'",,b'Black',b'About 50 EUR',,,,,,,,,,,,,,,b'No',b'No',,,,,,,,,,,,,,,,,,,,,,,,,
b'allview',b'Allview Viva Home',b'https://fdn2.gsmarena.com/vv/bigpic/allview-vivahome.jpg',b'No cellular connectivity',b'N/A',b'N/A',b'N/A',,"b'2019, July'","b'Available. Released 2019, July'",b'418.5 x 266.3 x 19.5 mm (16.48 x 10.48 x 0.77 in)',b'2018.3 g (4.45 lb)',,b'No',b'IPS LCD',"b'17.3 inches, 825.1 cm2 (~74.0% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~127 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT8163',b'Quad-core 1.5 GHz Cortex-A53',,b'microSDXC (dedicated slot)',b'32GB 2GB RAM',b'No',,,b'1080p',b'2 MP',,,b'Yes',b'Yes',b'Wi-Fi 802.11 a/b/g/n',"b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB'",b'Accelerometer',"b'Li-Po 5000 mAh, non-removable'",,b'Black',b'About 250 EUR',,,,,,,,,,,,,,,b'No',b'No',,,,,,,,,,,,,,,,,,,,,,,,,
b'allview',b'Allview Viva 1003G',b'https://fdn2.gsmarena.com/vv/bigpic/allview-viva1003g.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900',b'HSDPA 900 / 2100',,b'HSPA 21.1/5.76 Mbps',"b'2019, August'","b'Available. Released 2019, August'",b'246.2 x 171.7 x 10.7 mm (9.69 x 6.76 x 0.42 in)',b'479.4 g (1.06 lb)',,b'Mini-SIM',b'IPS LCD',"b'10.1 inches, 295.8 cm2 (~70.0% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~149 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT8321A (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDXC (dedicated slot)',b'16GB 2GB RAM',,,b'LED flash',b'720p@30fps',b'2 MP',,b'',b'Yes',b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Po 4000 mAh, non-removable'",b'Charging 10W',b'Black',,,,,,,,,,,,,b'2 MP',,,,,,,,b'Up to 400 h',b'Up to 11 h',,,,,,,,,b'1.05 W/kg (body)',,,,,,,,,,,
b'allview',b'Allview Viva 1003G Lite',b'https://fdn2.gsmarena.com/vv/bigpic/allview-viva1003g-lite.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900',b'HSDPA 900 / 2100',,b'HSPA 21.1/5.76 Mbps',"b'2019, September'","b'Available. Released 2019, September'",b'246.2 x 171.7 x 10.7 mm (9.69 x 6.76 x 0.42 in)',b'505.2 g (1.11 lb)',,b'Mini-SIM',b'IPS LCD',"b'10.1 inches, 295.8 cm2 (~70.0% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~149 ppi density)'",b'Android 8.1 Oreo (Go edition)',b'Mediatek MT8321A (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDXC (dedicated slot)',b'16GB 1GB RAM',,,b'LED flash',b'720p@30fps',b'0.3 MP',,b'',b'Yes',b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Po 4000 mAh, non-removable'",b'Charging 10W',b'Black',b'About 100 EUR',,,,,,,,,,,,b'2 MP',,,,,,,,b'Up to 400 h',b'Up to 8 h 20 min',,,,,,,,,b'1.05 W/kg (body)',,,,,,,,,,,
b'allview',b'Allview V4 Viper',b'https://fdn2.gsmarena.com/vv/bigpic/allview-v4-viper.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 7, 8, 20, 38'","b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2019, September'","b'Available. Released 2019, September'",b'145.8 x 70.9 x 8.5 mm (5.74 x 2.79 x 0.33 in)',b'138 g (4.87 oz)',,"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.7 inches, 81.1 cm2 (~78.4% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~295 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT6761 Helio A22 (12 nm)',b'Quad-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC (uses shared SIM slot)',b'16GB 2GB RAM',b'eMMC 5.1',,b'LED flash',b'1080p@30fps',b'5 MP',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 2700 mAh, non-removable'",,"b'Blue, Red'",b'About 100 EUR',"b'8 MP, AF 0.3 MP, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'1.13 W/kg (head)',,,,,,,,,,,
b'allview',b'Allview Soul X6 Mini',b'https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x6-mini.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 7, 8, 20, 38'","b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2019, May'","b'Available. Released 2019, May'",b'158.3 x 76.4 x 8.3 mm (6.23 x 3.01 x 0.33 in)',b'175.7 g (6.21 oz)',,"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.2 inches, 95.9 cm2 (~79.3% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~271 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC (dedicated slot)',b'16GB 2GB RAM',b'eMMC 5.1',,"b'Dual-LED dual-tone flash, panorama, HDR'",b'1080p@30fps',b'13 MP',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 4000 mAh, non-removable'",b'Charging 10W',b'Indigo Blue',,"b'13 MP, AF 2 MP, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'0.98 W/kg (head)',,,,,,,,,,,
