Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Price,Dual,Models,32GB 3GB RAM,_1,_1_1,SAR,Quad,64GB 4GB RAM,128GB 4GB RAM,128GB 6GB RAM,32GB 2GB RAM,Single_1,16GB 2GB RAM,Protection,GPRS,EDGE,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Stand-by,Talk time,Music play,Phonebook,Call records,Messaging,Games,Java,Stand-by_1,Talk time_1,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Keyboard,Browser,Alert types,Clock,Alarm,Languages
b'amazon',b'Amazon Fire HD 8 Plus (2020)',b'https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd8-2020.jpg',b'No cellular connectivity',b'N/A',,,,"b'2020, March 13'","b'Available. Released 2020, June 03'",b'202 x 137 x 9.7 mm (7.95 x 5.39 x 0.38 in)',b'355 g (12.52 oz)',,b'No',b'IPS LCD',"b'8.0 inches, 185.6 cm2 (~67.1% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~189 ppi density)'","b'Android 9.0 (Pie), Fire OS 7'",b'MediaTek MT8168 (12 nm)',b'Quad-core 2.0 GHz Cortex-A53',b'Mali-G52 MC1',b'microSDXC (dedicated slot)',"b'32GB 3GB RAM, 64GB 3GB RAM'",b'Alexa natural language commands Text-to-Speech English-language content reader',,,b'Yes',b'2 MP',,b'Yes',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band'","b'5.0, A2DP, LE'",b'No',b'No',b'No',b'USB Type-C',b'Accelerometer',b'',b'Wireless charging',"b'White, Black, Twilight Blue, Plum'",b'About 100 EUR',,,,,,,,,,,,b'2 MP',,,b'No',b'No',,,,,b'Up to 12 h',,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Fire HD 8 (2020)',b'https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd8-2020.jpg',b'No cellular connectivity',b'N/A',,,,"b'2020, March 13'","b'Available. Released 2020, June 03'",b'202 x 137 x 9.7 mm (7.95 x 5.39 x 0.38 in)',b'355 g (12.52 oz)',,b'No',b'IPS LCD',"b'8.0 inches, 185.6 cm2 (~67.1% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~189 ppi density)'","b'Android 9.0 (Pie), Fire OS 7'",b'MediaTek MT8168 (12 nm)',b'Quad-core 2.0 GHz Cortex-A53',b'Mali-G52 MC1',b'microSDXC (dedicated slot)',"b'32GB 2GB RAM, 64GB 2GB RAM'",b'Alexa natural language commands Text-to-Speech English-language content reader',,,b'Yes',b'2 MP',,b'Yes',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band'","b'5.0, A2DP, LE'",b'No',b'No',b'No',b'USB Type-C',b'Accelerometer',b'',,"b'White, Black, Twilight Blue, Plum'",b'About 80 EUR',,,,,,,,,,,,b'2 MP',,,b'No',b'No',,,,,b'Up to 12 h',,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Fire HD 10 (2019)',b'https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10-2019.jpg',b'No cellular connectivity',b'N/A',,,,"b'2019, September'","b'Available. Released 2019, October'",b'262 x 159 x 9.8 mm (10.31 x 6.26 x 0.39 in)',b'504 g (1.11 lb)',,b'No',b'IPS LCD',"b'10.1 inches, 295.8 cm2 (~71.0% screen-to-body ratio)'","b'1920 x 1200 pixels, 16:10 ratio (~224 ppi density)'","b'Android 9.0 (Pie), Fire OS 7'",b'Mediatek MT8183 Helio P60T (12 nm)',b'Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)',b'Mali-G72 MP3',b'microSDXC (dedicated slot)',"b'32GB 2GB RAM, 64GB 2GB RAM'",b'Text-to-Speech English-language content reader',,,b'720p',b'2 MP',,b'720p',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band'","b'4.2, A2DP, LE'",b'No',b'No',b'No',"b'USB Type-C 2.0, USB On-The-Go'",b'Accelerometer',"b'Li-Ion, non-removable'",,"b'Black, Plum, Twilight Blue, White'",b'About 160 EUR',,b'KFMAWI',,,,,,,,,,b'2 MP',,,b'No',b'No',,,,,,,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Fire HD 10 (2017)',b'https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10-2017.jpg',b'No cellular connectivity',b'N/A',,,,"b'2017, September'","b'Available. Released 2017, October'",b'262 x 159 x 9.8 mm (10.31 x 6.26 x 0.39 in)',b'500 g (1.10 lb)',,b'No',b'IPS LCD',"b'10.1 inches, 295.8 cm2 (~71.0% screen-to-body ratio)'","b'1920 x 1200 pixels, 16:10 ratio (~224 ppi density)'","b'Customized Android 5.1 (Lollipop), Fire 5.3'",b'Mediatek MT8173',b'Quad-core (2x1.8 GHz Cortex-A72 & 2x1.4 GHz Cortex-A53)',b'PowerVR G6250',b'microSDXC (dedicated slot)',"b'32GB 2GB RAM, 64GB 2GB RAM'",b'Text-to-Speech English-language content reader',,,b'720p',b'2 MP',,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band'","b'4.1, A2DP, LE'",b'No',b'No',b'No',b'microUSB 2.0',b'Accelerometer',"b'Li-Po 3830 mAh, non-removable (14.2 Wh)'",,"b'Black, Marine Blue, Punch Red'",b'About 170 EUR',,,,,,,,,,,,b'VGA',,,b'No',b'No',,,,,b'Up to 10 h',,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Fire HD 8 (2017)',b'https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-8-2017.jpg',b'No cellular connectivity',b'N/A',,,,"b'2017, May'","b'Available. Released 2017, June'",b'214 x 128 x 9.7 mm (8.43 x 5.04 x 0.38 in)',b'369 g (13.02 oz)',,b'No',b'IPS LCD',"b'8.0 inches, 185.6 cm2 (~67.7% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~189 ppi density)'","b'Customized Android 5.1 (Lollipop), Fire 5.4'",b'Mediatek MT8163 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-T730MP3',b'microSDXC (dedicated slot)',"b'16GB 1.5GB RAM, 32GB 1.5GB RAM'",b'Alexa natural language commands Text-to-Speech English-language content reader',,,b'720p',b'2 MP',,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band'","b'4.0, A2DP, LE'",b'No',b'No',b'No',b'microUSB 2.0',b'Accelerometer',"b'Li-Po 3210 mAh, non-removable (11.87 Wh)'",,"b'Black, Canary Yellow, Marine Blue, Punch Red'",b'About 110 EUR',,,,,,,,,,,,b'VGA',,,b'No',b'No',,,,,b'Up to 12 h',,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Fire 7 (2017)',b'https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-7-2017.jpg',b'No cellular connectivity',b'N/A',,,,"b'2017, May'","b'Available. Released 2017, June'",b'192 x 115 x 9.6 mm (7.56 x 4.53 x 0.38 in)',b'295 g (10.41 oz)',,b'No',b'IPS LCD',"b'7.0 inches, 137.9 cm2 (~62.5% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio (~170 ppi density)'","b'Customized Android 5.1 (Lollipop), Fire 5.4'",b'Mediatek MT8127 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-450MP4',b'microSDXC (dedicated slot)',"b'8GB 1GB RAM, 16GB 1GB RAM'",b'Alexa natural language commands Text-to-Speech English-language content reader',,,b'720p',b'2 MP',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band'","b'4.0, A2DP, LE'",b'No',b'No',b'No',"b'microUSB 2.0, USB On-The-Go'",b'Accelerometer',"b'Li-Ion 2980 mAh, non-removable'",,"b'Black, Canary Yellow, Marine Blue, Punch Red'",b'About 70 EUR',,,,,,,,,,,,b'VGA',,,b'No',b'No',,,,,b'Up to 8 h',,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Fire HD 10',b'https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10.jpg',b'No cellular connectivity',b'N/A',,,,"b'2015, September. Released 2015, September'",b'Discontinued',b'262 x 159 x 7.7 mm (10.31 x 6.26 x 0.30 in)',b'432 g (15.24 oz)',,b'No',b'IPS LCD',"b'10.1 inches, 295.8 cm2 (~71.0% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~149 ppi density)'","b'Android OS (customized), Fire 5'",,b'Quad-core 1.5 GHz',,b'microSDXC (dedicated slot)',"b'16GB 1GB RAM, 32GB 1GB RAM'",b'Text-to-Speech English-language content reader',,,b'1080p@30fps',b'5 MP',,b'720p',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band'","b'4.0, A2DP, LE'",b'No',b'No',b'No',b'microUSB 2.0',"b'Accelerometer, gyro'","b'Li-Ion, non-removable'",,"b'Black, White'",b'About 210 EUR',,,,,,,,,,,,b'',,,b'No',b'No',,,,,b'Up to 8 h',,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Fire HD 8',b'https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-8.jpg',b'No cellular connectivity',b'N/A',,,,"b'2015, September. Released 2015, September'",b'Discontinued',b'214 x 128 x 7.7 mm (8.43 x 5.04 x 0.30 in)',b'311 g (10.97 oz)',,b'No',b'IPS LCD',"b'8.0 inches, 185.6 cm2 (~67.7% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~189 ppi density)'","b'Customized Android 5.1 (Lollipop), Fire 5'",b'Mediatek MT8135',b'Quad-core 1.5 GHz Cortex-A7',b'PowerVR G6200',b'microSDXC (dedicated slot)',"b'8GB 1GB RAM, 16GB 1GB RAM'",b'Text-to-Speech English-language content reader',,,b'1080p@30fps',b'5 MP',,b'720p',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band'","b'4.0, A2DP, LE'",b'No',b'No',b'No',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, gyro'","b'Li-Ion, non-removable'",,"b'Black, Magenta, Blue, Tangerine'",b'About 130 EUR',,,,,,,,,,,,b'',,,b'No',b'No',,,,,b'Up to 8 h',,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Fire 7',b'https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-7.jpg',b'No cellular connectivity',b'N/A',,,,"b'2015, September. Released 2015, November'",b'Discontinued',b'191 x 115 x 10.6 mm (7.52 x 4.53 x 0.42 in)',b'313 g (11.04 oz)',,b'No',b'IPS LCD',"b'7.0 inches, 137.9 cm2 (~62.8% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio (~170 ppi density)'","b'Customized Android 5.1 (Lollipop), Fire 5 UI'",b'Mediatek MT8127 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-450MP4',b'microSDXC (dedicated slot)',b'8GB 1GB RAM',b'Free cloud storage for all Amazon content Text-to-Speech English-language content reader',,,b'720p',b'2 MP',,b'',b'Yes',b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP, LE'",b'No',b'No',b'No',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 2980 mAh, non-removable'",,b'Black',b'About 50 EUR',,,,,,,,,,,,b'VGA',,,b'No',b'No',,,,,b'Up to 7 h',,,,,,,,,,,,,,,,,,,,
b'amazon',b'Amazon Fire HDX 8.9 (2014)',b'https://fdn2.gsmarena.com/vv/bigpic/amazon-Kindle-Fire-HDX-89-2014.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA',b'LTE (unspecified)',"b'HSPA, LTE'","b'2014, September. Released 2014, October'",b'Discontinued',b'231 x 158 x 7.8 mm (9.09 x 6.22 x 0.31 in)',b'375 g (Wi-Fi)/ 389 g (4G) (13.23 oz)',,b'Micro-SIM',b'IPS LCD',"b'8.9 inches, 229.7 cm2 (~62.9% screen-to-body ratio)'","b'2560 x 1600 pixels, 16:10 ratio (~339 ppi density)'","b'Android 4.4 (KitKat - customized), Fire 4'",b'Qualcomm APQ8084 Snapdragon 805 (28 nm)',b'Quad-core 2.5 GHz Krait 450',b'Adreno 420',b'No',"b'16GB 2GB RAM, 32GB 2GB RAM, 64GB 2GB RAM'",b'eMMC 5.0',,b'LED flash',b'Yes',"b'8 MP, AF'",,b'720p',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band'","b'4.0, A2DP'","b'Yes, with A-GPS (4G model)'",b'No',b'No',b'microUSB 2.0 (SlimPort)',"b'Accelerometer, gyro'","b'Li-Ion, non-removable'",,b'Black',b'About 310 EUR',,,,b'Text-to-Speech English-language content reader',,,,,,,,b'',,,b'Yes',b'Yes',,,,,b'Up to 12 h',,,,,,,,,,,,,,,,,,,,
