Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Price,Dual,Models,32GB 3GB RAM,_1,_1_1,SAR,Quad,64GB 4GB RAM,128GB 4GB RAM,128GB 6GB RAM,32GB 2GB RAM,Single_1,16GB 2GB RAM,Protection,GPRS,EDGE,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Stand-by,Talk time,Music play,Phonebook,Call records,Messaging,Games,Java,Stand-by_1,Talk time_1,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Keyboard,Browser,Alert types,Clock,Alarm,Languages
b'amoi',b'Amoi E860',b'https://fdn2.gsmarena.com/vv/bigpic/amoi-e860.gif',b'GSM',b'GSM 900 / 1800',,,,b'2007',b'Discontinued',b'112 x 60.5 x 15.8 mm (4.41 x 2.38 x 0.62 in)',b'',,b'Mini-SIM',"b'TFT resistive touchscreen, 256K colors (65K effective)'","b'2.8 inches, 24.3 cm2 (~35.8% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'Microsoft Windows Mobile 5.0 Phone Edition',,,,b'microSD (dedicated slot)',b'50MB',b'No',,,b'Yes',b'2 MP',,,b'No',b'No',b'No',"b'1.2, A2DP'","b'Yes, SiRF Star III chipset'",,b'No',b'No',b'',b'Removable Li-Ion 1150 mAh battery',,b'Black',,,,,b'File transfer  Organizer Task synchronizing',,,,,,,,,,,b'Yes',b'',,,,,,,,,,,,,,,,,,,,,"b'WAP 2.0/xHTML, HTML(IE)'",b'Vibration; Downloadable polyphonic ringtones',,,
b'amoi',b'Amoi E78',b'https://fdn2.gsmarena.com/vv/bigpic/amoi-e78.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,b'2007',b'Discontinued',b'115 x 61 x 12.7 mm (4.53 x 2.40 x 0.5 in)',b'',,b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.46 inches, 18.7 cm2 (~26.7% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~163 ppi density)'",b'Microsoft Windows Mobile 5.0 PocketPC',,,,b'microSD (dedicated slot)',b'64MB',b'No',,,b'Yes',b'2 MP',,,b'No',b'No',b'No',"b'1.2, A2DP'",b'No',,b'No',b'No',b'',b'Removable Li-Ion 1100 mAh battery',,b'Black',,,,,b'File transfer  Organizer Task synchronizing  Pocket Office',,,,,,,,,,,b'Yes',b'Yes',,,,,,,,,,,,,,,,,,,,,b'WAP 2.0 / HTML (PocketIE)',b'Vibration; Downloadable polyphonic ringtones',,,
b'amoi',b'Amoi E76',b'https://fdn2.gsmarena.com/vv/bigpic/amoi-e76.gif',b'GSM',b'GSM 900 / 1800',,,,b'2007',b'Discontinued',b'100 x 51 x 16.8 mm (3.94 x 2.01 x 0.66 in)',b'',,b'Mini-SIM',"b'TFT, 65K colors'","b'2.2 inches, 15.0 cm2 (~29.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",b'Microsoft Windows Mobile 5.0 Phone Edition',,,,b'microSD (dedicated slot)',b'64MB',b'No',,,b'Yes',b'2 MP',,,b'No',b'No',b'No',"b'1.2, A2DP'",b'No',,b'No',b'No',b'',b'Removable Li-Ion 1100 mAh battery',,b'Black',,,,,b'File transfer  Contact Organizer Task synchronizing',,,,,,,,,,,b'Yes',b'',,,,,,,,,,,,,,,,,,,,,b'MS IE',b'Vibration; Downloadable polyphonic ringtones',,,
b'amoi',b'Amoi E72',b'https://fdn2.gsmarena.com/vv/bigpic/amoi-e72.gif',b'GSM',b'GSM 900 / 1900',,,b'HSPA',b'2007',b'Discontinued',b'100 x 44.8 x 14.8 mm (3.94 x 1.76 x 0.58 in)',b'',,b'Mini-SIM',"b'TFT, 65K colors'","b'2.0 inches, 12.6 cm2 (~28.1% screen-to-body ratio)'",b'176 x 220 pixels (~141 ppi density)',b'Microsoft Windows Mobile 5.0 Phone Edition',,,,b'microSD (dedicated slot)',b'64MB',b'No',,,b'Yes',b'1.3 MP',,,b'No',b'No',b'No',"b'1.2, A2DP'",b'No',,b'No',b'No',b'',b'Removable Li-Ion 1100 mAh battery',,b'Black',,,,,b'File transfer  Organizer',,,,,,,,,,,b'Yes',b'',,,,,,,,,,,,,,,,,,,,,b'WAP 2.0 / HTML (PocketIE)',b'Vibration; Downloadable polyphonic ringtones',,,
b'amoi',b'Amoi WMA8701A',b'https://fdn2.gsmarena.com/vv/bigpic/amoi-8701a.gif',b'GSM / UMTS',b'GSM 900 / 1800',b'UMTS 2100',,b'HSPA',b'2007',b'Discontinued',b'109.4 x 48 x 13.8 mm (4.31 x 1.89 x 0.54 in)',b'',,b'Mini-SIM',"b'TFT, 256K colors'","b'2.2 inches, 15.0 cm2 (~28.5% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~182 ppi density)'",,,,,b'microSD (dedicated slot)',b'200MB',b'Audio/ player P2P Video Support PC Sync Organizer',,,b'Yes',b'2 MP',,b'',b'No',b'No',b'No',"b'1.2, A2DP'",b'No',,b'No',b'No',b'',b'Removable Li-Ion 820 mAh battery',,b'Black',,,,,,,,,,,,,b'VGA videocall camera',,,,,,,,,,,b'500 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS, Email'",b'Yes',"b'Yes, MIDP 2.0'",,,,,,,,,,b'WAP 2.0',"b'Vibration; Downloadable polyphonic, AMR, MP3, AAC, AAC+, WAV, MIDI ringtones'",,,
b'amoi',b'Amoi WMA8703',b'https://fdn2.gsmarena.com/vv/bigpic/amoi-8703.gif',b'GSM / UMTS',b'GSM 900 / 1800',b'UMTS 2100',,b'HSPA',b'2007',b'Discontinued',b'109.4 x 48 x 13.8 mm (4.31 x 1.89 x 0.54 in)',b'',,b'Mini-SIM',"b'TFT, 256K colors'","b'2.2 inches, 15.0 cm2 (~28.5% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~182 ppi density)'",,,,,b'microSD (dedicated slot)',b'200MB',b'Audio/ player P2P Video Support PC Sync Organizer',,,b'Yes',b'3.15 MP',,b'',b'No',b'No',b'No',"b'1.2, A2DP'",b'No',,b'No',b'No',b'',b'Removable Li-Ion 920 mAh battery',,b'Black',,,,,,,,,,,,,b'VGA videocall camera',,,,,,,,,,,b'500 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS, Email'",b'Yes',"b'Yes, MIDP 2.0'",,,,,,,,,,b'WAP 2.0',"b'Vibration; Downloadable polyphonic, AMR, MP3, AAC, AAC+, WAV, MIDI ringtones'",,,
b'amoi',b'Amoi WMA8508',b'https://fdn2.gsmarena.com/vv/bigpic/amoi-8508.gif',b'GSM / UMTS',b'GSM 900 / 1800',b'UMTS 2100',,"b'Yes, 384 kbps'","b'2007, August'",b'Cancelled',b'95 x 48 x 15.9 mm (3.74 x 1.89 x 0.63 in)',b'',,b'Mini-SIM',"b'TFT, 256K colors'","b'2.0 inches, 12.6 cm2 (~27.6% screen-to-body ratio)'",b'176 x 220 pixels (~141 ppi density)',,,,,b'microSD',b'16MB',"b'- Second external OLED display,  128 x 36 pixels'",,b'rotating lens',b'No',b'1.3 MP',,,b'No',b'No',b'No',"b'1.2, A2DP'",b'No',,b'No',b'No',b'',b'Removable Li-Ion 780 mAh battery',,b'Black',,,,,b'No',b'Audio/ player P2P Video Support PC Sync Organizer',,,,,,,,,,,,,,,,,,b'500 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS, Email'",b'Yes',"b'Yes, MIDP 2.0'",,,,,,,,,,b'WAP 2.0',"b'Vibration; Downloadable polyphonic, AMR, MP3, AAC, AAC+, midi, wav ringtones'",,,
b'amoi',b'Amoi CMA8170',b'https://fdn2.gsmarena.com/vv/bigpic/amoi-8170.gif',b'GSM',b'GSM 900 / 1800 / CDMA2000 1x EV-DO',,,,b'2007',b'Discontinued',b'92.5 x 49.5 x 18.7 mm (3.64 x 1.95 x 0.74 in)',b'',,b'Mini-SIM',"b'TFT, 256K colors'","b'2.0 inches, 12.6 cm2 (~27.5% screen-to-body ratio)'",b'176 x 220 pixels (~141 ppi density)',,,,,b'microSD (dedicated slot)',b'90MB',"b'- Second external CSTN display, 65K colors, 96 x 96 pixels, 1.1 inches'",,,b'No',b'1.3 MP',,,b'No',b'No',b'No',b'1.1',b'No',,b'No',b'No',b'',b'Removable Li-Ion 860 mAh battery',,b'Black',,,,,b'No',b'Audio/ player PC Sync Organizer',,,,,,,,,,b'No',b'No',,,,,,,b'500 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS, Email'",b'Yes',b'Yes (optional)',,,,,,,,,,b'WAP 2.0',"b'Vibration; Downloadable polyphonic, MIDI, MP3 ringtones'",,,
b'amoi',b'Amoi M33',b'https://fdn2.gsmarena.com/vv/bigpic/amoi-m33.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2007, Q3'",b'Cancelled',b'106 x 45 x 10.5 mm (4.17 x 1.77 x 0.41 in)',b'',,b'Mini-SIM',"b'CSTN, 65K colors'","b'1.8 inches, 10.2 cm2 (~21.4% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,,,,b'microSD',b'30MB',b'No',,,b'No',b'VGA',,,b'No',b'No',b'No',b'No',b'No',,b'FM radio',b'No',b'',b'Removable Li-Ion 700 mAh battery',,b'Silver',,,,,"b'MP3, MP4 Player PC Sync Organizer'",,,,,,,,,,,b'No',b'No',,,,,,,b'500 entries',"b'20 dialed, 20 received, 20 missed calls'",b'SMS',b'Yes',b'No',,,,,,,,,,b'No',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,
b'amoi',b'Amoi A203',b'https://fdn2.gsmarena.com/vv/bigpic/amoi-a203.gif',b'GSM',b'GSM 900 / 1800',,,,b'2007',b'Discontinued',b'101 x 46 x 13.4 mm (3.98 x 1.81 x 0.53 in)',b'',,b'Mini-SIM',"b'CSTN, 65K colors'","b'1.5 inches, 7.3 cm2 (~15.6% screen-to-body ratio)'","b'128 x 128 pixels, 1:1 ratio (~121 ppi density)'",,,,,b'No',b'5MB',b'No',,,b'No',b'VGA',,,b'No',b'No',b'No',b'No',b'No',,b'FM radio',b'No',b'',b'Removable Li-Ion 750 mAh battery',,b'Black',,,,,b'PC Sync Organizer',,,,,,,,,,,b'No',b'No',,,,,,,b'500 entries',"b'20 dialed, 20 received, 20 missed calls'",b'SMS',b'Yes',b'No',,,,,,,,,,b'No',"b'Vibration; Downloadable polyphonic, MIDI ringtones'",,,
b'amoi',b'Amoi A200',b'https://fdn2.gsmarena.com/vv/bigpic/amoi-a200.gif',b'GSM',b'GSM 900 / 1800',,,,b'2007',b'Discontinued',b'82 x 41 x 15 mm (3.23 x 1.61 x 0.59 in)',b'',,b'Mini-SIM',"b'CSTN, 65K colors'","b'1.5 inches, 7.3 cm2 (~21.6% screen-to-body ratio)'","b'128 x 128 pixels, 1:1 ratio (~121 ppi density)'",,,,,b'No',b'3MB',b'No',,,b'No',b'VGA',,,b'No',b'No',b'No',b'No',b'No',,b'No',b'No',b'',b'Removable Li-Ion 750 mAh battery',,"b'Black & Silver, Pink & White'",,,,,b'PC Sync Organizer',,,,,,,,,,,b'No',b'No',,,,,,,b'500 entries',"b'20 dialed, 20 received, 20 missed calls'",b'SMS',b'Yes',b'No',,,,,,,,,,b'No',"b'Vibration; Downloadable polyphonic, MIDI ringtones'",,,
