Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Triple_1,Features_1,Video_1,Loudspeaker,3.5mm jack,_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Performance,Display,Camera,Loudspeaker_1,Battery life,256GB 8GB RAM,128GB 8GB RAM,128GB 6GB RAM,_1_1,Single,SAR,128GB 12GB RAM,256GB 12GB RAM,512GB 12GB RAM,Dual,Dual_1,Stand-by,Talk time,Audio quality,64GB 6GB RAM,Single_1,512GB 8GB RAM,Music play,Infrared port,GPRS,EDGE,SAR EU,Browser,Alert types,Keyboard,Phonebook,Call records,Messaging,Games,Java,Stand-by_1,Talk time_1
b'asus',b'Asus Zenfone 7 Pro ZS671KS',b'https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone7-pro-zs670ks-zs671ks-b.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 29, 38, 39, 40, 41'","b'1, 2, 3, 5, 7, 8, 12, 20, 28, 38, 77, 78 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat19 1800/150 Mbps, 5G 3.6 Gbps DL'","b'2020, August 26'","b'Available. Released 2020, September 01'",b'165.1 x 77.3 x 9.6 mm (6.5 x 3.04 x 0.38 in)',b'230 g (8.11 oz)',"b'Glass front (Gorilla Glass 6), glass back (Gorilla Glass 3), aluminum frame'","b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED , 90Hz, HDR10+, 700 nits (typ)'","b'6.67 inches, 107.4 cm2 (~84.2% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~395 ppi density)'",b'Corning Gorilla Glass 6',"b'Android 10,  ZenUI 7'",b'Qualcomm SM8250 Snapdragon 865+ (7 nm+)',b'Octa-core (1x3.1 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585)',b'Adreno 650',b'microSDXC (dedicated slot)',b'256GB 8GB RAM',b'UFS 3.1',"b'64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF, OIS 8 MP, f/2.4, 80mm (telephoto), PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 113\xcb\x9a, 17mm (ultrawide), 1/2.55"", 1.4\xc2\xb5m, dual pixel PDAF'","b'Dual-LED flash, HDR, auto panorama (motorized rotation)'","b'8K@30fps, 4K@30/60/120fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS, HDR'",b'Motorized flip-up main camera module',"b'Dual-LED flash, HDR, auto panorama (motorized rotation)'","b'8K@30fps, 4K@30/60/120fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS, HDR'","b'Yes, with stereo speakers'",b'No',b'24-bit/192kHz audio',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX Adaptive'","b'Yes, with dual-band A-GPS, GLONASS, GALILEO, BDS, QZSS, NavIC'",b'Yes',b'No',b'USB Type-C',"b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'","b'Fast charging 30W, 60% in 34 min, 100% in 93 min (advertised) USB Power Delivery 3.0 Reverse charging'","b'Aurora Black, Pastel White'","b'ZS671KS, ASUS_I002DD'",b'$\xe2\x80\x89548.99 / \xe2\x82\xac\xe2\x80\x89740.99 / \xc2\xa3\xe2\x80\x89622.00',b'AnTuTu: 602934 (v8) GeekBench: 3302 (v5.1) GFXBench: 46fps (ES 3.1 onscreen)',b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'-26.6 LUFS (Good)',b'Endurance rating 99h',"b'$\xe2\x80\x891,749.00'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'asus',b'Asus Zenfone 7 ZS670KS',b'https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone7-pro-zs670ks-zs671ks.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 29, 38, 39, 40, 41'","b'1, 2, 3, 5, 7, 8, 12, 20, 28, 38, 77, 78 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat19 1800/150 Mbps, 5G 3.6 Gbps DL'","b'2020, August 26'","b'Available. Released 2020, September 01'",b'165.1 x 77.3 x 9.6 mm (6.5 x 3.04 x 0.38 in)',b'230 g (8.11 oz)',"b'Glass front (Gorilla Glass 6), glass back (Gorilla Glass 3), aluminum frame'","b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED, 90Hz, HDR10+, 700 nits (typ)'","b'6.67 inches, 107.4 cm2 (~84.2% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~395 ppi density)'",b'Corning Gorilla Glass 6',"b'Android 10,  ZenUI 7'",b'Qualcomm SM8250 Snapdragon 865 (7 nm+)',b'Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585)',b'Adreno 650',b'microSDXC (dedicated slot)',"b'128GB 6GB RAM, 128GB 8GB RAM'",b'UFS 3.1',"b'64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.4, 80mm (telephoto), PDAF, 3x optical zoom 12 MP, f/2.2, 113\xcb\x9a, 17mm (ultrawide), 1/2.55"", 1.4\xc2\xb5m, dual pixel PDAF'","b'Dual-LED flash, HDR, auto panorama (motorized rotation)'","b'8K@30fps, 4K@30/60/120fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS, HDR'",b'Motorized flip-up main camera module',"b'Dual-LED flash, HDR, auto panorama (motorized rotation)'","b'8K@30fps, 4K@30/60/120fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS, HDR'","b'Yes, with stereo speakers'",b'No',b'24-bit/192kHz audio',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX Adaptive'","b'Yes, with dual-band A-GPS, GLONASS, GALILEO, BDS, QZSS, NavIC'",b'Yes',b'No',b'USB Type-C',"b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'","b'Fast charging 30W, 60% in 34 min, 100% in 93 min (advertised) USB Power Delivery 3.0 Reverse charging'","b'Aurora Black, Pastel White'","b'ZS670KS, ASUS_I002D'",b'$\xe2\x80\x89550.00 / \xe2\x82\xac\xe2\x80\x89679.00',,,,,,,b'$\xe2\x80\x89656.20',b'$\xe2\x80\x89659.99',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'asus',b'Asus ROG Phone 3 ZS661KS',b'https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-3-zs661ks.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100 - A version',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 42, 48, 66, 71 - A version'","b'1, 2, 3, 5, 28, 41, 66, 71, 77, 78, 79 SA/NSA - A version'","b'HSPA 42.2/5.76 Mbps, LTE-A (6CA) Cat20 2000/150 Mbps, 5G 4.4 Gbps DL'","b'2020, July 22'","b'Available. Released 2020, July 23'",b'171 x 78 x 9.9 mm (6.73 x 3.07 x 0.39 in)',b'240 g (8.47 oz)',"b'Glass front (Gorilla Glass 6), glass back (Gorilla Glass 3), aluminum frame'","b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED, 1B colors, 144Hz, HDR10+, 650 nits (typ)'","b'6.59 inches, 106.6 cm2 (~79.9% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)'",b'Corning Gorilla Glass 6',"b'Android 10, ROG UI'",b'Qualcomm SM8250 Snapdragon 865+ (7 nm+)',b'Octa-core (1x3.1 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585)',b'Adreno 650',b'No',"b'128GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM'",b'CDMA 800 & TD-SCDMA',"b'64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 13 MP, f/2.4, 125\xcb\x9a, 11mm (ultrawide) 5 MP, f/2.0, (macro)'","b'LED flash, HDR, panorama'","b'8K@30fps, 4K@30/60/120fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS'",,"b'Panorama, HDR'",b'1080p@30fps',"b'Yes, with DTS:X stereo speakers (2 dedicated amplifiers)'",b'No',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - B version',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE, aptX HD, aptX Adaptive'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, GNSS'",b'Yes',b'No',"b'USB Type-C 3.1 (side), USB Type-C 2.0 (bottom), accessory connector'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 6000 mAh, non-removable'","b'Fast charging 30W Power Delivery 3.0 Quick Charge 4.0, 3.0 Reverse charging 10W'",b'Black Glare',"b'ASUS_I003D, ZS661KS, I003DD, I003D'",b'$\xe2\x80\x89618.38 / \xe2\x82\xac\xe2\x80\x89884.66 / \xc2\xa3\xe2\x80\x89595.32',"b'AnTuTu: 621932 (v8) GeekBench: 13306 (v4.4), 3386 (v5.1) GFXBench: 48fps (ES 3.1 onscreen)'",b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'-23.1 LUFS (Very good)',b'Endurance rating 120h',,,,b'24-bit/192kHz audio',"b'24 MP, f/2.0, 27mm (wide), 0.9\xc2\xb5m'",b'0.74 W/kg (head) \xc2\xa0 \xc2\xa0 1.50 W/kg (body)',b'$\xe2\x80\x89655.99',b'$\xe2\x80\x89715.99',b'$\xe2\x80\x89899.99',,,,,,,,,,,,,,,,,,,,,,,
b'asus',b'Asus ROG Phone 3 Strix',b'https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone3-strix.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41'","b'41, 77, 78, 79 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A (6CA) Cat18 1200/150 Mbps, 5G 4.0 Gbps DL'","b'2020, July 22'","b'Available. Released 2020, July 23'",b'171 x 78 x 9.9 mm (6.73 x 3.07 x 0.39 in)',b'240 g (8.47 oz)',"b'Glass front (Gorilla Glass 6), glass back (Gorilla Glass 3), aluminum frame'","b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED, 1B colors, 144Hz, HDR10+, 650 nits (typ)'","b'6.59 inches, 106.6 cm2 (~79.9% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)'",b'Corning Gorilla Glass 6',"b'Android 10, ROG UI'",b'Qualcomm SM8250 Snapdragon 865 (7 nm+)',b'Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585)',b'Adreno 650',b'No',"b'128GB 8GB RAM, 128GB 12GB RAM, 256GB 8GB RAM'",b'CDMA 800 & TD-SCDMA',"b'64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 13 MP, f/2.4, 125\xcb\x9a, 11mm (ultrawide) 5 MP, f/2.0, (macro)'","b'LED flash, HDR, panorama'","b'8K@30fps, 4K@30/60/120fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS'",,"b'Panorama, HDR'",b'1080p@30fps',"b'Yes, with DTS:X stereo speakers (2 dedicated amplifiers)'",b'No',b'RGB light panel (on the back) Pressure sensitive zones (Gaming triggers)',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE, aptX HD, aptX Adaptive'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, GNSS'",b'Yes',b'No',"b'USB Type-C 3.1 (side), USB Type-C 2.0 (bottom), accessory connector'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 6000 mAh, non-removable'","b'Fast charging 30W Power Delivery 3.0 Quick Charge 4.0, 3.0 Reverse charging 10W'",b'Black Glare',b'ASUS_I003DD',b'$\xe2\x80\x89579.99 / \xc2\xa3\xe2\x80\x89587.99',,,,,,b'$\xe2\x80\x89765.99',b'\xc2\xa3\xe2\x80\x89587.99',,b'24-bit/192kHz audio',"b'24 MP, f/2.0, 27mm (wide), 0.9\xc2\xb5m'",,b'$\xe2\x80\x89579.99',,,,,,,,,,,,,,,,,,,,,,,,,
b'asus',b'Asus ROG Phone II ZS660KL',b'https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone2.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 28, 29, 32, 34, 38, 39, 40, 41, 46'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 (Cat20 Ultimate edition) 1200/150 Mbps'","b'2019, July 22'","b'Available. Released 2019, September'",b'171 x 77.6 x 9.5 mm (6.73 x 3.06 x 0.37 in)',b'240 g (8.47 oz)',"b'Glass front (Gorilla Glass 6), glass back (Gorilla Glass 3), aluminum frame'","b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED, 1B colors, 120Hz, HDR10'","b'6.59 inches, 106.6 cm2 (~80.3% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)'",b'Corning Gorilla Glass 6',"b'Android 9.0 (Pie), ROG UI'",b'Qualcomm SM8150 Snapdragon 855+ (7 nm)',b'Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',b'Adreno 640 (700 MHz)',b'No',"b'128GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM'",b'RGB light panel (on the back)',,"b'LED flash, HDR, panorama'","b'4K@30/60fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS (except @240/480fps)'",,"b'Panorama, HDR'",b'1080p@30fps',"b'Yes, with DTS:X stereo speakers (2 dedicated amplifiers)'",b'Yes',b'UFS 3.0',"b'Wi-Fi 802.11 a/b/g/n/ac/ad, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'Yes',b'FM radio',b'USB Type-C 3.1; accessory connector',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 6000 mAh, non-removable'",b'Fast charging 30W Quick Charge 4.0 Reverse charging 10W',"b'Matte Black, Glossy Black'","b'ASUS_I001D, I001DA, I001DE, I001DC, I001DB, I001D'","b'\xe2\x82\xac\xe2\x80\x891,069.00 / \xc2\xa3\xe2\x80\x89929.00'","b'AnTuTu: 398935 (v7), 483239 (v8) GeekBench: 10923 (v4.4) GFXBench: 40fps (ES 3.1 onscreen)'",b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'-19.5 LUFS (Excellent)',b'Endurance rating 114h',,"b'\xe2\x82\xac\xe2\x80\x891,069.00'",,b'24-bit/192kHz audio',"b'24MP, f/2.2, 0.9\xc2\xb5m'",,,,,"b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, Laser AF 13 MP, f/2.4, 11mm (ultrawide)'",,,,,,,,,,,,,,,,,,,,,,
b'asus',b'Asus Zenfone 6 ZS630KL',b'https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-6-zs630kl.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100 - A version',"b'1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41 - A version'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps'","b'2019, May 16'","b'Available. Released 2019, May'",b'159.1 x 75.4 x 9.2 mm (6.26 x 2.97 x 0.36 in)',b'190 g (6.70 oz)',"b'Glass front (Gorilla Glass 6), glass back (Gorilla Glass 3), aluminum frame'","b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, HDR10'","b'6.4 inches, 100.5 cm2 (~83.8% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)'",b'Corning Gorilla Glass 6',"b'Android 9.0 (Pie), upgradable to Android 11, ZenUI'",b'Qualcomm SM8150 Snapdragon 855 (7 nm)',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',b'Adreno 640',b'microSDXC (dedicated slot)',"b'64GB 6GB RAM, 128GB 6GB RAM, 256GB 8GB RAM'","b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100 - B version, C version'",,"b'Dual-LED flash, HDR, auto panorama (motorized rotation)'","b'4K@30/60fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS (except @240/480fps)'",,"b'Dual-LED flash, HDR, auto panorama (motorized rotation)'","b'4K@30/60fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS (except @240/480fps)'","b'Yes, with stereo speakers'",b'Yes',"b'1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 28, 38, 39, 41, 46 - B version'","b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'Yes',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 18W Quick Charge 4.0 Reverse charging 10W',"b'Midnight Black, Twilight Silver'","b'ASUS_I01WD, ZS630KL, I01WD'",b'$\xe2\x80\x89620.00 / \xe2\x82\xac\xe2\x80\x89499.00',"b'AnTuTu: 361679 (v7), 447774 (v8) GeekBench: 10721 (v4.4), 2609 (v5.1) GFXBench: 36fps (ES 3.1 onscreen)'",b'Contrast ratio: 1201:1 (nominal)',b'Photo / Video',b'-25.7 LUFS (Very good)',b'Endurance rating 112h',b'$\xe2\x80\x89680.00',,b'$\xe2\x80\x89620.00',b'24-bit/192kHz audio',,,,,,"b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, Laser AF 13 MP, f/2.4, 11mm (ultrawide)'",b'Motorized flip-up main camera module',b'Up to 624 h (3G)',b'Up to 33 h (3G)',b'Noise -85.8dB / Crosstalk -76.2dB',b'$\xe2\x80\x89630.00',,,,,,,,,,,,,,,,,
b'asus',b'Asus ZenFone Live (L2)',b'https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-live-l2.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100 - A version',"b'1, 2, 3, 5, 7, 8, 20, 40 - A version'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2019, April'","b'Available. Released 2019, May'",b'147.3 x 71.8 x 8.2 mm (5.80 x 2.83 x 0.32 in)',b'140 g (4.94 oz)',,"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.5 inches, 78.1 cm2 (~73.8% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~293 ppi density)'",,"b'Android 8.0 Oreo (Go edition), ZenUI 5'",b'Qualcomm MSM8917 Snapdragon 425 (28 nm)Qualcomm MSM8937 Snapdragon 430 (28 nm)',b'Quad-core 1.4 GHz Cortex-A53Octa-core 1.4 GHz Cortex-A53',b'Adreno 308Adreno 505',b'microSDXC (dedicated slot)',"b'16GB 2GB RAM, 32GB 2GB RAM'",b'HSDPA 850 / 900 / 2100 - B version',,"b'LED flash, HDR, panorama'",b'1080p@30fps',,"b'LED flash, HDR'",b'',b'Yes',b'Yes',b'HSDPA 850 / 900 / 2100 / 800 - C version',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'","b'Li-Ion 3000 mAh, non-removable'",,"b'Rocket Red, Cosmic Blue'",,,,,,,,,,,b'eMMC 5.1',"b'8 MP or 13 MP, f/2.0, PDAF'",,,,,,,,,,,"b'5 MP, f/2.4'",,,,,,,,,,,,,,,,
b'asus',b'Asus Zenfone Max Plus (M2) ZB634KL',b'https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-plus-m2.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 28'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat7 300/50 Mbps'","b'2019, March'","b'Available. Released 2019, March'",b'159.2 x 76.2 x 8.4 mm (6.27 x 3.00 x 0.33 in)',b'165 g (5.82 oz)',,"b'Dual SIM (Nano-SIM, dual stand-by)'",b'S-IPS LCD',"b'6.26 inches, 98.7 cm2 (~81.4% screen-to-body ratio)'","b'1080 x 2246 pixels, 18.7:9 ratio (~398 ppi density)'",,b'Android 8.0 (Oreo)',b'Qualcomm Snapdragon SiP 1',b'Octa-core 1.8 GHz',b'Adreno 506',b'microSDXC (dedicated slot)',b'32GB 3GB RAM',,,"b'LED flash, HDR, panorama'",b'1080p@30fps',,b'LED flash',b'1080p@30fps',b'Yes',b'Yes',,"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'","b'Li-Po 4000 mAh, non-removable'",b'Charging 10W',"b'Red, Silver, Blue, Black'",,b'About 200 EUR',,,,,,,,,,b'8 MP',,,,,"b'12 MP, f/1.8, 1/2.9"", 1.25\xce\xbcm, PDAF 5 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,
b'asus',b'Asus Zenfone Max Shot ZB634KL',b'https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-shot.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 28'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat7 300/50 Mbps'","b'2019, March'","b'Available. Released 2019, March'",b'159.2 x 76.2 x 8.4 mm (6.27 x 3.00 x 0.33 in)',b'165 g (5.82 oz)',,"b'Dual SIM (Nano-SIM, dual stand-by)'",b'S-IPS LCD',"b'6.26 inches, 98.7 cm2 (~81.4% screen-to-body ratio)'","b'1080 x 2246 pixels, 18.7:9 ratio (~398 ppi density)'",,b'Android 8.0 (Oreo)',b'Qualcomm Snapdragon SiP 1',b'Octa-core 1.8 GHz',b'Adreno 506',b'microSDXC (dedicated slot)',"b'32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM'",,"b'12 MP, f/1.8, 1/2.9"", 1.25\xce\xbcm, PDAF 8 MP, 13mm (ultrawide), 1/4.0"", 1.12\xc2\xb5m 5 MP, f/2.4, (depth)'","b'LED flash, HDR, panorama'",b'1080p@30fps',,b'LED flash',b'1080p@30fps',b'Yes',b'Yes',,"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'","b'Li-Po 4000 mAh, non-removable'",b'Charging 10W',"b'Red, Silver, Blue, Black'",b'A001D',b'About 310 EUR',,,,,,,,,,b'8 MP',,,,,,,,,,,,,,,,,,,,,,,,,,,
b'asus',b'Asus Zenfone Max Pro (M2) ZB631KL',b'https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-pro-m2r1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 7, 8, 20, 40'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps'","b'2018, December'","b'Available. Released 2018, December'",b'157.9 x 75.5 x 8.5 mm (6.22 x 2.97 x 0.33 in)',b'175 g (6.17 oz)',"b'Glass front (Gorilla Glass 6), plastic back, plastic frame'","b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.26 inches, 97.8 cm2 (~82.0% screen-to-body ratio)'","b'1080 x 2280 pixels, 19:9 ratio (~403 ppi density)'",b'Corning Gorilla Glass 6',"b'Android 8.1 (Oreo), upgradable to Android 9.0 (Pie)'",b'Qualcomm SDM660 Snapdragon 660 (14 nm)',b'Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 512',b'microSDXC (dedicated slot)',"b'32GB 3GB RAM, 64GB 4GB RAM, 64GB 6GB RAM'",b'eMMC 5.1',,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60fps, gyro-EIS'",,"b'LED flash, HDR'",b'1080p@30fps',b'Yes',b'Yes',,"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'Yes',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Charging 10W',"b'Blue, Titanium'","b'X01BDA, Zenfone Max Pro M2, ZB631KL'",b'About 370 EUR',b'AnTuTu: 124039 (v7)GeekBench: 5169 (v4.4)GFXBench: 7.6fps (ES 3.1 onscreen)',,,,,,,,,"b'13 MP, f/2.0, (wide), 1/3.1"", 1.12\xc2\xb5m'",,,,,"b'12 MP, f/1.8, 1/2.9"", 1.25\xce\xbcm, PDAF 5 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,
