Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Triple_1,Features_1,Video_1,Loudspeaker,3.5mm jack,_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Performance,Display,Camera,Loudspeaker_1,Battery life,256GB 8GB RAM,128GB 8GB RAM,128GB 6GB RAM,_1_1,Single,SAR,128GB 12GB RAM,256GB 12GB RAM,512GB 12GB RAM,Dual,Dual_1,Stand-by,Talk time,Audio quality,64GB 6GB RAM,Single_1,512GB 8GB RAM,Music play,Infrared port,GPRS,EDGE,SAR EU,Browser,Alert types,Keyboard,Phonebook,Call records,Messaging,Games,Java,Stand-by_1,Talk time_1,Clock,Alarm
b'benq',b'BenQ F52',b'https://fdn2.gsmarena.com/vv/bigpic/benq-f52.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1900 / 2100',b'LTE 700 / 900 / 1800',,"b'HSPA, LTE Cat4 150/50 Mbps'","b'2015, May. Released 2015, May'",b'Discontinued',b'147 x 74.5 x 9.3 mm (5.79 x 2.93 x 0.37 in)',b'142 g (5.01 oz)',,b'Micro-SIM',b'IPS LCD',"b'5.2 inches, 74.5 cm2 (~68.1% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~424 ppi density)'",,b'Android 5.0 (Lollipop)',b'Qualcomm MSM8939 Snapdragon 615 (28 nm)',b'Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',b'Adreno 405',b'microSDXC (dedicated slot)',b'16GB 2GB RAM',b'eMMC 4.5',,"b'LED flash, HDR, panorama'",b'Yes',,b'LED flash',b'',b'Yes',b'Yes',,"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'Yes',b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 2500 mAh, removable'",,"b'Glam Pink, Chic Gray'",,,,,,,,,,,,"b'13 MP, AF'",,,,,,,b'Up to 580 h (3G)',b'Up to 24 h (3G)',,,b'8 MP',,,,,,,,,,,,,,,,,,
b'benq',b'BenQ B502',b'https://fdn2.gsmarena.com/vv/bigpic/benq-b502.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',,,b'HSPA 21.1/5.76 Mbps',"b'2014, October. Released 2014, October'",b'Discontinued',b'144 x 69.7 x 7 mm (5.67 x 2.74 x 0.28 in)',b'125 g (4.41 oz)',,"b'Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~68.7% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",,b'Android 4.4.2 (KitKat)',b'Mediatek MT6582 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'microSDHC',b'16GB 2GB RAM',,,b'LED flash',b'Yes',,,b'',b'Yes',b'Yes',,"b'Wi-Fi 802.11 b/g/n, hotspot'","b'3.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 1800 mAh, non-removable'",,"b'Black, White'",,,,,,,,,,,,"b'13 MP, AF'",,,,,,,b'Up to 430 h (3G)',b'Up to 11 h (3G)',,,b'5 MP',,,,,,,,,,,,,,,,,,
b'benq',b'BenQ T3',b'https://fdn2.gsmarena.com/vv/bigpic/benq-t3.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1900 / 2100',"b'3, 7'",,"b'HSPA, LTE Cat4 150/50 Mbps'","b'2014, September. Released 2014, September'",b'Discontinued',b'131.9 x 66.7 x 8.5 mm (5.19 x 2.63 x 0.33 in)',b'128 g (4.52 oz)',,b'Micro-SIM',b'IPS LCD',"b'4.5 inches, 55.8 cm2 (~63.5% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~245 ppi density)'",,b'Android 4.4.2 (KitKat)',b'Qualcomm MSM8926 Snapdragon 400 (28 nm)',b'Quad-core 1.2 GHz Cortex-A7',b'Adreno 305',b'microSDXC (dedicated slot)',b'4GB 1GB RAM',b'eMMC 4.5',,"b'LED flash, HDR, panorama'",b'Yes',,,b'',b'Yes',b'Yes',,"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'","b'Li-Ion 1840 mAh, non-removable'",,"b'Black, White, Green'",,b'About 80 EUR',,,,,,,,,,"b'8 MP, AF'",,,,,,,b'Up to 450 h (3G)',b'Up to 15 h (3G)',,,b'VGA',,,,,,,,,,,,,,,,,,
b'benq',b'BenQ F5',b'https://fdn2.gsmarena.com/vv/bigpic/benq-f5.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1900 / 2100',"b'3, 7'",,"b'HSPA, LTE Cat4 150/50 Mbps'","b'2014, September. Released 2014, September'",b'Discontinued',b'143 x 72.8 x 8.5 mm (5.63 x 2.87 x 0.33 in)',b'135 g (4.76 oz)',,b'Micro-SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",,b'Android 4.4.2 (KitKat)',b'Qualcomm MSM8926 Snapdragon 400 (28 nm)',b'Quad-core 1.2 GHz Cortex-A7',b'Adreno 305',b'microSDXC (dedicated slot)',b'16GB 2GB RAM',b'eMMC 4.5',,"b'LED flash, HDR, panorama'",b'Yes',,,b'',b'Yes',b'Yes',,"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'Yes',b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'","b'Li-Ion 2520 mAh, non-removable'",,"b'Black, White'",,b'About 100 EUR',,,,,,,,,,"b'13 MP, AF'",,,,,,,b'Up to 550 h (3G)',b'Up to 24 h (3G)',,,b'2 MP',,,,,,,,,,,,,,,,,,
b'benq',b'BenQ F3',b'https://fdn2.gsmarena.com/vv/bigpic/benq-f3.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 900 / 2100',,,b'HSPA 42.2/11.5 Mbps',"b'2013, November. Released 2013, November'",b'Discontinued',b'131.6 x 66.9 x 8.9 mm (5.18 x 2.63 x 0.35 in)',b'119 g (4.20 oz)',,b'Micro-SIM',b'IPS LCD',"b'4.5 inches, 55.8 cm2 (~63.4% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~245 ppi density)'",,b'Android 4.2.2 (Jelly Bean)',b'Mediatek MT6589 (28 nm)',b'Quad-core 1.2 GHz Cortex-A7',b'PowerVR SGX544',b'microSDHC (dedicated slot)',b'4GB 1GB RAM',,,"b'LED flash, HDR, panorama'",b'Yes',,,b'',b'Yes',b'Yes',,"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot'",b'Yes',"b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'","b'Li-Ion 2100 mAh, removable'",,"b'White, Red'",,b'About 200 EUR',,,,,,,,,,"b'13 MP, AF'",,,,,,,,,,,b'2 MP',,,,,,,,,,,,,,,,,,
b'benq',b'BenQ A3',b'https://fdn2.gsmarena.com/vv/bigpic/benq-a3.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 900 / 2100',,,b'HSPA 7.2/5.76 Mbps',"b'2013, November. Released 2013, November'",b'Discontinued',b'133.9 x 66 x 10 mm (5.27 x 2.60 x 0.39 in)',b'135 g (4.76 oz)',,b'Mini-SIM',b'IPS LCD',"b'4.5 inches, 55.8 cm2 (~63.2% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~245 ppi density)'",,b'Android 4.1.2 (Jelly Bean)',b'Qualcomm MSM8225Q Snapdragon S4 Play',b'Quad-core 1.2 GHz Cortex-A5',b'Adreno 203',b'microSDHC (dedicated slot)',b'4GB 1GB RAM',,,b'LED flash',b'Yes',,,b'',b'Yes',b'Yes',,"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot'",b'Yes',"b'Yes, with A-GPS'",b'No',b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 2000 mAh, removable'",,"b'Black, White'",,b'About 150 EUR',,,,,,,,,,"b'8 MP, AF'",,,,,,,,,,,b'2 MP',,,,,,,,,,,,,,,,,,
b'benq',b'BenQ E55',b'https://fdn2.gsmarena.com/vv/bigpic/benq-e55.jpg',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'UMTS 2100',,,"b'Yes, 384 kbps'","b'2008, July. Released 2008, July'",b'Discontinued',b'94 x 48 x 19 mm (3.70 x 1.89 x 0.75 in)',b'95 g (3.35 oz)',,b'Mini-SIM',"b'TFT, 256K colors'","b'2.0 inches, 12.6 cm2 (~27.9% screen-to-body ratio)'",b'176 x 220 pixels (~141 ppi density)',,,,,,b'microSD (dedicated slot)',b'45MB',"b'Wallpapers Second external 1-inch 65K CSTN display, 96 x 64 pixels'",,,b'Yes',,,b'',b'Yes',b'No',b'MP3/MP4 player Organizer Voice memo',b'No',"b'1.2, A2DP'",b'No',,b'No',b'1.2',b'',b'Removable Li-Ion 900 mAh battery',,"b'Red, Brown'",,,,,,,,,,,,b'2 MP',,,,,,,b'Up to 180 h',b'Up to 2 h 40 min',,,b'VGA videocall camera',,,,,,,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,b'Yes',b'Yes',"b'SMS, EMS, MMS, Email'",b'Yes',"b'Yes, MIDP 2.0'",,,,
b'benq',b'BenQ C36',b'https://fdn2.gsmarena.com/vv/bigpic/benq-c36.jpg',b'GSM',b'GSM 900 / 1800',,,,,"b'2008, April. Released 2008'",b'Discontinued',b'108 x 47.2 x 14.2 mm (4.25 x 1.86 x 0.56 in)',b'78 g (2.75 oz)',,b'Mini-SIM',"b'TFT, 256K colors'","b'2.0 inches, 12.6 cm2 (~24.7% screen-to-body ratio)'",b'176 x 220 pixels (~141 ppi density)',,,,,,b'microSD (dedicated slot)',,b'No',,,b'Yes',,,,b'Yes',b'No',b'Dedicated music keys',b'No',b'No',b'No',,b'FM radio; scheduled recording',b'1.1',b'',b'Removable Li-Ion 640 mAh battery',,b'Lustrous Blue',,,,,,,,,,,b'Dual loud speakers MP3 player Voice memo Health management E-book reader  Webcam Chat Photo editor',b'1.3 MP',,,,,,,b'Up to 180 h',b'Up to 2 h 40 min',,,,,,,b'Class 12',b'No',,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic, MP3, AAC, WAV, AMR, MIDI ringtones, composer'",,b'Yes',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS'",b'Yes',"b'Yes, MIDP 2.0'",,,,
b'benq',b'BenQ E53',b'https://fdn2.gsmarena.com/vv/bigpic/benq-e53.jpg',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'UMTS 2100',,,"b'Yes, 384 kbps'","b'2008, March. Released 2008'",b'Discontinued',b'93 x 47 x 17 mm (3.66 x 1.85 x 0.67 in)',b'90 g (3.17 oz)',,b'Mini-SIM',"b'TFT, 256K colors'","b'2.0 inches, 12.6 cm2 (~28.8% screen-to-body ratio)'",b'176 x 220 pixels (~141 ppi density)',,,,,,b'microSD (dedicated slot)',b'45MB',b'Wallpapers Second external 1-inch OLED display',,,b'Yes',,,b'',b'Yes',b'No',b'MP3/MP4 player Voice memo Photo editor',b'No',b'2.0',b'No',,b'No',b'1.2',b'',b'Removable Li-Ion 900 mAh battery',,b'Black',,,,,,,,,,,,b'1.3 MP',,,,,,,,,,,b'Yes',,,,,,,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,b'Yes',b'Yes',"b'SMS, EMS, MMS, Email'",b'Yes',"b'Yes, MIDP 2.0'",,,,
b'benq',b'BenQ T60',b'https://fdn2.gsmarena.com/vv/bigpic/benq-t60.jpg',b'GSM',b'GSM 900 / 1800',,,,,"b'2008, March. Released 2008'",b'Discontinued',b'109 x 46 x 8.9 mm (4.29 x 1.81 x 0.35 in)',b'80 g (2.82 oz)',,b'Mini-SIM',"b'TFT, 256K colors'","b'2.2 inches, 15.0 cm2 (~29.9% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",,,,,,b'microSD (dedicated slot)',b'24MB',b'No',,,b'Yes',,,,b'Yes',b'No',b'MP3/MP4/3GP player Caller Blacklist Photo Artist Voice memo',b'No',"b'1.1, A2DP'",b'No',,b'FM radio; scheduled recording',b'1.2',b'',b'Removable Li-Ion 750 mAh battery',,b'Sleek black',,,,,,,,,,,,b'3.15 MP',,,,,,,b'Up to 180 h',b'Up to 2 h 30 min',,,,,,,b'Class 12',b'No',,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic, MIDI, MP3 ringtones'",,b'Yes',b'Yes',"b'SMS, MMS, EMS, Email'",b'Yes',"b'Yes, MIDP 2.0'",,,,
