Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Triple_1,Features_1,Video_1,Loudspeaker,3.5mm jack,_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Performance,Display,Camera,Loudspeaker_1,Battery life,256GB 8GB RAM,128GB 8GB RAM,128GB 6GB RAM,_1_1,Single,SAR,128GB 12GB RAM,256GB 12GB RAM,512GB 12GB RAM,Dual,Dual_1,Stand-by,Talk time,Audio quality,64GB 6GB RAM,Single_1,512GB 8GB RAM,Music play,Infrared port,GPRS,EDGE,SAR EU,Browser,Alert types,Keyboard,Phonebook,Call records,Messaging,Games,Java,Stand-by_1,Talk time_1,Clock,Alarm
b'benq_siemens',b'BenQ-Siemens SF71',b'https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-sf71.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'UMTS 2100',,,"b'Yes, 384 kbps'","b'2007, March'",b'Discontinued',b'96 x 48 x 23 mm (3.78 x 1.89 x 0.91 in)',b'118 g (4.16 oz)',,b'Mini-SIM',"b'TFT, 256K colors'","b'2.0 inches, 12.4 cm2 (~26.9% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~200 ppi density)'",,,,,,b'microSD (dedicated slot)',b'45MB',"b'Second external 65K colors display, OLED (96 x 64 pixels)'",,b'LED flash',b'Yes',,,b'',b'No',b'No',b'Video telephony MP3/AAC/AAC+/eAAC+ player Photo editor Predictive text input Voice dial Stopwatch Organizer',b'No',"b'1.1, A2DP'",b'No',,b'No',b'1.1',b'',b'Removable Li-Ion 920 mAh battery',,b'Black',,,,,,,,,,,,b'2 MP',,,,,,,b'Up to 160 h',b'Up to 4 h 30 min',,,b'VGA videocall camera',,,,,,,"b'WAP 2.0/xHTML, HTML'","b'Vibration; Downloadable polyphonic, MP3 ringtones'",,"b'500 x 20 fields, Photo call'","b'100 dialed, 100 received, 100 missed calls'","b'SMS, MMS, Email'","b'5 - StarWars, SeaBattle, SuperBomber + downloadable'","b'Yes, MIDP 2.0'",,,,
b'benq_siemens',b'BenQ-Siemens E52',b'https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-e52.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,,"b'2007, June'",b'Cancelled',b'102 x 45 x 14.9 mm (4.02 x 1.77 x 0.59 in)',b'122 g (4.30 oz)',,b'Mini-SIM',"b'TFT, 256K colors'","b'1.8 inches, 10.2 cm2 (~22.2% screen-to-body ratio)'",b'176 x 220 pixels (~157 ppi density)',,,,,,b'microSD',b'20MB',b'No',,,b'Yes',,,,b'Yes',b'No',b'AAC/MP3 player Predictive text input Voice memo Stopwatch Organizer',b'No',b'1.2',b'No',,b'FM radio',b'1.1',b'',b'Removable Li-Ion 920 mAh battery',,b'TransSilver',,,,,,,,,,,,b'1.3 MP',,,,,,,b'Up to 245 h',b'Up to 4 h 10 min',,,,,,,b'Class 10',b'No',,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,"b'Yes, Photo call'","b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS, Email'",b'Yes',"b'Yes, MIDP 2.0'",,,,
b'benq_siemens',b'BenQ-Siemens C32',b'https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-c32.gif',b'GSM',b'GSM 900 / 1800',,,,,"b'2007, July'",b'Cancelled',b'101.6 x 47.3 x 16.6 mm (4.0 x 1.86 x 0.65 in)',b'82 g (2.89 oz)',,b'Mini-SIM',"b'TFT, 256K colors'","b'2.0 inches, 12.6 cm2 (~26.2% screen-to-body ratio)'",b'176 x 220 pixels (~141 ppi density)',,,,,,b'microSD',,b'No',,,b'Yes',,,,b'Yes',b'No',b'AAC/MP3 player Predictive text input Voice memo Stopwatch Organizer',b'No',"b'1.2, A2DP'",b'No',,b'No',b'1.1',b'',b'Removable Li-Ion 720 mAh battery',,b'Liquid aura',,,,,,,,,,,,b'2 MP',,,,,,,b'Up to 250 h',b'Up to 4 h',,,,,,,b'Class 12',b'No',,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,"b'Yes, Photo call'","b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS, EMS'",b'Yes',"b'Yes, MIDP 2.0'",,,,
b'benq_siemens',b'BenQ-Siemens C31',b'https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-c31.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,,"b'2007, June'",b'Cancelled',b'99.8 x 46.7 x 16.7 mm (3.93 x 1.84 x 0.66 in)',b'86 g (3.03 oz)',,b'Mini-SIM',"b'TFT, 256K colors'","b'1.8 inches, 10.2 cm2 (~21.9% screen-to-body ratio)'",b'176 x 220 pixels (~157 ppi density)',,,,,,b'microSD',b'20MB',b'No',,,b'Yes',,,,b'Yes',b'No',b'AAC/MP3 player Predictive text input Voice memo Stopwatch Organizer',b'No',b'No',b'No',,b'FM radio',b'1.1',b'',b'Removable Li-Ion 920 mAh battery',,"b'SilverShine, GraphiteGloss'",,,,,,,,,,,,b'1.3 MP',,,,,,,b'Up to 170 h',b'Up to 3 h 30 min',,,,,,,b'Class 10',b'No',,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,"b'Yes, Photo call'","b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'Yes',"b'Yes, MIDP 2.0'",,,,
b'benq_siemens',b'BenQ-Siemens SL80',b'https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-sl80.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,,"b'2006, August'",b'Cancelled',"b'92 x 48 x 23 mm, 78 cc (3.62 x 1.89 x 0.91 in)'",b'99 g (3.49 oz)',,b'Mini-SIM',"b'TFT, 256K colors'","b'1.8 inches, 10.0 cm2 (~22.7% screen-to-body ratio)'","b'132 x 176 pixels, 4:3 ratio (~122 ppi density)'",,,,,,b'No',b'52MB',b'No',,b'LED flash',b'Yes',,,,b'No',b'No',b'MP3/AAC/MP4 player Predictive text input Organizer Voice memo',b'No',b'1.2',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 750 mAh battery',,b'Mauve Sensation',,,,,,,,,,,,b'1.3 MP',,,,,,,b'Up to 300 h',b'Up to 5 h',,,,,,,b'Class 10',b'Class 10',,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic, MP3, AAC ringtones'",,"b'1000 x 23 fields, Photo call'","b'100 dialed, 100 received, 100 missed calls'","b'SMS, MMS, Email'","b'SeaBattle, Wappo 2, Golf + downloadable'","b'Yes, MIDP 2.0'",,,,
b'benq_siemens',b'BenQ-Siemens AL26',b'https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-al26.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,,"b'2006, August'",b'Cancelled',b'86.8 x 45.8 x 19.2 mm (3.42 x 1.80 x 0.76 in)',b'80 g (2.82 oz)',,b'Mini-SIM',"b'TFT, 65K colors'",b'',"b'130 x 130 pixels, 1:1 ratio'",,,,,,b'No',b'1.5MB',b'GSM 850 / 1800 / 1900 - US version',,,,,,,b'No',b'No',b'Special Hello Kitty wallpapers and ringtones 4-way navigation key',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 600 mAh battery',,b'Pink',,,,,,,,,,,b'Calculator Currency converter Birthday reminder',,,,,,,,b'Up to 220 h',b'Up to 5 h',,,,,,,b'Class 8',b'No',,b'WAP 1.2.1',b'Vibration; Downloadable polyphonic ringtones',,b'Yes',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS'",b'Yes',"b'Yes, MIDP 1.0'",,,,
b'benq_siemens',b'BenQ-Siemens A53',b'https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-a53.jpg',b'GSM',b'GSM 900 / 1800 / 1900',,,,,"b'2007, April'",b'Discontinued',b'80 x 42 x 14.8 mm (3.15 x 1.65 x 0.58 in)',b'68 g (2.40 oz)',,b'Mini-SIM',"b'TFT, 256K colors'",b'',b'176 x 220 pixels',,,,,,b'microSD (dedicated slot)',,"b'Second external 65K colors CSTN display, 120 x 160 pixels'",,,b'Yes',,,,b'Yes',b'No',b'No',b'No',b'No',b'No',,b'No',b'1.1',b'',b'Removable Li-Ion 600 mAh battery',,"b'Black, Blue, Pink'",,,,,,,,,,,b'MP3 player Organizer Voice memo Predictive text input',b'1.3 MP',,,,,,,b'Up to 200 h',b'Up to 3 h 20 min',,,,,,,b'Class 12',b'No',,b'WAP 2.0/xHTML',,,b'Yes',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS, Email'",b'Yes',"b'Yes, MIDP 2.0'",,,,
b'benq_siemens',b'BenQ-Siemens SL91',b'https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-sl91.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'UMTS 2100',,,"b'Yes, 384 kbps'","b'2006, July'",b'Discontinued',b'89 x 47 x 23 mm (3.50 x 1.85 x 0.91 in)',b'109 g (3.84 oz)',,b'Mini-SIM',"b'TFT, 16M colors'","b'2.0 inches, 12.4 cm2 (~29.6% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~200 ppi density)'",,,,,,b'microSD (dedicated slot)',b'64MB',b'Touch-sensitive navigation keys',,,b'Yes',,,b'',b'No',b'No',b'MP3/AAC/eAAC+/XMF player Predictive text input Reminder Organizer',b'No',b'Yes',b'No',,"b'Stereo FM radio, RDS'",b'2.0',b'',b'Removable Li-Ion 950 mAh battery',,b'Magic Black',,,,,,,,,,,,"b'3.15 MP, AF'",,,,,,,b'Up to 310 h',b'Up to 3 h 15 min',,,b'VGA videocall camera',,,,,,,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,"b'Yes, Photo call'","b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS, Email'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,,,
b'benq_siemens',b'BenQ-Siemens E81',b'https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-e81.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'UMTS 2100',,,"b'Yes, 384 kbps'","b'2006, July'",b'Discontinued',b'99.8 x 46.7 x 16.7 mm (3.93 x 1.84 x 0.66 in)',b'90 g (3.17 oz)',,b'Mini-SIM',"b'TFT, 256K colors'","b'1.8 inches, 10.2 cm2 (~21.9% screen-to-body ratio)'",b'176 x 220 pixels (~157 ppi density)',,,,,,b'microSD (dedicated slot)',b'16MB',b'No',,b'LED flash',b'QCIF',,,,b'No',b'No',b'MP3/AAC/eAAC+/XMF player Predictive text input Reminder Organizer',b'No',b'Yes',b'No',,b'No',b'2.0',b'',b'Removable Li-Ion 900 mAh battery',,b'Lucent Black',,,,,,,,,,,,b'1.3 MP',,,,,,,b'Up to 300 h',b'Up to 5 h',,,,,,,,,,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,"b'Yes, Photo call'","b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS, Email'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,,,
b'benq_siemens',b'BenQ-Siemens E71',b'https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-e71.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,,"b'2006, July'",b'Discontinued',b'104 x 46 x 15 mm (4.09 x 1.81 x 0.59 in)',b'80 g (2.82 oz)',,b'Mini-SIM',"b'TFT, 256K colors'","b'2.1 inches, 31 x 42 mm, 13.7 cm2 (~28.5% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~190 ppi density)'",,,,,,b'microSD (dedicated slot)',b'16MB',b'GSM 850 / 1800 / 1900 - US version',,,b'QCIF',,,,b'Yes',b'No',b'No',b'No',b'Yes',b'No',,b'FM radio',b'2.0',b'',b'Removable Li-Ion 730 mAh battery',,"b'Dark Silver, Onyx Black'",,,,,,,,,,,b'MP3/AAC/AAC+ player Predictive text input Organizer Voice memo',b'1.3 MP',,,,,,,b'Up to 390 h',b'Up to 6 h 20 min',,,,,,,b'Class 10',b'Class 10',,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,"b'1000 x 20 fields, Photo call'","b'100 dialed, 100 received, 100 missed calls'","b'SMS, MMS, Email'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,,,
b'benq_siemens',b'BenQ-Siemens EF61',b'https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-ef61.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,,"b'2006, July'",b'Discontinued',b'88 x 46 x 23 mm (3.46 x 1.81 x 0.91 in)',b'99 g (3.49 oz)',,b'Mini-SIM',"b'TFT, 256K colors'",b'',b'128 x 160 pixels',,,,,,b'microSD (dedicated slot)',b'1.5MB',"b'Second external CSTN, 4096 colors display (96 x 64 pixels)'",,,b'No',,,,b'No',b'No',b'No',b'No',b'Yes',b'No',,b'No',b'1.1',b'',b'Removable Li-Ion 750 mAh battery',,b'Whisper',,,,,,,,,,,b'MP3/AAC/WMA player Photo editor Predictive text input Voice memo Stopwatch Organizer',b'1.3 MP',,,,,,,b'Up to 225 h',b'Up to 3 h',,,,,,,b'Class 10',b'No',,"b'WAP 2.0/xHTML, HTML'","b'Vibration; Downloadable polyphonic, MP3 ringtones'",,"b'Yes, Photo call'","b'100 dialed, 100 received, 100 missed calls'","b'SMS, EMS, MMS'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,,,
