Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,,Card slot,Phonebook,Call records,Single,Video,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Type_1,Stand-by,Talk time,Colors,Internal,Languages,Infrared port
b'bird',b'Bird M32',b'https://fdn2.gsmarena.com/vv/bigpic/bird-m32.gif',b'GSM',b'GSM 900 / 1800',b'Class 10',b'No',b'2007',b'Cancelled',b'94 x 46 x 16.5 mm (3.70 x 1.81 x 0.65 in)',b'84 g (2.96 oz)',b'Mini-SIM',"b'CSTN, 65K colors'","b'1.8 inches, 10.2 cm2 (~23.6% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',b'Second External LCD Neon Color',b'microSD',b'Yes',"b'20 dialed, 20 received, 20 missed calls'",b'VGA',b'No',b'No',b'Yes',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'No',b'No',b'No',b'No',b'FM radio (optional)',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 2.0',b'Yes',"b'Yes, MIDP 2.0'","b'MP3 player, MP4 player Audio Recorder Data/Fax Modem Languages: Chinese, English, French, Arabic, Hindi, Spanish, Portuguese FR,HR,EFR,AMR Voice Codecs'",b'Removable Li-Ion 600 mAh battery',b'Up to 150 h',b'Up to 3 h 20 min',b'Light Blue',,,
b'bird',b'Bird D636',b'https://fdn2.gsmarena.com/vv/bigpic/bird-d636.gif',b'GSM',b'GSM 900 / 1800',b'Class 12',b'No',b'2007',b'Cancelled',b'105 x 45.6 x 12.2 mm (4.13 x 1.80 x 0.48 in)',b'98.4 g (3.46 oz)',b'Mini-SIM',"b'TFT, 260K colors'","b'1.9 inches, 11.4 cm2 (~23.7% screen-to-body ratio)'",b'176 x 220 pixels (~148 ppi density)',b'No',b'microSD',b'Yes',"b'20 dialed, 20 received, 20 missed calls'",b'1.3 MP',b'Yes',"b'MP3 player, MP4 player Audio Recorder Data/Fax Modem Languages: Chinese, English, French, Spanish, Portuguese, Hindi FR,HR,EFR,AMR Voice Codecs'",b'Yes',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 2.0',b'Yes',"b'Yes, MIDP 2.0'",,b'Removable Li-Ion 600 mAh battery',b'Up to 120 h',b'Up to 3 h 20 min',b'Black',b'60MB',,
b'bird',b'Bird D706',b'https://fdn2.gsmarena.com/vv/bigpic/bird-d706.gif',b'GSM',b'GSM 900 / 1800',b'Class 12',b'No',b'2007',b'Cancelled',b'105 x 45.6 x 12.2 mm (4.13 x 1.80 x 0.48 in)',b'84 g (2.96 oz)',b'Mini-SIM',"b'TFT, 260K colors'","b'1.9 inches, 11.4 cm2 (~23.7% screen-to-body ratio)'",b'176 x 220 pixels (~148 ppi density)',b'No',b'microSD',b'Yes',"b'20 dialed, 20 received, 20 missed calls'",b'1.3 MP',b'Yes',"b'MP3 player, MP4 player Audio Recorder Data/Fax Modem Languages: Chinese, English, French, Spanish, Portuguese, Hind FR,HR,EFR,AMR Voice Codecs'",b'Yes',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 2.0',b'Yes',"b'Yes, MIDP 2.0'",,b'Removable Li-Ion 600 mAh battery',b'Up to 120 h',b'Up to 3 h 20 min',b'Golden Black',b'60MB',,
b'bird',b'Bird D615',b'https://fdn2.gsmarena.com/vv/bigpic/bird-d615.gif',b'GSM',b'GSM 900 / 1800',b'Class 12',b'No',b'2007',b'Discontinued',b'105 x 45.6 x 12.2 mm (4.13 x 1.80 x 0.48 in)',b'82 g (2.89 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'1.8 inches, 10.2 cm2 (~21.3% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',b'No',b'microSD (dedicated slot)',b'Yes',"b'20 dialed, 20 received, 20 missed calls'",b'1.3 MP',b'Yes',"b'MP3 player, MP4 player Voice memo Data/Fax Modem'",b'Yes',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'No',b'No',b'Yes',b'No',b'FM radio',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 2.0',b'Yes',"b'Yes, MIDP 2.0'",,b'Removable Li-Ion 650 mAh battery',b'Up to 140 h',b'Up to 4 h',"b'Soft-touch Grey, Shining Blue'",b'60MB',"b'Chinese, English, French, Spanish, Portuguese, Hin'",
b'bird',b'Bird S768',b'https://fdn2.gsmarena.com/vv/bigpic/bird-s768.gif',b'GSM',b'GSM 900 / 1800',b'No',b'No',b'2007',b'Cancelled',b'105 x 46 x 10 mm (4.13 x 1.81 x 0.39 in)',b'75 g (2.65 oz)',b'Mini-SIM',"b'CSTN, 65K colors'","b'1.8 inches, 10.2 cm2 (~21.1% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',b'No',b'microSD',b'Yes',"b'20 dialed, 20 received, 20 missed calls'",,,b'MP3 player X-Slim design',b'Yes',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'No',b'No',b'No',b'No',b'FM radio',b'Proprietary',b'',b'SMS',b'No',b'Yes',b'No',,b'Removable Li-Ion 700 mAh battery',b'Up to 150 h',b'Up to 4 h',"b'Pink, Blue'",,,
b'bird',b'Bird S758',b'https://fdn2.gsmarena.com/vv/bigpic/bird-s758.gif',b'GSM',b'GSM 900 / 1800',b'No',b'No',b'2007',b'Cancelled',b'105 x 46 x 10 mm (4.13 x 1.81 x 0.39 in)',b'73 g (2.57 oz)',b'Mini-SIM',"b'CSTN, 65K colors'","b'1.8 inches, 10.2 cm2 (~21.1% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',b'No',b'No',b'Yes',"b'20 dialed, 20 received, 20 missed calls'",,,b'X-Slim design',b'Yes',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'No',b'No',b'No',b'No',b'FM radio (optional)',b'No',b'',b'SMS',b'No',b'Yes',b'No',,b'Removable Li-Ion 700 mAh battery',b'Up to 150 h',b'Up to 4 h',"b'Pink, Black'",,,
b'bird',b'Bird S618',b'https://fdn2.gsmarena.com/vv/bigpic/bird-s618.gif',b'GSM',b'GSM 900 / 1800',b'No',b'No',b'2007',b'Cancelled',b'103 x 46 x 11 mm (4.06 x 1.81 x 0.43 in)',b'73 g (2.57 oz)',b'Mini-SIM',b'Monochrome graphic',"b'1.7 inches, 9.1 cm2 (~19.2% screen-to-body ratio)'",b'128 x 160 pixels (~121 ppi density)',b'No',b'No',b'Yes',"b'20 dialed, 20 received, 20 missed calls'",,,"b'FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Arabic, Hindi, Spanish, Portuguese'",b'Yes',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'No',b'No',b'No',b'No',b'FM radio (optional)',b'No',b'',b'SMS',b'No',b'Yes',b'No',,b'Removable Li-Ion 700 mAh battery',b'Up to 150 h',b'Up to 4 h',b'Black',,,
b'bird',b'Bird D736',b'https://fdn2.gsmarena.com/vv/bigpic/bird-d736.gif',b'GSM',b'GSM 900 / 1800',b'Class 12',b'No',b'2007',b'Discontinued',b'95 x 47 x 18.2 mm (3.74 x 1.85 x 0.72 in)',b'96 g (3.39 oz)',b'Mini-SIM',"b'TFT, 260K colors'","b'1.9 inches, 11.4 cm2 (~25.4% screen-to-body ratio)'",b'176 x 220 pixels (~148 ppi density)',b'No',b'microSD (dedicated slot)',b'Yes',"b'20 dialed, 20 received, 20 missed calls'",b'2 MP',b'Yes',"b'MP3/ MP4 player Voice memo Data/ Fax Modem FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Spanish, Portuguese, Hindi'",b'Yes',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'No',b'No',b'No',b'No',b'FM radio',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 2.0',b'Yes',"b'Yes, MIDP 2.0'",,b'Removable Li-Ion 600 mAh battery',b'Up to 120 h',b'Up to 3 h 30 min',"b'UV Black, Soft-touch Black'",b'60MB',,
b'bird',b'Bird D716',b'https://fdn2.gsmarena.com/vv/bigpic/bird-d716.gif',b'GSM',b'GSM 900 / 1800',b'Class 12',b'No',b'2007',b'Discontinued',b'105.8 x 46 x 12.8 mm (4.17 x 1.81 x 0.50 in)',b'81 g (2.86 oz)',b'Mini-SIM',"b'TFT, 260K colors'","b'1.9 inches, 11.4 cm2 (~23.3% screen-to-body ratio)'",b'176 x 220 pixels (~148 ppi density)',b'No',b'microSD (dedicated slot)',b'Yes',"b'20 dialed, 20 received, 20 missed calls'","b'2 MP, AF'",b'Yes',"b'MP3/ MP4 player Audio Recorder Data/ Fax Modem FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Spanish, Portuguese, Hindi'",b'Yes',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 2.0',b'Yes',"b'Yes, MIDP 2.0'",,b'Removable Li-Ion 600 mAh battery',b'Up to 120 h',b'Up to 3.30 h',b'Mirror  Silver',b'60MB',,
b'bird',b'Bird D720',b'https://fdn2.gsmarena.com/vv/bigpic/bird-d720.gif',b'GSM',b'GSM 900 / 1800',b'Class 12',b'No',b'2007',b'Discontinued',b'100 x 46 x 15.9 mm (3.94 x 1.81 x 0.63 in)',b'93 g (3.28 oz)',b'Mini-SIM',"b'TFT, 260K colors'","b'1.9 inches, 11.4 cm2 (~24.7% screen-to-body ratio)'",b'176 x 220 pixels (~148 ppi density)',b'No',b'miniSD',b'Yes',"b'20 dialed, 20 received, 20 missed calls'",b'2 MP',b'Yes',"b'MP3/ MP4 player Voice memo Data/ Fax Modem FR,HR,EFR,AMR voice codecs Languages: Chinese, English, French, Spanish, Portuguese, Hindi'",b'Yes',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",b'No',b'No',b'No',b'No',b'FM radio',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 2.0',b'Yes',"b'Yes, MIDP 2.0'",,b'Removable Li-Ion 700 mAh battery',b'Up to 120 h',b'Up to 4 h',"b'Silver, Green, Blue'",b'60MB',,
