Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Dual,Price,,Triple,Stand-by,Talk time,Features_1,Protection,_1,_1_1,Models,Build,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Dual_1,Music play,Infrared port,Keyboard,Browser
b'blu',b'BLU View Mega',b'https://fdn2.gsmarena.com/vv/bigpic/blu-view-mega.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1700(AWS) / 1900',"b'2, 4, 5, 12, 13, 25, 26, 41, 66, 71'","b'HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps'","b'2020, April'","b'Available. Released 2020, April'",b'167.5 x 78 x 9.4 mm (6.59 x 3.07 x 0.37 in)',b'189 g (6.67 oz)',b'Nano-SIM',b'IPS LCD',"b'6.0 inches, 92.9 cm2 (~71.1% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~268 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT6761 Helio A22 (12 nm)',b'Quad-core 2.0 GHz Cortex-A53',b'PowerVR GE6300',b'microSDXC',b'32GB 2GB RAM',b'13 MP',b'LED flash',b'1080p@30fps',b'8 MP',b'720p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Po 3000 mAh, removable'",b'0',b'Black',,,,,,,,,,,,,,,,,,,,,,,,
b'blu',b'BLU G50 Mega',b'https://fdn2.gsmarena.com/vv/bigpic/blu-g50-mega.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'2, 3, 4, 5, 7, 12, 17, 28'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, November'","b'Available. Released 2020, November'",b'156.1 x 72.5 x 9.3 mm (6.15 x 2.85 x 0.37 in)',b'190 g (6.70 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.5 inches, 102.0 cm2 (~90.1% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'",b'Android 10',,b'Octa-core 1.6 GHz Cortex-A55',b'IMG8322',b'microSDXC',b'32GB 2GB RAM',b'8 MP',"b'LED flash, HDR, panorama'",b'1080p@30fps',,b'720p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 4000 mAh, non-removable'",b'Charging 10W',"b'Black, Blue, Red, Green'","b'12 MP, f/2.2, 1.25\xc2\xb5m, AF 12 MP, f/2.2, 1.25\xc2\xb5m, AF'",b'About 129 USD',,,,,,,,,,,,,,,,,,,,,,
b'blu',b'BLU J7L',b'https://fdn2.gsmarena.com/vv/bigpic/blu-j7l.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 12, 17, 28'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, October'","b'Available. Released 2020, October'",b'155 x 74.7 x 10.9 mm (6.10 x 2.94 x 0.43 in)',b'173 g (6.10 oz)',"b'Dual SIM (Nano-SIM/Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.7 inches, 83.8 cm2 (~72.4% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~282 ppi density)'",b'Android 10 (Go edition)',,b'Quad-core 1.4 GHz Cortex-A53',b'Mali-T820',b'microSDXC',b'32GB 1GB RAM',b'8 MP',b'LED flash',b'1080p@30fps',b'8 MP',b'720p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer'",b'Li-Ion 3000 mAh',,"b'Blue, Black, Violet, Tan'",,b'About 70 USD',b'eMMC 5.1',,,,,,,,,,,,,,,,,,,,,
b'blu',b'BLU J5L',b'https://fdn2.gsmarena.com/vv/bigpic/blu-j5l.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 12, 17, 28'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, October'","b'Available. Released 2020, October'",b'144 x 72.3 x 11.2 mm (5.67 x 2.85 x 0.44 in)',b'155 g (5.47 oz)',"b'Dual SIM (Nano-SIM/Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 10 (Go edition)',,b'Quad-core 1.4 GHz Cortex-A53',b'Mali-T820',b'microSDXC',b'32GB 1GB RAM',b'8 MP',b'LED flash',b'1080p@30fps',b'8 MP',b'720p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',b'Li-Ion 2200 mAh',,"b'Blue, Black, Violet, Tan'",,,b'eMMC 5.1',,,,,,,,,,,,,,,,,,,,,
b'blu',b'BLU J6 2020',b'https://fdn2.gsmarena.com/vv/bigpic/blu-j6-2020.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',,b'HSPA 21.1/5.76 Mbps',"b'2020, October'","b'Available. Released 2020, October'",b'160.7 x 78.4 x 10.3 mm (6.33 x 3.09 x 0.41 in)',b'227 g (8.01 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.0 inches, 92.9 cm2 (~73.7% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~268 ppi density)'",b'Android 10 (Go edition)',,b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDXC',b'32GB 1GB RAM',"b'8 MP, AF'",b'LED flash',b'720p@30fps',b'8 MP',b'720p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.1, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 4000 mAh, non-removable'",,"b'Blue, Black, Violet, Tan'",,b'About 80 USD',b'eMMC 5.1',,,,,,,,,,,,,,,,,,,,,
b'blu',b'BLU C6L 2020',b'https://fdn2.gsmarena.com/vv/bigpic/blu-c6l-2020.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 12, 17, 28'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, October'","b'Available. Released 2020, October'",b'155 x 74.7 x 10.9 mm (6.10 x 2.94 x 0.43 in)',b'167 g (5.89 oz)',"b'Dual SIM (Nano-SIM/Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.7 inches, 83.8 cm2 (~72.4% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~282 ppi density)'",b'Android 10 (Go edition)',,b'Quad-core 1.4 GHz Cortex-A53',b'Mali-T820',b'microSDXC',b'16GB 1GB RAM',b'8 MP',b'LED flash',b'720p@30fps',b'8 MP',b'720p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer'",b'Li-Ion 3000 mAh',,"b'Red, Blue, Green'",,b'About 60 USD',b'eMMC 5.1',,,,,,,,,,,,,,,,,,,,,
b'blu',b'BLU C5L 2020',b'https://fdn2.gsmarena.com/vv/bigpic/blu-c5l-2020.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 12, 17, 28'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, October'","b'Available. Released 2020, October'",b'144 x 72.3 x 11.2 mm (5.67 x 2.85 x 0.44 in)',b'150 g (5.29 oz)',"b'Dual SIM (Nano-SIM/Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 10 (Go edition)',,b'Quad-core 1.4 GHz Cortex-A53',b'Mali-T820',b'microSDXC',b'16GB 1GB RAM',b'8 MP',b'LED flash',b'720p@30fps',b'8 MP',b'720p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',b'Li-Ion 2200 mAh',,"b'Red, Blue, Pastel'",,b'About 50 USD',b'eMMC 5.1',,,,,,,,,,,,,,,,,,,,,
b'blu',b'BLU C6 2020',b'https://fdn2.gsmarena.com/vv/bigpic/blu-c6-2020.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',,b'HSPA 21.1/5.76 Mbps',"b'2020, October'","b'Available. Released 2020, October'",b'160.7 x 78.4 x 10.3 mm (6.33 x 3.09 x 0.41 in)',b'230 g (8.11 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.0 inches, 92.9 cm2 (~73.7% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~268 ppi density)'",b'Android 10 (Go edition)',,b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDXC',b'16GB 1GB RAM',"b'8 MP, AF'",b'LED flash',b'720p@30fps',b'8 MP',b'720p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.1, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 4000 mAh, non-removable'",,"b'Red, Gradient Blue, Gradient Greena'",,b'About 80 USD',b'eMMC 5.1',,,,,,,,,,,,,,,,,,,,,
b'blu',b'BLU G50 Plus',b'https://fdn2.gsmarena.com/vv/bigpic/blu-g50-plus.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 12, 17, 28'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, September 22'","b'Available. Released 2020, September 22'",b'158.7 x 76 x 9.1 mm (6.25 x 2.99 x 0.36 in)',b'180 g (6.35 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.2 inches, 95.9 cm2 (~79.5% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~271 ppi density)'",b'Android 10',,b'Octa-core 1.6 GHz Cortex-A55',b'IMG8322',b'microSDXC',b'32GB 2GB RAM',"b'13 MP, AF'","b'LED flash, HDR, panorama'",b'1080p@30fps',b'8 MP',b'720p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 4000 mAh, non-removable'",b'Charging 10W',"b'Black, Blue, Red, Green'",,b'About 109 USD',,,,,,,,,,,,,,,,,,,,,,
b'blu',b'BLU G50',b'https://fdn2.gsmarena.com/vv/bigpic/blu-g50.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 12, 17, 28'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, September 18'","b'Available. Released 2020, September 18'",b'147.8 x 70.9 x 10.1 mm (5.82 x 2.79 x 0.40 in)',b'190 g (6.70 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.5 inches, 78.1 cm2 (~74.5% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~293 ppi density)'",b'Android 10',,b'Octa-core 1.6 GHz Cortex-A55',b'IMG8322',b'microSDXC',b'32GB 2GB RAM',"b'13 MP, AF'","b'LED flash, HDR, panorama'",b'1080p@30fps',b'8 MP',b'720p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 4000 mAh, non-removable'",b'Charging 10W',"b'Black, Blue, Red, Green'",,b'About 80 USD',,,,,,,,,,,,,,,,,,,,,,
