Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Dual,Price,,Triple,Stand-by,Talk time,Features_1,Protection,_1,_1_1,Models,Build,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Dual_1,Music play,Infrared port,Keyboard,Browser,Alert types,Clock,Alarm,SAR EU
b'bq',b'BQ Aquaris X2 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-x2-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 3, 7, 20'","b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2018, May'","b'Available. Released 2018, June'",b'150.7 x 72.3 x 8.4 mm (5.93 x 2.85 x 0.33 in)',b'168 g (5.93 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'LTPS IPS LCD',"b'5.65 inches, 82.4 cm2 (~75.6% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~427 ppi density)'","b'Android 8.1 (Oreo), Android One'",b'Qualcomm SDM660 Snapdragon 660 (14 nm)',b'Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 512',b'microSDXC (uses shared SIM slot)',"b'64GB 4GB RAM, 128GB 6GB RAM'","b'8 MP, f/2.0, 1/4"", 1.12\xc2\xb5m'","b'Dual-LED dual-tone flash, auto-HDR, panorama'","b'4K@30fps, 1080p@60/120fps, 1080p@30fps (gyro-EIS), 720p@240fps'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX'","b'Yes, with A-GPS, GLONASS, GALILEO'",b'Yes',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 3100 mAh, non-removable'",b'Fast charging 18W Quick Charge 4',"b'Midnight Black, Glaze White, Deep Silver'","b'12 MP, f/1.8, 1/2.8"", 1.29\xc2\xb5m, dual pixel PDAF 5 MP, f/2.4, (depth)'",b'About 390 EUR',b'eMMC 5.1',,,,b'LED flash',b'Corning Gorilla Glass (unspecified version)',b'24-bit/192kHz audio',,,"b'Glass front (Gorilla Glass), glass back, aluminum frame'",,,,,,,,,,,,,,,,
b'bq',b'BQ Aquaris X2',b'https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-x2.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 3, 7, 20'","b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2018, May'","b'Available. Released 2018, June'",b'150.7 x 72.3 x 8.3 mm (5.93 x 2.85 x 0.33 in)',b'163 g (5.75 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'LTPS IPS LCD',"b'5.65 inches, 82.4 cm2 (~75.6% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~427 ppi density)'","b'Android 8.1 (Oreo), Android One'",b'Qualcomm SDM636 Snapdragon 636 (14 nm)',b'Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver)',b'Adreno 509',b'microSDXC (uses shared SIM slot)',"b'32GB 3GB RAM, 64GB 4GB RAM'","b'8 MP, f/2.0, 1/4"", 1.12\xc2\xb5m'","b'Dual-LED dual-tone flash, auto-HDR, panorama'","b'4K@30fps, 1080p@60/120fps, 1080p@30fps (gyro-EIS), 720p@240fps'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX'","b'Yes, with A-GPS, GLONASS, GALILEO'",b'Yes',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 3100 mAh, non-removable'",b'Fast charging 18W Quick Charge 4',"b'Carbon Black, Sand Gold'","b'12 MP, f/1.8, 1/2.8"", 1.29\xc2\xb5m, dual pixel PDAF 5 MP, f/2.4, (depth)'",b'About 310 EUR',b'eMMC 5.1',,,,b'LED flash',b'Corning Gorilla Glass (unspecified version)',b'24-bit/192kHz audio',,,"b'Glass front (Gorilla Glass), plastic back, aluminum frame'",,,,,,,,,,,,,,,,
b'bq',b'BQ Aquaris VS Plus',b'https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-vs-plus.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 7, 20'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2018, February'","b'Available. Released 2018, March'",b'152.3 x 76.7 x 8.4 mm (6.00 x 3.02 x 0.33 in)',b'183 g (6.46 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'","b'Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)'",b'Qualcomm MSM8937 Snapdragon 430 (28 nm)',b'Octa-core 1.4 GHz Cortex-A53',b'Adreno 505',b'microSDXC (uses shared SIM slot)',b'64GB 4GB RAM',"b'12 MP, f/2.0, 1/2.9"", 1.25\xc2\xb5m, PDAF'","b'LED flash, HDR, panorama'","b'1080p@30fps, 480p@120fps'","b'8 MP, f/2.0, 1/4"", 1.12\xc2\xb5m'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE, aptX'","b'Yes, with A-GPS, GLONASS'",b'Yes',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 3400 mAh, non-removable'",b'Fast charging 18W Quick Charge 3.0',b'Mist Gold',,b'About 230 EUR',b'eMMC 5.1',,,,b'LED flash',b'Dinorex glass',,,,,,,,,,,,,,,,,,,,
b'bq',b'BQ Aquaris VS',b'https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-vs.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 7, 20'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2018, February'","b'Available. Released 2018, March'",b'148.1 x 73 x 8.4 mm (5.83 x 2.87 x 0.33 in)',b'165 g (5.82 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.2 inches, 74.5 cm2 (~68.9% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~282 ppi density)'","b'Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)'",b'Qualcomm MSM8937 Snapdragon 430 (28 nm)',b'Octa-core 1.4 GHz Cortex-A53',b'Adreno 505',b'microSDXC (uses shared SIM slot)',"b'32GB 3GB RAM, 64GB 4GB RAM'","b'12 MP, f/2.0, 1/2.9"", 1.25\xc2\xb5m, PDAF'","b'LED flash, HDR, panorama'","b'1080p@30fps, 480p@120fps'","b'8 MP, f/2.0, 1/4"", 1.12\xc2\xb5m'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE, aptX'","b'Yes, with A-GPS, GLONASS'",b'Yes',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 3100 mAh, non-removable'",b'Fast charging 18W Quick Charge 3.0',b'Mist Gold',,b'About 190 EUR',b'eMMC 5.1',,,,b'LED flash',b'Dinorex glass',,,,,,,,,,,,,,,,,,,,
b'bq',b'BQ Aquaris U2 Lite',b'https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-u2-lite.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 2, 3, 4, 7, 8, 20, 28'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2017, September'","b'Available. Released 2017, October'",b'148.1 x 72.9 x 8.4 mm (5.83 x 2.87 x 0.33 in)',b'155 g (5.47 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.2 inches, 74.5 cm2 (~69.0% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~282 ppi density)'","b'Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)'",b'Qualcomm MSM8917 Snapdragon 425 (28 nm)',b'Quad-core 1.4 GHz',b'Adreno 308',b'microSDXC (uses shared SIM slot)',b'16GB 2GB RAM',"b'8 MP, f/2.0, 1/4.0"", 1.12\xc2\xb5m, PDAF'","b'LED flash, HDR, panorama'",b'1080p@30fps',"b'5 MP, f/2.0, 1/5"", 1.12\xc2\xb5m'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE, aptX'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, gyro, proximity, compass'","b'Li-Po 3100 mAh, non-removable'",b'Fast charging 18W Quick Charge 3.0',"b'Black, White'",,b'About 170 EUR',b'eMMC 5.1',,,,b'LED flash',b'Dinorex glass',,,,,,,,,,,,,,,,,,,,
b'bq',b'BQ Aquaris U2',b'https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-u2.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 2, 3, 4, 7, 8, 20, 28'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2017, September'","b'Available. Released 2017, October'",b'148.1 x 72.9 x 8.4 mm (5.83 x 2.87 x 0.33 in)',b'155 g (5.47 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.2 inches, 74.5 cm2 (~69.0% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~282 ppi density)'","b'Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)'",b'Qualcomm MSM8940 Snapdragon 435 (28 nm)',b'Octa-core 1.4 GHz Cortex-A53',b'Adreno 505',b'microSDXC (uses shared SIM slot)',"b'16GB 2GB RAM, 32GB 3GB RAM'","b'13 MP, f/2.0, 1/3.1"", 1.12\xc2\xb5m, PDAF'","b'LED flash, HDR, panorama'","b'1080p@30fps, 480p@120fps'","b'5 MP, f/2.0, 1/5"", 1.12\xc2\xb5m'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE, aptX'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO'",b'Yes',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, gyro, proximity, compass'","b'Li-Po 3100 mAh, non-removable'",b'Fast charging 18W Quick Charge 3.0',b'Black',,b'About 190 EUR',b'eMMC 5.1',,,,b'LED flash',b'Dinorex glass',,,b'Aquaris U2',,,,,,,,,,,,,,,,,
b'bq',b'BQ Aquaris V Plus',b'https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-v.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 2, 3, 4, 7, 8, 20, 28'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2017, September'","b'Available. Released 2017, October'",b'152.3 x 76.7 x 8.4 mm (6.00 x 3.02 x 0.33 in)',b'183 g (6.46 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'","b'Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)'",b'Qualcomm MSM8940 Snapdragon 435 (28 nm)',b'Octa-core 1.4 GHz Cortex-A53',b'Adreno 505',b'microSDXC (uses shared SIM slot)',"b'32GB 3GB RAM, 64GB 4GB RAM'","b'12 MP, f/2.0, 1.12\xc2\xb5m, PDAF'","b'LED flash, HDR, panorama'","b'1080p@30fps, 480p@120fps'","b'8 MP, f/2.0, 1/4"", 1.12\xc2\xb5m'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE, aptX'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO'",b'Yes',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 3400 mAh, non-removable'",b'Fast charging 18W Quick Charge 3.0',b'Black',,b'About 260 EUR',b'eMMC 5.1',,,,b'LED flash',b'Dinorex glass',,,,,,,,,,,,,,,,,,,,
b'bq',b'BQ Aquaris V',b'https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-v.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 2, 3, 4, 7, 8, 20, 28'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2017, September'","b'Available. Released 2017, October'",b'148.1 x 73 x 8.4 mm (5.83 x 2.87 x 0.33 in)',b'165 g (5.82 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.2 inches, 74.5 cm2 (~68.9% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~282 ppi density)'","b'Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)'",b'Qualcomm MSM8940 Snapdragon 435 (28 nm)',b'Octa-core 1.4 GHz Cortex-A53',b'Adreno 505',b'microSDXC (uses shared SIM slot)',"b'16GB 2GB RAM, 32GB 3GB RAM, 64GB 4GB RAM'","b'12 MP, f/2.0, 1.12\xc2\xb5m, PDAF'","b'LED flash, HDR, panorama'","b'1080p@30fps, 480p@120fps'","b'8 MP, f/2.0, 1/4"", 1.12\xc2\xb5m'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE, aptX'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO'",b'Yes',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 3100 mAh, non-removable'",b'Fast charging 18W Quick Charge 3.0',b'Black',,b'About 210 EUR',b'eMMC 5.1',,,,b'LED flash',b'Dinorex glass',,,,,,,,,,,,,,,,,,,,
b'bq',b'BQ Aquaris X Pro',b'https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-xpro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 7, 20'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2017, April'","b'Available. Released 2017, June'",b'146.5 x 72.7 x 7.8 mm (5.77 x 2.86 x 0.31 in)',b'158 g (5.57 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'LTPS IPS LCD',"b'5.2 inches, 74.5 cm2 (~70.0% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~424 ppi density)'",b'Android 7.1.1 (Nougat)',b'Qualcomm MSM8953-Pro Snapdragon 626 (14 nm)',b'Octa-core 2.2 GHz Cortex-A53',b'Adreno 506',b'microSDXC (uses shared SIM slot)',"b'64GB 4GB RAM, 128GB 4GB RAM'","b'12 MP, f/1.8, 1/2.55"", 1.4\xc2\xb5m, PDAF'","b'Dual-LED dual-tone flash, auto-HDR, panorama'","b'4K@30fps, 720p@120fps'","b'8 MP, f/2.0'",b'1080p@60fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE, aptX'","b'Yes, with A-GPS, GLONASS, GALILEO'",b'Yes',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 3100 mAh, non-removable'",b'Fast charging 18W Quick Charge 3.0',"b'Midnight Black, Glaze White'",,b'About 370 EUR',b'eMMC 5.1',,,,b'LED flash',b'Dinorex glass',b'24-bit/192kHz audio',,b'Aquaris X Pro',,,,,,,,,,,,,,,,,
b'bq',b'BQ Aquaris X',b'https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 7, 20'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2017, April'","b'Available. Released 2017, June'",b'146.5 x 72.7 x 7.9 mm (5.77 x 2.86 x 0.31 in)',b'153 g (5.40 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'LTPS IPS LCD',"b'5.2 inches, 74.5 cm2 (~70.0% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~424 ppi density)'",b'Android 7.1.1 (Nougat)',b'Qualcomm MSM8953-Pro Snapdragon 626 (14 nm)',b'Octa-core 2.2 GHz Cortex-A53',b'Adreno 506',b'microSDXC (uses shared SIM slot)',b'32GB 3GB RAM',"b'16 MP, f/2.0, 1/2.8"", 1.12\xc2\xb5m, PDAF'","b'Dual-LED dual-tone flash, auto-HDR, panorama'","b'4K@30fps, 720p@120fps'","b'8 MP, f/2.0'",b'1080p@60fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE, aptX'","b'Yes, with A-GPS, GLONASS, GALILEO'",b'Yes',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 3100 mAh, non-removable'",b'Fast charging 18W Quick Charge 3.0',"b'Mineral Black, Pearl Rose'",,b'About 290 EUR',b'eMMC 5.1',,,,b'LED flash',b'Dinorex glass',b'24-bit/192kHz audio',,b'Aquaris X',,,,,,,,,,,,,,,,,
