Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Dual,Price,,Triple,Stand-by,Talk time,Features_1,Protection,_1,_1_1,Models,Build,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Dual_1,Music play,Infrared port,Keyboard,Browser,Alert types,Clock,Alarm,SAR EU,SAR,Stand-by_1,Talk time_1,128GB 6GB RAM
b'cat',b'Cat S62 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/cat-s62-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40'","b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 400/150 Mbps'","b'2020, June 28'","b'Available. Released 2020, August 17'",b'158.5 x 76.7 x 11.9 mm (6.24 x 3.02 x 0.47 in)',b'248 g (8.75 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.7 inches, 83.8 cm2 (~69.0% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~424 ppi density)'",b'Android 10',b'Qualcomm SDM660 Snapdragon 660 (14 nm)',b'Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 512',b'microSDXC (dedicated slot)',b'128GB 6GB RAM',b'8 MP',"b'Thermal imaging, heat palettes, temp. spot meter, LED flash'","b'1080p@30fps, gyro-EIS'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 4000 mAh, non-removable'",,b'Black',"b'12 MP, f/1.8, (wide), 1/2.55"", 1.4\xc2\xb5m, dual pixel PDAF FLIR thermal camera (Lepton 3.5 module)'","b'\xe2\x82\xac\xe2\x80\x89530.99 / $\xe2\x80\x89649.95 / \xc2\xa3\xe2\x80\x89534.99 / \xe2\x82\xb9\xe2\x80\x8974,600'",b'IP68 dust/water resistant (up to 1.5m for 35 mins) Drop-to-concrete resistance from up to 1.8m MIL-STD-810H compliant',,,,,b'Corning Gorilla Glass 6',,,,"b'Glass front (Gorilla Glass 6), plastic back, aluminum frame'",,,,,,,,,,,,,,,,,,,,b'\xe2\x82\xac\xe2\x80\x89530.99'
b'cat',b'Cat S42',b'https://fdn2.gsmarena.com/vv/bigpic/cat-s32.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1900 / 2100 - EU',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2020, January'","b'Available. Released 2020, August'",b'-',b'-',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.5 inches, 78.1 cm2'","b'720 x 1440 pixels, 18:9 ratio (~293 ppi density)'","b'Android 10, planned upgrade to Android 11.0'",b'Mediatek MT6761D Helio A20 (12 nm)',b'Quad-core 1.8 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC (dedicated slot)',b'32GB 3GB RAM',"b'13 MP, AF'",b'LED flash',b'1080p@30fps',b'5 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'Yes',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity, compass'","b'Li-Po 4200 mAh, non-removable'",,b'Black',,b'About 300 EUR',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA',,,,,b'DragonTrail Pro',b'IP68 dust/water resistant (up to 1.5m for 35 mins) Drop-to-concrete resistance from up to 1.8 m MIL-STD-810G compliant',,,,,,,,,,,,,,,,,,,,,,,
b'cat',b'Cat S52',b'https://fdn2.gsmarena.com/vv/bigpic/cat-s52.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2  (dual-SIM model only)',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 20, 28, 38'","b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/100 Mbps'","b'2019, October'","b'Available. Released 2019, November'",b'158.1 x 76.6 x 9.7 mm (6.22 x 3.02 x 0.38 in)',b'210 g (7.41 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.65 inches, 82.4 cm2 (~68.0% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~285 ppi density)'","b'Android 9.0 (Pie), planned upgrade to Android 10'",b'Mediatek MT6765 Helio P35 (12nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',b'microSD',b'64GB 4GB RAM',"b'12 MP, f/1.8, (wide), 1/2.55"", 1.4\xc2\xb5m, dual pixel PDAF'",b'LED flash',"b'1080p@30fps, gyro-EIS'",b'8 MP',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 3100 mAh, non-removable'",b'Fast charging',b'Black',,b'About 440 EUR',b'IP68 dust/water resistant (up to 1.5m for 35 mins) Drop-to-concrete resistance from up to 1.5m MIL-STD-810G compliant',,,,,b'Corning Gorilla Glass 6',b'eMMC 5.1',,,"b'Glass front (Gorilla Glass 6), plastic back, aluminum frame'",,,,,,,,,,,,,,,,,,,,
b'cat',b'Cat B35',b'https://fdn2.gsmarena.com/vv/bigpic/cat-b35.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 7, 8, 20'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, September'","b'Available. Released 2018, October'",b'138 x 60 x 14 mm (5.43 x 2.36 x 0.55 in)',b'130 g (4.59 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'TFT',"b'2.4 inches, 17.8 cm2 (~21.5% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",b'KaiOS',b'Qualcomm MSM8905 Snapdragon 205 (28 nm)',b'Dual-core (2x1.3 GHz Cortex-A7)',b'Adreno 304',b'microSDXC (uses shared SIM slot)',b'4GB 512MB RAM',b'2 MP',b'LED flash',b'480p@30fps',,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 2300 mAh, non-removable'",,b'Black',,b'About 110 EUR',b'IP68 dust/water resistant (up to 1.2m for 35 mins) MIL-STD-810G compliant Drop-to-concrete resistance from up to 1.8m Flashlight',,b'Up to 720 h (3G)',b'Up to 12 h (3G)',,b'Scratch-proof glass',b'eMMC 4.5',"b'Downloadable applications Facebook, Gmail, Whatsapp, etc.'",,,,,,,,,,,,,,,,,,,,,,
b'cat',b'Cat S41',b'https://fdn2.gsmarena.com/vv/bigpic/cat-s41.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1900 / 2100 - EU',"b'1, 2, 3, 5, 7, 8, 20 - EU'","b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2017, September'","b'Available. Released 2017, September'",b'152 x 75 x 12.9 mm (5.98 x 2.95 x 0.51 in)',b'218 g (7.69 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'",b'TFT',"b'5.0 inches, 68.9 cm2 (~60.5% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~441 ppi density)'",b'Android 7.0 (Nougat)',b'Mediatek MT6757 Helio P20 (16 nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53)',b'Mali-T880MP2',b'microSDXC (dedicated slot)',b'32GB 3GB RAM',"b'13 MP, PDAF'",b'LED flash',b'1080p@30fps',b'8 MP',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS (market dependant)'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity, compass'","b'Li-Ion 5000 mAh, non-removable'",b'Fast charging 18W Pump Express 2.0',b'Black',,b'About 450 EUR',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - APAC/LATAM',,b'Up to 1056 h (3G)',b'Up to 38 h (3G)',,b'Corning Gorilla Glass 5',"b'2, 4, 5, 7, 12, 13, 17, 66 - Americas'",b'IP68 dust/water resistant (up to 2m for 1 hour) Drop-to-concrete resistance from up to 1.8 m MIL-STD-810G compliant',b'S41',,,,,,,,,,,,,,,,,,,,,
b'cat',b'Cat S31',b'https://fdn2.gsmarena.com/vv/bigpic/cat-s31.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1900 / 2100 - EU',"b'1, 2, 3, 5, 7, 8, 20 - EU'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2017, September'","b'Available. Released 2017, October'",b'146 x 74.4 x 12.6 mm (5.75 x 2.93 x 0.50 in)',b'200 g (7.05 oz)',"b'Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)'",b'TFT',"b'4.7 inches, 60.9 cm2 (~56.1% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~312 ppi density)'",b'Android 7.0 (Nougat)',b'Qualcomm MSM8909 Snapdragon 210 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Adreno 304',b'microSDXC (dedicated slot)',b'16GB 2GB RAM',"b'8 MP, AF'",b'LED flash',b'720p@30fps',b'2 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity, compass'","b'Li-Ion 4000 mAh, non-removable'",,b'Black',,b'About 330 EUR',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA',,,,,b'Corning Gorilla Glass 3',"b'2, 3, 4, 5, 7, 12, 17 - USA'",b'eMMC 4.5',,,,,,,,,,,,,,,,,,,,,,
b'cat',b'Cat S61',b'https://fdn2.gsmarena.com/vv/bigpic/cat-s61.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1700 / 1900 / 2100 - EU/ROW',"b'1, 2, 3, 5, 7, 8, 19, 20, 26, 28, 38, 39, 40, 41 - EU/ROW'","b'HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat12 600/150 Mbps'","b'2018, February'","b'Available. Released 2018, June'",b'163 x 78 x 13 mm (6.42 x 3.07 x 0.51 in)',b'250 g (8.82 oz)',"b'Single SIM (Nano-SIM) - South Africa onlyHybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.2 inches, 74.5 cm2 (~58.6% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~424 ppi density)'","b'Android 8.0 (Oreo), upgradable to Android 9.0 (Pie)'",b'Qualcomm SDM630 Snapdragon 630 (14 nm)',b'Octa-core 2.2 GHz Cortex-A53',b'Adreno 508',b'microSDXC (uses shared SIM slot)',b'64GB 4GB RAM',"b'16 MP, PDAF, FLIR thermal camera (Lepton module)'","b'Thermal imaging, heat palettes, temp. spot meter, dual-LED dual-tone flash, panorama'","b'4K@30fps, 1080p@30fps'",b'8 MP',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, QZSS, SBAS'",b'Yes',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Accelerometer, gyro, proximity, compass, barometer, indoor air quality sensor'","b'Li-Ion 4500 mAh, non-removable'",b'Fast charging 18W Quick Charge 4',b'Black',,b'About 900 EUR',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA',,b'Up to 888 h (3G)',b'Up to 35 h (3G)',,b'Corning Gorilla Glass 5',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 25, 26, 28, 29, 66 - USA'",b'Laser-assisted distance measurement tool',,"b'Glass front (Gorilla Glass 5), plastic back, aluminum frame'",,,,,,,,,,,,,,,,,,,,
b'cat',b'Cat S60',b'https://fdn2.gsmarena.com/vv/bigpic/cat-s60-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 2100 - Global',"b'1, 3, 7, 8, 20 - Global'","b'HSPA, LTE Cat4 150/50 Mbps'","b'2016, February'","b'Available. Released 2016, June'",b'147.9 x 73.4 x 12.7 mm (5.82 x 2.89 x 0.5 in)',b'223 g (7.87 oz)',"b'Single SIM (Nano-SIM) - South Africa onlyDual SIM (Nano-SIM, dual stand-by)'",b'a-Si AHVA',"b'4.7 inches, 60.9 cm2 (~56.1% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~312 ppi density)'",b'Android 6.0 (Marshmallow)',b'Qualcomm MSM8952 Snapdragon 617 (28 nm)',b'Octa-core (4x1.2 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53)',b'Adreno 405',b'microSDXC (dedicated slot)',b'32GB 3GB RAM',"b'13 MP, AF, FLIR thermal camera (Lepton module)'","b'Thermal imaging, heat palettes, temp. spot meter, dual-LED dual-tone flash, panorama'",b'1080p@30fps',b'5 MP',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.1, A2DP'","b'Yes, with A-GPS, GLONASS, BDS'",b'Yes',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity, compass'","b'Li-Ion 3800 mAh, non-removable'",b'Fast charging 18W Quick Charge 2.0',b'Black',,b'About 650 EUR',b'HSDPA 850 / 1700(AWS) / 1900 - North America',,,,,b'Corning Gorilla Glass 4',"b'2, 4, 5, 7, 12, 17 - North America'",b'eMMC 5.1',,"b'Glass front (Gorilla Glass 4), plastic back, aluminum frame'",,,,,,,,,,,,,,,,,,,,
b'cat',b'Cat S30',b'https://fdn2.gsmarena.com/vv/bigpic/cat-s30.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 2100 - Global',"b'1, 3, 7, 8, 20 - Global'","b'HSPA, LTE Cat4 150/50 Mbps'","b'2015, September'","b'Available. Released 2015, September'",b'141.9 x 72.7 x 13.3 mm (5.59 x 2.86 x 0.52 in)',b'181 g (6.38 oz)',b'Nano-SIM',b'TFT',"b'4.5 inches, 55.8 cm2 (~54.1% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~218 ppi density)'",b'Android 5.1 (Lollipop)',b'Qualcomm MSM8909 Snapdragon 210 (28 nm)',b'Quad-core 1.1 GHz Cortex-A7',b'Adreno 304',b'microSDXC (dedicated slot)',b'8GB 1GB RAM',"b'5 MP, AF'",b'LED flash',b'1080p@60fps',b'2 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity, compass'","b'Li-Ion 3000 mAh, non-removable'",,b'Black',,b'About 340 EUR',b'HSDPA 850 / 1700(AWS) / 1900 - North America',,b'Up to 936 h',b'Up to 18 h',,b'Corning Gorilla Glass 3',"b'2, 4, 5, 7, 17 - North America'",b'eMMC 4.5',b'S30',,,,,,,,,,,,,,,,,,,,,
b'cat',b'Cat S40',b'https://fdn2.gsmarena.com/vv/bigpic/cat-s40.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 2100 - Global',"b'1, 3, 7, 8, 20 - Global'","b'HSPA, LTE Cat4 150/50 Mbps'","b'2015, July'","b'Available. Released 2015, August'",b'144.9 x 74.1 x 12.5 mm (5.70 x 2.92 x 0.49 in)',b'185 g (6.53 oz)',b'Nano-SIM',b'IPS LCD',"b'4.7 inches, 60.9 cm2 (~56.7% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~234 ppi density)'",b'Android 5.1 (Lollipop)',b'Qualcomm MSM8909 Snapdragon 210 (28 nm)',b'Quad-core 1.1 GHz Cortex-A7',b'Adreno 304',b'microSDXC (dedicated slot)',b'16GB 1GB RAM',"b'8 MP, AF'",b'LED flash',b'1080p@60fps',b'2 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'Yes',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity, compass'","b'Li-Ion 3000 mAh, non-removable'",,b'Black',,b'About 440 EUR',b'HSDPA 850 / 1700(AWS) / 1900 - North America',,b'Up to 936 h',b'Up to 18 h',,b'Corning Gorilla Glass 4',"b'2, 4, 5, 7, 12, 17 - North America'",b'eMMC 4.5',,,,,,,,,,,,,,,,,,,,,,
