Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Dual,Price,,Triple,Stand-by,Talk time,Features_1,Protection,_1,_1_1,Models,Build,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Dual_1,Music play,Infrared port,Keyboard,Browser,Alert types,Clock,Alarm,SAR EU,SAR,Stand-by_1,Talk time_1,128GB 6GB RAM,Languages,Quad,5G bands
b'coolpad',b'Coolpad Cool S',b'https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE'","b'2021, January 08'","b'Available. Released 2021, January 08'",b'161.2 x 76.2 x 8.9 mm (6.35 x 3.00 x 0.35 in)',b'-',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.53 inches, 104.7 cm2 (~85.2% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)'",b'Android 10',b'Mediatek MT6771 Helio P60 (12 nm)',b'Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)',b'Mali-G72 MP3',b'microSDXC',b'128GB 4GB RAM',"b'25 MP, f/2.0, (wide), 1/2.78"", 0.9\xc2\xb5m'","b'Dual-LED flash, panorama, HDR'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'No',b'Yes',b'Yes',"b'Yes, with A-GPS'",b'No',b'Unspecified',b'USB Type-C 2.0',"b'Fingerprint (side-mounted), accelerometer, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Charging 10W',"b'Moon White, Lapis Blue, Night Black'",,b'About 160 EUR',,,,,,,,,b'2039',"b'Glass front, glass back, plastic frame'",,,,,,,,,,,,,,,,,,,,,,"b'48 MP, f/1.8, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.0, 120\xcb\x9a (ultrawide) 5 MP, f/2.0, (macro) 0.3 MP, (depth)'",
b'coolpad',b'Coolpad Cool 6',b'https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool6.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, October 15'","b'Available. Released 2020, October 15'",b'162.4 x 76.5 x 9.2 mm (6.39 x 3.01 x 0.36 in)',b'198 g (6.98 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.53 inches, 104.7 cm2 (~84.3% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)'",b'Android 10',b'Mediatek MT6771T Helio P70 (12nm)',b'Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)',b'Mali-G72 MP3',b'microSDXC (uses shared SIM slot)',"b'64GB 4GB RAM, 128GB 6GB RAM'",b'Motorized pop-up 21 MP',"b'LED flash, panorama, HDR'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'No',b'Yes',b'Yes',"b'Yes, with A-GPS'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",,"b'Gray, Blue'",,b'About 130 EUR',,"b'48 MP, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'coolpad',b'Coolpad Cool 12A',b'https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool12a.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 2100',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, October 05'","b'Available. Released 2020, October 05'",b'156.2 x 75.2 x 8.9 mm (6.15 x 2.96 x 0.35 in)',b'202.5 g (7.16 oz)',b'Nano-SIM',b'IPS LCD',"b'6.3 inches, 97.4 cm2 (~82.9% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~273 ppi density)'",b'Android',b'Spreadtrum',b'Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55)',,b'microSD',b'64GB 4GB RAM',b'8 MP',"b'LED flash, panorama, HDR'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (side-mounted), accelerometer, proximity'","b'Li-Po 4000 mAh, non-removable'",,"b'Dream Black, Dream Blue, Fantasy Silver'","b'16 MP, PDAF 2 MP'",b'About 70 EUR',,,,,,,,,,"b'Glass front, plastic frame, glass back'",,,,,,,,,,,,,,,,,,,,,,,
b'coolpad',b'Coolpad Cool 10',b'https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool10.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 2100',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, June 05'","b'Available. Released 2020, June 12'",b'165.7 x 76.5 x 9.1 mm (6.52 x 3.01 x 0.36 in)',b'202.8 g (7.16 oz)',b'Nano-SIM',b'IPS LCD',"b'6.52 inches, 104.4 cm2 (~82.3% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~264 ppi density)'",b'Android',b'Mediatek MT6758 Helio P30 (16 nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.65 GHz Cortex A53)',b'Mali-G71 MP2',b'microSD',b'128GB 6GB RAM',b'8 MP',"b'LED flash, panorama, HDR'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS'",b'No',,b'USB Type-C 2.0',"b'Fingerprint (side-mounted), accelerometer, proximity'","b'Li-Po 4900 mAh, non-removable'",,"b'Black, Blue, White'",,b'About 110 EUR',,"b'16 MP, f/1.5, PDAF 2 MP 2 MP'",,,,,,,b'SEA-A0',,,,,,,,,,,,,,,,,,,,,,,,
b'coolpad',b'Coolpad Legacy 5G',b'https://fdn2.gsmarena.com/vv/bigpic/coolpad-legacy-5g-.jpg',b'GSM / CDMA / HSPA / EVDO / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1700(AWS) / 1900',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE-A, 5G (2+ Gbps DL)'","b'2020, January'",b'Cancelled',b'165 x 77 x 9.5 mm (6.50 x 3.03 x 0.37 in)',b'195 g (6.88 oz)',b'Nano-SIM',"b'IPS LCD, HDR10'","b'6.53 inches, 104.7 cm2 (~82.4% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)'",b'Android 10',b'Qualcomm SM7250 Snapdragon 765G (7 nm)',b'Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver)',b'Adreno 620',b'microSD',b'64GB 4GB RAM',b'16 MP',"b'LED flash, panorama, HDR'","b'4K@30fps, 1080p@30fps'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",b'Fast charging 18W Quick Charge 3.0',b'Yellow/Blue',"b'48 MP, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, (ultrawide)'",b'About 360 EUR',b'CDMA 800 / 1900',,,,b'HDR',,b'CDMA2000 1xEV-DO',b'UFS 2.1',,,,,,,,,,,,,,,,,,,,,,,,,b'SA/NSA/Sub6'
b'coolpad',b'Coolpad Legacy',b'https://fdn2.gsmarena.com/vv/bigpic/coolpad-legacy.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1700(AWS) / 1900',"b'2, 4, 5, 12, 66, 71'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2019, May'","b'Available. Released 2019, May'",b'165.9 x 80.5 x 8.4 mm (6.53 x 3.17 x 0.33 in)',b'170 g (6.00 oz)',b'Nano-SIM',b'IPS LCD',"b'6.36 inches, 104.4 cm2 (~78.2% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~380 ppi density)'",b'Android 9.0 (Pie)',b'Qualcomm SDM450 Snapdragon 450 (14 nm)',b'Octa-core 1.8 GHz Cortex-A53',b'Adreno 506',b'microSDXC (dedicated slot)',b'32GB 3GB RAM',b'13 MP',"b'LED flash, panorama, HDR'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",b'Fast charging 15W',b'Silver',"b'16 MP, AF 5 MP'",b'About 160 EUR',b'eMMC 5.1',,,,,b'Corning Gorilla Glass 3',,,,,,,,,,,,,,b'Yes',,,,,,,,,,,,,
b'coolpad',b'Coolpad Cool 5',b'https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-5.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 19, 20, 28, 38, 40'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2019, October'","b'Available. Released 2019, October'",b'157 x 76 x 8 mm (6.18 x 2.99 x 0.31 in)',b'145 g (5.11 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.22 inches, 96.6 cm2 (~80.9% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~270 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC',b'64GB 4GB RAM',"b'16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0\xc2\xb5m'","b'LED flash, panorama, HDR'",b'1080p@30fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",b'Fast charging',"b'Gradient Blue, Midnight Blue'","b'13 MP, AF 2 MP'",b'About 8000 INR',b'eMMC 5.1',,,,,,,,,,,,,,,,,,,b'Yes',,,,,,,,,,,,,
b'coolpad',b'Coolpad Cool 3 Plus',b'https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-3-plus.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 6, 7, 8, 19, 20, 28'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2019, June'","b'Available. Released 2019, June'",b'145.7 x 70.9 x 8.2 mm (5.74 x 2.79 x 0.32 in)',b'135 g (4.76 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.71 inches, 81.4 cm2 (~78.8% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~295 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT6761 Helio A22 (12 nm)',b'Quad-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC (uses shared SIM slot)',"b'16GB 2GB RAM, 32GB 3GB RAM'","b'13 MP, AF'","b'LED flash, panorama, HDR'",b'1080p@30fps',b'8 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'No',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 3000 mAh, non-removable'",,"b'Ocean Blue, Cherry Black'",,b'About 6000 INR',b'eMMC 5.1',,,,,,,,b'1825-I01',,,,,,,,,,,b'Yes',,,,,,,,,,,,,
b'coolpad',b'Coolpad Cool Play 8',b'https://fdn2.gsmarena.com/vv/bigpic/coolpad-8.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5, 40'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2018, December'","b'Available. Released 2018, December'",b'155.5 x 74.8 x 8.5 mm (6.12 x 2.94 x 0.33 in)',b'177 g (6.24 oz)',b'Dual SIM',b'IPS LCD',"b'6.2 inches, 96.9 cm2 (~83.3% screen-to-body ratio)'","b'1080 x 2246 pixels, 18.7:9 ratio (~402 ppi density)'","b'Android 8 (Oreo), Cool UI 9'",b'Mediatek MT6750 (28 nm)',b'Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',b'Mali-T860MP2',b'microSDXC',b'64GB 4GB RAM',b'8 MP',"b'LED flash, panorama, HDR'",b'1080p@30fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 4000 mAh, non-removable'",b'Charging 10W',"b'Black, Red'","b'16 MP, AF 2 MP, (depth)'",b'About 150 EUR',b'eMMC 5.1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'coolpad',b'Coolpad Mega 5A',b'https://fdn2.gsmarena.com/vv/bigpic/coolpad-mega-5a-.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5, 40'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2018, August'","b'Available. Released 2018, August'",b'-',b'-',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.45 inches, 76.7 cm2'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'",b'Android 8.1 (Oreo)',b'Spreadtrum SC9850K',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-820MP1',b'microSDXC (uses shared SIM slot)',b'16GB 2GB RAM',b'5 MP',"b'LED flash, panorama, HDR'",b'1080p@30fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer'","b'Li-Ion 2500 mAh, non-removable'",,b'Gold',"b'8 MP, f/2.0, PDAF 0.3 MP, (depth)'",b'About 7000 INR',b'CDMA 800 & TD-SCDMA',,,,b'LED flash',,,,,,,,,,,,,,,b'Yes',,,,,,,,,,,,,
