Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Dual,Price,,Triple,Stand-by,Talk time,Features_1,Protection,_1,_1_1,Models,Build,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Dual_1,Music play,Infrared port,Keyboard,Browser,Alert types,Clock,Alarm,SAR EU,SAR,Stand-by_1,Talk time_1,128GB 6GB RAM,Languages,Quad,5G bands,Camera,Loudspeaker_1,Audio quality
b'dell',b'Dell Venue 10 7000',b'https://fdn2.gsmarena.com/vv/bigpic/dell-venue-10-7000.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA',b'LTE (unspecified)',"b'HSPA, LTE'","b'2015, April. Released 2015, May'",b'Discontinued',b'243.4 x 195.4 x 6.2 mm (9.58 x 7.69 x 0.24 in)',b'597 g (1.32 lb)',b'Micro-SIM',b'OLED',"b'10.5 inches, 319.7 cm2 (~67.2% screen-to-body ratio)'","b'1600 x 2560 pixels, 16:10 ratio (~288 ppi density)'",b'Android 5.0 (Lollipop)',b'Intel Atom Z3580',b'Quad-core 2.3 GHz',b'PowerVR G6430',b'microSDXC (dedicated slot)',b'32GB 2GB RAM',"b'8 MP, AF'",,b'Yes',b'2 MP',b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 7000 mAh, non-removable'",,b'Black',,b'About 460 EUR',,,,b'Up to 7 h (multimedia)',,,,,,,b'Yes',b'Yes',,,,,,,,,,,,,,,,,,,,,,,,
b'dell',b'Dell Venue 8 7000',b'https://fdn2.gsmarena.com/vv/bigpic/dell-venue-8-7000.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA',b'LTE (unspecified)',"b'HSPA, LTE'","b'2014, October. Released 2015, January'",b'Discontinued',b'215.9 x 124.2 x 6.1 mm (8.5 x 4.89 x 0.24 in)',b'305 g (10.76 oz)',b'Micro-SIM',b'OLED',"b'8.4 inches, 204.6 cm2 (~76.3% screen-to-body ratio)'","b'1600 x 2560 pixels, 16:10 ratio (~359 ppi density)'","b'Android 4.4.2 (KitKat), upgradable to 5.0.2 (Lollipop)'",b'Intel Atom Z3580',b'Quad-core 2.3 GHz',b'PowerVR G6430',b'microSDXC (dedicated slot)',"b'16GB 2GB RAM, 32GB 2GB RAM'","b'8 MP, f/2.4, AF'",b'Depth & motion tracking sensors',b'1080p@30fps',b'2 MP',b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 5900 mAh, non-removable (21 Wh)'",,b'Black',,b'About 250 EUR',,,,,,,,,,,b'Yes',b'Yes',,,,,,,,,,,,,,,,,,,,,,,,
b'dell',b'Dell Venue 8',b'https://fdn2.gsmarena.com/vv/bigpic/dell-venue-8.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 900 / 2100',,b'HSPA',"b'2013, October. Released 2013, October'",b'Discontinued',b'212 x 130 x 9.8 mm (8.35 x 5.12 x 0.39 in)',b'292 g (10.30 oz)',b'Micro-SIM',b'IPS LCD',"b'8.0 inches, 185.6 cm2 (~67.3% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~189 ppi density)'",b'Android 4.2.2 (Jelly Bean)',b'Intel Atom Z2580',b'Dual-core 2.0 GHz',b'PowerVR SGX544MP2',b'microSDHC (dedicated slot)',"b'16GB 2GB RAM, 32GB 2GB RAM'",b'5 MP',,b'Yes',b'2 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 4100 mAh, non-removable (15.5 Wh)'",,b'Black',,b'About 130 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'dell',b'Dell Venue 7 8 GB',b'https://fdn2.gsmarena.com/vv/bigpic/dell-venue-7-8gb.jpg',b'No cellular connectivity',b'N/A',,,,"b'2013, October. Released 2013, October'",b'Discontinued',b'193 x 118 x 9.6 mm (7.60 x 4.65 x 0.38 in)',b'234 g (8.25 oz)',b'No',b'IPS LCD',"b'7.0 inches, 142.1 cm2 (~62.4% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~216 ppi density)'",b'Android 4.2.2 (Jelly Bean)',b'Intel Atom Z2560',b'Dual-core 1.6 GHz',b'PowerVR SGX544MP2',b'microSDHC (dedicated slot)',b'8GB 1GB RAM',b'3.15 MP',,b'Yes',b'VGA',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'",b'Yes',b'No',b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 4100 mAh, non-removable (15.5 Wh)'",,"b'Black, Red'",,,,,,,,,,,,,b'No',b'No',,,,,,,,,,,,,,,,,,,,,,,,
b'dell',b'Dell Venue 7',b'https://fdn2.gsmarena.com/vv/bigpic/dell-venue-7.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 900 / 2100',,b'HSPA',"b'2013, October. Released 2013, October'",b'Discontinued',b'193 x 118 x 9.6 mm (7.60 x 4.65 x 0.38 in)',b'234 g (8.25 oz)',b'Micro-SIM',b'IPS LCD',"b'7.0 inches, 142.1 cm2 (~62.4% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~216 ppi density)'",b'Android 4.2.2 (Jelly Bean)',b'Intel Atom Z2560',b'Dual-core 1.6 GHz',b'PowerVR SGX544MP2',b'microSDHC (dedicated slot)',b'16GB 2GB RAM',b'3.15 MP',,b'Yes',b'VGA',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 4100 mAh, non-removable (15.5 Wh)'",,"b'Black, Red'",,b'About 100 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'dell',b'Dell XPS 10',b'https://fdn2.gsmarena.com/vv/bigpic/dell-xps-10.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900  (optional)',b'HSDPA (optional)',b'LTE (optional)',b'HSPA/LTE (optional)',"b'2012, Q4. Released 2012, December'",b'Discontinued',b'274.7 x 177.3 x 9.2 mm (10.81 x 6.98 x 0.36 in)',b'635 g (1.40 lb)',b'Single SIM (Micro-SIM) - optional',b'TFT',"b'10.1 inches, 281.1 cm2 (~57.7% screen-to-body ratio)'","b'1366 x 768 pixels, 16:9 ratio (~155 ppi density)'",b'Microsoft Windows RT',,b'Dual-core 1.5 GHz',,b'microSDXC (dedicated slot)',b'32/64GB',"b'5 MP, AF'",,b'720p@30fps',b'2 MP',b'720p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band'","b'4.0, A2DP'","b'Yes, with A-GPS (with LTE/HSPA+ configs)'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, gyro, compass'",b'Li-Ion (28 Wh)',,b'Black',,b'About 380 EUR',b'Optional mobile dock with standard QWERTY keyboard and trackpad',,,,,,b'MP4/H.264 player MP3/WAV/eAAC+ player Photo viewer/editor Document editor',,,,b'No',b'No',,,,,,,,,,,,,,,,,,,,,,,,
b'dell',b'Dell Streak 10 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/dell-streak-10-pro.jpg',b'No cellular connectivity',b'N/A',,,,b'2011',b'Discontinued',b'262.3 x 178 x 13 mm (10.33 x 7.01 x 0.51 in)',b'727 g (1.60 lb)',b'No',b'TFT',"b'10.1 inches, 295.8 cm2 (~63.4% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~149 ppi density)'",b'Android 3.2 (Honeycomb)',b'Nvidia Tegra 2 T20',b'Dual-core 1.0 GHz Cortex-A9',b'ULP GeForce',b'microSDHC (dedicated slot)',b'16GB 1GB RAM',"b'5 MP, AF'",b'LED flash',b'1080p@30fps',b'2 MP',b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, hotspot'","b'2.1, A2DP, EDR'",b'Yes',,b'No',b'2.0',"b'Accelerometer, gyro, proximity, compass'",b'Non-removable Li-Ion battery',,b'Black',,b'About 280 EUR',b'MP4/H.264/WMV player MP3/WAV/eAAC+/WMA player Document viewer Photo viewer/editor Organizer Predictive text input',,,b'Up to 12 h',,b'Corning Gorilla Glass',,,,,b'No',b'No',,,,,,,,,,,,,,,,,,,,,,,,
b'dell',b'Dell Streak Pro D43',b'https://fdn2.gsmarena.com/vv/bigpic/dell-streak-pro-d43.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 900 / 1700 / 2100',,b'HSPA 14.4/5.76 Mbps',"b'2011, December. Released 2012, Q3'",b'Discontinued',b'124.9 x 64.5 x 10.3 mm (4.92 x 2.54 x 0.41 in)',b'145 g (5.11 oz)',b'Micro-SIM',b'Super AMOLED',"b'4.3 inches, 51.0 cm2 (~63.3% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~256 ppi density)'",,b'Qualcomm MSM8260 Snapdragon S3',b'Dual-core 1.5 GHz Scorpion',b'Adreno 220',b'microSDHC (dedicated slot)',"b'8GB ROM, 1GB RAM'","b'8 MP, AF'",b'LED flash',b'1080p@30fps',b'1.3 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",,"b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'",b'Removable Li-Ion 1520 mAh battery',,b'Black',,b'About 450 EUR',b'SNS integration MP4/WMV/H.264 player MP3/WAV/eAAC+ player Organizer Photo/video editor Document editor Voice memo/dial/commands Predictive text input',,b'Up to 281 h (2G) / Up to 353 h (3G)',b'Up to 13 h (2G) / Up to 9 h (3G)',,b'Corning Gorilla Glass',,,,,,,"b'Practically unlimited entries and fields, Photocal'",b'Practically unlimited',"b'SMS(threaded view), MMS, Email, IM'",b'Yes + downloadable',"b'Yes, via Java MIDP emulator'",,,,,,,,,,,,,,,,,,,
b'dell',b'Dell Streak 7',b'https://fdn2.gsmarena.com/vv/bigpic/dell-streak-7.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 900 / 1900 / 2100  / 1700',,b'HSPA',"b'2011, February. Released 2011, March'",b'Discontinued',b'200 x 119.8 x 12.4 mm (7.87 x 4.72 x 0.49 in)',b'453.6 g (1.00 lb)',b'Mini-SIM',b'TFT',"b'7.0 inches, 139.5 cm2 (~58.2% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~133 ppi density)'","b'Android 2.2 (Froyo), 2.3 (Gingerbread), upgradable to 3.2 (Honeycomb)'",b'Nvidia Tegra 2 T20',b'Dual-core 1.0 GHz Cortex-A9',b'ULP GeForce',b'microSDHC (dedicated slot)',b'16GB',"b'5 MP, AF'",b'LED flash',b'720p',b'1.3 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",,b'No',b'2.0',"b'Accelerometer, proximity, compass'",b'Non-removable Li-Ion 2780 mAh battery',,b'Gray',,b'About 210 EUR',b'MP4/H.264/WMV player MP3/WAV/eAAC+/WMA player QuickOffice document viewer Photo viewer/editor Organizer Predictive text input',,b'Up to 72 h',b'Up to 4 h',,b'Corning Gorilla Glass',,,,,,,,,,,,,,,,"b'HTML, Adobe Flash'",,,,,,,,,,,,,,
b'dell',b'Dell Streak 7 Wi-Fi',b'https://fdn2.gsmarena.com/vv/bigpic/dell-streak-7.jpg',b'No cellular connectivity',b'N/A',,,,"b'2011, February. Released 2011, April'",b'Discontinued',b'200 x 119.8 x 12.4 mm (7.87 x 4.72 x 0.49 in)',b'453.6 g (1.00 lb)',b'No',b'TFT',"b'7.0 inches, 139.5 cm2 (~58.2% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~133 ppi density)'","b'Android 2.2 (Froyo), upgradable to 2.3 (Gingerbread)'",b'Nvidia Tegra 2 T20',b'Dual-core 1.0 GHz Cortex-A9',b'ULP GeForce',b'microSDHC (dedicated slot)',b'16GB',"b'5 MP, AF'",b'LED flash',b'720p',b'1.3 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, A2DP, EDR'",b'Yes',,b'No',b'2.0',"b'Accelerometer, proximity, compass'",b'Non-removable Li-Ion 2780 mAh battery',,b'Gray',,b'About 140 EUR',b'MP4/H.264/WMV player MP3/WAV/eAAC+/WMA player QuickOffice document viewer Photo viewer/editor Organizer Predictive text input',,b'Up to 72 h',b'Up to 4 h',,b'Corning Gorilla Glass',,,,,b'No',b'No',,,,,,,,,,"b'HTML, Adobe Flash'",,,,,,,,,,,,,,
