Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Dual,Price,,Triple,Stand-by,Talk time,Features_1,Protection,_1,_1_1,Models,Build,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Dual_1,Music play,Infrared port,Keyboard,Browser,Alert types,Clock,Alarm,SAR EU,SAR,Stand-by_1,Talk time_1,128GB 6GB RAM,Languages,Quad,5G bands,Camera,Loudspeaker_1,Audio quality
b'emporia',b'Emporia Glam',b'https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaGLAM.jpg',b'GSM',b'GSM 900 / 1800',,,,"b'2014, March. Released 2014, June'",b'Discontinued',b'104 x 52 x 17 mm (4.09 x 2.05 x 0.67 in)',b'-',b'Mini-SIM',b'TFT',"b'2.4 inches, 17.8 cm2 (~33.0% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",,b'Mediatek MT6260A',b'360 MHz',b'No',b'microSD (dedicated slot)',b'8MB 4MB RAM',b'2 MP',,b'',,,b'Yes',b'Yes',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'Li-Ion 1020 mAh, removable'",,b'Black',,,b'Flashlight',,b'Up to 320 h',b'Up to 4 h',,,b'No',,,,b'No',b'No',b'Yes',b'Yes',b'SMS',b'No',b'No',,,,,,,,,,,,,,,,,,,
b'emporia',b'Emporia Flip Basic',b'https://fdn2.gsmarena.com/vv/bigpic/emporia-flip-f210.jpg',b'GSM',b'GSM 900 / 1800',,,,"b'2014, March. Released 2014, March'",b'Discontinued',b'96 x 49 x 17 mm (3.78 x 1.93 x 0.67 in)',b'82 g (2.89 oz)',b'Mini-SIM',b'TFT',"b'2.4 inches, 18.1 cm2 (~38.5% screen-to-body ratio)'",b'176 x 220 pixels (~117 ppi density)',,b'Mediatek MT6260M',b'360 MHz',b'No',b'No',b'16MB 32MB RAM',,,,,,b'Yes',b'Yes',b'No',b'No',b'No',b'No',b'No',b'No',b'',"b'Li-Ion 1020 mAh, removable'",,b'Black',,,b'No',,b'Up to 360 h',b'Up to 3 h 40 min',,,,,,,b'No',b'No',b'Yes',b'Yes',b'SMS',b'No',b'No',,,,,,,,,,,,,,,,,,,
b'emporia',b'Emporia Eco',b'https://fdn2.gsmarena.com/vv/bigpic/emporia-eco-c160.jpg',b'GSM',b'GSM 900 / 1800',,,,b'2014',b'Available',b'124 x 48 x 12.5 mm (4.88 x 1.89 x 0.49 in)',b'70 g (2.47 oz)',b'Mini-SIM',b'TFT',"b'2.2 inches, 15.2 cm2 (~25.6% screen-to-body ratio)'",b'176 x 220 pixels (~128 ppi density)',,b'Mediatek MT6260M',b'360 MHz',b'No',b'No',b'16MB 32MB RAM',b'VGA',,b'No',,,b'Yes',b'Yes',b'No',b'No',b'No',b'No',b'FM radio',b'miniUSB',b'',"b'Li-Ion 1020 mAh, removable'",,b'Black',,,b'Flashlight',,b'Up to 310 h',b'Up to 4 h 45 min',,,b'No',,,,b'No',b'No',b'Yes',b'Yes',b'SMS',b'No',b'No',,,,,,,,,,,,,,,,,,,
b'emporia',b'Emporia Click Plus',b'https://fdn2.gsmarena.com/vv/bigpic/emporia-click-plus.jpg',b'GSM / HSPA',b'GSM 900 / 1800',b'HSDPA 900 / 2100',,b'HSPA',b'2014',b'Available',b'105 x 51 x 18.5 mm (4.13 x 2.01 x 0.73 in)',b'110 g (3.88 oz)',b'Mini-SIM',b'TFT',"b'2.4 inches, 17.8 cm2 (~33.3% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",,b'Qualcomm QSC6240',,,b'No',b'20MB 64MB RAM',b'2 MP',,b'Yes',,,b'Yes',b'Yes',b'No',b'2.0',b'A-GPS only',b'No',b'No',b'No',b'',"b'Li-Ion 1000 mAh, removable'",,b'White',,,b'Flashlight',,b'Up to 320 h',b'Up to 4 h',,,b'No',,,,,,"b'Yes, Photocall'",b'Yes',"b'SMS, MMS'",b'No',b'No',,,,,,,,,,,,,,,,,,,
b'emporia',b'Emporia Essence Plus',b'https://fdn2.gsmarena.com/vv/bigpic/emporia-essence.jpg',b'GSM',b'GSM 900 / 1800 - RL2 model',,,,b'2012',b'Available',b'107 x 51 x 12 mm (4.21 x 2.01 x 0.47 in)',b'74 g (2.61 oz)',b'Mini-SIM',b'TFT',"b'1.8 inches, 10.2 cm2 (~18.7% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,b'Infineon PMB7880',,,b'No',b'0.3MB 2MB RAM',,,,,,b'Yes',b'Yes',b'No',b'2.0',b'No',b'No',b'FM radio',b'No',b'',"b'Li-Ion 1000 mAh, removable'",,b'Silver',,,b'GSM 850 / 1900 - US model',,b'Up to 400 h',b'Up to 4 h',,,b'Flashlight',b'No',,,b'No',b'No',b'100 entries',b'Yes',b'SMS',b'No',b'No',,,,,,,,,,,,,,,,,,,
b'emporia',b'Emporia Solid Plus',b'https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaSOLIDplus.jpg',b'GSM',b'GSM 900 / 1800',,,,b'2013',b'Available',b'119 x 60 x 18 mm (4.69 x 2.36 x 0.71 in)',b'142 g (5.01 oz)',b'Mini-SIM',b'TFT',"b'1.8 inches, 10.2 cm2 (~14.3% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,b'Mediatek MT6223',,b'No',b'No',b'0.5MB 4MB RAM',,,,,,b'Yes',b'Yes',b'No',b'2.0',b'Yes',b'No',b'No',b'No',b'',"b'Li-Ion 1750 mAh, removable'",,"b'White, Yellow'",,,b'IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810F compliant Flashlight',,b'Up to 400 h',b'Up to 5 h',,,b'No',,,,b'No',b'No',b'Yes',b'Yes',b'SMS',b'No',b'No',,,,,,,,,,,,,,,,,,,
b'emporia',b'Emporia Care Plus',b'https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaCAREplus.jpg',b'GSM',b'GSM 900 / 1800',,,,b'2013',b'Available',b'122 x 55 x 18 mm (4.80 x 2.17 x 0.71 in)',b'103 g (3.63 oz)',b'Mini-SIM',b'TFT',"b'2.2 inches, 15.2 cm2 (~22.7% screen-to-body ratio)'",b'176 x 220 pixels (~128 ppi density)',,b'Mediatek MT6223',,b'No',b'No',b'0.5MB 4MB RAM',,,,,,b'Yes',b'Yes',b'No',b'2.0',b'Yes',b'No',b'FM radio',b'No',b'',"b'Li-Ion 1750 mAh, removable'",,b'Black',,,b'Flashlight',,b'Up to 300 h',b'Up to 6 h',,,b'No',,,,b'No',b'No',b'500 entries',b'Yes',b'SMS',b'No',b'No',,,,,,,,,,,,,,,,,,,
b'emporia',b'Emporia Elegance Plus',b'https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaELEGANCEplus.jpg',b'GSM',b'GSM 900 / 1800',,,,b'2012',b'Available',b'109 x 50 x 14 mm (4.29 x 1.97 x 0.55 in)',b'92 g (3.25 oz)',b'Mini-SIM',b'TFT',"b'1.8 inches, 10.2 cm2 (~18.7% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,b'Infineon PMB7880',,,b'No',b'0.3MB 2MB RAM',,,,,,b'Yes',b'Yes',b'No',b'2.0',b'No',b'No',b'FM radio',b'No',b'',"b'Li-Ion 1100 mAh, removable'",,b'Black',,,b'Flashlight',,b'Up to 300 h',b'Up to 4 h',,,b'No',,,,b'No',b'No',b'100 entries',b'Yes',b'SMS',b'No',b'No',,,,,,,,,,,,,,,,,,,
b'emporia',b'Emporia Elegance',b'https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaELEGANCE-V35.jpg',b'GSM',b'GSM 900 / 1800',,,,b'2012',b'Available',b'109 x 50 x 14 mm (4.29 x 1.97 x 0.55 in)',b'92 g (3.25 oz)',b'Mini-SIM',b'TFT',"b'1.8 inches, 10.2 cm2 (~18.7% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,b'Infineon PMB7880',,,b'No',b'0.3MB 2MB RAM',,,,,,b'Yes',b'Yes',b'No',b'2.0',b'No',b'No',b'FM radio',b'No',b'',"b'Li-Ion 1100 mAh, removable'",,"b'Black, White, Brown'",,,b'Flashlight',,b'Up to 300 h',b'Up to 4 h',,,b'No',,,,b'No',b'No',b'100 entries',b'Yes',b'SMS',b'No',b'No',,,,,,,,,,,,,,,,,,,
b'emporia',b'Emporia Connect',b'https://fdn2.gsmarena.com/vv/bigpic/emporia-emporiaCONNECT.jpg',b'GSM / UMTS',b'GSM 900 / 1800',b'UMTS 900 / 2100',,"b'Yes, 384 kbps'",b'2012',b'Available',b'108 x 53 x 20 mm (4.25 x 2.09 x 0.79 in)',b'110 g (3.88 oz)',b'Mini-SIM',b'TFT',"b'2.8 inches, 22.3 cm2 (~39.0% screen-to-body ratio)'","b'240 x 400 pixels, 5:3 ratio (~167 ppi density)'",,b'Qualcomm QSC6270',,,b'microSD (dedicated slot)',b'20MB 64MB RAM',b'2 MP',,b'',,,b'Yes',b'Yes',b'No',b'2.1',b'A-GPS only',b'No',b'No',b'miniUSB',b'',"b'Li-Ion 1150 mAh, removable'",,b'Black',,,b'Flashlight',,b'Up to 170 h',b'Up to 6 h',,,b'No',b'Organizer',,,,,"b'1500 entries, Photocall'",b'Yes',"b'SMS, MMS'",b'No',b'No',,,,,,,,,,,,,,,,,,,
