Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Dual,Price,,Triple,Stand-by,Talk time,Features_1,Protection,_1,_1_1,Models,Build,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Dual_1,Music play,Infrared port,Keyboard,Browser,Alert types,Clock,Alarm,SAR EU,SAR,Stand-by_1,Talk time_1,128GB 6GB RAM,Languages,Quad,5G bands,Camera,Loudspeaker_1,Audio quality
b'ericsson',b'Ericsson R600',b'https://fdn2.gsmarena.com/vv/bigpic/err600.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2001, Q4'",b'Discontinued',b'105 x 45 x 20 mm (4.13 x 1.77 x 0.79 in)',b'82 g (2.89 oz)',b'Mini-SIM',b'Grayscale graphic',b'',b'5 lines',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion (BST-20)',,"b'2 - Ice Blue, Luminous Champagne'",,,b'LCD illuminates in 3  colours Background pictures',,b'90 h - 150 h',b'2 h - 4 h',,,b'No',b'SMS chat Predictive text input Organizer Profiles',,,b'Yes',b'No',b'200',"b'10 received, dialed and missed calls'","b'SMS, EMS'","b'4 - Erix, Catcher, Pathy and Ripple'",b'No',,,,,b'WAP 1.2.1',"b'Vibration; Downloadable monophonic ringtones, composer'",b'Yes',b'Yes',b'0.89 W/kg (head)',,,,,,,,,,
b'ericsson',b'Ericsson T68',b'https://fdn2.gsmarena.com/vv/bigpic/ert68.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2001, Q4'",b'Discontinued',b'101 x 48 x 19.5 mm (3.98 x 1.89 x 0.77 in)',b'84 g (2.96 oz)',b'Mini-SIM',"b'CSTN, 256 colors'",b'',b'101 x 80 pixels',,,,,b'No',,,,,,,b'No',b'No',b'No',b'1.0b',b'No',,b'No',b'',b'',b'Removable Li-Ion battery (BST-14)',,"b'2 - Ziroc\xc3\xb1an Gold, Lunar Grey'",,,b'Joystick navigation Image handling',,b'up to 300 h',b'up to 11 h',,,b'100 sec voice memo 300 calendar events',b'Predictive text input Organizer Voice dialing Voice answering Profiles',,,b'Yes',b'No',b'500 x 8 fields',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS, Email'","b'6 - Erix, Ripple, Tetris, Game, Q, Solitaire'",b'No',,,b'Yes',,b'WAP 1.2.1',"b'Vibration; Downloadable monophonic ringtones, composer'",b'Yes',b'Yes',,,b'up to 29 days',b'up to 25 h',,,,,,,
b'ericsson',b'Ericsson T66',b'https://fdn2.gsmarena.com/vv/bigpic/ert66.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2001, Q4'",b'Discontinued',b'92 x 41 x 17.5 mm (3.62 x 1.61 x 0.69 in)',b'59 g (2.08 oz)',b'Mini-SIM',b'Monochrome graphic',b'',b'5 lines',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH battery',,"b'2 - Purple Passion, Silver Supreme'",,,b'No',,b'150 h',b'2 h - 5 h',,,b'SMS chat Predictive text input Organizer Profiles',,,,b'No',b'No',b'',"b'10 received, dialed and missed calls'","b'SMS, EMS'",b'',b'No',,,,,b'WAP 1.2.1',"b'Vibration; Downloadable monophonic ringtones, composer'",b'Yes',b'Yes',,,,,,,,,,,
b'ericsson',b'Ericsson T65',b'https://fdn2.gsmarena.com/vv/bigpic/ert65.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2001, Q4'",b'Discontinued',b'105 x 49 x 21 mm (4.13 x 1.93 x 0.83 in)',b'94 g (3.32 oz)',b'Mini-SIM',b'Grayscale graphic',b'',"b'6 lines, 101 x 67 pixels'",,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion battery',,"b'3 - Cosmic Blue, Stardust Yellow, Polar Blue'",,,b'Background pictures',,b'160 h - 300 h',b'2.5 h - 11 h',,,b'No',b'SMS chat Predictive text input Organizer Profiles',,,b'Yes',b'No',b'300 x 11 fields',"b'30 received, dialed and missed calls'","b'SMS, Email, EMS'",b'Yes',b'No',,,,,b'WAP 1.2.1',"b'Vibration; Downloadable monophonic ringtones, composer'",b'Yes',b'Yes',,,,,,,,,,,
b'ericsson',b'Ericsson T39',b'https://fdn2.gsmarena.com/vv/bigpic/ert39.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,b'2001',b'Discontinued',b'96 x 50 x 18 mm (3.78 x 1.97 x 0.71 in)',b'86 g (3.03 oz)',b'Mini-SIM',b'Grayscale graphic',b'',"b'101 x 54 pixels, 4 lines, 17:9 ratio'",,,,,b'No',,,,,,,b'No',b'No',b'No',b'1.0b',b'No',,b'No',b'',b'',b'Removable NiMH battery',,"b'3 - Classic Blue, Icecap Blue, Rose White'",,,b'No',,b'up to 300 h',b'up to 11 h',,,b'Predictive text input Organizer Voice dialing Voice answering Profiles Helptexts and shortcuts Active flip',,,,b'Yes',b'No',b'510',"b'10 received, dialed and missed calls'","b'SMS, Email'",b'Yes',b'No',,,b'Yes',,b'WAP 1.2.1',"b'Vibration; Downloadable monophonic ringtones, composer'",b'Yes',b'Yes',,,b'up to 29 days',b'up to 25 h',,b'37',,,,,
b'ericsson',b'Ericsson A3618',b'https://fdn2.gsmarena.com/vv/bigpic/era3618.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2001, Q3'",b'Discontinued',b'111 x 47 x 22 mm (4.37 x 1.85 x 0.87 in)',b'86 g (3.03 oz)',b'Mini-SIM',b'Monochrome graphic',b'',b'4 lines',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH battery',,"b'2 - Icy Silver, Graphite Silver'",,,"b'4 background colors (red, green, blue and yellow) 2 screensavers Start-up/Shut-down shows'",,b'90 - 155 h',b'2.5 - 4 h',,,b'10 SMS templates',b'Predictive text input Stopwatch Profiles Organizer',,,b'No',b'No',b'99',"b'20 received, dialed and missed calls'",b'SMS',"b'3 - Tetris, Erix, Pulldown'",b'No',,,,,b'',"b'Vibration; Monophonic ringtones, composer'",b'Yes',b'Yes',,,,,,b'4',,,,,
b'ericsson',b'Ericsson T29s',b'https://fdn2.gsmarena.com/vv/bigpic/ert29.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2001, February'",b'Discontinued',b'101 x 49 x 20 mm (3.98 x 1.93 x 0.79 in)',b'95 g (3.35 oz)',b'Mini-SIM',b'Grayscale graphic',b'',"b'101 x 33 pixels, 3 x 12 chars'",,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH battery',,b'2 - Amethyst Purple and Sapphire Blue',,,b'No',,b'150 h',b'7 h',,,b'Predictive text input Voice dialing Voice answering Profiles] Helptexts and shortcuts Active flip',,,,b'No',b'No',b'200',"b'10 received, dialed and missed calls'","b'SMS, EMS'",b'5',b'No',,,,,b'WAP 1.1',"b'Vibration; Downloadable monophonic ringtones, composer'",b'Yes',b'Yes',,,,,,b'English + many Asian',,,,,
b'ericsson',b'Ericsson R520m',b'https://fdn2.gsmarena.com/vv/bigpic/err520m.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,b'Q2 2001 ?',b'Discontinued',b'130 x 50 x 16 mm (5.12 x 1.97 x 0.63 in)',b'105 g (3.70 oz)',b'Mini-SIM',b'Monochrome graphic',b'',b'5 lines',,,,,b'No',,,,,,,b'No',b'No',b'No',b'1.0b',b'No',,b'No',b'',b'',b'Removable NiMH battery',,b'',,,b'No',,b'200 h',b'7 h 30 min',,,b'Predictive text input Code memo Voice dial Voice answer Voice memo Calculator Speaker with proximity switch',,,,b'Yes',b'No',b'500+',b'',"b'SMS, Email'",b'',b'No',,,b'Yes',,b'WAP 1.2',b'Vibration; Downloadable monophonic ringtones',b'Yes',b'Yes',,,,,,,,,,,
b'ericsson',b'Ericsson T20e',b'https://fdn2.gsmarena.com/vv/bigpic/ert20e.gif',b'GSM',b'GSM 900 / 1800',,,,b'2001',b'Discontinued',b'101 x 54 x 28 mm (3.98 x 2.13 x 1.10 in)',b'128 g (4.52 oz)',b'Mini-SIM',b'Monochrome graphic',b'',"b'101 x 33 pixels, 3 x 12 chars'",,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH battery',,"b'5 - Purple Wild, Blue Whirl, Lime Twist, Silver Weave, Beige Harmony'",,,b'SMS Templates',,b'200 h',b'10 h',,,b'No',b'Mobile chat Swatch Internet Time Voice dial Voice answer Calculator Stopwatch Pictures and sound in SMS Start-up shut-down shows Profiles Active flip',,,b'No',b'No',b'',"b'10 received, dialed and missed calls'",b'SMS',b'5',b'No',,,,,b'WAP with added security',"b'Vibration; Downloadable monophonic ringtones, composer'",b'Yes',b'Yes',,,,,,b'24',,,,,
b'ericsson',b'Ericsson A2628',b'https://fdn2.gsmarena.com/vv/bigpic/era2628.gif',b'GSM',b'GSM 900 / 1800',,,,b'2001',b'Discontinued',b'131 x 51 x 25 mm (5.16 x 2.01 x 0.98 in)',b'140 g (4.94 oz)',b'Mini-SIM',b'Monochrome graphic',b'',b'4 lines',,,,,b'No',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable NiMH battery',,"b'4 - Astral Blue, Pistachio Yellow, Green Pepper, Celestial black'",,,b'Start-up/Shut-down shows',,b'125 h',b'6 h',,,b'SMS templates',b'Voice dial Voice answer Custom pictures Stopwatch Profiles Calculator Snap-On Covers',,,b'No',b'No',b'99',"b'30 received, dialed and missed calls'",b'SMS',"b'3 - Tetris, Erix, Labirinth'",b'No',,,,,b'WAP 1.1',b'Monophonic ringtones',b'Yes',b'Yes',,,b'235 h',b'11 h',,,,,,,
