Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Dual,Price,,Triple,Stand-by,Talk time,Features_1,Protection,_1,_1_1,Models,Build,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Dual_1,Music play,Infrared port,Keyboard,Browser,Alert types,Clock,Alarm,SAR EU,SAR,Stand-by_1,Talk time_1,128GB 6GB RAM,Languages,Quad,5G bands,Camera,Loudspeaker_1,Audio quality
b'eten',b'Eten glofiish X610',b'https://fdn2.gsmarena.com/vv/bigpic/eten-x610.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,"b'2008, June. Released 2008, December'",b'Discontinued',b'107 x 58 x 15 mm (4.21 x 2.28 x 0.59 in)',b'136 g (4.80 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 24.3 cm2 (~39.1% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~143 ppi density)'",b'Microsoft Windows Mobile 6.1 Professional',,b'Samsung S3C2442 400 MHz',,b'microSD (dedicated slot)',"b'64MB RAM, 128MB ROM'",b'2 MP',b'LED flash',b'Yes',,,b'Yes',b'No',b'Wi-Fi 802.11 b/g',b'2.0',"b'Yes, SiRF Star III chipset'",,b'No',b'miniUSB',b'',b'Removable Li-Ion battery',,b'Black',,b'About 200 EUR',b'Handwriting recognition',,,,,,b'No',b'Pocket Office  Windows MPlayer 10 Direct push technology Organizer Voice memo',,,b'Class 10',b'Class 10',,,,,,,,,,b'HTML (PocketIE)',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,,,,,,
b'eten',b'Eten glofiish V900',b'https://fdn2.gsmarena.com/vv/bigpic/eten-v900.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,b'HSPA 3.6/0.384 Mbps',"b'2008, June. Released 2008, December'",b'Discontinued',b'106 x 60.5 x 17 mm (4.17 x 2.38 x 0.67 in)',b'147 g (5.19 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 24.3 cm2 (~37.9% screen-to-body ratio)'","b'480 x 640 pixels, 4:3 ratio (~286 ppi density)'",b'Microsoft Windows Mobile 6.1 Professional',,b'Samsung 667 MHz',,b'microSDHC (dedicated slot)',"b'128MB RAM, 256MB ROM'","b'3.15 MP, AF'",b'LED flash',b'Yes',b'VGA videocall camera',b'',b'Yes',b'No',b'Wi-Fi 802.11 b/g',b'2.0',"b'Yes, SiRF Star III chipset'",,b'FM radio',b'miniUSB 1.1',b'',b'Removable Li-Ion 1530 mAh battery',,b'Black',,b'About 590 EUR',b'Handwriting recognition',,,,,,b'DVB-H/DVB-T/T-DMB/DAB TV broadcast receiver MP3/WMA/WAV/eAAC+ player MP4/H.263/WMV player Pocket Office  Organizer TV-out Voice memo Predictive text input',,,,,,,,,,,,,,,b'HTML (PocketIE)',"b'Vibration, MP3 ringtones'",,,,,,,,,,,,,
b'eten',b'Eten glofiish X900',b'https://fdn2.gsmarena.com/vv/bigpic/eten-x900.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,b'HSPA 3.6/0.384 Mbps',"b'2008, June. Released 2008'",b'Discontinued',b'106 x 60.5 x 17 mm (4.17 x 2.38 x 0.67 in)',b'147 g (5.19 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 24.3 cm2 (~37.9% screen-to-body ratio)'","b'480 x 640 pixels, 4:3 ratio (~286 ppi density)'",b'Microsoft Windows Mobile 6.1 Professional',,b'Samsung S3C 6400 533 MHz',,b'microSD (dedicated slot)',"b'128MB RAM, 256MB ROM'","b'3.15 MP, AF'",,b'Yes',b'VGA videocall camera',b'',b'Yes',b'No',b'Wi-Fi 802.11 b/g',b'2.0',"b'Yes, SiRF Star III chipset'",,b'No',b'Proprietary',b'',b'Removable Li-Ion battery',,b'Black',,b'About 350 EUR',b'Handwriting recognition',,,,,,b'TV-out Pocket Office  Windows MPlayer 10 Organizer Voice memo',,,,,,,,,,,,,,,b'HTML (PocketIE)',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,,,,,,
b'eten',b'Eten glofiish DX900',b'https://fdn2.gsmarena.com/vv/bigpic/eten-dx900.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1',b'HSDPA 850 / 1900 / 2100 - SIM 1',,b'HSPA 3.6/0.384 Mbps',"b'2008, June. Released 2008, December'",b'Discontinued',b'106 x 60.5 x 17 mm (4.17 x 2.38 x 0.67 in)',b'147 g (5.19 oz)',b'Dual SIM (Mini-SIM)',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 24.3 cm2 (~37.9% screen-to-body ratio)'","b'480 x 640 pixels, 4:3 ratio (~286 ppi density)'",b'Microsoft Windows Mobile 6.1 Professional',,b'Samsung S3C 6400 533 MHz',,b'microSD (dedicated slot)',"b'128MB RAM, 256MB ROM'","b'3.15 MP, AF'",,b'Yes',b'VGA videocall camera',b'',b'Yes',b'No',b'Wi-Fi 802.11 b/g',b'2.0',"b'Yes, SiRF Star III chipset'",,b'No',b'Proprietary',b'',b'Removable Li-Ion battery',,b'Black',,b'About 320 EUR',b'GSM 900 / 1800 / 1900 - SIM 2',,,,,,b'Handwriting recognition',b'TV-out Pocket Office  Windows MPlayer 10 Organizer Voice memo',,,,,,,,,,,,,,b'HTML (PocketIE)',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,,,,,,
b'eten',b'Eten glofiish M750',b'https://fdn2.gsmarena.com/vv/bigpic/eten-m750.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,"b'2008, April. Released 2008'",b'Discontinued',b'109.5 x 59 x 17.5 mm (4.31 x 2.32 x 0.69 in)',b'179 g (6.31 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 24.3 cm2 (~37.6% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~143 ppi density)'",b'Microsoft Windows Mobile 6.0 Professional',,b'Samsung S3C 2442 500 MHz',,b'microSD (dedicated slot)',"b'64MB RAM, 256MB ROM'","b'2 MP, AF'",,b'No',,,b'Yes',b'No',b'Wi-Fi 802.11 b/g',b'2.0',"b'Yes, SiRF Star III chipset'",,b'FM radio',b'miniUSB',b'',b'Removable Li-Ion 1530 mAh battery',,b'Black',,,b'Handwriting recognition',,b'Up to 260 h',b'Up to 6 h',,,b'No',b'Pocket Office  eBook reader Windows MPlayer 10 Organizer Voice memo',,,b'Class 10',b'Class 10',,,,,,,,,b'QWERTY',b'HTML (PocketIE)',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,,,,,,
b'eten',b'Eten glofiish M810',b'https://fdn2.gsmarena.com/vv/bigpic/eten-m810.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,b'HSPA',"b'2008, April. Released 2008, August'",b'Discontinued',b'109.5 x 59 x 17.5 mm (4.31 x 2.32 x 0.69 in)',b'179 g (6.31 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 24.3 cm2 (~37.6% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~143 ppi density)'",b'Microsoft Windows Mobile 6.0 Professional',,b'Samsung S3C 2442 500 MHz',,b'microSD (dedicated slot)',"b'64MB RAM, 256MB ROM'","b'2 MP, AF'",,b'Yes',b'VGA videocall camera',b'',b'Yes',b'No',b'Wi-Fi 802.11 b/g',b'2.0',"b'Yes, SiRF Star III chipset'",,b'FM radio',b'miniUSB',b'',b'Removable Li-Ion 1530 mAh battery',,b'Black',,b'About 230 EUR',b'Handwriting recognition',,b'Up to 260 h',b'Up to 6 h',,,b'Pocket Office  eBook reader Windows MPlayer 10 Organizer Voice memo',,,,,,,,,,,,,,b'QWERTY',b'HTML (PocketIE)',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,,,,,,
b'eten',b'Eten glofiish X650',b'https://fdn2.gsmarena.com/vv/bigpic/eten-x650.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,"b'2008, January. Released 2008, March'",b'Discontinued',b'107 x 58 x 14.7 mm (4.21 x 2.28 x 0.58 in)',b'136 g (4.80 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 24.3 cm2 (~39.1% screen-to-body ratio)'","b'480 x 640 pixels, 4:3 ratio (~286 ppi density)'",b'Microsoft Windows Mobile 6.0 Professional',,b'Samsung SC32442 500 MHz',,b'microSD (dedicated slot)',"b'64MB RAM, 256MB ROM'","b'2 MP, AF'",,b'Yes',,,b'Yes',b'No',b'Wi-Fi 802.11 b/g',b'2.0',"b'Yes, SiRF Star III chipset'",,b'FM radio',b'miniUSB',b'',b'Removable Li-Po 1530 mAh battery',,"b'Black, Purple'",,b'About 220 EUR',b'Handwriting recognition',,b'Up to 170 h',b'Up to 6 h',,,b'No',b'Pocket Office  eBook reader Windows MPlayer 10 Organizer Voice memo',,,b'Class 10',b'Class 10',,,,,,,,,,b'HTML (PocketIE)',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,,,,,,
b'eten',b'Eten glofiish M800',b'https://fdn2.gsmarena.com/vv/bigpic/eten-m800.gif',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,b'HSPA',"b'2007, October. Released 2008, March'",b'Discontinued',b'113.8 x 57.8 x 18.4 mm (4.48 x 2.28 x 0.72 in)',b'178 g (6.28 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'",b'',"b'640 x 480 pixels, 2.8, 4:3 ratio'",b'Microsoft Windows Mobile 6.0',,b'Samsung S3C2442 500 MHz',,b'microSD (dedicated slot)',"b'64MB RAM, 256MB ROM'","b'2 MP, AF'",,b'Yes',b'VGA videocall camera',b'',b'Yes',b'No',b'Wi-Fi 802.11 b/g',b'2.0',"b'Yes, SiRF Star III chipset'",,b'FM radio',b'miniUSB',b'',b'Removable Li-Po 1530 mAh battery',,b'Silver',,b'About 230 EUR',b'Handwriting recognition',,b'Up to 150 h',b'Up to 4 h',,,b'Pocket Office  eBook reader Windows MPlayer 10 Organizer Voice memo',,,,,,,,,,,,,,b'QWERTY',b'HTML (PocketIE)',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,,,,,,
b'eten',b'Eten glofiish X600',b'https://fdn2.gsmarena.com/vv/bigpic/eten-x600.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,"b'2007, October. Released 2008, January'",b'Discontinued',b'107 x 58 x 14.7 mm (4.21 x 2.28 x 0.58 in)',b'136 g (4.80 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 24.3 cm2 (~39.1% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~143 ppi density)'",b'Microsoft Windows Mobile 6.0 Professional',,b'Samsung S3C2442 400 MHz',,b'microSD (dedicated slot)',"b'64MB RAM, 128MB ROM'",b'2 MP',,b'Yes',,,b'Yes',b'No',b'Wi-Fi 802.11 b/g',b'2.0',"b'Yes, SiRF Star III chipset'",,b'FM radio',b'miniUSB',b'',b'Removable Li-Ion 1530 mAh battery',,"b'Black, Red'",,b'About 170 EUR',b'Handwriting recognition',,b'Up to 200 h',b'Up to 7 h',,,b'No',b'Pocket Office  eBook reader Windows MPlayer 10 Direct push technology Organizer Voice memo',,,b'Class 10',b'Class 10',,,,,,,,,,b'HTML (PocketIE)',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,,,,,,
b'eten',b'Eten glofiish X500+',b'https://fdn2.gsmarena.com/vv/bigpic/eten-x500.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,"b'2007, May'",b'Discontinued',b'113 x 59.5 x 15.5 mm (4.45 x 2.34 x 0.61 in)',b'146 g (5.15 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 24.3 cm2 (~36.1% screen-to-body ratio)'","b'640 x 480 pixels, 4:3 ratio (~286 ppi density)'",b'Microsoft Windows Mobile 6.0 Professional',,b'Samsung S3C2440 400 MHz',,b'microSD (dedicated slot)',"b'64MB RAM, 128MB ROM'",b'2 MP',,b'Yes',,,b'Yes',b'No',b'Wi-Fi 802.11 b/g',b'2.0',"b'Yes, SiRF Star III chipset'",,b'FM radio',b'miniUSB',b'',b'Removable Li-Ion 1530 mAh battery',,"b'Silver, Black'",,b'About 180 EUR',b'Handwriting recognition',,b'Up to 170 h',b'Up to 5 h',,,b'No',b'Pocket Office  eBook reader Windows MPlayer 10 Organizer Voice memo',,,b'Class 10',b'Class 10',,,,,,,,,,b'HTML (PocketIE)',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,,,,,,,
