Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Price,128GB 6GB RAM,Build,,Dual,Single_1,256GB 6GB RAM,Triple,_1,Protection,Dual_1,_1_1,Models,Talk time,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Stand-by,SAR,SAR EU,Music play,GPRS,EDGE,Infrared port,Browser,Keyboard,Phonebook,Call records,Messaging,Games,Java,Alert types,Stand-by_1,Talk time_1
b'htc',b'HTC Desire 21 Pro 5G',b'https://fdn2.gsmarena.com/vv/bigpic/htc-desire-21-pro-5g.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41'","b'1, 3, 5, 7, 28, 41, 78 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2021, January 13'","b'Available. Released 2021, January 21'",b'167.1 x 78.1 x 9.4 mm (6.58 x 3.07 x 0.37 in)',b'205 g (7.23 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, HDR10, 90Hz'","b'6.7 inches, 108.4 cm2 (~83.0% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~393 ppi density)'",b'Android 10',b'Qualcomm SM6350 Snapdragon 690 5G (8 nm)',b'Octa-core (2x2.0 GHz Kryo 560 Gold & 6x1.7 GHz Kryo 560 Silver)',b'Adreno 619',b'microSDXC',b'128GB 8GB RAM',"b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 118\xcb\x9a (ultrawide) 2 MP, f/2.4, (macro) 5 MP, f/2.4, (depth)'","b'Dual-LED flash, HDR, panorama'","b'4K@30fps, 1080p@30fps, gyro-EIS'","b'16 MP, (wide)'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 18W Quick Charge 4.0+',"b'Blue, Purple'",b'About 350 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'htc',b'HTC Desire 20+',b'https://fdn2.gsmarena.com/vv/bigpic/htc-desire-20-plus.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5, 7, 8, 20, 28, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A, Cat6 300/75 Mbps'","b'2020, October 19'","b'Available. Released 2020, October 22'",b'164.9 x 75.7 x 9 mm (6.49 x 2.98 x 0.35 in)',b'203 g (7.16 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.5 inches, 102.0 cm2 (~81.7% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'",b'Android 10',b'Qualcomm SM7125 Snapdragon 720G (8 nm)',b'Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver)',b'Adreno 618',b'microSDXC',b'128GB 6GB RAM',"b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 5 MP, f/2.2, 115\xcb\x9a (ultrawide) 2 MP, f/2.4, (macro) 5 MP, f/2.4, (depth)'","b'Dual-LED flash, HDR, panorama'","b'4K@30fps, 1080p@30fps'","b'16 MP, f/2.0, (wide)'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 15W Quick Charge 4.0',"b'Dawn Orange, Twilight Black, Blue'",b'$\xe2\x80\x89319.00',b'$\xe2\x80\x89319.00',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'htc',b'HTC Wildfire E1 lite',b'https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e1-lite.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 5, 7, 8, 20, 38, 40'",,"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/75 Mbps'","b'2020, September 24'","b'Available. Released 2020, September 24'",b'147.9 x 71.4 x 8.9 mm (5.82 x 2.81 x 0.35 in)',b'160 g (5.64 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'TFT',"b'5.45 inches, 76.7 cm2 (~72.6% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'",b'Android 10 (Go edition)',b'Mediatek MT6761D Helio A20 (12 nm)',b'Quad-core 1.8 GHz Cortex-A53',b'PowerVR GE8320',b'microSDHC',b'16GB 2GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'5 MP, f/2.2, (wide)'",b'HDR',b'720p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'5.0, A2DP'","b'Yes, with A-GPS, GLONASS, GALILEO'",b'No',b'Unspecified',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 3000 mAh, non-removable'",,b'Black',b'About 80 EUR',,"b'Glass front, plastic back, plastic frame'",b'eMMC 5.1',"b'8 MP, f/2.0, (wide), AF 0.3 MP, f/2.8, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'htc',b'HTC Wildfire E2',b'https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e2.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',b'LTE (unspecified)',,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, August 06'","b'Available. Released 2020, August 06'",b'158.4 x 75.9 x 9 mm (6.24 x 2.99 x 0.35 in)',b'173.5 g (6.14 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.22 inches, 95.0 cm2 (~79.0% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~276 ppi density)'",b'Android 10',b'Mediatek MT6762D Helio P22 (12 nm)',b'Octa-core 1.8 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC (uses shared SIM slot)',b'64GB 4GB RAM',,"b'Dual-LED dual-tone flash, HDR, panorama'",b'1080p@30fps',"b'8 MP, f/2.2, (wide)'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",b'Charging 10W',b'Blue',b'About 100 EUR',,"b'Glass front, plastic back, plastic frame'",b'eMMC 5.1',"b'16 MP, f/2.2, (wide), PDAF 2 MP, f/2.2, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'htc',b'HTC Wildfire E1 plus',b'https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e1-plus.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 7, 20, 38, 40'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2019, December 18'","b'Available. Released 2019, December 18'",b'157.5 x 75 x 8.9 mm (6.20 x 2.95 x 0.35 in)',b'165 g (5.82 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.09 inches, 91.0 cm2 (~77.1% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT6763 Helio P23 (16 nm)',b'Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53)',b'Mali-G71 MP2',b'microSDXC (uses shared SIM slot)',b'32GB 3GB RAM',,b'LED flash',b'1080p@30fps',"b'16 MP, f/2.2, (wide), AF'",,b'720p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS, GLONASS, GALILEO'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Ion 3000 mAh, non-removable'",,"b'Black, Blue, Red'",b'About 120 EUR',,"b'Glass front, plastic back, plastic frame'",b'eMMC 5.1',,"b'5 MP, f/2.2, (wide)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'htc',b'HTC Wildfire E1',b'https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 7, 20, 38, 40'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2019, December 18'","b'Available. Released 2019, December 18'",b'157.5 x 75 x 8.9 mm (6.20 x 2.95 x 0.35 in)',b'165 g (5.82 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.09 inches, 91.0 cm2 (~77.1% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT6763 Helio P23 (16 nm)',b'Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53)',b'Mali-G71 MP2',b'microSDXC (uses shared SIM slot)',b'32GB 3GB RAM',,b'LED flash',b'1080p@30fps',"b'13 MP, f/2.2, (wide), AF'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS, GLONASS, GALILEO'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Ion 3000 mAh, non-removable'",,"b'Black, Gold, Blue/Violet'",b'About 90 EUR',,"b'Glass front, plastic back, plastic frame'",b'eMMC 5.1',,"b'5 MP, f/2.2, (wide)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'htc',b'HTC Wildfire E',b'https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e1-lite.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 7, 20, 38, 40'",,"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2019, August 15'","b'Available. Released 2019, August 15'",b'147.9 x 71.4 x 8.9 mm (5.82 x 2.81 x 0.35 in)',b'160 g (5.64 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'TFT',"b'5.45 inches, 76.7 cm2 (~72.6% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'",b'Android 9.0 (Pie)',b'Unisoc SC9863A (28nm)',b'Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55)',b'IMG8322',b'microSDXC',b'32GB 2GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'5 MP, f/2.8, (wide)'",b'HDR',b'720p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS, GLONASS, GALILEO'",b'No',b'Unspecified',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Ion 3000 mAh, non-removable'",,"b'Black, Gold'",b'About 120 EUR',,"b'Glass front, plastic back, plastic frame'",b'eMMC 5.1',"b'13 MP, f/2.0, (wide), AF 2 MP, f/2.8, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'htc',b'HTC U20 5G',b'https://fdn2.gsmarena.com/vv/bigpic/htc-u20-5g.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 2, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41'","b'1, 3, 28, 41, 78 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G 2.56/0.9 Gbps'","b'2020, June 16'","b'Available. Released 2020, October 01'",b'171.2 x 78.1 x 9.4 mm (6.74 x 3.07 x 0.37 in)',b'215.5 g (7.62 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.8 inches, 111.6 cm2 (~83.5% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~387 ppi density)'",b'Android 10',b'Qualcomm SM7250 Snapdragon 765G (7 nm)',b'Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver)',b'Adreno 620',b'microSDXC',"b'256GB 6GB RAM, 256GB 8GB RAM'","b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 118\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'Dual-LED flash, HDR, panorama'","b'4K@30fps, 1080p@30fps, gyro-EIS'","b'32 MP, f/2.0, (wide), 1/2.8"", 0.8\xc2\xb5m'",b'HDR',b'1080p@30fps',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes',b'No',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, SAR'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 18W Quick Charge 4.0',"b'Green, White'",b'$\xe2\x80\x89649.99',,,,,,b'$\xe2\x80\x89649.99',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'htc',b'HTC Desire 20 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/htc-desire20-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 2, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 400/150 Mbps'","b'2020, June 16'","b'Available. Released 2020, July 18'",b'162 x 77 x 9.4 mm (6.38 x 3.03 x 0.37 in)',b'201 g (7.09 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.5 inches, 103.7 cm2 (~83.1% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)'",b'Android 10',b'Qualcomm SM6125 Snapdragon 665 (11 nm)',b'Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 610',b'microSDXC',b'128GB 6GB RAM',"b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 118\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'Dual-LED flash, HDR, panorama'","b'4K@30fps, 1080p@30fps'","b'25 MP, f/2.0, (wide)'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 15W Quick Charge 3.0',"b'Smoky Black, Pretty Blue, Crystal Green'",b'\xe2\x82\xac\xe2\x80\x89331.84 / $\xe2\x80\x89284.69',b'\xe2\x82\xac\xe2\x80\x89331.84',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'htc',b'HTC Wildfire R70',b'https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-r70-.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 5, 7, 8, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2020, February 27'",b'Cancelled',b'163.2 x 77.8 x 8.9 mm (6.43 x 3.06 x 0.35 in)',b'186 g (6.56 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.53 inches, 104.7 cm2 (~82.4% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~263 ppi density)'",b'Android 9 (Pie)',b'Mediatek MT6763 Helio P23 (16 nm)',b'Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53)',b'Mali-G71 MP2',b'microSDXC (uses shared SIM slot)',b'32GB 2GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'8 MP, f/2.0, (wide)'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 4000 mAh, non-removable'",b'Charging 10W',"b'Aurora Blue, Night black'",,,"b'Glass front, plastic back, plastic frame'",b'eMMC 5.1',,,,"b'16 MP, f/1.7, (wide), 1.4\xc2\xb5m, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
