Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,_1,Quad,Features,Video,Dual,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,128GB 8GB RAM,256GB 8GB RAM,Single,Triple,Build,Penta,_1_1,Infrared port,256GB 12GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,512GB 8GB RAM,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,128GB 4GB RAM,Single_1,4GB 32MB RAM,128GB 6GB RAM,Dual_1,64GB 3GB RAM,32GB 2GB RAM,SAR EU,4GB,Five,64GB 4GB RAM,256GB 6GB RAM,32GB 3GB RAM,Protection,Audio quality,16GB 2GB RAM,Stand-by,32GB 4GB RAM,Talk time,Music play,SAR,Keyboard,Browser,Alert types,Languages,Stand-by_1,Talk time_1
b'innostream',b'Innostream INNO A20',b'https://fdn2.gsmarena.com/vv/bigpic/innostream-a20.gif',b'GSM',b'GSM 900 / 1800 / 1900',"b'Second external display TFT, 256K colors (96 x 96 pixels)'",,,,,"b'2005, July'",b'Discontinued',b'93.9 x 46.4 x 23 mm (3.70 x 1.83 x 0.91 in)',b'105 g (3.70 oz)',b'Mini-SIM',"b'TFT, 256K colors'",b'',b'176 x 220 pixels',,,,,b'MMC',b'64MB (128MB optional)',b'',,b'LED flash',b'Yes',,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion battery',,b'',,,,,b'2 MP',,,,b'Predictive text input MP3/AAC/MP4 player Voice memo Organizer Stopwatch',b'Yes',,,,,,,,b'Class 10',b'No',"b'1000 entries, Photo call'","b'20 received, dialed and missed calls'","b'SMS, MMS, EMail'",b'Yes+ downloadable',"b'Yes, MIDP 2.0'",,,,,,,,,,,,,,,,,,,,,,,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,
b'innostream',b'Innostream INNO P10',b'https://fdn2.gsmarena.com/vv/bigpic/innostream-p10.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'4-way navi key',,,,,"b'2005, June'",b'Discontinued',b'91.9 x 44 x 23.8 mm (3.62 x 1.73 x 0.94 in)',b'94 g (3.32 oz)',b'Mini-SIM',"b'TFT, 256K colors'",b'',b'128 x 160 pixels',,,,,b'RS-MMC',,b'No',,b'LED flash',b'Yes',,,,"b'Yes, with stereo speakers'",b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 830 mAh battery',,"b'Black, Silver, Red'",,,,,b'1.3 MP',,,,b'Predictive text input Dictionary (EnglishChinese) MP3/MP4 Player Video Recording (up to 90 min.) Flight Mode Voice memo Bio-rhythm Stopwatch Organizer',b'Yes',,,,,,,,b'Class 10',b'No',"b'1000 entries, Photo call'","b'20 received, dialed and missed calls'","b'SMS, MMS, EMail'",b'3 + downloadable',"b'Yes, MIDP 2.0'",,,,,,,,,,,,,,,,,b'Up to 200 h',,b'Up to 6 h',,,,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic ringtones, composer'",,,
b'innostream',b'Innostream INNO A10',b'https://fdn2.gsmarena.com/vv/bigpic/ina10.gif',b'GSM',b'GSM 900 / 1800',b'GSM 850 / 1900 - US version',,,,,"b'2004, Q4'",b'Discontinued',b'90 x 43 x 24 mm (3.54 x 1.69 x 0.94 in)',b'86 g (3.03 oz)',b'Mini-SIM',"b'TFT, 256K colors'",b'',b'128 x 160 pixels',,,,,b'No',b'128MB',b'Second external 65K colors CSTN display (96 x 64 pixels) 4-way navi key',,b'LED flash',b'Yes',,,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion battery',,"b'Silver, Blue'",,,,,b'1.3 MP',,,,b'MP3/3GP player  Predictive text input Voice memo Bio-rhythm Stopwatch',b'Yes',,,,,,,,b'Class 10',b'No',"b'800 entries, Photo call'","b'20 received, dialed and missed calls'","b'SMS, MMS, EMail'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,,,,,,,,,,,,,,,,b'Up to 160 h',,b'Up to 4 h',,,,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic, MP3 ringtones, composer'",,,
b'innostream',b'Innostream INNO 75',b'https://fdn2.gsmarena.com/vv/bigpic/ininno75.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'No',,,,,"b'2004, Q2. Released 2004'",b'Discontinued',b'82.5 x 44 x 23 mm (3.25 x 1.73 x 0.91 in)',b'80 g (2.82 oz)',b'Mini-SIM',"b'TFT, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",,,,,b'miniSD',,b'MP3/MP4 player Predictive text input Organizer Voice memo Remote control for IR',,,b'Yes',,,,b'No',b'No',b'No',b'No',b'No',,b'FM radio',b'',b'',b'Removable Li-Ion battery',,b'',,,,,b'VGA',,,,,b'Yes',,,,,,,,b'Class 10',b'No',b'Yes',"b'20 received, dialed and missed calls'","b'SMS, MMS'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,,,,,,,,,,,,,,,,,,,,,,b'WAP 2.0/xHTML',b'Vibration; Downloadable polyphonic ringtones',,,
b'innostream',b'Innostream INNO 50',b'https://fdn2.gsmarena.com/vv/bigpic/ininno50.gif',b'GSM',b'GSM 900 / 1800',"b'Second external display, STN, 65K colors (96 x 96 pixels) 180 deg swivel Downloadable logos'",,,,,"b'2004, Q1'",b'Discontinued',b'88.6 x 44.5 x 22.5 mm (3.49 x 1.75 x 0.89 in)',b'90 g (3.17 oz)',b'Mini-SIM',"b'TFT, 256K colors'",b'',"b'176 x 220 pixels, 11 lines'",,,,,b'No',b'12MB',b'No',,b'LED flash',b'Yes',,,,"b'Yes, with stereo speakers'",b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion battery',,b'Silver',,,,,b'1.3 MP',,,,b'Predictive text input Organizer',b'Yes',,,,,,,,b'Class 10',b'No',b'250',"b'20 received, dialed and missed calls'","b'SMS, MMS'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,,,,,,,,,,,,,,,,b'Up to 100 h',,b'Up to 3 h',,,,b'WAP 1.2.1',b'Vibration; Downloadable polyphonic ringtones',,,
b'innostream',b'Innostream INNO 36',b'https://fdn2.gsmarena.com/vv/bigpic/innostream-36.gif',b'GSM',b'GSM 900 / 1800',"b'Second external STN display, 65K colors (96 x 64 pixels) Screensavers and wallpapers Downloadable pictures'",,,,,"b'2005, Q2'",b'Cancelled',b'80 x 43 x 23.8 mm (3.15 x 1.69 x 0.94 in)',b'76 g (2.68 oz)',b'Mini-SIM',"b'TFT, 256K colors'",b'',b'128 x 143 pixels',,,,,b'No',,b'No',,,b'Yes',,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion battery',,"b'Silver, Red'",,,,,b'VGA',,,,b'Predictive text input Organizer Voice memo',b'Yes',,,,,,,,b'Yes',b'No',"b'Yes, Photo call'","b'20 received, dialed and missed calls'","b'SMS, MMS, Email'",b'Yes',"b'Yes, MIDP 2.0'",,,,,,,,,,,,,,,,,,,,,,,b'WAP 1.2.1',b'Vibration; Downloadable polyphonic ringtones',,,
b'innostream',b'Innostream INNO 79',b'https://fdn2.gsmarena.com/vv/bigpic/ininno79.gif',b'GSM',b'GSM 900 / 1800',"b'Second external display, OLED, 256 colors Screensavers and wallpapers Downloadable pictures'",,,,,"b'2004, Q1'",b'Discontinued',b'84 x 43 x 23 mm (3.31 x 1.69 x 0.91 in)',b'85 g (3.00 oz)',b'Mini-SIM',"b'TFT, 256K colors'",b'',"b'128 x 160 pixels, 11 lines'",,,,,b'No',,b'No',,,b'Yes',,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion battery',,b'',,,,,b'VGA',,,,b'Predictive text input Organizer Voice memo',,,,,,,,,b'Yes',b'No',"b'250 entries, Photo call'","b'20 received, dialed and missed calls'","b'SMS, MMS'",b'Yes',"b'Yes, MIDP 2.0'",,,,,,,,,,,,,,,,,,,,,,,b'WAP',b'Vibration; Downloadable polyphonic ringtones',,,
b'innostream',b'Innostream INNO 78',b'https://fdn2.gsmarena.com/vv/bigpic/ininno78.gif',b'GSM',b'GSM 900 / 1800',"b'Second external display, OLED, 65K colors Screensavers and wallpapers Downloadable pictures'",,,,,"b'2004, Q1'",b'Discontinued',b'84 x 43 x 23 mm (3.31 x 1.69 x 0.91 in)',b'85 g (3.00 oz)',b'Mini-SIM',"b'TFT, 256K colors'",b'',"b'128 x 160 pixels, 11 lines'",,,,,b'No',,b'No',,,b'Yes',,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion battery',,b'',,,,,b'VGA',,,,b'Predictive text input Organizer Voice memo',,,,,,,,,b'Yes',b'No',"b'250 entries, Photo call'","b'20 received, dialed and missed calls'","b'SMS, MMS'",b'Yes',"b'Yes, MIDP 2.0'",,,,,,,,,,,,,,,,,,,,,,,b'WAP',b'Vibration; Downloadable polyphonic ringtones',,,
b'innostream',b'Innostream INNO 30',b'https://fdn2.gsmarena.com/vv/bigpic/ininno30.gif',b'GSM',b'GSM 900 / 1800 / 1900',"b'Second external CSTN display (96 x 64 pixels), 65K colors Screensavers and wallpapers Downloadable images'",,,,,"b'2004, Q1'",b'Discontinued',b'82 x 42 x 21 mm (3.23 x 1.65 x 0.83 in)',b'76 g (2.68 oz)',b'Mini-SIM',"b'TFT, 256K colors'",b'',"b'128 x 160 pixels, 11 lines'",,,,,b'No',,b'No',,,b'Yes',,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 650 mAh battery',,b'',,,,,b'VGA',,,,b'Predictive text input (iTAP) Calculator Stopwatch Voice memo',,,,,,,,,b'Yes',b'No',b'800',"b'20 received, dialed and missed calls'","b'SMS, MMS, Email'",b'Yes',b'Yes',,,,,,,,,,,,,,,,,b'Up to 150 h',,b'Up to 3 h - 5 h',,,,b'WAP',"b'Vibration; Downloadable polyphonic, MP3 ringtones, composer'",,b'Up to 200 h',b'Up to 3 h - 6 h'
b'innostream',b'Innostream INNO 55',b'https://fdn2.gsmarena.com/vv/bigpic/ininno55.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'5-way navi key',,,,,"b'2004, Q2'",b'Discontinued',b'85 x 42 x 21.6 mm (3.35 x 1.65 x 0.85 in)',b'88 g (3.10 oz)',b'Mini-SIM',"b'TFT, 256K colors'",b'',"b'128 x 160 pixels, 11 lines'",,,,,b'No',,b'No',,,b'Yes',,,,"b'Yes, with stereo speakers'",b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 830 mAh battery',,b'',,,,,b'VGA',,,,"b'Predictive text input Organizer Stopwatch, Bio-rhythm Voice memo Remote control for IR'",b'Yes',,,,,,,,b'Class 10',b'No',b'800',"b'20 received, dialed and missed calls'","b'SMS, MMS. EMail'",b'Yes',b'No',,,,,,,,,,,,,,,,,b'Up to 200 h',,b'Up to 6 h',,,,b'WAP 2.0/xHTML',"b'Vibration; Downloadable polyphonic ringtones, composer'",,,
b'innostream',b'Innostream INNO 70',b'https://fdn2.gsmarena.com/vv/bigpic/ininno70.gif',b'GSM',b'GSM 900 / 1800',"b'Second external display, OLED, 256 colors Screensavers and wallpapers Downloadable pictures'",,,,,"b'2004, Q1'",b'Discontinued',b'90 x 52 x 22 mm (3.54 x 2.05 x 0.87 in)',b'88 g (3.10 oz)',b'Mini-SIM',"b'TFT, 256K colors'",b'',"b'128 x 160 pixels, 11 lines'",,,,,b'No',b'4MB',b'No',,,b'Yes',,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion battery',,b'',,,,,"b'VGA, 180 deg. rotating lens'",,,,b'Predictive text input Organizer Voice memo',,,,,,,,,b'Yes',b'No',"b'250 entries, Photo call'","b'20 received, dialed and missed calls'","b'SMS, MMS, Email'",b'Yes',b'No',,,,,,,,,,,,,,,,,b'Up to 105 h',,b'Up to 6 h',,,,b'WAP',b'Vibration; Downloadable polyphonic ringtones',,,
