Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,_1,Quad,Features,Video,Dual,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,128GB 8GB RAM,256GB 8GB RAM,Single,Triple,Build,Penta,_1_1,Infrared port,256GB 12GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,512GB 8GB RAM,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,128GB 4GB RAM,Single_1,4GB 32MB RAM,128GB 6GB RAM,Dual_1,64GB 3GB RAM,32GB 2GB RAM,SAR EU,4GB,Five,64GB 4GB RAM,256GB 6GB RAM,32GB 3GB RAM,Protection,Audio quality,16GB 2GB RAM,Stand-by,32GB 4GB RAM,Talk time,Music play,SAR,Keyboard,Browser,Alert types,Languages,Stand-by_1,Talk time_1
b'intex',b'Intex Aqua Craze',b'https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-craze.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',"b'3, 5, 40'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2016, January'","b'Available. Released 2016, January'",b'143.5 x 71.4 x 9 mm (5.65 x 2.81 x 0.35 in)',b'165 g (5.82 oz)',b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~67.3% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 5.1 (Lollipop)',b'Mediatek MT6735P (28 nm)',b'Quad-core 1.0 GHz Cortex-A53',b'Mali-T720MP2',b'microSDHC (dedicated slot)',b'8GB 1GB RAM',,,"b'LED flash, panorama, HDR'",b'Yes',,,b'',b'Yes',b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2500 mAh, removable'",,"b'Gray, White, Gold'",,,,,"b'8 MP, AF'",,,,,,,,,,,,,,,,,,,,,b'2 MP',,,,,,b'0.73 W/kg (head)',,,,,,,,,,,,,,,,,,,
b'intex',b'Intex Aqua GenX',b'https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-genx.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',"b'3, 40'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2015, August. Released 2015, August'",b'Discontinued',b'152.6 x 76.4 x 8.4 mm (6.01 x 3.01 x 0.33 in)',b'175 g (6.17 oz)',b'Dual SIM',b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~71.5% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'",b'Android 5.1 (Lollipop)',b'Mediatek MT6753 (28 nm)',b'Octa-core 1.3 GHz Cortex-A53',b'Mali-T720MP3',b'microSDHC (dedicated slot)',b'16GB 2GB RAM',,,"b'LED flash, panorama, HDR'",b'1080p@30fps',,,b'',b'Yes',b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2850 mAh, non-removable'",,b'White',,,,,"b'13 MP, AF'",,,,,,,,,,,,,,,,,,,,,b'5 MP',,,,,,b'0.72 W/kg (head)',,,,,,b'Asahi Dragontrail Glass',,,,,,,,,,,,,
b'intex',b'Intex Aqua Ace',b'https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-ace.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',"b'3, 5, 40'",,"b'HSPA, LTE'","b'2015, October. Released 2015, October'",b'Discontinued',b'145 x 71.5 x 6.7 mm (5.71 x 2.81 x 0.26 in)',b'121.5 g (4.30 oz)',b'Dual SIM',b'Super AMOLED',"b'5.0 inches, 68.9 cm2 (~66.5% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 5.1 (Lollipop)',b'Mediatek MT6735 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-T720MP2',b'microSDXC (dedicated slot)',b'16GB 3GB RAM',,,"b'LED flash, panorama, HDR'",b'1080p@30fps',,,b'',b'Yes',b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Po 2300 mAh, non-removable'",,"b'Black, White'",,,,,"b'13 MP, AF'",,"b'Glass front (Gorilla Glass 3), glass back (Gorilla Glass 3), aluminum frame'",,,,,,,,,,,,,,,,,,,b'5 MP',,,,,,,,,,,,b'Corning Gorilla Glass 3',,,b'Up to 250 h',,b'Up to 10 h',,,,,,,,
b'intex',b'Intex Aqua Trend',b'https://fdn2.gsmarena.com/vv/bigpic/intel-aqua-trend.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',,b'HSDPA 2100',"b'3, 40'",,"b'HSPA, LTE'","b'2015, September. Released 2015, September'",b'Discontinued',b'144.5 x 72.5 x 8.9 mm (5.69 x 2.85 x 0.35 in)',b'158.5 g (5.61 oz)',b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 5.1 (Lollipop)',b'Mediatek MT6735 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-T720MP2',b'microSDHC',b'16GB 2GB RAM',,,"b'LED flash, panorama'",b'1080p@30fps',,,b'',b'Yes',b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 3000 mAh, removable'",,"b'Champagne, silver, gray, black'",,,,,"b'13 MP, AF'",,,,,,,,,,,,,,,,,,,,,b'5 MP',,,,,,,,,,,,,,,b'Up to 250 h',,b'Up to 7 h',,b'1.44 W/kg (head)',,,,,,
b'intex',b'Intex IRist Smartwatch',b'https://fdn2.gsmarena.com/vv/bigpic/intex-watch.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'No',b'HSDPA 1900 / 2100',,,b'HSPA',"b'2015, July. Released 2015, August'",b'Discontinued',b'44 x 44 x 14 mm (1.73 x 1.73 x 0.55 in)',b'83 g (3.03 oz)',b'Micro-SIM',b'OLED',"b'1.56 inches, 7.9 cm2 (~40.5% screen-to-body ratio)'","b'240 x 240 pixels, 1:1 ratio (~218 ppi density)'",b'Android OS compatible',b'Mediatek MT6572 (28 nm)',b'Dual-core 1.2 GHz Cortex-A7',b'Mali-400',b'microSDHC (dedicated slot)',b'4GB 512MB RAM',b'Video player Photo viewer',,,b'Yes',,,,b'Yes',b'No',b'Wi-Fi 802.11 b/g/n',b'2.0',b'Yes',b'No',b'No',b'microUSB 2.0',"b'Accelerometer, gyro, compass'","b'Li-Ion 600 mAh, non-removable'",,"b'Orange, pink, black'",,b'About 160 EUR',,,b'5 MP',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 200 h (mixed usage)',,,,b'0.98 W/kg (head)',,,,,,
b'intex',b'Intex Aqua 4G+',b'https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-4g.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',"b'1, 3, 40, 41'",,"b'HSPA, LTE'","b'2015, June. Released 2015, June'",b'Discontinued',b'140 x 71 x 9.5 mm (5.51 x 2.80 x 0.37 in)',b'136.5 g (4.83 oz)',b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~69.3% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 5.0 (Lollipop)',b'Mediatek MT6735 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-T720MP2',b'microSDHC',b'16GB 2GB RAM',,,"b'LED flash, panorama'",b'Yes',,,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2300 mAh, non-removable'",,"b'White, Black'",,,,,"b'13 MP, AF'",,,,,,,,,,,,,,,,,,,,,b'5 MP',,,,,,b'0.26 W/kg (head)',,,,,,,,,b'Up to 210 h',,b'Up to 8 h',,,,,,,,
b'intex',b'Intex Aqua Xtreme II',b'https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-xtreme-ii.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 2100',,,b'HSPA',"b'2015, June. Released 2015, June'",b'Discontinued',b'140 x 71.9 x 7.9 mm (5.51 x 2.83 x 0.31 in)',b'132 g (4.66 oz)',b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~68.5% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 4.4.2 (KitKat)',b'Mediatek MT6592M (28 nm)',b'Octa-core 1.4 GHz Cortex-A7',b'Mali-450MP4',b'microSDHC',b'16GB 2GB RAM',,,"b'LED flash, panorama, HDR'",b'1080p@30fps',,,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'","b'Li-Ion 2000 mAh, non-removable'",,"b'White, Black, Champagne, Silver'",,,,,"b'13 MP, AF'",,,,,,,,,,,,,,,,,,,,,b'5 MP',,,,,,b'0.26 W/kg (head)',,,,,,,,,b'Up to 300 h',,b'Up to 8 h',,,,,,,,
b'intex',b'Intex Aqua Y2 Remote',b'https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-y2-remote.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',,b'HSDPA 2100',,,b'HSPA',"b'2015, February. Released 2015, February'",b'Discontinued',b'125 x 64 x 10 mm (4.92 x 2.52 x 0.39 in)',b'110 g (3.88 oz)',b'Dual SIM',b'IPS LCD',"b'4.0 inches, 45.5 cm2 (~56.9% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",b'Android 4.4.2 (KitKat)',b'Mediatek MT6572M (28 nm)',b'Dual-core 1.2 GHz Cortex-A7',b'Mali-400',b'microSDHC',b'4GB 512MB RAM',,,"b'LED flash, panorama'",b'Yes',,,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'2.0',"b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 1500 mAh, removable'",,"b'Blue, White, Gray'",,,,,b'5 MP',,,,,,,,,,,,,,,,,,,,,b'2 MP',,,,,,,,,,,,,,,b'Up to 180 h',,b'Up to 8 h',,b'0.78 W/kg (head)',,,,,,
b'intex',b'Intex Aqua Xtreme',b'https://fdn2.gsmarena.com/vv/bigpic/intex-xtreme.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',,b'HSDPA 2100',,,b'HSPA',"b'2014, December. Released 2014, December'",b'Discontinued',b'144 x 69.7 x 7 mm (5.67 x 2.74 x 0.28 in)',b'119.5 g (4.23 oz)',b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~68.7% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 5.0 (Lollipop)',b'Mediatek MT6592 (28 nm)',b'Octa-core 1.7 GHz Cortex-A7',b'Mali-450MP4',b'microSDHC',b'32GB 2GB RAM',,,"b'LED flash, panorama, HDR'",b'Yes',,,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2000 mAh, non-removable'",,"b'Black, Gray, Red'",,,,,"b'13 MP, AF'",,,,,,,,,,,,,,,,,,,,,b'5 MP',,,,,,,,,,,,b'Asahi Dragontrail Glass',,,b'Up to 180 h',,b'Up to 7 h',,b'0.62 W/kg (head)',,,,,,
b'intex',b'Intex Aqua Star L',b'https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-star.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',,b'HSDPA 2100',,,b'HSPA',"b'2015, January. Released 2015, January'",b'Discontinued',b'141 x 72.9 x 8 mm (5.55 x 2.87 x 0.31 in)',b'130 g (4.59 oz)',b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~67.0% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",b'Android 5.0 (Lollipop)',b'Mediatek MT6582M (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'microSDHC',b'8GB 1GB RAM',,,"b'LED flash, panorama'",b'Yes',,,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'2.0',"b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2000 mAh, removable'",,"b'White, black'",,,,,"b'8 MP, AF'",,,,,,,,,,,,,,,,,,,,,b'2 MP',,,,,,,,,,,,,,,b'Up to 220 h',,b'Up to 5 h',,b'0.72 W/kg (head)',,,,,,
