Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,Protection,OS,CPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Colors,Price,Stand-by,Talk time,Chipset,GPU,SAR EU,GPRS,EDGE,,_1,Phonebook,Call records,Messaging,Games,Java,SAR,_1_1,4G bands,Charging,Models,Keyboard,Browser,Alert types,Clock,Alarm
b'kyocera',b'Kyocera DuraForce Pro 2',b'https://fdn2.gsmarena.com/vv/bigpic/kyocera-duraforce-pro2.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps'","b'2018, November'","b'Available. Released 2018, November'",b'150.2 x 73.4 x 13.5 mm (5.91 x 2.89 x 0.53 in)',b'243 g (8.25 oz)',,b'Nano-SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~62.5% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~441 ppi density)'",b'Sapphire crystal glass',b'Android 8.0 (Oreo)',b'Octa-core 2.2 GHz Cortex-A53',b'microSDXC (dedicated slot)',b'64GB 4GB RAM',"b'13 MP, AF 8 MP (ultra wide; dedicated video camera)'","b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30fps'",b'5 MP',b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac/i/r/k, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'Yes',b'No',b'USB Type-C 3.1',"b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer'","b'Li-Ion 3240 mAh, non-removable'",b'Black',b'About 444 USD',b'Up to 312 h (3G)',b'Up to 21 h (3G)',b'Qualcomm SDM630 Snapdragon 630 (14 nm)',b'Adreno 508',,,,b'IP68 dust/water resistant (up to 2m for 30 mins) MIL-STD-810G compliant Push-to-talk button',,,,,,,,,"b'1, 2, 3, 4, 5, 7, 13, 66'",b'Qi wireless charging Charging 10W',,,,,,
b'kyocera',b'Kyocera DuraForce Pro',b'https://fdn2.gsmarena.com/vv/bigpic/kyocera-duraforce-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2016, August'","b'Available. Released 2016, October'",b'148.4 x 73.4 x 12.9 mm (5.84 x 2.89 x 0.51 in)',b'230 g (8.11 oz)',,b'Nano-SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~63.3% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~441 ppi density)'",b'Yes',b'Android 6.0 (Marshmallow)',b'Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53)',b'microSDXC (dedicated slot)',b'32GB 3GB RAM',"b'13 MP, AF 2 MP'","b'LED flash, HDR, panorama'",b'1080p@30fps',b'5 MP',b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac/i/r/k, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'Yes',b'No',b'microUSB 2.0',"b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer'","b'Li-Ion 3240 mAh, non-removable'",b'Black',,b'Up to 480 h (3G)',b'Up to 19 h (3G)',b'Qualcomm MSM8952 Snapdragon 617 (28 nm)',b'Adreno 405',,,,b'IP68 dust/water resistant (up to 1.5m for 30 mins) MIL-STD-810G compliant Push-to-talk button',b'eMMC 5.1',,,,,,,,"b'2, 4, 5, 12, 25, 26, 41'",b'Fast charging 18W Quick Charge 2.0',b'E6810',,,,,
b'kyocera',b'Kyocera DuraForce XD',b'https://fdn2.gsmarena.com/vv/bigpic/kyocera-duraforce-xd.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',"b'HSDPA 850 / 900 / 1900 / 2100 - AT&T, T-Mobile'","b'HSPA, LTE'","b'2015, October. Released 2015, November'",b'Discontinued',b'166.8 x 86.4 x 13.9 mm (6.57 x 3.40 x 0.55 in)',b'307 g (10.83 oz)',,b'Nano-SIM',b'IPS LCD',"b'5.7 inches, 89.6 cm2 (~62.1% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~258 ppi density)'",b'Yes',b'Android 5.1 (Lollipop)',b'Quad-core 1.6 GHz Cortex-A7',b'microSDXC (dedicated slot)',b'16GB 2GB RAM',"b'8 MP, AF'","b'LED flash, HDR, panorama'",b'1080p@30fps',b'2 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac//r/k, dual-band, Wi-Fi Direct, hotspot'","b'4.1, A2DP, EDR, LE'","b'Yes, with A-GPS'",b'Yes',b'No',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass, barometer'","b'Li-Ion 3700 mAh, removable'",b'Black',,b'Up to 816 h (3G)',b'Up to 23 h (3G)',b'Qualcomm MSM8928 Snapdragon 400 (28 nm)',b'Adreno 305',,,,"b'1, 2, 3, 4, 5, 7, 12, 20, 29 - T-Mobile'",b'IP68 dust/water resistant (up to 1.5m for 30 mins) MIL-STD-810G compliant',,,,,,,b'eMMC 4.5',"b'1, 2, 3, 4, 5, 7, 17, 20, 29 - AT&T'",b'Charging 10W',,,,,,
b'kyocera',b'Kyocera DuraForce',b'https://fdn2.gsmarena.com/vv/bigpic/Kyocera-DuraForce2.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2014, November. Released 2014, November'",b'Discontinued',b'136.9 x 70.6 x 14 mm (5.39 x 2.78 x 0.55 in)',b'200 g (7.05 oz)',,b'Nano-SIM',b'IPS LCD',"b'4.5 inches, 55.8 cm2 (~57.8% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~326 ppi density)'",b'Yes',b'Android 4.4.2 (KitKat)',b'Quad-core 1.4 GHz Cortex-A7',b'microSDHC (dedicated slot)',b'16GB 2GB RAM',"b'8 MP, AF'","b'LED flash, HDR, panorama'",b'1080p@30fps',b'2 MP',b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'4.0, A2DP, EDR, LE'","b'Yes, with A-GPS'",b'Yes',b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass, barometer'","b'Li-Ion 3100 mAh, non-removable'",b'Black',b'About 320 EUR',b'Up to 504 h',b'Up to 17 h',b'Qualcomm MSM8928 Snapdragon 400 (28 nm)',b'Adreno 305',,,,b'IP68 dust/water resistant (up to 1.5m for 30 mins) MIL-STD-810G compliant',b'eMMC 4.5',,,,,,,b'Smart Sonic Receiver',"b'1, 2, 4, 5, 7, 17'",,,,,,,
b'kyocera',b'Kyocera Hydro Life',b'https://fdn2.gsmarena.com/vv/bigpic/kyocera-hydro-life.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1700 / 1900 / 2100',b'HSPA 21.1/5.76 Mbps',"b'2014, August. Released 2014, August'",b'Discontinued',b'131.8 x 65.4 x 10.9 mm (5.19 x 2.57 x 0.43 in)',b'136 g (4.80 oz)',,b'Micro-SIM',b'IPS LCD',"b'4.5 inches, 55.8 cm2 (~64.8% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~245 ppi density)'",b'Yes',b'Android 4.3 (Jelly Bean)',b'Quad-core 1.2 GHz Cortex-A7',b'microSDHC (dedicated slot)',b'8GB 1.5GB RAM',b'5 MP',"b'LED flash, HDR, panorama'",b'720p@30fps',b'2 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, EDR, LE'","b'Yes, with A-GPS'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 2000 mAh, removable'",b'Black',,b'Up to 418 h',b'Up to 13 h 30 min',b'Qualcomm MSM8212 Snapdragon 200 (28 nm)',b'Adreno 302',,,,"b'IP57 dust/water resistant (up to 1m. and 30 mins) MIL-STD-810G compliant salt, dust, humidity, rain, vibration, solar radiation, transport and thermal shock resistant'",b'eMMC 4.5',,,,,,,b'Smart Sonic Receiver',,,,,,,,
b'kyocera',b'Kyocera Brigadier',b'https://fdn2.gsmarena.com/vv/bigpic/Kyocera-Brigadier.jpg',b'GSM / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900',b'CDMA2000 1xEV-DO',"b'HSPA, LTE, EV-DO Rev.A 3.1 Mbps'","b'2014, July. Released 2014, July'",b'Discontinued',b'136.4 x 68.3 x 13.2 mm (5.37 x 2.69 x 0.52 in)',b'187.1 g (6.60 oz)',,b'Nano-SIM',b'IPS LCD',"b'4.5 inches, 55.8 cm2 (~59.9% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~326 ppi density)'",b'Sapphire crystal glass',b'Android 4.4.2 (KitKat)',b'Quad-core 1.4 GHz Cortex-A7',b'microSDHC (dedicated slot)',b'16GB 2GB RAM',"b'8 MP, AF'","b'LED flash, panorama'",b'1080p@30fps',b'2 MP',b'',"b'Yes, dual speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, DLNA, hotspot'","b'4.0, A2DP, EDR, LE'","b'Yes, with A-GPS'",b'Yes',b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass, barometer'","b'Li-Ion 3100 mAh, non-removable'",b'Black',b'About 300 EUR',b'Up to 370 h',b'Up to 26 h',b'Qualcomm Snapdragon 400 (28 nm)',b'Adreno 305',,,,b'HSDPA 850 / 900 / 1900 / 2100',b'IP68 dust/water resistant (up to 1.5m for 30 mins) MIL-STD-810G compliant Flashlight',,,,,,b'0.79 W/kg (head) \xc2\xa0 \xc2\xa0 0.72 W/kg (body)',b'Smart Sonic Receiver',"b'4, 13'",b'Qi wireless charging',b'E6782',,,,,
b'kyocera',b'Kyocera Hydro Elite',b'https://fdn2.gsmarena.com/vv/bigpic/kyocera-hydro-elite.jpg',b'GSM / CDMA / EVDO / LTE',b'CDMA 800 / 1900',b'CDMA2000 1xEV-DO',"b'HSPA, LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps'","b'2013, Q3. Released 2013, Q3'",b'Discontinued',b'122.4 x 60.4 x 10.8 mm (4.82 x 2.38 x 0.43 in)',b'128 g (4.52 oz)',,b'Yes',b'IPS LCD',"b'4.3 inches, 51.0 cm2 (~68.9% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~342 ppi density)'",b'Yes',b'Android 4.1.2 (Jelly Bean)',b'Dual-core 1.5 GHz Krait',b'microSDHC (dedicated slot)',b'16GB 1.5GB RAM',"b'8 MP, AF'","b'LED flash, HDR, panorama'",b'1080p@30fps',b'1.3 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA'","b'4.0, A2DP, EDR, LE'","b'Yes, with A-GPS'",b'Yes',b'No',b'microUSB 2.0 (MHL TV-out)',"b'Accelerometer, proximity, compass'","b'Li-Ion 2100 mAh, removable'",b'Black',,b'Up to 236 h',b'Up to 13 h',b'Qualcomm MSM8960 Snapdragon S4 Plus',b'Adreno 225',,,,b'GSM 850 / 900 / 1800 / 1900',b'HSDPA',,,,,,,"b'IP57 dust/water resistant (up to 1m. and 30 mins) MIL-STD-810G compliant salt, dust, humidity, rain, vibration, solar radiation, transport and thermal shock resistant.'",b'LTE (unspecified)',,,,,,,
b'kyocera',b'Kyocera Hydro Xtrm',b'https://fdn2.gsmarena.com/vv/bigpic/kyocera-hydro-xtrm.jpg',b'CDMA / EVDO / LTE',b'CDMA 800 / 1900',b'CDMA2000 1xEV-DO',"b'LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps'","b'2013, May. Released 2013, June'",b'Discontinued',b'124 x 64 x 10.7 mm (4.88 x 2.52 x 0.42 in)',b'139 g (4.90 oz)',,"b'Yes, preinstalled'",b'IPS LCD',"b'4.0 inches, 45.5 cm2 (~57.4% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",b'Yes',b'Android 4.1.2 (Jelly Bean)',b'Dual-core 1.2 GHz Krait',b'microSDHC (dedicated slot)',b'4GB 1GB RAM',"b'5 MP, AF'",b'LED flash',b'Yes',b'1.3 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, EDR, LE'","b'Yes, with A-GPS'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 2000 mAh, removable'",b'Black',,b'Up to 408 h',b'Up to 12 h 30 min',b'Qualcomm MSM8960 Snapdragon S4 Plus',b'Adreno 225',,,,"b'IP57 dust/water resistant (up to 1m. and 30 mins) MIL-STD-810G compliant salt, dust, humidity, rain, vibration, solar radiation, transport and thermal shock resistant.'",,,,,,,,,"b'2, 4, 5, 12'",,,,,,,
b'kyocera',b'Kyocera Torque E6710',b'https://fdn2.gsmarena.com/vv/bigpic/kyocera-torque-e6710.jpg',b'CDMA / EVDO / LTE',b'CDMA 800 / 1900',b'CDMA2000 1xEV-DO',"b'LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps'","b'2013, January. Released 2013, March'",b'Discontinued',b'128.5 x 68.4 x 12.9 mm (5.06 x 2.69 x 0.51 in)',b'168.5 g (5.93 oz)',,b'Non-removable',b'IPS LCD',"b'4.0 inches, 45.5 cm2 (~51.8% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",b'- Corning Gorilla Glass 2',b'Android 4.0.4 (Ice Cream Sandwich)',b'Dual-core 1.2 GHz Krait',b'microSDHC (dedicated slot)',"b'4GB (1GB user available), 1GB RAM'","b'5 MP, AF'","b'LED flash, HDR'",b'1080p@30fps',b'1.3 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, EDR, LE'","b'Yes, with A-GPS'",b'Yes',b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 2500 mAh, removable'",b'Black',b'About 270 EUR',,b'Up to 19 h',b'Qualcomm MSM8960 Snapdragon S4 Plus',b'Adreno 225',,,,"b'IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810G compliant IPX5, IPX7 certified Flashlight'",,,,,,,,,b'25',,,,,,,
b'kyocera',b'Kyocera Hydro C5170',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-hydro-c5170.jpg',b'CDMA / EVDO',b'CDMA 800 / 1900',b'CDMA2000 1xEV-DO',b'EV-DO Rev.A 3.1 Mbps',"b'2012, May. Released 2012, Q3'",b'Discontinued',b'115 x 62 x 12.8 mm (4.53 x 2.44 x 0.50 in)',b'120 g (4.23 oz)',,b'Mini-SIM',b'IPS LCD',"b'3.5 inches, 36.5 cm2 (~51.2% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'",,b'Android 4.0 (Ice Cream Sandwich)',b'1.0 GHz',"b'microSDHC (dedicated slot), 2 GB included'",b'2GB 512MB RAM',"b'3.15 MP, AF'",,b'Yes',,,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",,b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Removable Li-Ion 1500 mAh battery',b'Black',,,b'Up to 8 h 20 min',b'Qualcomm MSM8655 Snapdragon S2',b'Adreno 205',,,,"b'IP67 dust/water resistant (up to 1m for 30 mins) IPX5, IPX7 certified'",b'No',,,,,,,b'MP4/WMV/H.264 player MP3/WAV/eAAC+ player Organizer Photo/video editor Document viewer Voice memo/dial/commands Predictive text input (Swype)',,,,,,,,
