Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,,Triple,Features,Video,Single,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Colors,Models,Price,Dual,5G bands,Quad,Charging,_1,_1_1,64GB 4GB RAM,64GB 3GB RAM,Build,Protection,Features_1,SAR,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,Phonebook,Call records,Messaging,Games,Java,Single_1,128GB 4GB RAM,32GB 3GB RAM,Audio quality,Dual or Triple,64GB 6GB RAM,GPRS,EDGE,Stand-by,SAR EU,Talk time,Infrared port,32GB 4GB RAM,Stand-by_1,Talk time_1,Keyboard,Browser,Music play,Alert types,Languages,Clock,Alarm
b'lg',b'LG W31+',b'https://fdn2.gsmarena.com/vv/bigpic/lg-w31-plus.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 8, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, November 06'","b'Available. Released 2020, December 23'",b'166.2 x 76.3 x 8.4 mm (6.54 x 3.00 x 0.33 in)',b'173.6 g (6.14 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.52 inches, 102.6 cm2 (~80.9% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~269 ppi density)'",b'Android 10',b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC (dedicated slot)',b'128GB 4GB RAM',b'eMMC 5.1',"b'13 MP, (wide), 1/3.0"", 1.12\xc2\xb5m, PDAF 5 MP, (ultrawide) 2 MP, (depth)'","b'LED flash, panorama, HDR'",b'1080p@30fps',"b'8 MP, (wide)'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 4000 mAh, non-removable'",b'Midnight Blue',"b'LMK315IM, LM-K315'",b'About 140 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lg',b'LG W31',b'https://fdn2.gsmarena.com/vv/bigpic/lg-w31.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 8, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, November 06'","b'Available. Released 2020, December 23'",b'166.2 x 76.3 x 8.4 mm (6.54 x 3.00 x 0.33 in)',b'173.6 g (6.14 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.52 inches, 102.6 cm2 (~80.9% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~269 ppi density)'",b'Android 10',b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC (dedicated slot)',"b'64GB 4GB RAM, 128GB 4GB RAM'",b'eMMC 5.1',"b'13 MP, (wide), 1/3.0"", 1.12\xc2\xb5m, PDAF 5 MP, (ultrawide) 2 MP, (depth)'","b'LED flash, panorama, HDR'",b'1080p@30fps',"b'8 MP, (wide)'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 4000 mAh, non-removable'",b'Midnight Blue',"b'LMK315IM, LM-K315'",b'About 130 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lg',b'LG W11',b'https://fdn2.gsmarena.com/vv/bigpic/lg-w11.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 8, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, November 06'","b'Coming soon. Exp. release 2021, January'",b'166.2 x 76.3 x 8.4 mm (6.54 x 3.00 x 0.33 in)',b'-',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.52 inches, 102.6 cm2 (~80.9% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~269 ppi density)'",b'Android 10',b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC (dedicated slot)',b'32GB 3GB RAM',b'eMMC 5.1',,"b'LED flash, panorama, HDR'",b'1080p@30fps',"b'8 MP, (wide)'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'",b'Accelerometer',"b'Li-Po 4000 mAh, non-removable'",b'Midnight Blue',,b'About 110 EUR',"b'13 MP, (wide), PDAF 2 MP, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lg',b'LG K92 5G',b'https://fdn2.gsmarena.com/vv/bigpic/lg-k92-5g.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, September 29'","b'Available. Released 2020, November 06'",b'166.4 x 77.2 x 8.4 mm (6.55 x 3.04 x 0.33 in)',b'202.4 g (7.13 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.7 inches, 108.4 cm2 (~84.4% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~393 ppi density)'",b'Android 10',b'Qualcomm SM6350 Snapdragon 690 5G (8 nm)',b'Octa-core (2x2.0 GHz Kryo 560 Gold & 6x1.7 GHz Kryo 560 Silver)',b'Adreno 619L',b'microSDXC',b'128GB 6GB RAM',,,"b'Quad-LED flash, panorama, HDR'","b'4K@30fps, 1080p@30fps'","b'16 MP, f/2.0, 27mm (wide), 1/3.06, 1.0\xc2\xb5m'",b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO'",b'Yes',b'No',b'USB Type-C 3.1',"b'Fingerprint (side-mounted), accelerometer, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",b'Titan Gray',"b'LMK920, LM-K920'",b'About 340 EUR',,b'SA/NSA/Sub6',"b'64 MP, f/1.8, 25mm (wide), 1/1.97"", 0.7\xc2\xb5m, PDAF 5 MP, f/2.2, 115\xcb\x9a (ultrawide), 1/5.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",b'Quick Charge 4.0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lg',b'LG K62',b'https://fdn2.gsmarena.com/vv/bigpic/lg-k62.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 28, 38, 66 - North America'","b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2020, September 23'","b'Available. Released 2020, November 27'",b'165 x 76.7 x 8.4 mm (6.50 x 3.02 x 0.33 in)',b'186 g (6.56 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.6 inches, 105.2 cm2 (~83.1% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~266 ppi density)'",b'Android 10',b'Mediatek MT6765 Helio P35 (12nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',b'microSDXC',"b'64GB 4GB RAM, 128GB 4GB RAM'","b'1, 3, 5, 7, 28, 40 - Brazil'",,"b'Dual-LED flash, panorama, HDR'",b'1080p@30fps',b'28 MP',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'Yes',b'No',b'USB Type-C 3.1',"b'Fingerprint (side-mounted), accelerometer, proximity, compass'","b'Li-Po 4000 mAh, non-removable'","b'White, Sky Blue, Red'","b'LMK525H, LMK525, LM-K525H, LM-K525'",b'About 290 EUR',,,"b'48 MP, f/1.8, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 5 MP, f/2.2, 115\xcb\x9a (ultrawide), 1/5.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",,b'MIL-STD-810G compliant* *does not guarantee ruggedness or use in extreme conditions',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lg',b'LG Q52',b'https://fdn2.gsmarena.com/vv/bigpic/lg-q52.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, September 26'","b'Available. Released 2020, October 26'",b'165 x 76.7 x 8.4 mm (6.50 x 3.02 x 0.33 in)',b'186 g (6.56 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.6 inches, 105.2 cm2 (~83.1% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~266 ppi density)'",b'Android 10',b'Mediatek MT6765 Helio P35 (12nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',b'microSDXC',b'64GB 4GB RAM',b'MIL-STD-810G compliant* *does not guarantee ruggedness or use in extreme conditions',,"b'Dual-LED flash, panorama, HDR'",b'1080p@30fps',"b'13 MP, (wide), 1/3.1"", 1.12\xc2\xb5m'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'Yes',b'No',b'USB Type-C 3.1',"b'Fingerprint (side-mounted), accelerometer, proximity, compass'","b'Li-Po 4000 mAh, non-removable'","b'Silky White, Silky Red'",,b'About 240 EUR',,,"b'48 MP, f/1.8, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 5 MP, f/2.2, 115\xcb\x9a (ultrawide), 1/5.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",,b'eMMC 5.1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lg',b'LG K52',b'https://fdn2.gsmarena.com/vv/bigpic/lg-k52.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - International',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 28, 38, 66 - International'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, September 23'","b'Available. Released 2020, November 23'",b'165 x 76.7 x 8.4 mm (6.50 x 3.02 x 0.33 in)',b'188 g (6.63 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.6 inches, 105.2 cm2 (~83.1% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~266 ppi density)'",b'Android 10',b'Mediatek MT6765 Helio P35 (12nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',b'microSDXC',b'64GB 4GB RAM',b'HSDPA 850 / 900 / 1900 / 2100 - Australia',,"b'Dual-LED flash, panorama, HDR'",b'1080p@30fps',"b'13 MP, f/2.0, 27mm (wide), 1/3.1"", 1.12\xc2\xb5m'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot or Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'Yes',b'No',"b'USB Type-C 3.1, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, proximity, compass'","b'Li-Po 4000 mAh, non-removable'","b'White, Blue, Red'","b'LMK520, LM-K520, LMK520E, LM-K520E, LMK520Y, LM-K520Y, LMK520H, LM-K520H'",b'\xe2\x82\xac\xe2\x80\x89169.00 / \xc2\xa3\xe2\x80\x89229.62',,,"b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 5 MP, f/2.2, 115\xcb\x9a (ultrawide), 1/5.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",,"b'1, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41 - Australia'",b'eMMC 5.1',b'\xe2\x82\xac\xe2\x80\x89169.00',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lg',b'LG K42',b'https://fdn2.gsmarena.com/vv/bigpic/lg-k42.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 7, 8, 20, 28, 38 - Europe'","b'HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps'","b'2020, September 21'","b'Available. Released 2020, September 21'",b'165 x 76.7 x 8.4 mm (6.50 x 3.02 x 0.33 in)',b'182 g (6.42 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.6 inches, 105.2 cm2 (~83.1% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~266 ppi density)'",b'Android 10',b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC',b'64GB 3GB RAM',"b'1, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41 - Australia'",,"b'LED flash, panorama, HDR'",b'1080p@30fps',"b'8 MP, (wide)'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'Yes (market/region dependent)',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, proximity, compass'","b'Li-Po 4000 mAh, non-removable'","b'Gray, Green'","b'LMK420, LM-K420, LMK420H, LM-K420H, LMK420E, LM-K420E, LMK420Y, LM-K420Y'",b'$\xe2\x80\x89199.72 / \xe2\x82\xac\xe2\x80\x89129.00 / \xc2\xa3\xe2\x80\x89203.97',,,"b'13 MP, 27mm (wide), 1/3.1"", 1.12\xc2\xb5m, PDAF 5 MP, f/2.2, 115\xcb\x9a (ultrawide), 1/5.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",b'Charging 10W',b'MIL-STD-810G compliant* *does not guarantee ruggedness or use in extreme conditions',b'eMMC 5.1',,b'$\xe2\x80\x89199.72',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lg',b'LG K71',b'https://fdn2.gsmarena.com/vv/bigpic/lg-stylo6.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1900 / 2100',b'LTE (unspecified)',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2020, September 21'","b'Available. Released 2020, September 21'",b'171.4 x 77.7 x 8.7 mm (6.75 x 3.06 x 0.34 in)',b'220 g (7.76 oz)',b'Nano-SIM',b'IPS LCD',"b'6.8 inches, 109.8 cm2 (~82.5% screen-to-body ratio)'",b'1080 x 2460 pixels (~395 ppi density)',b'Android 10',b'Mediatek MT6765 Helio P35 (12nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',b'microSDXC (dedicated slot)',b'128GB 4GB RAM',b'Stylus',"b'48 MP, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 5 MP, 120\xcb\x9a, (ultrawide) 5 MP, (depth)'","b'LED flash, panorama, HDR'",b'1080p@30fps',"b'32 MP, (wide), 1/2.8"", 0.8\xc2\xb5m'",b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'No',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 4000 mAh, non-removable'",b'White',"b'LMQ730HA, LM-Q730HA'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lg',b'LG Wing 5G',b'https://fdn2.gsmarena.com/vv/bigpic/lg-wing.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'2, 3, 4, 5, 7, 12, 13, 20, 28, 46, 48, 66 - USA'","b'HSPA 42.2/5.76 Mbps, LTE-A (CA), 5G'","b'2020, September 14'","b'Available. Released 2020, October 15'",b'169.5 x 74.5 x 10.9 mm (6.67 x 2.93 x 0.43 in)',b'260 g (9.17 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'Rotating P-OLED',"b'6.8 inches, 109.8 cm2 (~87.0% screen-to-body ratio)'",b'1080 x 2460 pixels (~395 ppi density)',b'Android 10',b'Qualcomm SM7250 Snapdragon 765G (7 nm)',b'Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver)',b'Adreno 620',b'microSDXC (uses shared SIM slot)',"b'128GB 8GB RAM, 256GB 8GB RAM'",b'CDMA 800 / 1900',"b'64 MP, f/1.8, 25mm (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF, OIS 13 MP, f/1.9, 117\xcb\x9a, (ultrawide), 1/3.4"", 1.0\xc2\xb5m 12 MP, f/2.2, 120\xcb\x9a, (ultrawide), 1/2.55"", 1.4\xc2\xb5m'","b'LED flash, panorama, HDR'","b'4K@30/60fps, 1080p@30/60fps, gyro-EIS'","b'Motorized pop-up 32 MP, f/1.9, 26mm (wide), 1/2.8"", 0.8\xc2\xb5m'",b'1080p@30fps',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot'","b'5.1, A2DP, LE, aptX'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO'",b'Yes',b'FM radio',"b'USB Type-C 3.1, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'","b'Aurora Gray, Illusion Sky'","b'LMF100N, LM-F100N, LM-F100V'",b'About 850 EUR',,"b'2, 5, 66, 260, 261 Sub6, mmWave - USA'",,b'Fast charging Wireless charging Quick Charge 4.0+',b'IP54 splash proof Water-repellent coating MIL-STD-810G compliant* *does not guarantee ruggedness or use in extreme conditions',b'UFS 2.1',,,"b'Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame'",b'Corning Gorilla Glass 5',b'HDR',b'1.13 W/kg (head) \xc2\xa0 \xc2\xa0 1.06 W/kg (body)',"b'AnTuTu: 315688 (v8) GeekBench: 7898 (v4.4), 1952 (v5.1) GFXBench: 17fps (ES 3.1 onscreen)'",b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'-30.9 LUFS (Below average)',b'Endurance rating 87h',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
