Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,,Card slot,Phonebook,Call records,Single,Video,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Type_1,Stand-by,Talk time,Colors,Infrared port,Clock,Alarm
b'maxon',b'Maxon MX-C90',b'https://fdn2.gsmarena.com/vv/bigpic/mac90.gif',b'GSM',b'GSM 900 / 1800',b'Yes',b'No',b'2003',b'Discontinued',b'83 x 47 x 23 mm (3.27 x 1.85 x 0.91 in)',b'82 g (2.89 oz)',b'Mini-SIM',"b'TFT, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",b'Wallpaper',b'No',b'250 x 11 fields',"b'30 received, dialed and missed calls'",b'VGA',b'No',b'No',b'No',b'Vibration; Polyphonic ringtones',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, MMS'",b'WAP 2.0/xHTML',b'Yes',b'Yes',b'Predictive text input Organizer',b'Removable Li-Ion battery',b'Up to 200 h',b'Up to 3 h',b'',,,
b'maxon',b'Maxon MX-C80',b'https://fdn2.gsmarena.com/vv/bigpic/mac80.gif',b'GSM',b'GSM 900 / 1800',b'Yes',b'No',"b'2003, Q4'",b'Discontinued',b'84 x 43.7 x 20.8 mm (3.31 x 1.72 x 0.82 in)',b'85 g (3.00 oz)',b'Mini-SIM',"b'TFT, 65K colors'",b'',b'128 x 160 pixels',"b'Second external display, 256 colors Wallpaper'",b'No',b'250 x 11 fields',"b'30 received, dialed and missed calls'",b'VGA',b'No',b'No',b'No',b'Vibration; Polyphonic ringtones',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, EMS, MMS'",b'WAP 2.0/xHTML',b'Yes',b'Yes',b'Predictive text input Organizer',b'Removable Li-Ion battery',b'Up to 75 h',b'Up to 6 h',b'',,,
b'maxon',b'Maxon MX-C180',b'https://fdn2.gsmarena.com/vv/bigpic/mac180.gif',b'GSM',b'GSM 900 / 1800',b'Yes',b'No',"b'2003, Q4'",b'Discontinued',b'84 x 43.7 x 20.8 mm (3.31 x 1.72 x 0.82 in)',b'85 g (3.00 oz)',b'Mini-SIM',"b'TFT, 65K colors'",b'',b'128 x 160 pixels',"b'Second external OLED display, 256 colors Wallpaper'",b'No',b'250 x 11 fields',"b'30 received, dialed and missed calls'",b'VGA',b'No',b'No',b'No',b'Vibration; Polyphonic ringtones',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, EMS, MMS, Email'",b'WAP 2.0/xHTML',b'Yes',b'Yes',b'Predictive text input Organizer',b'Removable Li-Ion battery',b'Up to 75 h',b'Up to 6 h',b'',,,
b'maxon',b'Maxon MX-A30',b'https://fdn2.gsmarena.com/vv/bigpic/maa30.gif',b'GSM',b'GSM 900 / 1800',b'Class 8',b'No',b'2004',b'Discontinued',b'90 x 48.5 x 22.4 mm (3.54 x 1.91 x 0.88 in)',b'90 g (3.17 oz)',b'Mini-SIM',"b'TFT, 65K colors'",b'',b'128 x 160 pixels',b'7 color LED indicator Wallpaper Downloadable logos',b'No',b'250',"b'30 received, dialed and missed calls'",b'Yes',b'No',b'No',b'No',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, MMS'",b'WAP 2.0/xHTML',b'Yes',b'Yes',b'Predictive text input Organizer',b'Removable Li-Ion battery',b'Up to 150 h',b'Up to 4 h',b'',,,
b'maxon',b'Maxon MX-C60',b'https://fdn2.gsmarena.com/vv/bigpic/mac60.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Yes',b'No',b'2003',b'Discontinued',b'80 x 45 x 22.9 mm (3.15 x 1.77 x 0.90 in)',b'85 g (3.00 oz)',b'Mini-SIM',"b'CSTN, 65K colors'",b'',"b'128 x 128 pixels, 8 lines, 1:1 ratio'",b'Second external display Wallpaper',b'No',b'250',"b'20 received, dialed and missed calls'",,,b'No',b'No',b'Vibration; Polyphonic ringtones',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, EMS'",b'WAP 1.2.1',b'Yes',b'No',b'Predictive text input',b'Removable Li-Ion 900 mAh battery',b'Up to 200 h',b'Up to 3 h',b'',,,
b'maxon',b'Maxon MX-C20',b'https://fdn2.gsmarena.com/vv/bigpic/mac20.gif',b'GSM',b'GSM 900 / 1800',b'Yes',b'No',b'2003',b'Discontinued',b'91 x 46 x 23 mm (3.58 x 1.81 x 0.91 in)',b'90 g (3.17 oz)',b'Mini-SIM',"b'CSTN, 65K colors'",b'',"b'128 x 160 pixels, 7 lines'",b'Second external display ( orange LCD ) Wallpaper',b'No',b'250',"b'20 received, dialed and missed calls'",b'Yes',b'No',b'No',b'No',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS'",b'WAP 1.2.1',b'Yes',b'Yes',b'Sync ML Predictive text input Organizer',b'Removable Li-Po battery',b'Up to 150 h',b'Up to 3 h',b'',,,
b'maxon',b'Maxon MX-C110',b'https://fdn2.gsmarena.com/vv/bigpic/mac110.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Yes',b'No',b'2004',b'Discontinued',b'86 x 46 x 21 mm (3.39 x 1.81 x 0.83 in)',b'85 g (3.00 oz)',b'Mini-SIM',b'65K colors',b'',b'-',b'Wallpaper Downloadable logos',b'No',b'200',"b'30 received, dialed and missed calls'",b'VGA',b'No',b'No',b'No',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, MMS'",b'WAP 2.0/xHTML',b'Yes + downloadable',b'Yes',b'eZi Organizer',b'Removable Li-Ion battery',b'Up to 150 h',b'Up to 4 h',b'',,,
b'maxon',b'Maxon MX-E10',b'https://fdn2.gsmarena.com/vv/bigpic/mae10.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Yes',b'No',b'2003',b'Discontinued',b'91 x 48 x 22.6 mm (3.58 x 1.89 x 0.89 in)',b'90 g (3.17 oz)',b'Mini-SIM',"b'TFT, 65K colors'",b'',"b'176 x 220 pixels, 10 lines'",b'Second external display 4K CSTN Wallpaper',b'No',"b'500 entries, 6 contact groups'","b'30 received, dialed and missed calls'",b'Yes',b'No',b'No',b'No',b'Vibration; Polyphonic ringtones',b'No',b'No',b'No',b'No',b'FM radio',b'Proprietary',b'',"b'SMS, EMS, MMS'",b'WAP 2.0/xHTML',b'Yes',b'Yes',b'Predictive text input Sync ML Organizer',b'Removable Li-Ion battery',b'Up to 200 h',b'Up to 2 h 30 min',b'',,,
b'maxon',b'Maxon MX-V10',b'https://fdn2.gsmarena.com/vv/bigpic/mav10.gif',b'GSM',b'GSM 900 / 1800',b'Class 8',b'No',b'2004',b'Discontinued',b'78 x 37 x 20.5 mm (3.07 x 1.46 x 0.81 in)',b'67 g (2.36 oz)',b'Mini-SIM',"b'STN, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",b'Second external 4096 colors OLED display Wallpaper Downloadable logos',b'No',b'200',"b'30 received, dialed and missed calls'",,,b'No',b'No',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, EMS'",b'WAP 1.2.1',b'Yes + downloadable',b'No',b'Predictive text input Organizer',b'Removable Li-Ion battery',b'Up to 150 h',b'Up to 4 h',b'',,,
b'maxon',b'Maxon MX-V30',b'https://fdn2.gsmarena.com/vv/bigpic/mav30.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Yes',b'No',b'2004',b'Discontinued',b'81 x 43 x 21 mm (3.19 x 1.69 x 0.83 in)',b'80 g (2.82 oz)',b'Mini-SIM',"b'TFT, 65K colors'",b'',b'-',b'Second external 4096 colors OLED display Wallpaper Downloadable logos',b'No',b'200',"b'30 received, dialed and missed calls'",,,b'No',b'No',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, MMS'",b'WAP 2.0/xHTML',b'Yes + downloadable',b'Yes',b'eZi Organizer',b'Removable Li-Ion battery',b'Up to 150 h',b'Up to 4 h',b'',,,
b'maxon',b'Maxon MX-E80',b'https://fdn2.gsmarena.com/vv/bigpic/mae80.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Yes',b'No',b'2004',b'Cancelled',b'',b'',b'Mini-SIM',b'65K colors',b'',b'-',b'Wallpaper Downloadable logos',b'No',b'250 x 11 fields',"b'30 received, dialed and missed calls'",b'VGA',b'No',b'No',b'No',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, MMS'",b'WAP 2.0/xHTML',b'Yes + downloadable',b'Yes',b'Predictive text input Organizer',b'Removable Li-Ion battery',,,b'',,,
b'maxon',b'Maxon MX-7990',b'https://fdn2.gsmarena.com/vv/bigpic/ma7990.gif',b'GSM',b'GSM 900 / 1800',b'Yes',b'No',b'2003',b'Discontinued',b'78 x 37 x 20.5 mm (3.07 x 1.46 x 0.81 in)',b'67 g (2.36 oz)',b'Mini-SIM',b'65K colors',b'',"b'128 x 128 pixels, 8 lines, 1:1 ratio'",b'Second external display OLED Wallpaper',b'No',"b'250 entries, 5 contact groups'","b'20 received, dialed and missed calls'",,,b'No',b'No',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS, Email'",b'WAP 1.2.1',b'Downloadable',b'No',b'Predictive text input Sync ML',b'Removable Li-Ion 900 mAh battery',b'Up to 200 h',b'Up to 3 h',b'',,,
b'maxon',b'Maxon MX-7750',b'https://fdn2.gsmarena.com/vv/bigpic/ma7750.gif',b'GSM',b'GSM 900 / 1800',b'Yes',b'No',b'2004',b'Discontinued',b'85 x 45 x 21 mm (3.35 x 1.77 x 0.83 in)',b'81 g (2.86 oz)',b'Mini-SIM',b'65K colors',b'',b'-',b'Wallpaper',b'No',b'250',"b'30 received, dialed and missed calls'",,,b'No',b'No',b'Vibration; Polyphonic(40) ringtones',b'No',b'No',b'No',b'No',b'No',b'',b'',b'SMS',b'WAP',b'Yes',b'No',b'Zi Organizer',b'Removable Li-Ion battery',b'Up to 150 h',b'Up to 4 h',b'',,,
