Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,,Card slot,Phonebook,Call records,Single,Video,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Type_1,Stand-by,Talk time,Colors,Infrared port,Clock,Alarm,3G bands,Speed,OS,Chipset,CPU,GPU,Internal,Features,Single_1,Video_1,NFC,4G bands,Keyboard
b'maxwest',b'Maxwest Nitro 55M',b'https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-55-m.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2016, October'","b'Available. Released 2017, January'",b'152.9 x 77.6 x 8.2 mm (6.02 x 3.06 x 0.32 in)',b'180 g (6.35 oz)',b'Dual SIM (dual stand-by)',b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~70.3% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",,b'microSDHC',,,"b'8 MP, AF'",b'720p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,"b'Li-Ion 2800 mAh, removable'",b'Up to 280 h',b'Up to 5 h',"b'White, black'",,,,b'HSDPA 850 / 1900 / 2100',b'HSPA 21.1/5.76 Mbps',b'Android 6.0 (Marshmallow)',b'Mediatek MT6580 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'8GB 1GB RAM',b'LED flash',b'2 MP',b'',b'No',,
b'maxwest',b'Maxwest Nitro 55 LTE',b'https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-55m.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2016, November'","b'Available. Released 2017, January'",b'153 x 77.6 x 7.9 mm (6.02 x 3.06 x 0.31 in)',b'163 g (5.75 oz)',b'Dual SIM (dual stand-by)',b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~70.2% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",b'eMMC 5.0',b'microSDHC',,,"b'8 MP, AF'",b'720p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'",,,,,,"b'Li-Ion 3000 mAh, removable'",b'Up to 280 h',b'Up to 15 h',"b'Dark Blue, White, Gold'",,,,b'HSDPA 850 / 1700 / 2100',"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'",b'Android 6.0 (Marshmallow)',b'Mediatek MT6737 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-T720MP2',b'8GB 1GB RAM',b'LED flash',b'2 MP',b'',b'No',"b'2, 4, 5, 7, 12, 17'",
b'maxwest',b'Maxwest Nitro 5M',b'https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-5m.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2016, September'","b'Available. Released 2016, December'",b'144.2 x 73 x 10.3 mm (5.68 x 2.87 x 0.41 in)',b'148 g (5.22 oz)',b'Dual SIM (dual stand-by)',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~65.4% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",,b'microSDHC',,,b'5 MP',b'Yes',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, EDR'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,"b'Li-Ion 2200 mAh, removable'",b'Up to 300 h',b'Up to 8 h',"b'Black, BLue, Gold, Red'",,,,b'HSDPA 850 / 1900',b'HSPA 21.1/5.76 Mbps',b'Android 6.0 (Marshmallow)',b'Spreadtrum SC7731',b'Quad-core 1.2 GHz Cortex-A7',b'Mali-400',b'8GB 1GB RAM',b'LED flash',b'2 MP',b'',b'No',,
b'maxwest',b'Maxwest Astro 5s',b'https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-5s.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2016, July'","b'Available. Released 2016, August'",b'144.4 x 72 x 9.1 mm (5.69 x 2.83 x 0.36 in)',b'150 g (5.29 oz)',b'Dual SIM (dual stand-by)',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.3% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",,b'microSDHC',,,"b'8 MP, AF'",b'720p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,"b'Li-Ion 2000 mAh, removable'",b'Up to 300 h (3G)',b'Up to 6 h (3G)',"b'White, Black, Pink Red'",,,,b'HSDPA 850 / 1900 / 2100',b'HSPA 21.1/5.76 Mbps',b'Android 5.1 (Lollipop)',b'Mediatek MT6580M (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'8GB 1GB RAM',b'LED flash',b'2 MP',b'',b'No',,
b'maxwest',b'Maxwest Gravity 5 LTE',b'https://fdn2.gsmarena.com/vv/bigpic/maxwest-gravity-5-lte-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2016, January'","b'Available. Released 2016, February'",b'145.5 x 72.8 x 8.9 mm (5.73 x 2.87 x 0.35 in)',b'155 g (5.47 oz)',b'Dual SIM (Dual stand-by)',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~65.1% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'eMMC 4.5',b'microSDXC',,,"b'8 MP, AF'",b'Yes',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'4.1',"b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,"b'Li-Ion 2200 mAh, removable'",b'Up to 300 h',b'Up to 7 h 30 min',b'Black/Silver/Gold',,,,b'HSDPA 850 / 1700(AWS) / 1900',"b'HSPA 42.2/5.76 Mbps, LTE'",b'Android 5.1 (Lollipop)',b'Qualcomm MSM8909 Snapdragon 210 (28 nm)',b'Quad-core 1.1 GHz Cortex-A7',b'Adreno 304',b'8GB 1GB RAM',b'LED flash',b'2 MP',b'',b'No',"b'2, 4, 7, 17'",
b'maxwest',b'Maxwest Astro X4',b'https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-x4.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2016, January'","b'Available. Released 2016, February'",b'123.5 x 64 x 9.8 mm (4.86 x 2.52 x 0.39 in)',b'122 g (4.30 oz)',b'Dual SIM (Dual stand-by)',"b'TFT, 256K colors'","b'4.0 inches, 45.5 cm2 (~57.6% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",,b'microSDHC',,,b'3.15 MP',b'720p',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,"b'Li-Ion 1400 mAh, removable'",b'Up to 180 h',b'Up to 8 h',"b'White, Black, Blue, Gold, Pink'",,,,b'HSDPA 850 / 1700(AWS) / 1900',b'HSPA 21.1/5.76 Mbps',b'Android 4.4 (KitKat)',b'Mediatek MT6572M (28 nm)',b'Dual-core 1.0 GHz Cortex-A7',b'Mali-400',b'4GB 512MB RAM',b'LED flash',"b'VGA, LED flash'",b'',b'No',,
b'maxwest',b'Maxwest Astro X55',b'https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-x55.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2016, January'","b'Available. Released 2016, February'",b'150.5 x 76.3 x 7.8 mm (5.93 x 3.00 x 0.31 in)',b'174 g (6.14 oz)',b'Dual SIM (Dual stand-by)',b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~72.6% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",,b'microSDHC',,,"b'8 MP, AF'",b'720p',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,"b'Li-Ion 2200 mAh, removable'",b'Up to 350 h',b'Up to 14 h',b'Gold/White',,,,b'HSDPA 850 / 1700(AWS) / 1900',b'HSPA 21.1/5.76 Mbps',b'Android 5.1 (Lollipop)',b'Mediatek MT6580 (28 nm)',b'Quad-core 1.5 GHz Cortex-A7',b'Mali-400MP2',b'8GB 1GB RAM',b'LED flash',b'5 MP',b'',b'No',,
b'maxwest',b'Maxwest Vice',b'https://fdn2.gsmarena.com/vv/bigpic/maxwest-vice.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Yes',b'No',"b'2016, January'","b'Available. Released 2016, January'",b'106 x 52 x 13.6 mm (4.17 x 2.05 x 0.54 in)',b'87 g (3.07 oz)',b'Dual SIM (dual stand-by)',b'TFT',"b'2.4 inches, 17.8 cm2 (~32.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",b'No',b'microSDHC (dedicated slot)',b'Yes',b'Yes',b'VGA',b'No',b'Audio/Video player Photo viewer Voice memo',b'Yes',,b'No',b'No',b'2.0',b'No',b'FM radio',b'microUSB 1.1',b'',"b'SMS, MMS, IM'",,b'No',b'No',,"b'Li-Ion 900 mAh, removable'",,,"b'Black, Red, Silver'",,,,,,,b'Spreadtrum 6531D',,,b'64MB 64MB RAM',,,,b'No',,
b'maxwest',b'Maxwest Gravity 5.5 LTE',b'https://fdn2.gsmarena.com/vv/bigpic/maxwest-gravity-55-lte.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2015, June. Released 2015, September'",b'Discontinued',b'155.5 x 78 x 7.5 mm (6.12 x 3.07 x 0.30 in)',b'165 g (5.82 oz)',b'Dual SIM (Dual stand-by)',b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~68.8% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",,b'microSDHC',,,"b'13 MP, AF'",b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,"b'Li-Ion 3000 mAh, non-removable'",b'Up to 350 h',b'Up to 14 h',"b'Black, Gold, Silver'",,,,b'HSDPA 850 / 1700(AWS) / 1900',"b'HSPA 21.1/5.76 Mbps, LT\xd0\x95'",b'Android 5.1 (Lollipop)',b'Mediatek MT6735 (28 nm)',b'Quad-core 1.0 GHz Cortex-A53',b'Mali-T720MP2',b'8GB 1GB RAM',b'LED flash',b'5 MP',b'',b'No',"b'2, 4, 7, 17'",
b'maxwest',b'Maxwest Gravity 5',b'https://fdn2.gsmarena.com/vv/bigpic/maxwest-gravity-5.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2015, July. Released 2015, September'",b'Discontinued',b'145.4 x 72 x 9.1 mm (5.72 x 2.83 x 0.36 in)',b'150 g (5.29 oz)',b'Dual SIM (Dual stand-by)',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~220 ppi density)'",,b'microSDHC',,,"b'8 MP, AF'",b'Yes',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'2.0',"b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,"b'Li-Ion 2700 mAh, removable'",b'Up to 200 h',b'Up to 25 h',b'White/Black/Blue/Red',,,,b'HSDPA 850 / 1900',b'HSPA 21.1/5.76 Mbps',b'Android 4.4.2 (KitKat)',b'Mediatek MT6582M (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'8GB 1GB RAM',b'LED flash',b'2 MP',b'',b'No',,
