Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,,Quad,Features,Video,Single,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,SAR,Price,Dual,Features_1,Single_1,Build,Talk time,Stand-by,Infrared port,Music play,SAR EU,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,_1,_1_1,Keyboard,Browser
b'micromax',b'Micromax In note 1',b'https://fdn2.gsmarena.com/vv/bigpic/micromax-in-note1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 8, 40, 41'","b'HSPA 42.2/11.5 Mbps, LTE-A (2CA) Cat7 300/150 Mbps'","b'2020, November 03'","b'Available. Released 2020, November 24'",b'165.2 x 77 x 9 mm (6.50 x 3.03 x 0.35 in)',b'196 g (6.91 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 450 nits (peak)'","b'6.67 inches, 107.4 cm2 (~84.4% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~395 ppi density)'",b'Oleophobic coating',b'Android 10',b'MediaTek Helio G85 (12nm)',b'Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55)',b'Mali-G52 MC2',b'microSDXC (dedicated slot)',"b'64GB 4GB RAM, 128GB 4GB RAM'",b'eMMC 5.1',"b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 5 MP, f/2.2, 115\xcb\x9a (ultrawide), 1/5.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'LED flash, HDR'",b'1080p@30fps',"b'16 MP, f/2.0, 27mm (wide), 1/3.06"", 1.0\xc2\xb5m'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 18W Reverse charging',"b'Green, White'",b'E7746',b'0.57 W/kg (head) \xc2\xa0 \xc2\xa0 0.96 W/kg (body)',b'About 130 EUR',,,,,,,,,,,,,,,,,,,,
b'micromax',b'Micromax In 1b',b'https://fdn2.gsmarena.com/vv/bigpic/micromax-in-1b.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 2100',"b'1, 3, 5, 8, 40, 41'","b'HSPA, LTE'","b'2020, November 03'","b'Available. Released 2020, November 26'",b'164.5 x 75.8 x 8.9 mm (6.48 x 2.98 x 0.35 in)',b'188 g (6.63 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 400 nits (typ)'","b'6.52 inches, 102.6 cm2 (~82.3% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~269 ppi density)'",,b'Android 10 (Go edition)',b'MediaTek Helio G35 (12 nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',b'microSDXC (dedicated slot)',"b'32GB 2GB RAM, 64GB 4GB RAM'",,,"b'LED flash, panorama'",b'1080p@30fps',"b'8 MP, f/2.0'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO'",b'No',b'Unspecified',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'","b'Li-Po 5000 mAh, non-removable'",b'Charging 10W Reverse charging',"b'Blue, Purple, Green'",b'E6523',b'0.57 W/kg (head) \xc2\xa0 \xc2\xa0 0.90 W/kg (body)',b'About 80 EUR',"b'13 MP, f/1.9, 26mm (wide), PDAF 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,
b'micromax',b'Micromax Infinity N12',b'https://fdn2.gsmarena.com/vv/bigpic/micromax-infinity-n12-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 5, 8, 40, 41'","b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2018, December'","b'Available. Released 2018, December'",b'156 x 76.2 x 8.5 mm (6.14 x 3.00 x 0.33 in)',b'164 g (5.78 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.19 inches, 96.4 cm2 (~81.1% screen-to-body ratio)'",b'720 x 1500 pixels (~269 ppi density)',,b'Android 8.1 (Oreo)',b'Mediatek MT6762V Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC (dedicated slot)',b'32GB 3GB RAM',b'eMMC 5.1',,b'LED flash',b'1080p@24fps',"b'16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0\xc2\xb5m'",b'1080p',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS'",b'No',"b'FM radio, recording'","b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'","b'Li-Po 4000 mAh, non-removable'",,"b'Blue Lagoon, Red Velvet, Viola, Black'",b'N8301',,b'About 10000 INR',"b'13 MP, PDAF 5 MP, f/2.4, (depth)'",b'LED flash',,,,,,,,,,,,,,,,,,
b'micromax',b'Micromax Infinity N11',b'https://fdn2.gsmarena.com/vv/bigpic/micromax-infinity-n11-n8216.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 5, 8, 40, 41'","b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2018, December'","b'Available. Released 2019, January'",b'156 x 76.2 x 8.5 mm (6.14 x 3.00 x 0.33 in)',b'164 g (5.78 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.19 inches, 96.4 cm2 (~81.1% screen-to-body ratio)'",b'720 x 1500 pixels (~269 ppi density)',,b'Android 8.1 (Oreo)',b'Mediatek MT6762V Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC (dedicated slot)',b'32GB 2GB RAM',b'eMMC 5.1',,b'LED flash',b'1080p@24fps',b'8 MP',b'1080p',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS'",b'No',"b'FM radio, recording'","b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'","b'Li-Po 4000 mAh, non-removable'",,b'Black',,,b'About 9000 INR',"b'13 MP, PDAF 5 MP, f/2.4, (depth)'",b'LED flash',,,,,,,,,,,,,,,,,,
b'micromax',b'Micromax Bharat 5 Infinity',b'https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-5-infinity-edition-q4204.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 5, 40, 41'","b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, December'","b'Available. Released 2018, December'",b'148 x 71 x 10.4 mm (5.83 x 2.80 x 0.41 in)',b'-',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.45 inches, 76.7 cm2 (~72.9% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'",,b'Android 8.1 Oreo (Go edition)',b'Mediatek MT6739 (28 nm)',b'Quad-core 1.5 GHz Cortex-A53',b'PowerVR GE8100',b'microSDHC (dedicated slot)',b'16GB 1GB RAM',b'eMMC 5.1',,b'LED flash',b'1080p@30fps',b'5 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP'","b'Yes, with A-GPS'",b'No',"b'FM radio, recording'","b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 5000 mAh, non-removable'",,"b'Lava Red, Rose Gold, Matte Blue'",b'Q4204',,b'About 5400 INR',,b'LED flash',b'5 MP',,,,,,,,,,,,,,,,,
b'micromax',b'Micromax Bharat Go',b'https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-go-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'3, 40'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, May'","b'Available. Released 2018, June'",b'136.5 x 67 x 9.6 mm (5.37 x 2.64 x 0.38 in)',b'130 g (4.59 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'",b'TFT LCD',"b'4.5 inches, 61.9 cm2 (~67.7% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~207 ppi density)'",,b'Android 8.0 Oreo (Go edition)',b'Mediatek MT6737\xd0\x9c',b'Quad-core 1.1 GHz Cortex-A53',b'Mali-T720MP1',b'microSDHC',b'8GB 1GB RAM',b'eMMC 5.0',,b'Dual-LED dual-tone flash',b'480p',b'5 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'",b'Accelerometer',"b'Li-Ion 2000 mAh, removable'",,b'Black',,,b'About 4400 INR',,b'LED flash',b'5 MP',"b'Glass front, plastic back, plastic frame'",,,,,,,,,,,,,,,,
b'micromax',b'Micromax Canvas 1 2018',b'https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-1-2018.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'3, 5, 40'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, April'","b'Available. Released 2018, April'",b'-',b'-',"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.7 inches, 83.8 cm2'","b'720 x 1440 pixels, 18:9 ratio (~282 ppi density)'",,b'Android 7.0 (Nougat)',b'Mediatek MT6737 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-T720',b'microSDXC (dedicated slot)',b'16GB 2GB RAM',b'eMMC 5.0',,"b'Dual-LED dual-tone flash, panorama'",b'1080p@30fps',"b'8 MP, AF'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity'",b'Li-Ion 3000 mAh battery',,"b'Matte Black, Chrome Black'",,,b'About 7000 INR',,b'LED flash',b'5 MP',,,,,,,,,,,,,,,,,
b'micromax',b'Micromax Canvas Infinity Life',b'https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-infinity-life.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'3, 5, 40'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, March'","b'Available. Released 2018, April'",b'-',b'-',"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.45 inches, 76.7 cm2'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'",,"b'Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)'",b'Mediatek MT6737 (28 nm)',b'Quad-core 1.4 GHz Cortex-A53',b'Mali-T720MP1',b'microSDXC (dedicated slot)',b'16GB 2GB RAM',b'eMMC 5.0',,"b'LED flash, auto-HDR'",b'1080p@30fps',"b'13 MP, f/2.0, 1/3.1"", 1.12\xc2\xb5m, AF'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 2500 mAh, removable'",,b'Black',,,b'About 8500 INR',,b'LED flash',"b'8 MP, f/2.0'",,b'Up to 9 h (3G)',,,,,,,,,,,,,,,
b'micromax',b'Micromax Bharat 5 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-5-pro.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 5, 40, 41'","b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, March'","b'Available. Released 2018, March'",b'149.5 x 73.5 x 9.8 mm (5.89 x 2.89 x 0.39 in)',b'170 g (6.00 oz)',"b'Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.2 inches, 74.5 cm2 (~67.8% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~282 ppi density)'",,b'Android 7.0 (Nougat)',b'Mediatek MT6737 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-T720',b'microSDXC (uses shared SIM slot)',b'32GB 3GB RAM',b'eMMC 5.0',,b'LED flash',b'720p@30fps',"b'13 MP, AF'",b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'",b'Accelerometer',"b'Li-Po 5000 mAh, non-removable'",,b'Black',b'B5Pro',,b'About 8000 INR',,b'LED flash',b'5 MP',,,,,,,,,,,,,,,,,
b'micromax',b'Micromax Bharat 5 Plus',b'https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-5.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'1, 3, 5, 40, 41'","b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2018, January'","b'Available. Released 2018, January'",b'149.5 x 73.5 x 9.8 mm (5.89 x 2.89 x 0.39 in)',b'170 g (6.00 oz)',"b'Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.2 inches, 74.5 cm2 (~67.8% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~282 ppi density)'",,b'Android 7.0 (Nougat)',b'Mediatek MT6737 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-T720',b'microSDXC (uses shared SIM slot)',b'16GB 2GB RAM',b'eMMC 5.0',,b'LED flash',b'720p@30fps',b'8 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'",b'Accelerometer',"b'Li-Po 5000 mAh, non-removable'",,b'Black',b'Bharat 5 Plus',,b'About 7200 INR',,b'LED flash',b'5 MP',,,,,,,,,,,,,,,,,
