Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,,Quad,Features,Video,Single,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,SAR,Price,Dual,Features_1,Single_1,Build,Talk time,Stand-by,Infrared port,Music play,SAR EU,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,_1,_1_1,Keyboard,Browser,Display,Camera,Battery life,Performance,Loudspeaker_1,Audio quality,Alert types,Languages,Clock,Alarm
b'mitsubishi',b'Mitsubishi M430i/M900',b'https://fdn2.gsmarena.com/vv/bigpic/mip900.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2004, Q3'",b'Discontinued',"b'105 x 49 x 24 mm, 100 cc (4.13 x 1.93 x 0.94 in)'",b'125 g (4.41 oz)',b'Mini-SIM',"b'TFD, 256K colors'","b'2.2 inches, 33 x 45 mm, 15.0 cm2 (~29.1% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",,,,,,"b'miniSD, 32 MB included'",b'15MB',"b'Second external TFD display (120 x 160 pixels), 256K colors Downloadable pictures'",,b'LED flash',b'Yes',b'1.3 MP',,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 810 mAh battery',,b'Silver',,,,,,,,b'Up to 4 h',b'Up to 200 h',b'Yes',,,b'Class 10',b'No',"b'500 x 15 fields, Photo call'","b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS, Email'",b'2 + downloadable',"b'Yes, DoJa 2.5'",b'400 short messages',b'MP3 player (M900 only) Predictive text input Organizer Photo editor Voice memo Voice dial (20 slots)',,"b'WAP 2.0/xHTML, iMode (M430i only)'",,,,,,,"b'Vibration; Downloadable polyphonic, MP3 ringtones'","b'English, French, German, Italian, Spanish, Dutch a'",,
b'mitsubishi',b'Mitsubishi M800',b'https://fdn2.gsmarena.com/vv/bigpic/mim800.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2004, Q4'",b'Discontinued',b'89 x 45 x 22 mm (3.50 x 1.77 x 0.87 in)',b'94 g (3.32 oz)',b'Mini-SIM',"b'TFT, 256K colors'",b'',b'128 x 160 pixels',,,,,,b'No',b'1.5MB',b'Second external flashing  display Downloadable pictures',,,b'320p',b'1.3 MP',,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 680 mAh battery',,b'Sleek silver',,,,,,,,b'Up to 2 h 30 min',b'Up to 250 h',,,,b'Class 10',b'No',"b'500 x 5 fields, Photo call, 8 groups'","b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS'",b'5 + downloadable',"b'Yes, MIDP 2.0'",b'300 short messages',b'Predictive text input Organizer World Time',,b'WAP 1.2.1',,,,,,,b'Vibration; Downloadable polyphonic ringtones',,,
b'mitsubishi',b'Mitsubishi M420i/M760',b'https://fdn2.gsmarena.com/vv/bigpic/mim760.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2004, Q4'",b'Discontinued',b'98 x 47 x 25 mm (3.86 x 1.85 x 0.98 in)',b'115 g (4.06 oz)',b'Mini-SIM',"b'TFD, 256K colors'",b'',"b'176 x 240 pixels, 4:3 ratio'",,,,,,b'No',b'19MB',b'Downloadable pictures',,,b'Yes',b'1.3 MP',,b'No',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion battery',,b'Silver',,,,,,,,b'Up to 4 h',b'Up to 200 h',b'Yes',,,b'Yes',b'No',"b'500 entries, Photo call'","b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS, Email'",b'Yes',"b'Yes, MIDP 2.0'",b'No',b'MP3 player Predictive text input Organizer Photo editor Voice memo',,"b'WAP 2.0/xHTML, iMode (M420i only)'",,,,,,,b'Vibration; Downloadable polyphonic ringtones',,,
b'mitsubishi',b'Mitsubishi M528',b'https://fdn2.gsmarena.com/vv/bigpic/mitsubishi-m528.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2004, Q4'",b'Discontinued',b'76 x 43 x 22 mm (2.99 x 1.69 x 0.87 in)',b'72 g (2.54 oz)',b'Mini-SIM',"b'CSTN, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",,,,,,b'No',b'2MB',"b'Second external CSTN display (96 x 64 pixels), 65K colors Downloadable pictures'",,,b'Yes',b'VGA',,b'No',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion battery',,"b'Silver, Red, Blue'",,,,,,,,,,,,,b'Class 10',b'No',"b'500 entries, Photo call'","b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS'",b'Yes',"b'Yes, MIDP 1.0'",b'No',b'Predictive text input Organizer Photo editor',,b'WAP 1.2.1',,,,,,,b'Vibration; Downloadable polyphonic ringtones',,,
b'mitsubishi',b'Mitsubishi M520',b'https://fdn2.gsmarena.com/vv/bigpic/mim520.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2004, Q4'",b'Discontinued',b'76 x 43 x 22 mm (2.99 x 1.69 x 0.87 in)',b'75 g (2.65 oz)',b'Mini-SIM',"b'CSTN, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",,,,,,b'No',b'3MB',"b'Second external CSTN display (96 x 64 pixels), 65K colors Downloadable pictures'",,,b'Yes',b'VGA',,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 680 mAh battery',,b'Crystal Silver and Sapphire Blue',,,,,,,,b'Up to 2 h',b'Up to 120 h',,,,b'Class 10',b'No',"b'500 entries, Photo call'","b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS'",b'5 + downloadable',"b'Yes, MIDP 1.0'",b'No',b'Predictive text input Organizer World Time',,b'WAP 1.2.1',,,,,,,b'Vibration; Downloadable polyphonic ringtones',,,
b'mitsubishi',b'Mitsubishi M350',b'https://fdn2.gsmarena.com/vv/bigpic/mim350.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2004, Q2'",b'Discontinued',"b'107 x 47 x 20 mm, 85 cc (4.21 x 1.85 x 0.79 in)'",b'99 g (3.49 oz)',b'Mini-SIM',"b'TFT, 256K colors'",b'',"b'128 x 160 pixels,  7 lines'",,,,,,b'No',b'5MB',b'Downloadable logos',,,b'No',b'VGA',,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 900 mAh battery',,b'Metallic Silver',,,,,,,,,,b'Yes',,,b'Class 8',b'No',b'255 x 6 fields',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS, EMail'",b'2',b'Yes',b'No',b'Predictive text input Voice dial/memo Organizer Photo editor',,b'WAP 1.2.1',,,,,,,b'Vibration; Downloadable polyphonic ringtones',,,
b'mitsubishi',b'Mitsubishi M750',b'https://fdn2.gsmarena.com/vv/bigpic/mim750.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2003, Q4'",b'Discontinued',"b'96 x 47 x 24 mm, 88 cc (3.78 x 1.85 x 0.94 in)'",b'102 g (3.60 oz)',b'Mini-SIM',"b'TFT, 256K colors'",b'',b'128 x 160 pixels',,,,,,b'No',b'5MB',"b'Second external STN display (62 x 80 pixels), 4096 colors Downloadable logos'",,,b'No',b'VGA',,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion battery',,b'',,,,,,,,b'Up to 5h',b'Up to 250 h',b'Yes',,,b'Class 8',b'No',b'255 x 6 fields',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS, Email'",b'Yes - Demo Mox + downloadable',b'Yes',b'No',b'Predictive text input Voice dial/memo Organizer Photo editor',,b'WAP 1.2.1',,,,,,,b'Vibration; Downloadable polyphonic ringtones',"b'English, French, German, Italian, Spanish, Dutch'",,
b'mitsubishi',b'Mitsubishi M342i',b'https://fdn2.gsmarena.com/vv/bigpic/mim342i.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2004, Q1'",b'Discontinued',"b'107 x 47 x 19 mm, 85 cc (4.21 x 1.85 x 0.75 in)'",b'99 (3.49 oz)',b'Mini-SIM',"b'TFT, 256K colors'",b'',b'128 x 160 pixels',,,,,,b'No',b'5MB',b'Downloadable logos',,,b'No',b'VGA',,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion battery',,b'',,,,,,,,b'Up to 5 h',b'Up to 380 h',b'Yes',,,b'Class 8',b'No',b'Yes',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS, Email'",b'2 embedded  + downloadable',"b'Yes, DoJa 1.5'",b'No',b'Predictive text input Voice memo Organizer Photo editor',,b'iMode',,,,,,,"b'Vibration; Downloadable polyphonic - SP midi, MFI (i-mode), Midi, i-melody, AMR ringtones'","b'English, French, German, Italian, Spanish, Dutch a'",,
b'mitsubishi',b'Mitsubishi M341i/M720',b'https://fdn2.gsmarena.com/vv/bigpic/mim341i.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2003, Q4'",b'Discontinued',"b'96 x 47 x 24 mm, 87 cc (3.78 x 1.85 x 0.94 in)'",b'102 g (3.60 oz)',b'Mini-SIM',"b'TFT, 256K colors'",b'',"b'128 x 160 pixels, 10 lines'",,,,,,b'No',b'5MB',"b'Second external display (62 x 80 pixels), 4096 colors Downloadable logos'",,,b'No',b'VGA',,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Po battery',,b'',,,,,,,,b'Up to 4 h',b'Up to 400 h',b'Yes',,,b'Class 8',b'No',"b'255 x 6 fields, Photo call'","b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS, Email'",b'Yes - Demo Mox + downloadable',"b'Yes, DoJa 1.5'",b'20 voice dial slots 2 min voice memo 100 organizer events',b'Predictive text input Voice memo/dial Organizer Photo editor',,"b'WAP 1.2.1, iMode (M341i only)'",,,,,,,"b'Vibration; Downloadable polyphonic - (Midi, MFI, ADPCM) ringtones'","b'English, French, German, Italian, Spanish, Dutch'",,
b'mitsubishi',b'Mitsubishi M330',b'https://fdn2.gsmarena.com/vv/bigpic/mim330.gif',b'GSM',b'GSM 900 / 1800',,,,"b'2003, Q3'",b'Discontinued',b'116 x 47 x 20 mm (4.57 x 1.85 x 0.79 in)',b'95 g (3.35 oz)',b'Mini-SIM',"b'CSTN, 4096 colors'",b'',b'128 x 141 pixels',,,,,,b'No',,b'20 voice dial records 2 min voice memo 100 text messages',,,,,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion battery',,b'2 - Quartz Silver and Frost White.',,,,,,,,b'Up to 4h',b'Up to 350h',b'Yes',,,b'Yes',b'No',b'255 x 6 fields',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS'",b'Yes',b'No',b'No',b'Predictive text input Voice dial Voice memo Organizer',,b'WAP 1.2.1',,,,,,,"b'Vibration; Downloadable polyphonic - Midi, SP-Midi, iMelody ringtones'","b'English, Chinese, Thai'",b'Yes',b'Yes'
