Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Single,Video,,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1,Type_1,Stand-by,Talk time,Colors,Price,OS,_1_1,Internal,Infrared port,Clock,Alarm,3G bands,Speed,Chipset,CPU,GPU,Features,Single_1,Video_1,NFC,Keyboard
b'niu',b'NIU Andy C5.5E2I',b'https://fdn2.gsmarena.com/vv/bigpic/niu-andy-c5.5e2i.jpg',b'GSM / UMTS',b'GSM 850 / 900 / 1800 / 1900',,,"b'2015, December'","b'Available. Released 2016, March'",b'154.5 x 79 x 9.2 mm (6.08 x 3.11 x 0.36 in)',b'128 g (4.52 oz)',b'Micro-SIM',b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~68.3% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",b'microSDXC (dedicated slot)',,,"b'8 MP, AF'",b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, LE'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,"b'Li-Po 3000 mAh, removable'",b'Up to 600 h (2G) / Up to 500 h (3G)',b'Up to 22 h 10 min (2G) / Up to 18 h 30 min (3G)',"b'Blue, Gun Metal'",,b'Android 4.4 (KitKat)',,b'4GB 512MB RAM',,,,b'UMTS 850 / 1900 - AC55E2I043',b'HSPA 21.1/5.76 Mbps',b'Mediatek MT6582M (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400',"b'LED flash, panorama, HDR'",b'1.3 MP',b'',b'No',
b'niu',b'NIU Andy 3.5E2I',b'https://fdn2.gsmarena.com/vv/bigpic/NIU-35E2I.jpg',b'GSM / UMTS / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2015, February. Released 2015, March'",b'Discontinued',b'115.5 x 62.8 x 10.7 mm (4.55 x 2.47 x 0.42 in)',b'102 g (3.60 oz)',b'Dual SIM (Mini-SIM/ Micro-SIM)',"b'LCD, 256K colors'","b'3.5 inches, 36.5 cm2 (~50.3% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'",b'microSDXC',,,b'5 MP',b'480p@30fps',b'HSDPA 900 / 2100 - AM35E2I047',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,"b'Li-Ion 1300 mAh, removable'",b'Up to 260 h (2G) / Up to 217 h (3G)',b'Up to 18 h (2G) / Up to 8 h (3G)',"b'Black, White, Blue, Green, Orange'",,b'Android 4.4 (KitKat)',,b'4GB 512MB RAM',,,,b'UMTS 850 / 1900 - AM35E2I043',b'HSPA 21.1/5.76 Mbps',b'Mediatek MT6572M (28 nm)',b'Dual-core 1.0 GHz Cortex-A7',b'Mali-400',"b'LED flash, panorama'",b'1.3 MP',b'',b'No',
b'niu',b'NIU Andy 4E2I',b'https://fdn2.gsmarena.com/vv/bigpic/NIU-4E2I.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2015, January. Released 2015, March'",b'Discontinued',b'121 x 64.6 x 10.7 mm (4.76 x 2.54 x 0.42 in)',b'110 g (3.88 oz)',b'Dual SIM (Mini-SIM/ Micro-SIM)',"b'TFT, 256K colors'","b'4.0 inches, 45.5 cm2 (~58.3% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",b'microSDXC',,,b'5 MP',b'480p@30fps',b'HSDPA 850 / 1900 - AM4E2I043',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,"b'Li-Ion 1400 mAh, removable'",b'Up to 280 h (2G) / Up to 232 h (3G)',b'Up to 18 h (2G) / Up to 9 h (3G)',"b'Black, White, Red, Blue, Yellow'",,b'Android 4.4 (KitKat)',,b'4GB 512MB RAM',,,,b'HSDPA 900 / 2100 - AM4E2I047',b'HSPA 21.1/5.76 Mbps',b'Mediatek MT6572M (28 nm)',b'Dual-core 1.0 GHz Cortex-A7',b'Mali-400',"b'LED flash, panorama'",b'1.3 MP',b'',b'No',
b'niu',b'NIU Andy 5EI',b'https://fdn2.gsmarena.com/vv/bigpic/NIU-5EI.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2014, May. Released 2014, July'",b'Discontinued',b'142.8 x 73.4 x 9.5 mm (5.62 x 2.89 x 0.37 in)',b'160 g (5.64 oz)',b'Dual SIM (Mini-SIM/ Micro-SIM)',"b'TFT, 256K colors'","b'5.0 inches, 68.9 cm2 (~65.7% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",b'microSDXC',,,b'5 MP',b'480p@30fps',b'HSDPA 850 / 1900 - SIM 1 or SIM 2',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'3.0, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,b'HSDPA 850 / 2100 - SIM 1 or SIM 2',"b'Li-Ion 1550 mAh, removable'",b'Up to 480 h (2G) / Up to 350 h (3G)',b'Up to 16 h (2G) / Up to 7 h 30 min (3G)',"b'Black, White, Red, Blue, Green'",,b'Android 4.2 (Jelly Bean)',,b'4GB 512MB RAM',,,,b'HSDPA 900 / 2100 - SIM 1 or SIM 2',b'HSPA 21.1/5.76 Mbps',b'Mediatek MT6572M (28 nm)',b'Dual-core 1.0 GHz Cortex-A7',b'Mali-400',b'LED flash',b'1.3 MP',b'',b'No',
b'niu',b'NIU Andy 5T',b'https://fdn2.gsmarena.com/vv/bigpic/niu-5t.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2014, July. Released 2014, August'",b'Discontinued',b'144 x 69.7 x 6.9 mm (5.67 x 2.74 x 0.27 in)',b'123 g (4.34 oz)',b'Dual SIM (Mini-SIM/ Micro-SIM)',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~68.7% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'microSDXC',,,"b'13 MP, AF'",b'1080p@30fps',b'HSDPA 900 / 2100 - SIM 1 or SIM 2',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",,,,,,"b'Li-Po 1800 mAh, non-removable'",b'Up to 480 h (2G) / Up to 360 h (3G)',b'Up to 16 h (2G) / Up to 8 h 30 min (3G)',"b'White, Black, Blue, Red'",,b'Android 4.4.2 (KitKat)',,b'4GB 1GB RAM',,,,b'HSDPA 850 / 1900 - SIM 1 or SIM 2',b'HSPA 21.1/5.76 Mbps',b'Mediatek MT6582 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',"b'LED flash, HDR'",b'5 MP',b'',b'No',
b'niu',b'NIU C21A',b'https://fdn2.gsmarena.com/vv/bigpic/NIU--C21A.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - CM21A003',b'Up to 48 kbps',b'No',"b'2013, March. Released 2013, April'",b'Discontinued',b'106 x 45 x 14.5 mm (4.17 x 1.77 x 0.57 in)',b'73 g without battery (2.57 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 256K colors'","b'1.8 inches, 10.2 cm2 (~21.4% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',b'microSDHC',b'Yes',b'Yes',b'VGA',b'No',b'No',b'Yes',,b'No',b'No',b'2.0',b'No',b'Stereo FM radio',b'microUSB',b'',"b'SMS, IM'",,b'No',b'No',b'Video Player Music Player Organizer Whatsapp',"b'Li-Ion 600 mAh, removable'",b'Up to 200 h',b'Up to 4 h',"b'Black, White, Blue, Green, Purple, Red, Fuchsia'",,,,b'32Mb 32Mb RAM',,,,,,,,,,,,b'No',
b'niu',b'NIU F10',b'https://fdn2.gsmarena.com/vv/bigpic/NIU-F10.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 & SIM 3',b'Up to 48 kbps',b'No',"b'2012, November. Released 2013, April'",b'Discontinued',b'102 x 59 x 13.7 mm (4.02 x 2.32 x 0.54 in)',b'72 g without battery (2.54 oz)',b'Triple SIM (Mini-SIM)',"b'TFT, 65K colors'","b'2.2 inches, 15.2 cm2 (~25.3% screen-to-body ratio)'",b'220 x 176 pixels (~128 ppi density)',b'microSDHC (dedicated slot)',b'Yes',b'Yes',b'1.3 MP',b'Yes',b'Flashlight',b'Yes',,b'Yes',b'No',"b'2.1, A2DP'",b'No',b'Stereo FM radio',b'microUSB',b'',b'SMS',,b'Yes',b'No',b'No',"b'Li-Ion 600 mAh, removable'",b'Up to 400 h',b'Up to 5 h 30 min',"b'Black, Blue, Red, White'",,,b'Analog TV Video Player Music Player Organizer',b'64Mb 32Mb RAM',,,,,,,,,,,,b'No',b'QWERTY'
b'niu',b'NIU Z10',b'https://fdn2.gsmarena.com/vv/bigpic/NIU-Z10.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1',b'Up to 48 kbps',b'No',"b'2013, November. Released 2014, January'",b'Discontinued',b'113.2 x 55.5 x 14.5 mm (4.46 x 2.19 x 0.57 in)',b'90 g without battery (3.17 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 65K colors'","b'2.0 inches, 12.6 cm2 (~20.1% screen-to-body ratio)'",b'144 x 176 pixels (~114 ppi density)',b'microSDHC',b'Yes',b'Yes',b'VGA',b'Yes',b'GSM 850 / 900 / 1800 / 1900 - SIM 2',b'Yes',,b'No',b'No',b'2.1',b'No',b'Stereo FM radio; buit-in antenna',b'microUSB',b'',"b'SMS, MMS'",,b'Yes',b'No',b'Flashlight SOS button',"b'Li-Ion 1000 mAh, removable'",b'Up to 290 h',b'Up to 7 h',"b'Black, White, Blue'",,,b'Music/Video player Organizer Calendar Calculator Voice memo',b'32Mb 32Mb RAM',,,,,,,,,,,,b'No',
b'niu',b'NIU Tek 5D',b'https://fdn2.gsmarena.com/vv/bigpic/niu-5d.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2015, January. Released 2015, February'",b'Discontinued',b'156.3 x 74.2 x 9.3 mm (6.15 x 2.92 x 0.37 in)',b'150 g (5.29 oz)',b'Dual SIM (Mini-SIM/ Micro-SIM)',"b'TFT, 256K colors'","b'5.0 inches, 44.1 cm2 (~38.0% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~245 ppi density)'",b'microSDXC',,,b'5 MP',b'480p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'3.0, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,"b'Li-Ion 2000 mAh, removable'",b'Up to 400 h (2G) / Up to 332 h (3G)',b'Up to 15 h (2G) / Up to 12 h (3G)',b'Black',,b'Android 4.4.2 (KitKat)',,b'4GB 512MB RAM',,,,b'HSDPA 850 / 1900 -  SIM 1 & SIM 2 - TM5DI043',b'HSPA 21.1/5.76 Mbps',b'Mediatek MT6572M (28 nm)',b'Dual-core 1.0 GHz Cortex-A7',b'Mali-400',b'LED flash',b'1.3 MP',b'',b'No',
b'niu',b'NIU Tek 4D2',b'https://fdn2.gsmarena.com/vv/bigpic/niutek-4d2.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2014, August. Released 2014, November'",b'Discontinued',b'123 x 63 x 10.3 mm (4.84 x 2.48 x 0.41 in)',b'152 g (5.36 oz)',b'Dual SIM (Mini-SIM/ Micro-SIM)',b'TFT',"b'4.0 inches, 45.5 cm2 (~58.8% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",b'microSDXC',,,b'3.15 MP',b'480p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,"b'Li-Ion 1200 mAh, removable'",b'Up to 400 h (2G) / Up to 320 h (3G)',b'Up to 8 h (2G) / Up to 6 h (3G)',"b'Black, Gray, White, Blue, Orange'",,b'Android 4.4.2 (KitKat)',,b'4GB 512MB RAM',,,,b'HSDPA 850 / 1900 -  SIM 1 & SIM 2 - TM4D2I043',b'HSPA 21.1/5.76 Mbps',b'Mediatek MT6572M (28 nm)',b'Dual-core 1.0 GHz Cortex-A7',b'Mali-400',"b'LED flash, panorama'",b'1.3 MP',b'',b'No',
b'niu',b'NIU Niutek 3.5D2',b'https://fdn2.gsmarena.com/vv/bigpic/niutek-35d2.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2014, August. Released 2014, October'",b'Discontinued',b'116 x 61 x 11.5 mm (4.57 x 2.40 x 0.45 in)',b'98 g (3.46 oz)',b'Dual SIM (Mini-SIM/ Micro-SIM)',"b'TFT, 256K colors'","b'3.5 inches, 36.5 cm2 (~51.5% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'",b'microSDXC',,,b'2 MP',b'480p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, hotspot'","b'3.0, A2DP'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,"b'Li-Ion 1200 mAh, removable'",b'Up to 400 h (2G) / Up to 320 h (3G)',b'Up to 8 h (2G) / Up to 6 h (3G)',"b'Black, White, Blue, Green, Red'",,b'Android 4.2 (Jelly Bean)',,b'2GB 256MB RAM',,,,b'HSDPA 850 / 1900 -  SIM 1 & SIM 2 - TM35D2H043',b'HSPA 21.1/5.76 Mbps',b'Mediatek MT6572M (28 nm)',b'Dual-core 1.0 GHz Cortex-A7',b'Mali-400',"b'LED flash, panorama'",b'VGA',b'',b'No',
b'niu',b'NIU GO 21',b'https://fdn2.gsmarena.com/vv/bigpic/niu-go-21.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Up to 48 kbps',b'No',"b'2014, May. Released 2014, June'",b'Discontinued',b'105 x 44.9 x 14.2 mm (4.13 x 1.77 x 0.56 in)',b'66 g (2.33 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 65K colors'","b'1.8 inches, 10.2 cm2 (~21.6% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',b'microSDHC',b'Yes',b'Yes',b'VGA',b'',b'No',b'Yes',,b'Yes',b'No',"b'2.1, EDR'",b'No',b'Stereo FM radio',b'microUSB 2.0',b'',"b'SMS, MMS, IM'",,b'Yes',b'No',b'Whatsapp messenger Video/music player Organizer Predictive text input',"b'Li-Ion 650 mAh, removable'",b'Up to 200 h',b'Up to 6 h',"b'Black, Orange, Gray, Red, Green, Blue'",,,,b'32Mb 32Mb RAM',,,,,,,,,,,,b'No',
