Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Build,Protection,Quad,_1,_1_1,128GB 8GB RAM,Dual,32GB 2GB RAM,32GB 3GB RAM,SAR,128GB 4GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,64GB 4GB RAM,8GB 1GB RAM,256GB 8GB RAM,256GB 12GB RAM,SAR EU,512GB 12GB RAM,Audio quality,64GB 3GB RAM,256GB 6GB RAM,Single_1,64GB 6GB RAM,Dual_1,Stand-by,Talk time,Infrared port,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Alert types,Languages,Clock,Alarm,Stand-by_1,Talk time_1,Music play
b'parla',b'Parla Minu P124',b'https://fdn2.gsmarena.com/vv/bigpic/parla-minu-p124.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'No',,,,,"b'2015, November'","b'Available. Released 2016, February'",b'112 x 48.5 x 13 mm (4.41 x 1.91 x 0.51 in)',b'83 g (2.93 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 256K colors'","b'1.8 inches, 10.2 cm2 (~18.8% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,,,,b'microSDHC (dedicated slot)',b'4MB 4MB RAM',,,b'Yes',b'VGA',,,b'Yes',b'Yes',b'No',b'2.1',b'No',b'No',b'Stereo FM radio',b'microUSB 2.0',b'',"b'Li-Ion 600 mAh, removable'",,"b'Black, White'",,,,,,b'Music player Video player Organizer',,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 200 h',b'Up to 4 h',,b'Yes',b'No',b'Yes',b'Yes',b'SMS',b'No',b'No',,,,,,,,,
b'parla',b'Parla Sonic 3.5S',b'https://fdn2.gsmarena.com/vv/bigpic/parla-sonic-35s.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100 - SM35SH083',b'HSDPA 850 / 1900 - SM35SH079',,,b'HSPA 21.1/5.76 Mbps',"b'2015, June. Released 2015, July'",b'Discontinued',b'117.8 x 63 x 11.7 mm (4.64 x 2.48 x 0.46 in)',b'98 g (3.46 oz)',b'Dual SIM (Mini-SIM/ Micro-SIM)',"b'TFT, 256K colors'","b'3.5 inches, 36.5 cm2 (~49.2% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'",b'Android 4.4 (KitKat)',b'Spreadtrum 7715',b'1.0 GHz Cortex-A7',b'Mali-400',b'microSDHC',b'512MB 256MB RAM',,"b'LED flash, HDR'",b'480p@30fps',"b'2 MP, AF'",,,b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'2.1, EDR'",b'A-GPS only',b'No',b'Stereo FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 1300 mAh, removable'",,"b'Black, White'",,,,,,b'No',,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 171 h (3G)',b'Up to 3 h 30 min (3G)',,,,,,,,,,,,,,,,,
b'parla',b'Parla Minu P123',b'https://fdn2.gsmarena.com/vv/bigpic/parla-P123.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Flashlight',,,,,"b'2014, September. Released 2014, November'",b'Discontinued',b'106.5 x 45 x 14 mm (4.19 x 1.77 x 0.55 in)',b'73 g without battery (2.57 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 65K colors'","b'1.8 inches, 10.2 cm2 (~21.3% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,,,,b'microSDHC',b'32Mb 32Mb RAM',,,b'Yes',b'VGA',,,b'Yes',b'No',b'No',b'2.0',b'No',b'No',b'Stereo FM radio',b'microUSB',b'',"b'Li-Ion 600 mAh, removable'",,"b'Black, White'",,,,,,b'No',b'Music player Video player Organizer Voice memo Whatsapp',,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 200 h',b'Up to 4 h',,b'Yes',b'No',b'Yes',b'Yes',b'SMS',b'No',b'No',,,,,,,,,
b'parla',b'Parla Sonic 3.5',b'https://fdn2.gsmarena.com/vv/bigpic/parla-sonic-3.5.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'No',b'HSDPA 850 / 1900 - SIM 1 only',,,b'HSPA 7.2/5.76 Mbps',"b'2013, September. Released 2013, Q4'",b'Discontinued',b'116 x 62.2 x 11.6 mm (4.57 x 2.45 x 0.46 in)',b'105 g (3.70 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 256K colors'","b'3.5 inches, 36.5 cm2 (~50.6% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'",b'Android 4.1 (Jelly Bean)',b'Spreadtrum SC7710G',b'1.0 GHz Cortex-A5',b'Mali-300',b'microSDHC (dedicated slot)',b'512MB 512MB RAM',,,b'480p@30fps',b'2 MP',,,b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, hotspot'","b'2.1, A2DP'",b'No',b'No',b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 1300 mAh, removable'",,"b'Black, White'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 600 h (2G) / Up to 500 h (3G)',b'Up to 16 h (2G) / Up to 6 h (3G)',,,,,,,,,,,,,,,,,
b'parla',b'Parla Zum Bianco',b'https://fdn2.gsmarena.com/vv/bigpic/parla-zum-bianco.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'GSM 850 / 900 / 1800 / 1900 - SIM 2 & SIM 3 (P130 only)',,,,,"b'2013, September. Released 2013, Q4'",b'Discontinued',b'103.8 x 45.8 x 13.4 mm (4.09 x 1.80 x 0.53 in)',b'90 g (3.17 oz)',b'Triple SIM (Mini-SIM)',"b'TFT, 65K colors'","b'1.8 inches, 10.2 cm2 (~21.4% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,,,,b'microSDHC (dedicated slot)',b'32Mb 32Mb RAM',,,b'Yes',b'VGA',,,b'Yes',b'No',b'No',b'2.0',b'No',b'No',b'Stereo FM radio',b'miniUSB',b'',"b'Li-Ion 600 mAh, removable'",,b'White',,,,,,b'Flashlight',b'Music player Video player',,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 230 h',b'Up to 6 h',,b'No',b'No',b'Yes',b'Yes',b'SMS',b'Yes',b'No',,,,,,,,,
b'parla',b'Parla Minu',b'https://fdn2.gsmarena.com/vv/bigpic/parla-minu.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Flashlight',,,,,"b'2013, September. Released 2013, Q4'",b'Discontinued',b'110.6 x 46.4 x 13.7 mm (4.35 x 1.83 x 0.54 in)',b'70 g (2.47 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 65K colors'","b'1.8 inches, 10.2 cm2 (~19.9% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,,,,b'microSDHC (dedicated slot)',b'32Mb 32Mb RAM',,,b'Yes',b'VGA',,,b'Yes',b'Yes',b'No',"b'2.1, A2DP'",b'No',b'No',b'Stereo FM radio',b'microUSB 2.0',b'',"b'Li-Ion 600 mAh, removable'",,"b'Black, White'",,,,,,b'No',b'Music player Video player Organizer Voice memo',,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 200 h',b'Up to 5 h',,b'Class 12',b'No',b'Yes',b'Yes',"b'SMS, MMS'",b'Yes',b'No',,,,,,,,,
b'parla',b'Parla Gala',b'https://fdn2.gsmarena.com/vv/bigpic/parla-gala-p730.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'GSM 850 / 900 / 1800 / 1900 - SIM 2 & SIM 3 (P730 only)',,,,,"b'2012, June. Released 2012, Q4'",b'Discontinued',b'105.5 x 59 x 12.9 mm (4.15 x 2.32 x 0.51 in)',b'90 g without battery (3.17 oz)',b'Triple SIM (Mini-SIM)',"b'TFT, 65K colors'","b'2.3 inches, 16.4 cm2 (~26.3% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~174 ppi density)'",,,,,b'microSDHC (dedicated slot)',b'128Mb 64Mb RAM',,b'LED flash',b'Yes',b'2 MP',,,b'Yes',b'Yes',b'Wi-Fi 802.11 a/b/g',"b'2.1, A2DP'",b'No',b'No',b'Stereo FM radio',b'microUSB',b'',"b'Li-Ion 800 mAh, removable'",,b'Black',,,,,,b'Flashlight',b'Analog TV Facebook Music player Video player Organizer Voice memo',,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 280 h',b'Up to 7 h',,b'Yes',b'Yes',b'Yes',b'Yes',"b'SMS, MMS'",b'Yes',b'Yes',b'QWERTY',,,,,,,,
b'parla',b'Parla Spriz',b'https://fdn2.gsmarena.com/vv/bigpic/parla-spriz-p430.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'GSM 850 / 900 / 1800 / 1900 - SIM 2 & SIM 3 (P430 only)',,,,,"b'2012, June. Released 2012, Q4'",b'Discontinued',b'104.6 x 57.2 x 13 mm (4.12 x 2.25 x 0.51 in)',b'90 g without battery (3.17 oz)',b'Triple SIM (Mini-SIM)',"b'TFT, 65K colors'","b'2.0 inches, 12.4 cm2 (~20.7% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~200 ppi density)'",,,,,b'microSDHC (dedicated slot)',b'128Mb 64Mb RAM',,b'LED flash',b'Yes',b'2 MP',,,b'Yes',b'Yes',b'No',"b'2.1, A2DP'",b'No',b'No',b'Stereo FM radio',b'microUSB',b'',"b'Li-Ion 700 mAh, removable'",,"b'Black, White'",,,,,,b'Flashlight',b'Analog TV Facebook Music player Video player Organizer Voice memo',,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 260 h',b'Up to 6 h',,b'Yes',b'Yes',b'Yes',b'Yes',"b'SMS, MMS'",b'Yes',b'Yes',b'QWERTY',,,,,,,,
b'parla',b'Parla Mist',b'https://fdn2.gsmarena.com/vv/bigpic/parla-mist-p330.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'GSM 850 / 900 / 1800 / 1900 - SIM 2 & SIM 3 (P330 only)',,,,,"b'2012, June. Released 2012, Q4'",b'Discontinued',b'104.6 x 57 x 12.9 mm (4.12 x 2.24 x 0.51 in)',b'90 g without battery (3.17 oz)',b'Triple SIM (Mini-SIM)',"b'TFT, 65K colors'","b'1.8 inches, 10.2 cm2 (~17.1% screen-to-body ratio)'",b'160 x 128 pixels (~114 ppi density)',,,,,b'microSDHC (dedicated slot)',b'32Mb 32Mb RAM',,b'LED flash',b'Yes',b'VGA',,,b'Yes',b'Yes',b'No',"b'2.1, A2DP'",b'No',b'No',b'Stereo FM radio; built-in antenna',b'microUSB',b'',"b'Li-Ion 700 mAh, removable'",,"b'Black, White, Silver'",,,,,,b'Flashlight',b'Music player Video player Organizer Voice memo',,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 260 h',b'Up to 6 h',,b'Class 12',b'No',b'Yes',b'Yes',"b'SMS, MMS'",b'Yes',b'No',b'QWERTY',,,,,,,,
b'parla',b'Parla Zum',b'https://fdn2.gsmarena.com/vv/bigpic/parla-zum-p130.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'GSM 850 / 900 / 1800 / 1900 - SIM 2 & SIM 3 (P130 only)',,,,,"b'2012, June. Released 2012, Q4'",b'Discontinued',b'103.8 x 45.8 x 13.4 mm (4.09 x 1.80 x 0.53 in)',b'90 g without battery (3.17 oz)',b'Triple SIM (Mini-SIM)',"b'TFT, 65K colors'","b'1.8 inches, 10.2 cm2 (~21.4% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,,,,b'microSDHC (dedicated slot)',b'32Mb 16Mb RAM',,,b'Yes',b'VGA',,,b'Yes',b'No',b'No',b'No',b'No',b'No',b'Stereo FM radio',b'miniUSB',b'',"b'Li-Ion 700 mAh, removable'",,"b'Black, White'",,,,,,b'Flashlight',b'Music player Video player Organizer Voice memo',,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 260 h',b'Up to 6 h',,b'No',b'No',b'Yes',b'Yes',b'SMS',b'Yes',b'No',,,,,,,,,
