Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Build,Protection,Quad,_1,_1_1,128GB 8GB RAM,Dual,32GB 2GB RAM,32GB 3GB RAM,SAR,128GB 4GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,64GB 4GB RAM,8GB 1GB RAM,256GB 8GB RAM,256GB 12GB RAM,SAR EU,512GB 12GB RAM,Audio quality,64GB 3GB RAM,256GB 6GB RAM,Single_1,64GB 6GB RAM,Dual_1,Stand-by,Talk time,Infrared port,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Alert types,Languages,Clock,Alarm,Stand-by_1,Talk time_1,Music play
b'philips',b'Philips S337',b'https://fdn2.gsmarena.com/vv/bigpic/philips-s337.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',,,b'HSPA 21.1/5.76 Mbps',"b'2015, October. Released 2015, November'",b'Discontinued',b'144.8 x 72.5 x 10.4 mm (5.70 x 2.85 x 0.41 in)',b'152 g (5.36 oz)',"b'Dual SIM (Mini-SIM, dual stand-by)'","b'TFT, 256K colors'","b'5.0 inches, 68.9 cm2 (~65.6% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",b'Android 5.1 (Lollipop)',,b'Quad-core 1.3 GHz',,b'microSDHC (dedicated slot)',b'8GB 1GB RAM',,b'LED flash',b'Yes',"b'5 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2000 mAh, removable'",,b'Black',,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'VGA',,,b'Up to 480 h (3G)',b'Up to 6 h 40 min (3G)',,,,,,,,,,,,,,,,,
b'philips',b'Philips S309',b'https://fdn2.gsmarena.com/vv/bigpic/philips-s309.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',,,b'HSPA 21.1/5.76 Mbps',"b'2015, July. Released 2015, July'",b'Discontinued',b'127.6 x 64.7 x 10.8 mm (5.02 x 2.55 x 0.43 in)',b'127 g (4.48 oz)',"b'Dual SIM (Mini-SIM, dual stand-by)'","b'TFT, 256K colors'","b'4.0 inches, 45.5 cm2 (~55.2% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",b'Android 5.1 (Lollipop)',,b'Dual-core 1.0 GHz',,b'microSDHC (dedicated slot)',b'8GB 1GB RAM',,b'LED flash',b'Yes',"b'5 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 1600 mAh, removable'",,"b'Black, Red'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'VGA',,,b'Up to 500 h (3G)',b'Up to 9 h 30 min (3G)',,,,,,,,,,,,,,,,,
b'philips',b'Philips V787',b'https://fdn2.gsmarena.com/vv/bigpic/philips-v787.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',"b'38, 39, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2015, December. Released 2015, December'",b'Discontinued',b'143 x 71.6 x 9.8 mm (5.63 x 2.82 x 0.39 in)',b'164 g (5.78 oz)',b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~67.3% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~441 ppi density)'",b'Android 5.1 (Lollipop)',,b'Octa-core 1.3 GHz',,b'microSDHC (dedicated slot)',b'16GB 2GB RAM',,b'LED flash',b'1080p@30fps',"b'13 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 5000 mAh, non-removable'",,b'Black',,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'5 MP',,,,,,,,,,,,,,,,,,,,,
b'philips',b'Philips V377',b'https://fdn2.gsmarena.com/vv/bigpic/philips-v377.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',,,b'HSPA 42.2/11.5 Mbps',"b'2015, December. Released 2015, December'",b'Discontinued',b'145 x 74 x 10.9 mm (5.71 x 2.91 x 0.43 in)',b'190 g (6.70 oz)',b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~64.2% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 5.1 (Lollipop)',,b'Quad-core 1.3 GHz',,b'microSDHC (dedicated slot)',b'8GB 1GB RAM',,b'LED flash',b'Yes',"b'5 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 5000 mAh, non-removable'",,b'Black',,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Yes',,,b'Up to 1100 h',b'Up to 29 h',,,,,,,,,,,,,,,,,
b'philips',b'Philips S616',b'https://fdn2.gsmarena.com/vv/bigpic/philips-s616.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 1900 / 2100',"b'1, 3, 7, 8, 20, 38, 39, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2015, November. Released 2015, November'",b'Discontinued',b'143 x 71.6 x 9.8 mm (5.63 x 2.82 x 0.39 in)',b'164 g (5.78 oz)',b'Dual SIM',b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~81.4% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'",b'Android 5.1 (Lollipop)',,b'Octa-core 1.3 GHz',,b'microSDXC (dedicated slot)',b'16GB 2GB RAM',,b'LED flash',b'1080p@30fps',"b'13 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Li-Ion 3000 mAh battery',,b'Black',,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Yes',,,,,,,,,,,,,,,,,,,,,
b'philips',b'Philips I928',b'https://fdn2.gsmarena.com/vv/bigpic/philips-i928.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',,,b'HSPA 21.1/11.5 Mbps',"b'2015, September. Released 2015, September'",b'Discontinued',b'160.1 x 81.8 x 8.2 mm (6.30 x 3.22 x 0.32 in)',b'168 g (5.93 oz)',b'Dual SIM',b'IPS LCD',"b'6.0 inches, 99.2 cm2 (~75.8% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~367 ppi density)'",b'Android 4.4 (KitKat)',,b'Octa-core 1.7 GHz',,b'microSDHC (dedicated slot)',b'16GB 2GB RAM',,b'LED flash',b'1080p@30fps',"b'13 MP, f/2.0, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'3.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Li-Ion 3000 mAh battery',,"b'Black, White'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'2 MP',,,,,,,,,,,,,,,,,,,,,
b'philips',b'Philips V526',b'https://fdn2.gsmarena.com/vv/bigpic/philips-v526-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',"b'1, 3, 7, 20, 38, 39, 40, 41'",,"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2015, August. Released 2015, August'",b'Discontinued',b'145 x 73.4 x 10 mm (5.71 x 2.89 x 0.39 in)',b'189 g (6.67 oz)',b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~64.8% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 5.1 (Lollipop)',,b'Quad-core 1.3 GHz',,b'microSDXC (dedicated slot)',b'8GB 1GB RAM',,b'LED flash',b'1080p@30fps',"b'13 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Li-Ion 5000 mAh battery',,b'Black',,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'5 MP',,,b'Up to 1130 h',b'Up to 28 h',,,,,,,,,,,,,,,,,
b'philips',b'Philips I908',b'https://fdn2.gsmarena.com/vv/bigpic/philips-i908.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',,,b'HSPA 21.1/11.5 Mbps',"b'2015, August. Released 2015, August'",b'Discontinued',b'143 x 70 x 8.8 mm (5.63 x 2.76 x 0.35 in)',b'156 g (5.50 oz)',b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~68.9% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~441 ppi density)'",b'Android 4.4.2 (KitKat)',,b'Octa-core 1.7 GHz',,b'microSDHC (dedicated slot)',b'16GB 2GB RAM',,b'LED flash',b'1080p@30fps',"b'13 MP, f/2.2, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Li-Ion 3000 mAh battery',,"b'Black, White'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'5 MP',,,,,,,,,,,,,,,,,,,,,
b'philips',b'Philips S396',b'https://fdn2.gsmarena.com/vv/bigpic/philips-s396.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',"b'1, 3, 7, 20, 38, 39, 40, 41'",,"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2015, June. Released 2015, June'",b'Discontinued',b'141.9 x 73 x 9.7 mm (5.59 x 2.87 x 0.38 in)',b'151 g (5.33 oz)',b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.5% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 5.1 (Lollipop)',b'Mediatek MT6735P (28 nm)',b'Quad-core 1.0 GHz Cortex-A53',b'Mali-T720MP2',b'microSDXC (dedicated slot)',b'8GB 1GB RAM',,b'LED flash',b'1080p@30fps',"b'8 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion 2300 mAh, removable'",,b'Black',,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'8 MP',,,,,,,,,,,,,,,,,,,,,
b'philips',b'Philips S388',b'https://fdn2.gsmarena.com/vv/bigpic/philips-s388.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',b'No',b'HSDPA 900 / 2100',,,b'HSPA',"b'2014, Q3. Released 2014, Q3'",b'Discontinued',b'131 x 67.1 x 9.1 mm (5.16 x 2.64 x 0.36 in)',b'136.5 g (4.83 oz)',b'Dual SIM',b'IPS LCD',"b'4.5 inches, 55.8 cm2 (~63.5% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~245 ppi density)'",b'Android 4.2 (Jelly Bean)',,b'Quad-core 1.3 GHz',,b'microSDHC (dedicated slot)',,,b'LED flash',b'Yes',"b'5 MP, AF'",,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g',"b'3.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 1700 mAh, removable'",,b'Black',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
