Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Build,Protection,Quad,_1,_1_1,128GB 8GB RAM,Dual,32GB 2GB RAM,32GB 3GB RAM,SAR,128GB 4GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,64GB 4GB RAM,8GB 1GB RAM,256GB 8GB RAM,256GB 12GB RAM,SAR EU,512GB 12GB RAM,Audio quality,64GB 3GB RAM,256GB 6GB RAM,Single_1,64GB 6GB RAM,Dual_1,Stand-by,Talk time,Infrared port,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Alert types,Languages,Clock,Alarm,Stand-by_1,Talk time_1,Music play
b'plum',b'Plum Tag 2 3G',b'https://fdn2.gsmarena.com/vv/bigpic/plum-tag2-3g.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'No',b'HSDPA 850 / 1900',,,"b'Yes, 384 kbps'","b'2019, January'","b'Available. Released 2019, January'",b'123 x 53 x 13.7 mm (4.84 x 2.09 x 0.54 in)',b'85 g (3.00 oz)',"b'Dual SIM (Mini-SIM/Micro-SIM, dual stand-by)'","b'TFT, 256K colors'","b'2.4 inches, 17.8 cm2 (~27.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",,b'Spreadtrum 7715A',b'1.2 GHz Cortex-A7',b'Mali-400',b'microSDHC',b'512MB 256MB RAM',,,b'Yes',b'1.3 MP',,,b'Yes',b'Yes',b'No',b'2.0',b'No',b'No',"b'FM Radio, built-in antenna'",b'microUSB 2.0',b'',"b'Li-Ion 800 mAh, removable'",,"b'Red, Blue, Orange'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 240 h (2G) / Up to 200 h (3G)',b'Up to 4 h 30 min (2G) / Up to 4 h 30 min (3G)',,,,b'Yes',b'Yes',"b'SMS, MMS, Email, WhatsApp, Facebook'",b'Yes',b'Yes',,,,,,,,,
b'plum',b'Plum Phantom 2',b'https://fdn2.gsmarena.com/vv/bigpic/plum-z621-phantom-2.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 1900 / 2100',,,b'HSPA 21.1/5.76 Mbps',"b'2018, December'","b'Available. Released 2019, January'",b'155.9 x 75.8 x 10.4 mm (6.14 x 2.98 x 0.41 in)',b'195 g (6.88 oz)',"b'Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.72 inches, 84.4 cm2 (~71.5% screen-to-body ratio)'","b'480 x 960 pixels, 18:9 ratio (~188 ppi density)'",b'Android 8.0 Oreo (Go edition)',b'Mediatek MT6580A (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDHC',b'8GB 1GB RAM',,b'LED flash',b'1080p@30fps',b'8 MP',,b'720p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 2700 mAh, removable'",,"b'Black, Gold'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'5 MP',,,b'Up to 200 h (3G)',b'Up to 5 h 30 min (3G)',,,,,,,,,,,,,,,,,
b'plum',b'Plum Optimax 13',b'https://fdn2.gsmarena.com/vv/bigpic/plum-optimax13.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 1900 / 2100',,,b'HSPA 21.1/5.76 Mbps',"b'2018, December'","b'Available. Released 2019, January'",b'250.8 x 158.8 x 10.2 mm (9.87 x 6.25 x 0.40 in)',b'510 g (1.12 lb)',"b'Dual SIM (Mini-SIM, dual stand-by)'",b'IPS LCD',"b'10.1 inches, 295.8 cm2 (~74.3% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~149 ppi density)'",b'Android 8.0 Oreo (Go edition)',b'Spreadtrum SC7731',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDHC',b'8GB 1GB RAM',,b'LED flash',b'720p@30fps',b'5 MP',,b'480p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 4700 mAh, non-removable'",,"b'Black, White, Gold'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'2 MP',,,b'Up to 72 h',b'Up to 3 h 30 min',,,,,,,,,,,,,,,,,
b'plum',b'Plum Flipper 2',b'https://fdn2.gsmarena.com/vv/bigpic/plum-flipper-2.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Flashlight',,,,,"b'2018, December'","b'Available. Released 2018, December'",b'99.9 x 52 x 14.9 mm (3.93 x 2.05 x 0.59 in)',b'76 g (2.68 oz)',b'Dual SIM',"b'TFT, 65K colors'","b'2.4 inches, 17.8 cm2 (~34.3% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",,b'Mediatek MT6261D',,,b'microSDHC',"b'32MB ROM, 32MB RAM'",,,b'Yes',b'1.3 MP',,,b'Yes',b'No',b'No',b'2.0',b'No',b'No',b'FM radio',b'microUSB 2.0',b'',"b'Li-Ion 750 mAh, removable'",,"b'Black, Red, Blue'",,,,,,b'No',b'MP3/WAV/AAC player Photo/video editor Document viewer',,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 150 h',b'Up to 4 h',,b'Yes',b'No',b'Yes',b'Yes',b'SMS',b'No',b'No',,,,,,,,,
b'plum',b'Plum Ram 8',b'https://fdn2.gsmarena.com/vv/bigpic/plum-ram8.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'IP68 dust/water resistant (up to 1.5m for 30 mins) Flashlight',b'HSDPA 850 / 1900 / 2100',,,b'HSPA 21.1/5.76 Mbps',"b'2018, December'","b'Available. Released 2018, December'",b'111.5 x 57.5 x 22 mm (4.39 x 2.26 x 0.87 in)',b'134 g (4.73 oz)',"b'Dual SIM (Mini-SIM, dual stand-by)'","b'TFT, 256K colors'","b'2.4 inches, 17.8 cm2 (~27.8% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",,b'Mediatek MT6276A',,b'No',b'microSDHC',b'128MB 64MB RAM',,b'LEd flash',b'240p@15fps',b'5 MP',,,b'Yes',b'Yes',b'No',b'3.0',b'No',b'No',b'FM radio; built-in antenna',b'microUSB 2.0',b'',"b'Li-Ion 1200 mAh, removable'",,"b'Black, Black/Orange'",,,,,,b'',b'MP4/H.264 player MP3 player Photo editor',,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 120 h (3G)',b'Up to 8 h (3G)',,,,b'Yes',b'Yes',"b'SMS, MMS'",b'No',b'Yes',,,,,,,,,
b'plum',b'Plum Gator 5',b'https://fdn2.gsmarena.com/vv/bigpic/plum-gator-5.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'IP68 dust/water resistant (up to 1.2m for 30 mins) Drop-to-concrete resistance (up to 1.8m)',b'HSDPA 850 / 1900 / 2100',,,b'HSPA 21.1/5.76 Mbps',"b'2018, October'","b'Available. Released 2018, November'",b'148 x 76.3 x 12 mm (5.83 x 3.00 x 0.47 in)',b'210 g (7.41 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.2 inches, 74.5 cm2 (~66.0% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~282 ppi density)'",b'Android 8.1 (Oreo)',b'Mediatek MT6580 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'microSDXC',b'16GB 2GB RAM',,b'LED flash',b'720p@30fps',"b'13 MP, AF'",,b'480p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 3700 mAh, non-removable'",,"b'Black, Orange'",,,,b'Panda Glass',,,,,,,,,,,,,,,,,,,,,,,,,b'5 MP',,,b'Up to 528 h (3G)',b'Up to 46 h (3G)',,,,,,,,,,,,,,,,,
b'plum',b'Plum Tag 3G',b'https://fdn2.gsmarena.com/vv/bigpic/plum-tag-3g.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Flashlight',b'HSDPA 850 / 1900',,,"b'Yes, 384 kbps'","b'2018, March'","b'Available. Released 2018, March'",b'126.5 x 55 x 15 mm (4.98 x 2.17 x 0.59 in)',b'82 g (2.89 oz)',b'Dual SIM',"b'TFT, 256K colors'","b'2.4 inches, 17.8 cm2 (~25.6% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",,b'Spreadtrum 7701B',,,b'microSDHC',"b'128MB ROM, 64MB RAM'",,,b'Yes',b'1.3 MP',,,b'Yes',b'Yes',b'No',"b'2.1, EDR'",b'No',b'No',b'FM radio',b'microUSB 2.0',b'',"b'Li-Ion 800 mAh, removable'",,"b'Black, Gold'",,,,,,b'No',b'Audio player Document viewer',,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 120 h',b'Up to 4 h',,,,b'Yes',b'Yes',b'SMS',b'No',b'No',,,,,,,,,
b'plum',b'Plum Optimax 11',b'https://fdn2.gsmarena.com/vv/bigpic/plum-z811.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 1900 / 2100',,,b'HSPA 21.1/11 Mbps',"b'2018, March'","b'Available. Released 2018, April'",b'208 x 123 x 10 mm (8.19 x 4.84 x 0.39 in)',b'330 g (11.64 oz)',"b'Dual SIM (Mini-SIM, dual stand-by)'",b'IPS LCD',"b'8.0 inches, 185.6 cm2 (~72.5% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~189 ppi density)'",b'Android 6.0 (Marshmallow)',b'Spreadtrum SC7731G',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDHC',b'16GB 1GB RAM',,b'LED flash',b'720p@30fps',b'5 MP',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'",b'2.1',"b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',b'Li-Ion 3500 mAh battery',,"b'Black, White, Gray, Gold, Rose Gold'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'2 MP',,,b'Up to 800 h',b'Up to 40 h',,,,,,,,,,,,,,,,,
b'plum',b'Plum Optimax 12',b'https://fdn2.gsmarena.com/vv/bigpic/plum-z712.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 1900 / 2100',,,b'HSPA 21.1/5.76 Mbps',"b'2018, March'","b'Available. Released 2018, April'",b'188 x 107.5 x 10.3 mm (7.40 x 4.23 x 0.41 in)',b'272 g (9.59 oz)',"b'Dual SIM (Mini-SIM, dual stand-by)'",b'TN TFT',"b'7.0 inches, 137.9 cm2 (~68.2% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio (~170 ppi density)'",b'Android 6.0 (Marshmallow)',b'Mediatek MT8321 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDHC',b'8GB 1GB RAM',,b'LED flash',b'720p@30fps',b'5 MP',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',b'Li-Ion 2400 mAh battery',,"b'Black, Silver, Rose Gold'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'2 MP',,,b'Up to 132 h',b'Up to 3 h',,,,,,,,,,,,,,,,,
b'plum',b'Plum Optimax 2',b'https://fdn2.gsmarena.com/vv/bigpic/plum-z702n.jpg',b'No cellular connectivity',b'N/A',,,,,,"b'2018, March'","b'Available. Released 2018, April'",b'192 x 109.7 x 11.5 mm (7.56 x 4.32 x 0.45 in)',b'270 g (9.52 oz)',b'No',b'TN TFT',"b'7.0 inches, 137.9 cm2 (~65.5% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio (~170 ppi density)'",b'Android 6.0 (Marshmallow)',,b'Quad-core 1.2 GHz Cortex-A7',b'Mali-400',b'microSDHC',b'8GB 1GB RAM',,,b'720p@30fps',b'5 MP',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'",b'2.1',b'No',b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',b'Li-Ion 2400 mAh battery',,"b'Black, Silver, Pink, Gold, Rose Gold'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'2 MP',,,b'Up to 170 h',b'Up to 12 h',,b'No',b'No',,,,,,,,,,,,,,
