Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Build,Protection,Quad,_1,_1_1,128GB 8GB RAM,Dual,32GB 2GB RAM,32GB 3GB RAM,SAR,128GB 4GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,64GB 4GB RAM,8GB 1GB RAM,256GB 8GB RAM,256GB 12GB RAM,SAR EU,512GB 12GB RAM,Audio quality,64GB 3GB RAM,256GB 6GB RAM,Single_1,64GB 6GB RAM,Dual_1,Stand-by,Talk time,Infrared port,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Alert types,Languages,Clock,Alarm,Stand-by_1,Talk time_1,Music play
b'posh',b'Posh Memo Pro LTE L600',b'https://fdn2.gsmarena.com/vv/bigpic/posh-l600.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 1900 / 2100 - L600B',b'HSDPA 850 / 1700 / 2100 - L600A',"b'2, 4, 5, 7, 17 - L600A'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2016, August'","b'Available. Released 2016, December'",b'161.5 x 85.6 x 7.9 mm (6.36 x 3.37 x 0.31 in)',b'187.6 g (6.63 oz)',b'Dual SIM',b'IPS LCD',"b'6.0 inches, 99.2 cm2 (~71.8% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~245 ppi density)'",b'Android 5.1 (Lollipop)',b'Mediatek MT6735 (28 nm)',b'Quad-core 1.0 GHz Cortex-A53',b'Mali-T720',b'microSDXC',b'16GB 1GB RAM',,b'LED flash',b'1080p@30fps',"b'8 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',b'Li-Po 2700 mAh battery',,"b'Black, White'",,,,,,"b'1, 3, 7, 8, 20 - L600B'",,,,,,,,,,,,,,,,,,,,,,,b'5 MP',,,b'Up to 180 h (3G)',b'Up to 5 h 30 min (3G)',,,,,,,,,,,,,,,,,
b'posh',b'Posh Equal Plus X700',b'https://fdn2.gsmarena.com/vv/bigpic/posh-x700.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 1900 / 2100',,,b'HSPA',"b'2016, September'","b'Available. Released 2017, January'",b'192.1 x 107.9 x 9.9 mm (7.56 x 4.25 x 0.39 in)',b'275 g (9.70 oz)',b'Dual SIM',b'IPS LCD',"b'7.0 inches, 137.9 cm2 (~66.5% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio (~170 ppi density)'",b'Android 6.0 (Marshmallow)',b'Mediatek MT8321 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDXC',b'16GB 1GB RAM',,b'LED flash',b'Yes',b'5 MP',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',b'Li-Po 2650 mAh battery',,"b'Black, Silver, Rose Gold'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'2 MP',,,b'Up to 176 h (3G)',b'Up to 5 h (3G)',,,,,,,,,,,,,,,,,
b'posh',b'Posh Ultra Max LTE L550',b'https://fdn2.gsmarena.com/vv/bigpic/posh-um-l550.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.0',b'HSDPA 850 / 1900 / 2100',"b'2, 3, 4, 7, 17, 12, 20'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2016, August'","b'Available. Released 2016, December'",b'152.1 x 76.8 x 7.3 mm (5.99 x 3.02 x 0.29 in)',b'177 g (6.24 oz)',b'Dual SIM',b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",b'Android 6.0 (Marshmallow)',b'Mediatek MT6737 (28 nm)',b'Quad-core 1.25 GHz Cortex-A53',b'Mali-T720',b'microSDXC',b'16GB 1GB RAM',,b'LED flash',b'1080p@30fps',"b'8 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Li-Po 2700 mAh battery',,"b'Black, Gold, White'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'2 MP',,,b'Up to 180 h (3G)',b'Up to 5 h 30 min (3G)',,,,,,,,,,,,,,,,,
b'posh',b'Posh Kick Pro LTE L520',b'https://fdn2.gsmarena.com/vv/bigpic/posh-Kick_Pro_LTE_L520.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 1700(AWS) / 1900 / 2100',"b'2, 4, 7, 17'",,"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2015, November'","b'Available. Released 2016, April'",b'142.5 x 71.5 x 8.6 mm (5.61 x 2.81 x 0.34 in)',b'130 g (4.59 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~67.6% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 6.0 (Marshmallow)',b'Mediatek MT6735P (28 nm)',b'Quad-core 1.0 GHz Cortex-A53',b'Mali-T720MP2',b'microSDHC',b'8GB 1GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'8 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2000 mAh, removable'",,"b'White, Gold, Gray'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'5 MP',,,,,,,,,,,,,,,,,,,,,
b'posh',b'Posh Optima LTE L530',b'https://fdn2.gsmarena.com/vv/bigpic/posh-Optima_LTE_L530.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 1900 / 2100',"b'2, 4, 7, 17'",,"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2016, February'","b'Available. Released 2016, April'",b'143.5 x 69.4 x 8 mm (5.65 x 2.73 x 0.31 in)',b'133 g (4.69 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~69.2% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 5.1 (Lollipop)',b'Mediatek MT6753 (28 nm)',b'Octa-core 1.3 GHz Cortex-A53',b'Mali-400',b'microSDHC',b'16GB 2GB RAM',,"b'Dual-LED flash, panorama, HDR'",b'1080p@30fps',"b'13 MP, f/2.2, 1/3.1"", 1.12\xc2\xb5m, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'No',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity, compass'","b'Li-Po 3000 mAh, non-removable'",,"b'Black, Gold'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"b'13 MP, f/2.2, 1/3"", AF'",,,b'Up to 400 h (2G) / Up to 300 h (3G)',b'Up to 10 h (2G) / Up to 8 h (3G)',,,,,,,,,,,,,,,,,
b'posh',b'Posh Icon HD X551',b'https://fdn2.gsmarena.com/vv/bigpic/posh-Icon_HD_X551.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 1900 / 2100',,,b'HSPA 21.1/5.76 Mbps',"b'2015, November'","b'Available. Released 2016, January'",b'153.2 x 79 x 8.2 mm (6.03 x 3.11 x 0.32 in)',b'115 g (4.06 oz)',"b'Dual SIM (Micro-SIM/ Mini-SIM, dual stand-by)'",b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~68.9% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",b'Android 5.1 (Lollipop)',b'Mediatek MT6580A (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'microSDHC',b'16GB 1GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'8 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot'","b'4.0, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Po 2100 mAh, removable'",,"b'Dark Grey, White, Gold, Rose Gold, Silver'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'2 MP',,,b'Up to 700 h (2G) / Up to 250 h (3G)',b'Up to 22 h (2G) / Up to 12 h (3G)',,,,,,,,,,,,,,,,,
b'posh',b'Posh Volt LTE L540',b'https://fdn2.gsmarena.com/vv/bigpic/posh-Volt_LTE_L540.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 1900 / 2100',"b'2, 3, 4, 7, 17'",,"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2016, March'","b'Available. Released 2016, May'",b'143.8 x 72 x 10 mm (5.66 x 2.83 x 0.39 in)',b'167.5 g (5.93 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.6% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 5.1 (Lollipop)',b'Mediatek MT6735P (28 nm)',b'Quad-core 1.0 GHz Cortex-A53',b'Mali-T720MP2',b'microSDXC',b'16GB 3GB RAM',,"b'LED flash, panorama, HDR'",b'1080p@30fps',"b'8 MP, f/2.4, 1/4.0"", 1.12\xc2\xb5m, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Po 4000 mAh, non-removable'",b'Charging 10W',"b'Grey, Gold, Rose Gold'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"b'5 MP, f/2.2, 1/5"", 1.12\xc2\xb5m'",,,b'Up to 600 h (2G) / Up to 300 h (3G)',b'Up to 16 h (2G) / Up to 12 h (3G)',,,,,,,,,,,,,,,,,
b'posh',b'Posh Volt Max LTE L640',b'https://fdn2.gsmarena.com/vv/bigpic/posh-Volt_Max_LTE_L640.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 1900 / 2100',"b'2, 3, 4, 7, 17'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2016, March'","b'Available. Released 2016, June'",b'176 x 89.3 x 8.1 mm (6.93 x 3.52 x 0.32 in)',b'230 g (8.11 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'6.44 inches, 123.5 cm2 (~78.6% screen-to-body ratio)'","b'1280 x 1920 pixels, 3:2 ratio (~358 ppi density)'",b'Android 5.1 (Lollipop)',b'Mediatek MT6753 (28 nm)',b'Octa-core 1.3 GHz Cortex-A53',b'Mali-T760MP2',b'No',"b'32GB 3GB RAM, 64GB 3GB RAM'",,"b'LED flash, panorama, HDR'",b'1080p@30fps',"b'13 MP, f/2.4, 1/3.1"", 1.12\xc2\xb5m, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'No',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity, compass'","b'Li-Po 6000 mAh, non-removable'",b'Charging 10W',"b'Grey, Gold, Rose Gold'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"b'8 MP, f/2.2, 1/4"", 1.12\xc2\xb5m'",,,b'Up to 600 h (2G) / Up to 400 h (3G)',b'Up to 16 h (2G) / Up to 8 h (3G)',,,,,,,,,,,,,,,,,
b'posh',b'Posh Equal Pro LTE L700',b'https://fdn2.gsmarena.com/vv/bigpic/posh-Equal_Pro_LTE_L700.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 1900 / 2100',"b'2, 4, 7, 17'",,"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2016, February'","b'Available. Released 2016, March'",b'192 x 101.6 x 8.4 mm (7.56 x 4.0 x 0.33 in)',b'248 g (5.22 oz)',"b'Dual SIM (Micro-SIM/ Mini-SIM, dual stand-by)'",b'IPS LCD',"b'6.95 inches, 133.2 cm2 (~68.3% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~211 ppi density)'",b'Android 5.1 (Lollipop)',b'Mediatek MT8735P',b'Quad-core 1.0 GHz Cortex-A53',b'Mali-T720MP2',b'microSDHC',b'16GB 1GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'5 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, compass'","b'Li-Po 2800 mAh, non-removable'",,"b'Black, White, Blue'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'2 MP',,,b'Up to 900 h (2G) / Up to 800 h (3G)',b'Up to 24 h (2G) / Up to 15 h (3G)',,,,,,,,,,,,,,,,,
b'posh',b'Posh Primo Plus C353',b'https://fdn2.gsmarena.com/vv/bigpic/posh-plus-c353.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 2100 - C353B',b'HSDPA 850 / 1900 - C353A',,,b'HSPA 21.1/5.76 Mbps',"b'2015, May. Released 2015, August'",b'Discontinued',b'116 x 63 x 10.4 mm (4.57 x 2.48 x 0.41 in)',b'96.1 g (3.39 oz)',"b'Dual SIM (Mini-SIM, dual stand-by)'",b'TFT',"b'3.5 inches, 36.5 cm2 (~49.9% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'",b'Android 4.4.2 (KitKat)',b'Spreadtrum SC7715',b'1.0 GHz',,b'microSDHC',b'512MB 256MB RAM',,,b'Yes',b'VGA',,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, EDR'",b'No',b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',b'Li-Po 1300 mAh battery',,"b'Black, White, Blue, Pink, Yellow'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'VGA',,,b'Up to 260 h (2G) / Up to 220 h (3G)',b'Up to 5 h 30 min (2G) / Up to 5 h (3G)',,,,,,,,,,,,,,,,,
