Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Build,Protection,Quad,_1,_1_1,128GB 8GB RAM,Dual,32GB 2GB RAM,32GB 3GB RAM,SAR,128GB 4GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,64GB 4GB RAM,8GB 1GB RAM,256GB 8GB RAM,256GB 12GB RAM,SAR EU,512GB 12GB RAM,Audio quality,64GB 3GB RAM,256GB 6GB RAM,Single_1,64GB 6GB RAM,Dual_1,Stand-by,Talk time,Infrared port,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Alert types,Languages,Clock,Alarm,Stand-by_1,Talk time_1,Music play
b'prestigio',b'Prestigio MultiPhone 5508 Duo',b'https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5508-duo.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',,,b'HSPA 21.1/5.76 Mbps',b'2014. Released 2014',b'Discontinued',b'142.5 x 70.8 x 8.3 mm (5.61 x 2.79 x 0.33 in)',b'129 g (4.55 oz)',"b'Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~68.3% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 4.4.2 (KitKat)',b'Mediatek MT6592 (28 nm)',b'Octa-core 1.7 GHz Cortex-A7',b'Mali-450MP4',b'No',b'16GB 1GB RAM',,b'Dual-LED flash',b'Yes',"b'13 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'","b'Li-Ion 2300 mAh, non-removable'",,b'Black/metal',,,,b'Asahi Dragontrail Glass',,,,,,,,,,,,,,,,,,,,,,,,,b'5 MP',,,b'Up to 545 h',b'Up to 34 h',,,,,,,,,,,,,,,,,b'Up to 77 h'
b'prestigio',b'Prestigio MultiPhone 5504 Duo',b'https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5504-duo.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',,,b'HSPA 21.1/5.76 Mbps',b'2014. Released 2014',b'Discontinued',b'147.1 x 72.5 x 8.5 mm (5.79 x 2.85 x 0.33 in)',b'160 g (5.64 oz)',"b'Dual SIM (Mini-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~64.6% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~220 ppi density)'",b'Android 4.4.2 (KitKat)',b'Mediatek MT6582M (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'microSDHC',b'8GB 1GB RAM',,b'LED flash',b'Yes',"b'8 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 1950 mAh, removable'",,"b'Black, metal, white'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'2 MP',,,b'Up to 696 h',b'Up to 27 h',,,,,,,,,,,,,,,,,b'Up to 78 h'
b'prestigio',b'Prestigio MultiPhone 5503 Duo',b'https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5503-duo.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',,,b'HSPA 21.1/5.76 Mbps',b'2014. Released 2014',b'Discontinued',b'144 x 73.3 x 10.9 mm (5.67 x 2.89 x 0.43 in)',b'170 g (6.00 oz)',"b'Dual SIM (Mini-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~220 ppi density)'",b'Android 4.2 (Jelly Bean)',b'Mediatek MT6582 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'microSDHC',b'4GB 1GB RAM',,b'LED flash',b'Yes',b'8 MP',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'3.0',"b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 4000 mAh, removable'",,b'Black',,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'2 MP',,,b'Up to 1300 h',b'Up to 47 h',,,,,,,,,,,,,,,,,b'Up to 146 h'
b'prestigio',b'Prestigio MultiPhone 8500 Duo',b'https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-8500-duo.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 4.5',b'HSDPA 900 / 2100',,,b'HSPA 21.1/5.76 Mbps',"b'2014, July. Released 2014, August'",b'Discontinued',b'8.5 mm thickness',b'-',b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Microsoft Windows Phone 8.1',b'Qualcomm MSM8212 Snapdragon 200 (28 nm)',b'Quad-core 1.2 GHz Cortex-A7',b'Adreno 302',b'microSDHC',b'8GB 1GB RAM',,"b'LED flash, panorama'",b'Yes',"b'8 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2000 mAh, removable'",,"b'Black, White'",,b'About 170 EUR',,b'Corning Gorilla Glass',,,,,,,,,,,,,,,,,,,,,,,,,b'2 MP',,,b'Up to 984 h',b'Up to 57 h',,,,,,,,,,,,,,,,,b'Up to 176 h'
b'prestigio',b'Prestigio MultiPhone 8400 Duo',b'https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-8400-duo.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 4.5',b'HSDPA 900 / 2100',,,b'HSPA 21.1/5.76 Mbps',"b'2014, July. Released 2014, August'",b'Discontinued',b'11 mm thickness',b'-',b'Dual SIM',b'IPS LCD',"b'4.0 inches, 45.5 cm2'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",b'Microsoft Windows Phone 8.1',b'Qualcomm MSM8212 Snapdragon 200 (28 nm)',b'Quad-core 1.2 GHz Cortex-A7',b'Adreno 302',b'microSDHC',b'4GB 512MB RAM',,"b'LED flash, panorama'",b'Yes',"b'8 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2000 mAh, removable'",,"b'Black, White'",,b'About 90 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,b'VGA',,,b'Up to 456 h',b'Up to 29 h',,,,,,,,,,,,,,,,,b'Up to 75 h'
b'prestigio',b'Prestigio MultiPad 4 Quantum 10.1 3G',b'https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad4-quantum-101.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HDMI port',b'HSDPA 900 / 2100',,,b'HSPA 7.2/5.76 Mbps',"b'2014, Q1. Released 2014, Q1'",b'Discontinued',b'260 x 170 x 9.5 mm (10.24 x 6.69 x 0.37 in)',b'612 g (1.35 lb)',b'Micro-SIM',b'IPS LCD',"b'10.1 inches, 295.8 cm2 (~66.9% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~149 ppi density)'",b'Android 4.2 (Jelly Bean)',b'Rockchip RK3188',b'Quad-core 1.6 GHz Cortex-A9',b'Mali-400MP4',b'microSDHC (dedicated slot)',b'16GB 1GB RAM',,,b'Yes',b'2 MP',,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'3.0',b'No',b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'",b'Accelerometer',"b'Li-Po 7000 mAh, non-removable'",,b'Black/Deep Blue',,b'About 220 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,b'VGA',,,b'Up to 336 h',b'Up to 8 h 30 min',,,,,,,,,,,,,,,,,b'Up to 32 h'
b'prestigio',b'Prestigio MultiPad 4 Quantum 9.7 Colombia',b'https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad4-quantum-97.jpg',b'No cellular connectivity',b'N/A',b'HDMI port',,,,,"b'2014, Q1. Released 2014, Q1'",b'Discontinued',b'241.5 x 185 x 9.2 mm (9.51 x 7.28 x 0.36 in)',b'621 g (1.37 lb)',b'No',b'IPS LCD',"b'9.7 inches, 291.4 cm2 (~65.2% screen-to-body ratio)'","b'1536 x 2048 pixels, 4:3 ratio (~264 ppi density)'",b'Android 4.2 (Jelly Bean)',b'Rockchip RK3188',b'Quad-core 1.6 GHz Cortex-A9',b'Mali-400MP4',b'microSDHC (dedicated slot)',b'16GB 2GB RAM',,,b'Yes',b'5 MP',,b'',"b'Yes, with stereo speakers'",b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'",b'No',b'No',b'No',"b'microUSB 2.0, USB On-The-Go'",b'Accelerometer',"b'Li-Po 8000 mAh, non-removable'",,b'Black/Deep Blue',,b'About 200 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,b'2 MP',,,,,,b'No',b'No',,,,,,,,,,,,,,
b'prestigio',b'Prestigio MultiPad 4 Ultra Quad 8.0 3G',b'https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad4-quad-80-3g.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',,b'HSDPA 900 / 2100',,,b'HSPA 21.1/11.5 Mbps',"b'2014, Q1. Released 2014, Q1'",b'Discontinued',b'204.3 x 157.2 x 9.8 mm (8.04 x 6.19 x 0.39 in)',b'450 g (0.99 lb)',b'Micro-SIM',b'IPS LCD',"b'8.0 inches, 198.2 cm2 (~61.7% screen-to-body ratio)'","b'768 x 1024 pixels, 4:3 ratio (~160 ppi density)'",b'Android 4.2 (Jelly Bean)',b'Mediatek MT8389',b'Quad-core 1.2 GHz Cortex-A7',b'PowerVR SGX544',b'microSDHC (dedicated slot)',b'16GB 1GB RAM',,,b'Yes',b'5 MP',,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Po 4600 mAh, non-removable'",,"b'Black, White'",,b'About 190 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,b'2 MP',,,b'Up to 510 h',b'Up to 6 h',,,,,,,,,,,,,,,,,b'Up to 10 h'
b'prestigio',b'Prestigio MultiPhone 7600 Duo',b'https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-7600-duo.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',,,b'HSPA',"b'2014, Q1. Released 2014, Q1'",b'Discontinued',b'166.5 x 84.4 x 8.4 mm (6.56 x 3.32 x 0.33 in)',b'191 g (6.74 oz)',b'Dual SIM',b'IPS LCD',"b'6.0 inches, 99.2 cm2 (~70.6% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~245 ppi density)'",b'Android 4.2 (Jelly Bean)',,b'Quad-core 1.5 GHz',,b'microSDHC',b'4GB 1GB RAM',,b'LED flash',b'Yes',"b'13 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'Yes',b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'","b'Li-Po 2600 mAh, removable'",,b'Black',,b'About 270 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,b'8 MP',,,b'Up to 414 h',b'Up to 14 h',,,,,,,,,,,,,,,,,b'Up to 33 h'
b'prestigio',b'Prestigio MultiPhone 7500',b'https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-7500.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900',,b'HSDPA 900 / 2100',,,b'HSPA',"b'2014, Q1. Released 2014, Q1'",b'Discontinued',b'144 x 70.5 x 9.9 mm (5.67 x 2.78 x 0.39 in)',b'146 g (5.15 oz)',b'Micro-SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~67.9% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~441 ppi density)'",b'Android 4.2 (Jelly Bean)',b'Mediatek MT6589T (28 nm)',b'Quad-core 1.5 GHz Cortex-A7',b'PowerVR SGX544MP2',b'microSDHC (dedicated slot)',"b'16GB 1GB RAM, 32GB 2GB RAM'",,b'LED flash',b'Yes',"b'13 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'Yes',b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'","b'Li-Po 2300 mAh, non-removable'",,"b'Black, White'",,b'About 280 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,b'8 MP',,,,,,,,,,,,,,,,,,,,,
