Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Build,Protection,Quad,_1,_1_1,128GB 8GB RAM,Dual,32GB 2GB RAM,32GB 3GB RAM,SAR,128GB 4GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,64GB 4GB RAM,8GB 1GB RAM,256GB 8GB RAM,256GB 12GB RAM,SAR EU,512GB 12GB RAM,Audio quality,64GB 3GB RAM,256GB 6GB RAM,Single_1,64GB 6GB RAM,Dual_1,Stand-by,Talk time,Infrared port,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Alert types,Languages,Clock,Alarm,Stand-by_1,Talk time_1,Music play
b'qmobile',b'QMobile Noir A1',b'https://fdn2.gsmarena.com/vv/bigpic/QMobile_Noir_A1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 3, 5, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2017, June'","b'Available. Released 2017, July'",b'154.5 x 76.5 x 8.3 mm (6.08 x 3.01 x 0.33 in)',b'182 g (6.42 oz)',"b'Hybrid Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~70.6% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'","b'Android 7 (Nougat), Amigo OS 4'",b'Mediatek MT6755 Helio P10 (28 nm)',b'Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',b'Mali-T860MP2',b'microSDXC (uses shared SIM slot)',b'64GB 4GB RAM',,"b'LED flash, panorama, HDR'",b'1080p@30fps',"b'13 MP, f/2.0, 1/3.1"", 1.12\xc2\xb5m, PDAF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 4010 mAh, non-removable'",b'Charging 10W',"b'Black, Gray, Gold'",b'Noir A1',b'About 27500 INR',,b'Corning Gorilla Glass (unspecified version)',,,,,,,,,,,,,,,,,,,,,,,,,"b'16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0\xc2\xb5m'",,,,,,,,,,,,,,,,,,,,,
b'qmobile',b'QMobile Noir E2',b'https://fdn2.gsmarena.com/vv/bigpic/QMobile_Noir_E2-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 2100',"b'3, 5'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2017, June'","b'Available. Released 2017, June'",b'148.7 x 72.4 x 9.1 mm (5.85 x 2.85 x 0.36 in)',b'-',b'Hybrid Dual SIM',b'IPS LCD',"b'5.2 inches, 74.5 cm2 (~69.2% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~282 ppi density)'",b'Android 7.0 (Nougat)',b'Mediatek MT6755 Helio P10 (28 nm)',b'Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',b'Mali-T860MP2',b'microSDXC (uses shared SIM slot)',b'16GB 3GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'13 MP, f/2.2, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (front-mounted), accelerometer, proximity, compass'","b'Li-Po 4000 mAh, removable'",,b'Gold',b'E2 Noir',b'About 15500 INR',,,,,,,,,,,,,,,,,,,,,,,,,,,"b'8 MP, f/2.2'",,,,,,,,,,,,,,,,,,,,,
b'qmobile',b'QMobile J7 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/QMobile_J7_Pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.0',b'HSDPA 850 / 1700(AWS) / 1900 / 2100',"b'3, 5, 40, 41'",,"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2017, May'","b'Available. Released 2017, May'",b'154 x 76.6 x 9.2 mm (6.06 x 3.02 x 0.36 in)',b'175 g (6.17 oz)',"b'Hybrid Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~70.7% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",b'Android 6.0 (Marshmallow)',b'Mediatek MT6737T (28 nm)',b'Quad-core 1.4 GHz Cortex-A53',b'Mali-T720',b'microSDXC (uses shared SIM slot)',b'32GB 3GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'13 MP, PDAF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity, compass'","b'Li-Po 3150 mAh, non-removable'",,"b'Gold, Blue'",,b'About 18000 INR',,b'Corning Gorilla Glass 3',,,,,,,,,,,,,,,,,,,,,,,,,b'8 MP',,,,,,,,,,,,,,,,,,,,,
b'qmobile',b'QMobile M6',b'https://fdn2.gsmarena.com/vv/bigpic/QMobile_M6.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 900 / 1900 / 2100',"b'3, 5, 40'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2017, March'","b'Available. Released 2017, March'",b'152.3 x 75.3 x 8.2 mm (6.00 x 2.96 x 0.32 in)',b'180 g (6.35 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'",b'AMOLED',"b'5.5 inches, 83.4 cm2 (~72.7% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'","b'Android 6.0 (Marshmallow), Amigo 3.5'",b'Mediatek MT6755 Helio P10 (28 nm)',b'Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',b'Mali-T860MP2',b'microSDXC (dedicated slot)',b'64GB 4GB RAM',,"b'LED flash, panorama, HDR'",b'1080p@30fps',"b'13 MP, f/2.0, 1/3.1"", 1.12\xc2\xb5m, PDAF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',"b'FM radio, recording'","b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Charging 10W Reverse charging',"b'Gold, Coffee'",,b'About 29500 INR',,,,,,,,,,,,,,,,,,,,,,,,,,,"b'8 MP, f/2.2, 1/4"", 1.12\xc2\xb5m'",,,,,b'Yes',,,,,,,,,,,,,,,,
b'qmobile',b'QMobile M6 Lite',b'https://fdn2.gsmarena.com/vv/bigpic/QMobile_M6_Lite.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.0',b'HSDPA 900 / 2100',"b'3, 5, 40'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2017, March'","b'Available. Released 2017, March'",b'144 x 71 x 10 mm (5.67 x 2.80 x 0.39 in)',b'184 g (6.49 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~67.4% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 6.0 (Marshmallow)',b'Mediatek MT6737 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-T720MP2',b'microSDXC (dedicated slot)',b'16GB 3GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'13 MP, f/2.2, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Po 4000 mAh, removable'",,b'Gold',b'M6 Lite',b'About 16500 INR',,,,,,,,,,,,,,,,,,,,,,,,,,,"b'5 MP, f/2.2'",,,,,,,,,,,,,,,,,,,,,
b'qmobile',b'QMobile King Kong Max',b'https://fdn2.gsmarena.com/vv/bigpic/QMobile_KING_KONG_MAX.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 900 / 2100',"b'1, 3, 5, 7, 20, 38, 39, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2017, January'","b'Available. Released 2017, January'",b'149 x 73.2 x 8.2 mm (5.87 x 2.88 x 0.32 in)',b'162 g (5.71 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.3 inches, 77.4 cm2 (~71.0% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~277 ppi density)'",b'Android 6.0 (Marshmallow)',b'Mediatek MT6750 (28 nm)',b'Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',b'Mali-T860MP2',b'microSDXC',b'32GB 3GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'13 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",,b'Gold',,b'About 18500 INR',,,,,,,,,,,,,,,,,,,,,,,,,,,b'5 MP',,,,,,,,,,,,,,,,,,,,,
b'qmobile',b'QMobile M350 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/QMobile_M350_Pro.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 2100',,,b'HSPA 21.1/5.76 Mbps',"b'2017, February'","b'Available. Released 2017, February'",b'145.5 x 71 x 9.4 mm (5.73 x 2.80 x 0.37 in)',b'179 g (6.31 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.7% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'","b'Android 6 (Marshmallow), Amigo 3'",b'Mediatek MT6580M (28 nm)',b'Quad-core 1.3 GHz Cortex-7',b'Mali-400MP2',b'microSDXC (dedicated slot)',b'16GB 2GB RAM',,"b'LED flash, panorama, HDR'",b'1080p@30fps',"b'8 MP, f/2.2, 1/4.0"", AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity'","b'Li-Ion 5000 mAh, non-removable'",,"b'Black, Gold, White'","b'M350, M350 Pro'",,,,,,,,,,,,,,,,,,,,,,,,,,,,"b'5 MP, f/2.4'",,,,,,,,,,,,,,,,,,,,,
b'qmobile',b'QMobile Energy X2',b'https://fdn2.gsmarena.com/vv/bigpic/QMobile_Energy_X2.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 2100',,,b'HSPA',"b'2017, February'","b'Available. Released 2017, February'",b'143 x 73 x 9.9 mm (5.63 x 2.87 x 0.39 in)',b'184 g (6.49 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 6.0 (Marshmallow)',b'Mediatek MT6580M (28 nm)',b'Quad-core 1.3 GHz Cortex-7',b'Mali-400MP2',b'microSDXC (dedicated slot)',b'16GB 2GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'8 MP, f/2.0, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity'","b'Li-Ion 5000 mAh, non-removable'",,"b'Gold, Silver, Gray'",b'ENERGY X2',,,,,,,,,,,,,,,,,,,,,,,,,,,,b'5 MP',,,,,,,,,,,,,,,,,,,,,
b'qmobile',b'QMobile E1',b'https://fdn2.gsmarena.com/vv/bigpic/QMobile_E1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 2100',"b'3, 5'",,"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2017, January'","b'Available. Released 2017, January'",b'143.8 x 72 x 8.9 mm (5.66 x 2.83 x 0.35 in)',b'-',"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.6% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 6.0 (Marshmallow)',b'Mediatek MT6735P (28 nm)',b'Quad-core 1.0 GHz Cortex-A53',b'Mali-T720MP2',b'microSDXC',b'16GB 3GB RAM',,b'LED flash',b'1080p@30fps',"b'8 MP, f/2.2, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Po 4000 mAh, removable'",,"b'Black, Gold'",b'E1',,,,,,,,,,,,,,,,,,,,,,,,,,,,"b'5 MP, f/2.4'",,,,,,,,,,,,,,,,,,,,,
b'qmobile',b'QMobile Noir S6 Plus',b'https://fdn2.gsmarena.com/vv/bigpic/QMobile_S6_Plus.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',,,b'HSPA 21.1/5.76 Mbps',"b'2016, June'","b'Available. Released 2016, June'",b'144.4 x 72.5 x 8.7 mm (5.69 x 2.85 x 0.34 in)',b'150 g (5.29 oz)',b'Dual SIM',b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~79.7% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",b'Android 6.0 (Marshmallow)',b'Mediatek MT6580 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'microSDXC',b'16GB 2GB RAM',,"b'LED flash, panorama, HDR'",b'1080p@30fps',"b'8 MP, f/2.0, 1/4.0"", AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 2500 mAh, removable'",,b'Gold',"b'S6, S6S, S6 PLUS'",,,,,,,,,,,,,,,,,,,,,,,,,,,,"b'5 MP, f/2.0'",,,,,,,,,,,,,,,,,,,,,
