Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,SAR,SAR EU,Price,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 12GB RAM,256GB 12GB RAM,512GB 16GB RAM,Triple,128GB 8GB RAM,256GB 8GB RAM,32GB 3GB RAM,64GB 4GB RAM,128GB 4GB RAM,Dual,128GB 6GB RAM,Single_1,512GB 12GB RAM,8GB 1GB RAM,16GB 1GB RAM,32GB 2GB RAM,64GB 6GB RAM,Audio quality,512GB 8GB RAM,16GB 2GB RAM,4GB 768MB RAM,4GB 1.5GB RAM,GPRS,EDGE,1TB 12GB RAM,32GB 4GB RAM,Triple_1,Dual_1,Stand-by,Talk time,Music play,256GB 6GB RAM,256GB 4GB RAM,Infrared port,Talk time_1,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Stand-by_1,Alert types,Clock,Alarm,Languages
b'sendo',b'Sendo X2',b'https://fdn2.gsmarena.com/vv/bigpic/sex2.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'No',,b'Photo editor AAC/MP3 player SyncML',,,,"b'2005, Q1'",b'Cancelled',b'85 cc',b'95 g (3.35 oz)',,b'Mini-SIM',,"b'TFT, 65K colors'","b'2.2 inches, 35 x 44 mm, 15.2 cm2'",b'176 x 220 pixels (~128 ppi density)',,"b'Symbian, Series 60 UI'",b'TI OMAP 5910',b'120 MHz ARM925T',,b'miniSD',b'32MB',,,b'Yes',b'1.3 MP',,,b'No',b'No',b'No',b'Yes',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion battery',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Yes',b'No',,,,,,,,,,b'Yes',,,,,,,,"b'WAP 2.0/xHTML, HTML'",,b'Vibration; Downloadable polyphonic ringtones',,,
b'sendo',b'Sendo S1',b'https://fdn2.gsmarena.com/vv/bigpic/ses1.gif',b'GSM',b'GSM 900 / 1800',b'Downloadable wallpapers and animated screensavers',,b'No',,,,"b'2005, Q1'",b'Cancelled',b'',b'83 g (2.93 oz)',,b'Mini-SIM',b'Predictive text input Exchangeable covers',b'',b'',"b'96 x 64 pixels, 3:2 ratio'",,,,,,b'No',,,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion battery',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Yes',b'No',,,,,b'Up to 425 h',b'Up to 7 h',,,,,,b'Yes',"b'30 received, dialed and missed calls'","b'SMS, MMS'",b'',b'No',,b'WAP 2.0/xHTML',,b'Vibration; Downloadable polyphonic ringtones',,,
b'sendo',b'Sendo K1',b'https://fdn2.gsmarena.com/vv/bigpic/sek1.gif',b'GSM',b'GSM 900 / 1800',b'5-way navigation key Downloadable wallpapers and animated screensavers',,b'No',,,,"b'2005, Q1'",b'Cancelled',b'',b'',,b'Mini-SIM',b'Predictive text input',b'65K colors',b'',b'',,,,,,b'No',,,,,,,,b'No',b'No',b'No',b'1.2',b'No',,b'No',b'',b'',b'Removable Li-Ion battery',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Yes',b'No',,,,,b'Up to 400 h',b'Up to 7 h',,,,,,b'Yes',"b'30 received, dialed and missed calls'","b'SMS, MMS'",b'Yes',b'No',,b'WAP 2.0/xHTML',,b'Vibration; Downloadable polyphonic ringtones',,,
b'sendo',b'Sendo P600',b'https://fdn2.gsmarena.com/vv/bigpic/sep600.gif',b'GSM',b'GSM 900 / 1800',b'GSM 850 / 1900 - US version',,b'Downloadable wallpapers',,,,"b'2004, Q3'",b'Discontinued',"b'108 x 45 x 20 mm, 76 cc (4.25 x 1.77 x 0.79 in)'",b'85 g (3.00 oz)',,b'Mini-SIM',b'Photo editor Predictive text input',"b'TFT, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",,,,,,b'No',b'3.7MB',,,b'No',b'VGA',,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion battery',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 8',b'No',,,,,b'Up to 380 h',b'Up to 6 h',,,,,,"b'750 entries, Photo call'","b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,b'Vibration; Downloadable polyphonic ringtones',,,
b'sendo',b'Sendo SV663',b'https://fdn2.gsmarena.com/vv/bigpic/sesv663.gif',b'GSM',b'GSM 900 / 1800',"b'Downloadable wallpapers, screensavers 5-way navigation key'",,b'No',,,,"b'2004, Q3'",b'Discontinued',"b'108 x 45 x 19.5 mm, 76 cc (4.25 x 1.77 x 0.77 in)'",b'86 g (3.03 oz)',,b'Mini-SIM',b'Photo editor Predictive text input Exchangeable covers',"b'CSTN, 65K colors'",b'',b'128 x 160 pixels',,,,,,b'No',b'3.3MB',,,b'No',b'VGA',,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 800 mAh battery',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'No',,,,,b'Up to 400 h',b'Up to 7 h',,,,,,"b'250 x 4 fields, Photo call'","b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,"b'Vibration; Downloadable polyphonic, monophonic ringtones'",,,
b'sendo',b'Sendo M570',b'https://fdn2.gsmarena.com/vv/bigpic/sem570.gif',b'GSM',b'GSM 900 / 1800',"b'Second display, inverse, 96 x 64 pixels Downloadable wallpapers'",,b'50 preloaded images for MMS',,,,"b'2004, Q1'",b'Discontinued',"b'82 x 45 x 20 mm, 68 cc (3.23 x 1.77 x 0.79 in)'",b'77 g (2.72 oz)',,b'Mini-SIM',b'Predictive text input Online currency converter with live rates Calculator',"b'UFB, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",,,,,,b'No',b'3.7MB',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 600 mAh battery',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 8',b'No',,,,,b'Up to 400 h',b'Up to 5 h',,,,,,"b'250 x 5 fields, contact groups'","b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS'",b'Yes',b'Yes',,b'WAP 2.0/xHTML',,"b'Vibration; Downloadable polyphonic, monophonic ringtones'",,,
b'sendo',b'Sendo S600',b'https://fdn2.gsmarena.com/vv/bigpic/ses600.gif',b'GSM',b'GSM 900 / 1800',b'GSM 850 / 1900 - US version',,"b'Downloadable wallpapers, screensavers'",,,,"b'2004, Q1'",b'Discontinued',"b'108 x 45 x 20 mm, 76 cc (4.25 x 1.77 x 0.79 in)'",b'83 g (2.93 oz)',,b'Mini-SIM',b'Photo editor Predictive text input',"b'TFT, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",,,,,,b'No',b'3.7MB',,,b'No',b'VGA',,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion battery',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 8',b'No',,,,,b'Up to 450 h',b'Up to 7 h',,,,,,"b'250 x 3  entries, Photo call'","b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS'",b'3 + downloadable',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,b'Vibration; Downloadable polyphonic ringtones',,,
b'sendo',b'Sendo X',b'https://fdn2.gsmarena.com/vv/bigpic/sex.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'No',,b'MP4/MP3 player Sync ML',,,,"b'2003, Q4'",b'Discontinued',"b'110 x 49 x 23 mm, 108 cc (4.33 x 1.93 x 0.91 in)'",b'120 g (4.23 oz)',,b'Mini-SIM',,"b'TFT, 65K colors'","b'2.2 inches, 35 x 44 mm, 15.2 cm2 (~28.3% screen-to-body ratio)'",b'176 x 220 pixels (~128 ppi density)',,"b'Symbian 6.1, Series 60 v1.0 UI'",b'TI OMAP 5910',b'120 MHz ARM925T',,b'MMC/SD',b'32MB',,b'LED flash',b'Yes',b'VGA',,,b'No',b'No',b'No',b'1.1',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Po 1050 mAh battery',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 8',b'No',,,,,b'Up to 170 h',b'Up to 7 h',,,,b'Yes',,,,,,,,"b'WAP 2.0/xHTML, HTML with SSL'",,b'Vibration; Downloadable polyphonic ringtones',,,
b'sendo',b'Sendo S360',b'https://fdn2.gsmarena.com/vv/bigpic/ses360.gif',b'GSM',b'GSM 900 / 1800',b'Downloadable wallpapers and animated screensavers',,b'No',,,,"b'2004, Q4'",b'Discontinued',"b'108 x 45 x 19 mm, 77 cc (4.25 x 1.77 x 0.75 in)'",b'83 g (2.93 oz)',,b'Mini-SIM',b'Predictive text input Exchangeable covers',"b'CSTN, 65K colors'",b'',"b'128 x 128 pixels,, 1:1 ratio'",,,,,,b'No',b'2MB',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion battery',,"b'Black, Blue'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 8',b'No',,,,,b'Up to 400 h',b'Up to 7 h',,,,,,"b'250 entries, Picture call'","b'30 received, dialed and missed calls'","b'SMS, EMS, MMS'","b'5 - Funny Farmer, Solitaire, Sumito, Tenpin, Splat+ downloadable'",b'No',,b'WAP 2.0/xHTML',,b'Vibration; Downloadable polyphonic ringtones',,,
b'sendo',b'Sendo S330',b'https://fdn2.gsmarena.com/vv/bigpic/ses330.gif',b'GSM',b'GSM 900 / 1800',b'Soft keys Downloadable icons',,b'20 short messages',,,,"b'2003, Q4'",b'Discontinued',"b'108 x 47 x 21 mm, 79 cc (4.25 x 1.85 x 0.83 in)'",b'81 g (2.86 oz)',,b'Mini-SIM',b'Predictive text input',"b'CSTN, 4096 colors'",b'',"b'98 x 67 pixels, 5 lines, 3:2 ratio'",,,,,,b'No',,,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion battery',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 8',b'No',,,,,b'Up to 480 h',b'Up to 7 h',,,,,,b'500',"b'10 received, 10 dialed and 10 missed calls'","b'SMS, EMS'",b'Downloadable',b'No',,b'WAP 1.2.1',,b'Vibration; Downloadable monophonic - iMelody and Nokia format ringtones',,,b'6 preloaded languages'
b'sendo',b'Sendo S300',b'https://fdn2.gsmarena.com/vv/bigpic/ses300.gif',b'GSM',b'GSM 900 / 1800',b'Soft keys',,b'Message templates SMS smileys',,,,"b'2003, Q1'",b'Discontinued',b'107 x 47 x 21 mm (4.21 x 1.85 x 0.83 in)',b'90 g (3.17 oz)',,b'Mini-SIM',"b'Predictive text input User changeable front housing, back housing and keypad'",b'Monochrome graphic',b'',"b'96 x 64 pixels, 5 lines, 3:2 ratio'",,,,,,b'No',,,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 600 mAh battery',,"b'4 - Midnight, Ink Blue, Frosty Mint, Pepper Red'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'No',b'No',,,,,b'Up to 260 h',b'Up to 5 h',,,,,,b'200',"b'10 received, 10 dialed and 10 missed calls'",b'SMS',"b'4 - Sumino, Carz, Splat & Ten Pin'",b'No',,b'',,b'Vibration; Downloadable monophonic ringtones',,,"b'European, American and Asian languages'"
