Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,SAR,SAR EU,Price,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 12GB RAM,256GB 12GB RAM,512GB 16GB RAM,Triple,128GB 8GB RAM,256GB 8GB RAM,32GB 3GB RAM,64GB 4GB RAM,128GB 4GB RAM,Dual,128GB 6GB RAM,Single_1,512GB 12GB RAM,8GB 1GB RAM,16GB 1GB RAM,32GB 2GB RAM,64GB 6GB RAM,Audio quality,512GB 8GB RAM,16GB 2GB RAM,4GB 768MB RAM,4GB 1.5GB RAM,GPRS,EDGE,1TB 12GB RAM,32GB 4GB RAM,Triple_1,Dual_1,Stand-by,Talk time,Music play,256GB 6GB RAM,256GB 4GB RAM,Infrared port,Talk time_1,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Stand-by_1,Alert types,Clock,Alarm,Languages
b'sewon',b'Sewon SRS-3300',b'https://fdn2.gsmarena.com/vv/bigpic/swsrs3300.gif',b'GSM',b'GSM 900 / 1800',"b'Downloadable logos, wallpapers'",,b'No',,,,"b'2005, Q1'",b'Discontinued',b'72 x 39 x 26.5 mm (2.83 x 1.54 x 1.04 in)',b'90 g (3.17 oz)',,b'Mini-SIM',b'Predictive text input Organizer World time Memo',"b'TFT, 256K colors'",b'',b'128 x 160 pixels',,,,,,b'No',,,,b'Yes',b'VGA',,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 720 mAh battery',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Yes',b'No',,,,,,,,,,,,b'200',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS'",b'Yes',b'No',,b'WAP 1.2.1',,b'Vibration; Downloadable polyphonic ringtones',,,"b'English, Chinese'"
b'sewon',b'Sewon SRD-3000',b'https://fdn2.gsmarena.com/vv/bigpic/swsrd3000.gif',b'GSM',b'GSM 900 / 1800',"b'Downloadable logos, wallpapers'",,b'No',,,,"b'2004, Q2'",b'Discontinued',b'91 x 48 x 18 mm (3.58 x 1.89 x 0.71 in)',b'90 g (3.17 oz)',,b'Mini-SIM',b'Predictive text input Organizer World time Memo',"b'TFT, 256K colors'",b'',b'176 x 220 pixels',,,,,,b'No',,,,b'No',b'VGA',,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 1050 mAh battery',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Yes',b'No',,,,,,,,,,,,b'300',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS'",b'Yes',b'No',,b'WAP 1.2.1',,b'Vibration; Downloadable polyphonic ringtones',,,"b'English, Chinese'"
b'sewon',b'Sewon SRD-200',b'https://fdn2.gsmarena.com/vv/bigpic/swsrd200.gif',b'GSM',b'GSM 900 / 1800',"b'Second external display Downloadable logos, wallpapers'",,b'No',,,,"b'2004, Q2'",b'Discontinued',b'87.5 x 47.5 x 21.7 mm (3.44 x 1.87 x 0.85 in)',b'95 g (3.35 oz)',,b'Mini-SIM',b'Predictive text input Organizer World time Memo',"b'STN, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",,,,,,b'No',,,,b'No',b'VGA',,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 900 mAh battery',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Yes',b'No',,,,,,,,,,,,b'500',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS'",b'Yes',b'No',,b'WAP 1.2.1',,b'Vibration; Downloadable polyphonic ringtones',,,"b'English, Chinese'"
b'sewon',b'Sewon SGD-1050',b'https://fdn2.gsmarena.com/vv/bigpic/swsgd1050.gif',b'GSM',b'GSM 900 / 1800',b'Second external display Downloadable logos',,b'No',,,,"b'2004, Q2'",b'Discontinued',b'82 x 44 x 21 mm (3.23 x 1.73 x 0.83 in)',b'90 g (3.17 oz)',,b'Mini-SIM',b'Predictive text input Stopwatch Calculator World time Memo',"b'STN, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",,,,,,b'No',,,,b'No',b'VGA',,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 900 mAh battery',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'No',b'No',,,,,,,,,,,,b'200',"b'10 dialed, 10 received, 10 missed calls'",b'SMS',b'Yes',b'No',,b'WAP',,b'Vibration; Downloadable polyphonic ringtones',,,"b'English, Chinese'"
b'sewon',b'Sewon SGD-1030',b'https://fdn2.gsmarena.com/vv/bigpic/swsgd1030.gif',b'GSM',b'GSM 900 / 1800',b'Second external display 7 colors LED indicator Downloadable logos',,b'No',,,,"b'2004, Q2'",b'Discontinued',b'82 x 44 x 22 mm (3.23 x 1.73 x 0.87 in)',b'90 g (3.17 oz)',,b'Mini-SIM',b'Predictive text input Stopwatch Calculator World time Memo',"b'STN, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",,,,,,b'No',,,,b'No',b'VGA',,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 900 mAh battery',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'No',b'No',,,,,,,,,,,,b'200',"b'10 dialed, 10 received, 10 missed calls'",b'SMS',b'Yes',b'No',,b'WAP',,b'Vibration; Downloadable polyphonic ringtones',,,"b'English, Chinese'"
b'sewon',b'Sewon SGD-1020',b'https://fdn2.gsmarena.com/vv/bigpic/swsgd1020.gif',b'GSM',b'GSM 900 / 1800',b'Second external display 7 colors LED indicator Downloadable logos',,b'No',,,,"b'2004, Q2'",b'Discontinued',b'82 x 42.4 x 21 mm (3.23 x 1.67 x 0.83 in)',b'90 g (3.17 oz)',,b'Mini-SIM',b'Predictive text input Stopwatch Calculator Memo',"b'STN, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",,,,,,b'No',,,,b'No',b'VGA',,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 900 mAh battery',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'No',b'No',,,,,,,,,,,,b'200',"b'10 dialed, 10 received, 10 missed calls'",b'SMS',b'Yes',b'No',,b'WAP',,b'Vibration; Downloadable polyphonic ringtones',,,"b'English, Chinese'"
b'sewon',b'Sewon SGD-1010',b'https://fdn2.gsmarena.com/vv/bigpic/swsgd1010.gif',b'GSM',b'GSM 900 / 1800',b'Second external display 4-way navi key',,b'No',,,,"b'2004, Q1'",b'Discontinued',b'82 x 44 x 21 mm (3.23 x 1.73 x 0.83 in)',b'90 g (3.17 oz)',,b'Mini-SIM',b'Predictive text input Stopwatch Calculator Memo',"b'STN, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",,,,,,b'No',,,,b'No',b'VGA',,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 600 mAh battery',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'No',b'No',,,,,b'',b'',,,,,,b'200',"b'10 dialed, 10 received, 10 missed calls'",b'SMS',b'',b'No',,b'',,b'Vibration; Polyphonic(64) ringtones',,,"b'English, Chinese'"
b'sewon',b'Sewon SGD-1000',b'https://fdn2.gsmarena.com/vv/bigpic/swsgd1000.gif',b'GSM',b'GSM 900 / 1800',b'Second external display 4-way navi key',,b'No',,,,"b'2004, Q1'",b'Discontinued',b'82 x 42 x 21 mm (3.23 x 1.65 x 0.83 in)',b'90 g (3.17 oz)',,b'Mini-SIM',b'Predictive text input Calculator Memo',"b'STN, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",,,,,,b'No',,,,b'No',b'VGA',,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 900 mAh battery',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'No',b'No',,,,,,,,,,,,b'200',"b'10 dialed, 10 received, 10 missed calls'",b'SMS',b'',b'No',,b'',,b'Vibration; Polyphonic(64) ringtones',,,"b'English, Chinese'"
b'sewon',b'Sewon SGD-106',b'https://fdn2.gsmarena.com/vv/bigpic/swsgd106.gif',b'GSM',b'GSM 900 / 1800',b'Second external mono LCD display 4-way navi key',,b'No',,,,"b'2004, Q1'",b'Discontinued',b'72 x 40 x 23 mm (2.83 x 1.57 x 0.91 in)',b'80 g (2.82 oz)',,b'Mini-SIM',b'Predictive text input Calculator Memo',"b'CSTN, 256 colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",,,,,,b'No',,,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 550 mAh battery',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'No',b'No',,,,,b'Up to 110 h',b'Up to 3 h',,,,,,b'100',"b'10 dialed, 10 received, 10 missed calls'",b'SMS',b'',b'No',,b'',,b'Vibration; Polyphonic(16) ringtones',,,"b'English, Chinese'"
b'sewon',b'Sewon SGD-105',b'https://fdn2.gsmarena.com/vv/bigpic/swsgd105.gif',b'GSM',b'GSM 900 / 1800',b'Second external mono LCD display 4-way navi key',,b'No',,,,"b'2004, Q1'",b'Discontinued',b'72 x 40 x 23 mm (2.83 x 1.57 x 0.91 in)',b'80 g (2.82 oz)',,b'Mini-SIM',b'Predictive text input Calculator Memo',"b'CSTN, 256 colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",,,,,,b'No',,,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 550 mAh battery',,b'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'No',b'No',,,,,b'Up to 110 h',b'Up to 3 h',,,,,,b'100',"b'10 dialed, 10 received, 10 missed calls'",b'SMS',b'',b'No',,b'',,b'Vibration; Polyphonic(16) ringtones',,,"b'English, Chinese'"
