Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,SAR,SAR EU,Price,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 12GB RAM,256GB 12GB RAM,512GB 16GB RAM,Triple,128GB 8GB RAM,256GB 8GB RAM,32GB 3GB RAM,64GB 4GB RAM,128GB 4GB RAM,Dual,128GB 6GB RAM,Single_1,512GB 12GB RAM,8GB 1GB RAM,16GB 1GB RAM,32GB 2GB RAM,64GB 6GB RAM,Audio quality,512GB 8GB RAM,16GB 2GB RAM,4GB 768MB RAM,4GB 1.5GB RAM,GPRS,EDGE,1TB 12GB RAM,32GB 4GB RAM,Triple_1,Dual_1,Stand-by,Talk time,Music play,256GB 6GB RAM,256GB 4GB RAM,Infrared port,Talk time_1,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Stand-by_1,Alert types,Clock,Alarm,Languages
b'siemens',b'Siemens AL21',b'https://fdn2.gsmarena.com/vv/bigpic/siemens-al21.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'GSM 850 / 1800 / 1900 - US version',,b'No',,,,"b'2005, November'",b'Discontinued',b'86.8 x 45.8 x 19.2 mm (3.42 x 1.80 x 0.76 in)',b'78 g (2.75 oz)',,b'Mini-SIM',b'Predictive text input Organizer',"b'TFT, 65K colors'",b'',"b'130 x 130 pixels, 1:1 ratio'",,,,,,b'No',b'1.5MB',,,,,,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 600 mAh battery',,"b'Red Temptation, Black Magic'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 8',b'No',,,,,b'Up to 220 h',b'Up to 5 h',,,,,,b'Yes',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS'",b'Yes + downloadable',"b'Yes, MIDP 1.0'",,b'WAP 1.2.1',,b'Vibration; Polyphonic(32) ringtones',,,
b'siemens',b'Siemens A31',b'https://fdn2.gsmarena.com/vv/bigpic/siemens-a31.gif',b'GSM',b'GSM 900 / 1800',b'GSM 850 / 1900 - US version',,b'No',,,,"b'2005, November'",b'Discontinued',"b'102 x 46 x 17.6 mm, 75 cc (4.02 x 1.81 x 0.69 in)'",b'85 g (3.00 oz)',,b'Mini-SIM',b'Predictive text input Organizer',"b'CSTN, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",,,,,,b'No',b'1.5MB',,,,,,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'No',b'',b'Removable Li-Ion 820 mAh battery',,"b'Anthracite, Ruby Red'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 8',b'No',,,,,b'Up to 270 h',b'Up to 5 h',,,,,,b'Yes',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS'",b'Yes + downloadable',"b'Yes, MIDP 1.0'",,b'WAP 1.2.1',,b'Vibration; Polyphonic(32) ringtones',,,
b'siemens',b'Siemens AF51',b'https://fdn2.gsmarena.com/vv/bigpic/siemens-af51.gif',b'GSM',b'GSM 900 / 1800 / 1900',"b'Second external 65K colors display, CSTN (96 x 64 pixels)'",,b'No',,,,"b'2005, November'",b'Discontinued',b'79 x 41 x 19.6 mm (3.11 x 1.61 x 0.77 in)',b'80 g (2.82 oz)',,b'Mini-SIM',b'Predictive text input Organizer Voice dial',"b'CSTN, 65K colors'",b'',"b'130 x 130 pixels, 1:1 ratio'",,,,,,b'No',,,,,,,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'',b'',b'Removable Li-Ion 620 mAh battery',,"b'Panther Black, Dolphin Grey'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 8',b'No',,,,,b'Up to 220 h',b'Up to 5 h',,,,,,b'Yes',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS'",b'Yes + downloadable',"b'Yes, MIDP 1.0'",,b'WAP 1.2.1',,b'Vibration; Polyphonic(32) ringtones',,,
b'siemens',b'Siemens ME75',b'https://fdn2.gsmarena.com/vv/bigpic/siemens-me75.gif',b'GSM',b'GSM 900 / 1800 / 1900',"b'Dust, shock and splash resistant'",,b'No',,,,"b'2005, October'",b'Discontinued',b'105 x 46 x 18 mm (4.13 x 1.81 x 0.71 in)',b'95 g (3.35 oz)',,b'Mini-SIM',b'Organizer SyncML Voice memo Predictive text input',"b'TFT, 65K colors'",b'',"b'132 x 176 pixels, 4:3 ratio'",,,,,,b'No',b'10MB',,,b'Yes',b'VGA',,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 1000 mAh battery',,"b'Amazon Green, Atlas Grey'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'No',,,,,b'Up to 450 h',b'Up to 8 h',,,,b'Yes',,"b'1000 x 20 fields, Photo call'","b'100 dialed, 100 received, 100 missed calls'","b'SMS, MMS, Email, Instant Messaging'",b'Yes + downloadable',b'Yes',,b'WAP 2.0/xHTML',,b'Vibration; Downloadable polyphonic ringtones',,,
b'siemens',b'Siemens AP75',b'https://fdn2.gsmarena.com/vv/bigpic/siemens-ap75.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'5-way navigation key',,b'500 KB free memory',,,,"b'2005, October'",b'Discontinued',b'102 x 44 x 18 mm (4.02 x 1.73 x 0.71 in)',b'86 g (3.03 oz)',,b'Mini-SIM',b'Predictive text input Organizer',"b'CSTN, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",,,,,,b'No',,,,b'No',b'CIF',,,b'Yes',b'No',b'No',b'Yes',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 860 mAh battery',,b'Cosmic Grey',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'No',,,,,b'Up to 161 h',b'Up to 5 h 40 min',,,,,,b'Yes',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS'",b'Yes',b'No',,b'WAP 2.0/xHTML',,b'Vibration; Downloadable polyphonic ringtones',,,
b'siemens',b'Siemens AX72',b'https://fdn2.gsmarena.com/vv/bigpic/siemens-ax72.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'5-way navigation key',,b'1.5 MB free memory',,,,"b'2005, October'",b'Discontinued',b'105.6 x 46.8 x 17.5 mm (4.16 x 1.84 x 0.69 in)',b'79 g (2.79 oz)',,b'Mini-SIM',b'Predictive text input Organizer',"b'CSTN, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",,,,,,b'No',,,,,,,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 600 mAh battery',,b'Basalt Black',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 8',b'No',,,,,b'Up to 220 h',b'Up to 5 h',,,,,,b'Yes',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS'",b'Yes',"b'Yes, MIDP 1.0'",,b'WAP 1.2.1',,b'Vibration; Downloadable polyphonic ringtones',,,
b'siemens',b'Siemens SG75',b'https://fdn2.gsmarena.com/vv/bigpic/siemens-sg75.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'CIF videocall camera',b'UMTS 2100',b'Video telephony MP3 player Predictive text input Organizer',,,"b'Yes, 384 kbps'","b'2005, Sep'",b'Cancelled',"b'98 x 49.5 x 23 mm, 104 cc (3.86 x 1.95 x 0.91 in)'",b'123 g (4.34 oz)',,b'Mini-SIM',,"b'TFD, 256K colors'","b'2.0 inches, 30 x 40 mm, 12.6 cm2 (~26.0% screen-to-body ratio)'",b'176 x 220 pixels (~141 ppi density)',,,,,,b'RS-MMC',b'70MB',,,b'Yes',b'1.3 MP',,,b'No',b'No',b'No',b'Yes',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Po 920 mAh battery',,b'Metallic White',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 325 h',b'Up to 3 h 20 min',,,,,,b'Yes',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS, EMail, Instant Messaging'",b'Yes + downloadable',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,
b'siemens',b'Siemens SFG75',b'https://fdn2.gsmarena.com/vv/bigpic/siemens-sfg75.gif',b'GSM / UMTS',b'GSM 900 / 1800',"b'Second CSTN display (96 x 96 pixels), 65K colors Wallpapers Downloadable pictures'",b'UMTS 2100',b'CIF videocall camera',,,"b'Yes, 384 kbps'","b'2005, Sep'",b'Discontinued',"b'90 x 45 x 24 mm, 97 cc (3.54 x 1.77 x 0.94 in)'",b'110 g (3.88 oz)',,b'Mini-SIM',b'Video telephony MP3/MP4 player Predictive text input Organizer',"b'TFT, 256K colors'","b'2.0 inches, 30 x 40 mm, 12.6 cm2 (~31.1% screen-to-body ratio)'",b'176 x 220 pixels (~141 ppi density)',,,,,,b'miniSD',b'32MB',,b'LED flash',b'Yes',b'1.3 MP',,,b'No',b'No',b'No',b'Yes',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 840 mAh battery',,b'Silver Black',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 250 h',b'Up to 3 h',,,,b'Yes',,"b'Yes, Photo call'","b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS, Email'",b'Yes',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,
b'siemens',b'Siemens CC75',b'https://fdn2.gsmarena.com/vv/bigpic/siemens-cc75.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'5-way navigation key',,b'No',,,,"b'2005, August'",b'Cancelled',"b'111 x 44 x 12.6 mm, 65 cc (4.37 x 1.73 x 0.50 in)'",b'80 g (2.82 oz)',,b'Mini-SIM',b'Predictive text input Organizer Birthday reminder Voice memo',"b'TFT, 65K colors'",b'',b'128 x 160 pixels',,,,,,b'No',b'3MB',,,,,,,b'No',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 800 mAh battery (EBA-720)',,b'Aluminium Silver',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'No',,,,,b'Up to 270 h',b'Up to 3 h 30 min',,,,b'Yes',,b'Yes',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, MMS'",b'Yes + downloadable',b'No',,b'WAP 2.0/xHTML',,b'Vibration; Downloadable polyphonic ringtones',,,
b'siemens',b'Siemens CF110',b'https://fdn2.gsmarena.com/vv/bigpic/siemens-cf110.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'No',,b'Predictive text input Organizer',,,,"b'2005, August'",b'Discontinued',"b'83 x 45 x 18 mm, 68 cc (3.27 x 1.77 x 0.71 in)'",b'76.5 g (2.68 oz)',,b'Mini-SIM',,"b'TFT, 65K colors'",b'',"b'130 x 130 pixels, 1:1 ratio'",,,,,,b'No',b'1.5MB',,,,,,,b'Yes',b'No',b'No',b'No',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 600 mAh battery (EBA-160)',,"b'Moonlight Silver, Midnight Blue'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 8',b'No',,,,,b'Up to 220 h',b'Up to 5 h',,,,,,b'Yes',"b'10 dialed, 10 received, 10 missed calls'","b'SMS, EMS, MMS'",b'Yes + downloadable',"b'Yes, MIDP 1.0'",,b'WAP 2.0/xHTML',,b'Vibration; Downloadable polyphonic ringtones',,,
