Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,SAR,SAR EU,Price,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 12GB RAM,256GB 12GB RAM,512GB 16GB RAM,Triple,128GB 8GB RAM,256GB 8GB RAM,32GB 3GB RAM,64GB 4GB RAM,128GB 4GB RAM,Dual,128GB 6GB RAM,Single_1,512GB 12GB RAM,8GB 1GB RAM,16GB 1GB RAM,32GB 2GB RAM,64GB 6GB RAM,Audio quality,512GB 8GB RAM,16GB 2GB RAM,4GB 768MB RAM,4GB 1.5GB RAM,GPRS,EDGE,1TB 12GB RAM,32GB 4GB RAM,Triple_1,Dual_1,Stand-by,Talk time,Music play,256GB 6GB RAM,256GB 4GB RAM,Infrared port,Talk time_1,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Stand-by_1,Alert types,Clock,Alarm,Languages
b'sonim',b'Sonim XP8',b'https://fdn2.gsmarena.com/vv/bigpic/sonim-xp8.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'CDMA 800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',b'CDMA2000 1xEV-DO',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 20, 25, 26, 28, 29, 30, 38, 40, 41, 66'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat12 600/150 Mbps'","b'2018, April'","b'Available. Released 2018, May'",b'152 x 79.5 x 18 mm (5.98 x 3.13 x 0.71 in)',b'335 g (11.82 oz)',,"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IP69 dust proof and water resistant over 1 meter and 30 minutes MIL-STD-810G',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~57.0% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~441 ppi density)'",b'Corning Gorilla Glass 3',b'Android 7.0 (Nougat)',b'Qualcomm SDM630 Snapdragon 630 (14 nm)',b'Octa-core 2.2 GHz Cortex-A53',b'Adreno 508',b'microSDXC',b'64GB 4GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'12 MP, PDAF'",,b'1080p@30fps',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, EDR, LE'","b'Yes, with A-GPS, GLONASS'",b'Yes',b'FM radio',b'USB Type-C 2.0; magnetic connector',"b'Accelerometer, gyro, proximity, compass, barometer'","b'Li-Ion 4900 mAh, removable'",b'Fast charging 18W Quick Charge 4',b'Black',b'XP8800',,,b'About 700 EUR',,,,,,,,,,,,,,,,,b'8 MP',,,,,,,,,,,,,,,,,b'Up to 720 h',b'Up to 30 h',b'Up to 70 h',,,,,,,,,,,,,,,,
b'sonim',b'Sonim XP7',b'https://fdn2.gsmarena.com/vv/bigpic/sonim-xp7.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100 - Telus',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 17 - Telus'","b'1, 2, 4, 5, 7, 8, 12, 17'",,"b'HSPA, LTE'","b'2014, November. Released 2015, April'",b'Discontinued',b'137 x 72.1 x 20.8 mm (5.39 x 2.84 x 0.82 in)',b'290 g (10.23 oz)',,b'Micro-SIM',b'eMMC 4.5',b'IPS LCD',"b'4.0 inches, 45.5 cm2 (~46.1% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",b'Corning Gorilla Glass 2',b'Android 4.4.2 (KitKat)',b'Qualcomm MSM8926 Snapdragon 400 (28 nm)',b'Quad-core 1.2 GHz Cortex-A7',b'Adreno 305',b'No',b'16GB 1GB RAM',,b'LED flash',b'1080p@30fps',"b'8 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'Yes',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 4800 mAh, non-removable'",,"b'Black, Yellow'",,,,b'About 700 EUR',,,,,,,,,,,,,,,,,b'1 MP',,,,,,,,,,,,,,,,,b'Up to 1000 h',b'Up to 40 h',,,,,,,,,,,,,,,,,
b'sonim',b'Sonim XP6',b'https://fdn2.gsmarena.com/vv/bigpic/sonim-xp6.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'MIL-STD-810G compliant IP68/IP69 dust/water resistant (up to 1.8m for 30 min) Drop-to-concrete resistance from up to 2m Operational range -20\xc2\xb0C to +55\xc2\xb0C Flashlight',b'HSDPA 850 / 900 / 1900 / 2100',b'eMMC 4.5',"b'1, 2, 4, 5, 7, 8, 12, 17'",,"b'HSPA, LTE'","b'2014, November. Released 2014, December'",b'Discontinued',b'137 x 64.5 x 20.5 mm (5.39 x 2.54 x 0.81 in)',b'270 g (9.52 oz)',,b'Micro-SIM',b'No',b'IPS LCD',"b'2.63 inches, 21.3 cm2 (~24.2% screen-to-body ratio)'","b'320 x 432 pixels, 4:3 ratio (~204 ppi density)'",b'Yes',b'Android 4.4.2 (KitKat)',b'Qualcomm MSM8926 Snapdragon 400 (28 nm)',b'Quad-core 1.2 GHz Cortex-A7',b'Adreno 305',b'No',b'8GB 1GB RAM',,,b'720p@30fps',b'5 MP',,,b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 4800 mAh, non-removable'",,b'Black',,,,b'About 490 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 1080 h',b'Up to 40 h',,,,,,,,,,,,,,,,,
b'sonim',b'Sonim XP3400 Armor',b'https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3400-armor.jpg',b'CDMA / EVDO',b'CDMA 800 / 1900',b'MIL-STD-810G compliant IP68 dust/water resistant (up to 2m for 1 hour) Drop-to-concrete resistance from up to 2m Operational range -20\xc2\xb0C to +55\xc2\xb0C Flashlight',b'CDMA2000 1xEV-DO',b'No',,,b'EV-DO Rev.A 3.1 Mbps',"b'2011, Q3. Released 2012, Q1'",b'Discontinued',b'126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in)',b'185 g (6.53 oz)',,b'Mini-SIM',b'Organizer MP3/WAV/AAC player MP4/H.263 player Voice memo Stopwatch Count-down timer File manager',"b'TFT, 65K colors'","b'2.0 inches, 12.4 cm2 (~16.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~200 ppi density)'",b'Corning Gorilla Glass',,b'Qualcomm QSC6085',,,b'microSDHC (dedicated slot)',,,b'LED flash',b'Yes',b'2 MP',,,b'Yes',b'Yes',b'No',"b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",,b'FM radio',b'2.0',b'',b'Removable Li-Ion 1750 mAh battery',,"b'Black, Black/Yellow'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 850 h',b'Up to 9 h 30 min',,,,,,b'Yes',b'Yes',"b'SMS, MMS, Email'",b'Yes',b'No',,,,,,,
b'sonim',b'Sonim XP5300 Force 3G',b'https://fdn2.gsmarena.com/vv/bigpic/sonim-xp5300-force-3g.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'MIL-STD-810G compliant IP68 dust/water resistant (up to 2m for 1 hour) Drop-to-concrete resistance from up to 2m Operational range -20\xc2\xb0C to +55\xc2\xb0C Flashlight',b'HSDPA 900 / 1700 / 2100',b'No',,,"b'Yes, 384 kbps'","b'2011, August'",b'Discontinued',b'126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in)',b'185 g (6.53 oz)',,b'Mini-SIM',b'Organizer MP3/WAV/AAC player MP4/H.263 player Voice memo Stopwatch Count-down timer File manager',"b'TFT, 65K colors'","b'2.0 inches, 12.4 cm2 (~16.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~200 ppi density)'",b'Corning Gorilla Glass',,,,,b'microSDHC (dedicated slot)',,,b'LED flash',b'Yes',b'2 MP',,,b'Yes',b'Yes',b'No',"b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",,b'FM radio',b'2.0',b'Accelerometer',b'Removable Li-Ion 1950 mAh battery',,"b'Black, Black/Yellow'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 1500 h',b'Up to 22 h (2G) / Up to 12 h (3G)',,,,,,b'Yes',b'Yes',"b'SMS, MMS, Email'",b'Yes',"b'Yes, MIDP 2.0'",,,,,,,
b'sonim',b'Sonim XP3340 Sentinel',b'https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3340-sentinel.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'MIL-STD-810G compliant IP68 dust/water resistant (up to 2m for 1 hour) Drop-to-concrete resistance from up to 2m Operational range -20\xc2\xb0C to +55\xc2\xb0C Flashlight',,b'No',,,,"b'2011, August'",b'Discontinued',b'126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in)',b'185 g (6.53 oz)',,b'Mini-SIM',b'Organizer MP3/WAV/AAC player MP4/H.263 player Voice memo Stopwatch Count-down timer File manager',"b'TFT, 65K colors'","b'2.0 inches, 12.4 cm2 (~16.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~200 ppi density)'",b'Corning Gorilla Glass',b'MediaTek MT6235 platform',,,,b'microSDHC (dedicated slot)',,,b'LED flash',b'Yes',b'2 MP',,,b'Yes',b'Yes',b'No',"b'2.1, A2DP'","b'Yes, with A-GPS'",,b'FM radio',b'2.0',b'Accelerometer',b'Removable Li-Ion 1750 mAh battery',,"b'Black, Black/Yellow'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 12',b'Class 12',,,,,b'Up to 800 h',b'Up to 24 h',,,,,,,,,,,,,,,,,
b'sonim',b'Sonim XP3300 Force',b'https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3300-force.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'MIL-STD-810G compliant IP68 dust/water resistant (up to 2m for 1 hour) Drop-to-concrete resistance from up to 2m Operational range -20\xc2\xb0C to +55\xc2\xb0C Flashlight',,b'No',,,,"b'2011, February. Released 2011, March'",b'Discontinued',b'126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in)',b'185 g (6.53 oz)',,b'Mini-SIM',b'Organizer MP3/WAV/AAC player MP4/H.263 player Voice memo Stopwatch Count-down timer File manager',"b'TFT, 65K colors'","b'2.0 inches, 12.4 cm2 (~16.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~200 ppi density)'",b'Corning Gorilla Glass',b'MediaTek MT6235 platform',,,,b'microSDHC (dedicated slot)',,,b'LED flash',b'No',b'2 MP',,,b'Yes',b'Yes',b'No',"b'2.1, A2DP'","b'Yes, with A-GPS'",,b'FM radio',b'2.0',b'',b'Removable Li-Ion 1750 mAh battery',,"b'Black, Black/Yellow'",,,,b'About 370 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 12',b'Class 12',,,,,b'Up to 800 h',b'Up to 18 h',,,,,,,,,,,,b'WAP 2.0/xHTML',,,,,
b'sonim',b'Sonim XP1300 Core',b'https://fdn2.gsmarena.com/vv/bigpic/sonim-xp1300-core.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'MIL-STD-810F compliant IP68 dust/water resistant (up to 1.5m for 30 mins) Drop-to-concrete resistance from up to 2m Operational range -20\xc2\xb0C to +55\xc2\xb0C Flashlight',,b'No',,,,"b'2010, October. Released 2010, November'",b'Discontinued',b'126 x 60 x 25 mm (4.96 x 2.36 x 0.98 in)',b'185 g (6.53 oz)',,b'Mini-SIM',b'Organizer MP3/WAV/AAC player MP4/H.263 player Voice memo Stopwatch Count-down timer File manager',"b'TFT, 65K colors'","b'2.0 inches, 12.4 cm2 (~16.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~200 ppi density)'",b'Corning Gorilla Glass',b'MediaTek MT6235 platform',,,,b'microSDHC (dedicated slot)',,,,,,,,b'Yes',b'Yes',b'No',"b'2.1, A2DP'",b'No',,b'FM radio',b'2.0',b'',b'Removable Li-Ion 1750 mAh battery',,"b'Black, Black/Yellow'",,,,b'About 290 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'Class 10',,,,,b'Up to 800 h',b'Up to 18 h',,,,,,,,,,,,b'WAP 2.0/xHTML (Opera Mini)',,,,,
b'sonim',b'Sonim XP3 Sentinel',b'https://fdn2.gsmarena.com/vv/bigpic/sonim-xp3-sentinel.jpg',b'GSM',b'GSM 900 / 1800 / 1900',b'GSM 850 / 1800 / 1900',,b'IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810G compliant Drop-to-concrete resistance from up to 2m Operational range -20\xc2\xb0C to +55\xc2\xb0C Flashlight Dedicated red risk side button for emergency GPS alerts',,,,"b'2010, July. Released 2010, July'",b'Discontinued',b'119 x 56 x 25 mm (4.69 x 2.20 x 0.98 in)',b'170 g (6.00 oz)',,b'Mini-SIM',b'Lone worker app with GPS tracking Accelerometer-based Man-Down sensor Organizer Voice memo Stopwatch Count-down timer File manager',"b'TFT, 65K colors'",b'',b'176 x 220 pixels',b'Corning Gorilla Glass',,b'Philips Nexperia 5210',b'264 MHz ARM 9',,b'microSD (dedicated slot)',,,b'LED flash',b'Yes',b'2 MP',,,b'Yes',b'No',b'No',b'2.0',"b'Yes, with A-GPS; SIRF InstantFix'",,b'Stereo FM radio',b'miniUSB 2.0',b'Accelerometer',b'Removable Li-Ion 1850 mAh battery',,b'Black',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'Class 10',,,,,b'Up to 1500 h',b'Up to 18 h',,,,,,"b'Yes, up to 1000 entries'",b'Yes',b'SMS(1000)',b'Yes',"b'Yes, MIDP 2.0'",,b'WAP 2.0/xHTML',,,,,
b'sonim',b'Sonim XP2.10 Spirit',b'https://fdn2.gsmarena.com/vv/bigpic/sonim-xp2.10-spirit-new.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900',b'GSM 850 / 1800 / 1900',b'HSDPA 2100',b'IP67 dust/water resistant (up to 1m for 30 mins) MIL-STD-810D compliant Drop-to-concrete resistance from up to 2m Operational range -20\xc2\xb0C to +55\xc2\xb0C Flashlight',,,b'HSPA 7.2/0.384 Mbps',"b'2010, February. Released 2010, March'",b'Discontinued',b'130.7 x 59.7 x 21.7 mm (5.15 x 2.35 x 0.85 in)',b'180 g (6.35 oz)',,b'Mini-SIM',b'Organizer MP3/WAV/eAAC+ player MP4/H.264 player Nimbuzz IM Voice memo Stopwatch Predictive text input',"b'TFT, 256K colors'","b'2.0 inches, 12.4 cm2 (~15.9% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~200 ppi density)'",b'Corning Gorilla Glass',,,,,b'microSDHC (dedicated slot)',b'40MB',,b'LED flash',b'Yes',b'3.15 MP',,,b'Yes',b'No',b'No',"b'1.2, A2DP'",b'No',,b'Stereo FM radio',b'microUSB 2.0',b'',b'Removable Li-Ion 1300 mAh battery',,b'Black',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 428 h',b'Up to 8 h',,,,,,"b'Yes, up to 1000 entries'",b'Yes',"b'SMS, MMS, Email'",b'Yes',"b'Yes, MIDP 2.0'",,"b'WAP 2.0/xHTML, HTML (Opera Mini)'",,,,,
