Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,SAR,SAR EU,Price,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 12GB RAM,256GB 12GB RAM,512GB 16GB RAM,Triple,128GB 8GB RAM,256GB 8GB RAM,32GB 3GB RAM,64GB 4GB RAM,128GB 4GB RAM,Dual,128GB 6GB RAM,Single_1,512GB 12GB RAM,8GB 1GB RAM,16GB 1GB RAM,32GB 2GB RAM,64GB 6GB RAM,Audio quality,512GB 8GB RAM,16GB 2GB RAM,4GB 768MB RAM,4GB 1.5GB RAM,GPRS,EDGE,1TB 12GB RAM,32GB 4GB RAM,Triple_1,Dual_1,Stand-by,Talk time,Music play,256GB 6GB RAM,256GB 4GB RAM,Infrared port,Talk time_1,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Stand-by_1,Alert types,Clock,Alarm,Languages,64GB 3GB RAM
b'sony_ericsson',b'Sony Ericsson Xperia Arc S',b'https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-xperia-arc-s.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100 / 800  - LT18a',b'HSDPA 900 / 2100  - LT18i',b'No',,,b'HSPA 14.4/5.76 Mbps',"b'2011, August. Released 2011, September'",b'Discontinued',b'125 x 63 x 8.7 mm (4.92 x 2.48 x 0.34 in)',b'117 g (4.13 oz)',,b'Mini-SIM',b'ANT+ HDMI port MP4/H.264/WMV player MP3/eAAC+/WMA/WAV player TrackID music recognition NeoReader barcode scanner Document viewer Voice memo/dial/commands Predictive text input',"b'LED-backlit LCD,'","b'4.2 inches, 48.6 cm2 (~61.7% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~233 ppi density)'",b'Scratch-resistant glass',"b'Android 2.3.4 (Gingerbread), 4.0.4 (Ice Cream Sandwich), not upgradable to 4.1 (Jelly Bean)'",b'Qualcomm MSM8255T Snapdragon S2',b'1.4 GHz Scorpion',b'Adreno 205',"b'microSDHC (dedicated slot), 8 GB included'","b'1GB (320MB user available), 512MB RAM'",,"b'LED flash, panorama'",b'720p@30fps',"b'8 MP, AF'",,,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, DLNA, hotspot'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS; GLONASS'",,"b'Stereo FM radio, RDS'","b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity, compass'",b'Removable Li-Po 1500 mAh battery',,"b'Pure White, Midnight Blue, Misty Silver, Gloss Black, Sakura Pink'",,,b'0.66 W/kg (head)',b'About 210 EUR',,,b'Photo / Video',b'Voice 67dB / Noise 65dB / Ring 76dB',,,,,,,,,,,,,,,,,,,b'Noise -89.3dB / Crosstalk -90.2dB',,,,,,,,,,,b'Up to 460 h (2G) / Up to 460 h (3G)',b'Up to 7 h 25 min (2G) / Up to 7 h 35 min (3G)',b'Up to 37 h',,,,,,,,,,,,,,,,,
b'sony_ericsson',b'Sony Ericsson Xperia neo V',b'https://fdn2.gsmarena.com/vv/bigpic/sony-ericsson-xperia-neo-v.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100 - MT11a',b'HSDPA 900 / 2100 - MT11i',b'ANT+ HDMI port MP4/H.264/WMV player MP3/WMA/WAV/eAAC+ player TrackID music recognition Organizer Document viewer Voice memo/dial/commands Predictive text input (T9 Trace)',,,b'HSPA 7.2/5.76 Mbps',"b'2011, August. Released 2011, October'",b'Discontinued',b'116 x 57 x 13 mm (4.57 x 2.24 x 0.51 in)',b'126 g (4.44 oz)',,b'Mini-SIM',,"b'LED-backlit LCD,'","b'3.7 inches, 37.7 cm2 (~57.1% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~265 ppi density)'",b'Scratch-resistant glass',"b'Android 2.3.4 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)'",b'Qualcomm MSM8255 Snapdragon S2',b'1.0 GHz Scorpion',b'Adreno 205',"b'microSDHC (dedicated slot), 2 GB included'","b'1GB (320MB user available), 512MB RAM'",,"b'LED flash, panorama'",b'720p@30fps',"b'5 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, DLNA, hotspot'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",,"b'Stereo FM radio, RDS'","b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity, compass'",b'Removable Li-Po 1500 mAh battery',,"b'White, Blue Gradient, Silver'",,,b'1.10 W/kg (head)',b'About 150 EUR',,b'Contrast ratio: 1578:1 (nominal)',b'Photo / Video',b'Voice 68dB / Noise 65dB / Ring 71dB',b'Endurance rating 42h',,,,,,,,,,,,b'VGA',,,,,,b'Noise -89.6dB / Crosstalk -80.9dB',,,,,,,,,,,b'Up to 430 h (2G) / Up to 400 h (3G)',b'Up to 6 h 55 min (2G) / Up to 7 h (3G)',b'Up to 31 h',,,,,,,,,,,,,,,,,
b'sony_ericsson',b'Sony Ericsson Live with Walkman',b'https://fdn2.gsmarena.com/vv/bigpic/sony-ericsson-live-with-walkman.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100 - WT19a',b'HSDPA 900 / 2100 - WT19i',b'ANT+ MP4/H.264/WMV player MP3/eAAC+/WMA/WAV player TrackID music recognition Document editor Voice memo Predictive text input',,,b'HSPA 7.2/5.76 Mbps',"b'2011, August. Released 2011, October'",b'Discontinued',b'106 x 56.5 x 14.2 mm (4.17 x 2.22 x 0.56 in)',b'115 g (4.06 oz)',,b'Mini-SIM',,b'TFT',"b'3.2 inches, 30.5 cm2 (~50.9% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~180 ppi density)'",b'Scratch-resistant glass',"b'Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)'",b'Qualcomm MSM8255 Snapdragon S2',b'1.0 GHz Scorpion',b'Adreno 205',"b'microSDHC (dedicated slot), 2 GB included'",b'320MB 512MB RAM',,b'LED flash',b'720p',"b'5 MP, AF'",,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, DLNA, hotspot'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",,"b'Stereo FM radio, RDS'","b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity, compass'",b'Removable Li-Ion 1200 mAh battery',,"b'Black, White'",,,b'1.00 W/kg (head)',b'About 120 EUR',,,b'Photo / Video',b'Voice 75dB / Noise 68dB / Ring 78dB',,,,,,,,,,,,,b'VGA',,,,,,b'Noise -88.1dB / Crosstalk -87.9dB',,,,,,,,,,,b'Up to 350 h (2G) / Up to 400 h (3G)',b'Up to 14 h 15 min (2G) / Up to 6 h 42 min (3G)',b'Up to 17 h 30 min',,,,,,,,,,,,,,,,,
b'sony_ericsson',b'Sony Ericsson Xperia ray',b'https://fdn2.gsmarena.com/vv/bigpic/se-xperia-ray-ofic.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100 - ST18a',b'HSDPA 900 / 2100 - ST18i',b'Touch sensitive controls',,,b'HSPA 7.2/5.76 Mbps',"b'2011, June. Released 2011, August'",b'Discontinued',b'111 x 53 x 9.4 mm (4.37 x 2.09 x 0.37 in)',b'100 g (3.53 oz)',,b'Mini-SIM',b'ANT+ MP4/H.264 player MP3/WAV player TrackID music recognition SensMe Document viewer Voice memo Predictive text input',"b'LED-backlit LCD,'","b'3.3 inches, 30.0 cm2 (~51.0% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~297 ppi density)'",b'Scratch-resistant glass',"b'Android 2.3 (Gingerbread), upgradable to 4.0.4 (Ice Cream Sandwich)'",b'Qualcomm MSM8255 Snapdragon S2',b'1.0 GHz Scorpion',b'Adreno 205',"b'microSDHC (dedicated slot), 4 GB included'","b'1GB (300MB user available), 512MB RAM'",,b'LED flash',b'720p',"b'8 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, DLNA, hotspot'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",,"b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Removable Li-Ion 1500 mAh battery',,"b'Black, Gold, White, Pink'",,,b'0.96 W/kg (head)',b'About 170 EUR',,b'Contrast ratio: 1.955:1 (sunlight)',b'Photo / Video',b'Voice 64dB / Noise 61dB / Ring 66dB',,,,,,,,,,,,,b'VGA',,,,,,b'Noise -89.4dB / Crosstalk -91.3dB',,,,,,,,,,,b'Up to 430 h (2G) / Up to 440 h (3G)',b'Up to 6 h 50 min (2G) / Up to 7 h (3G)',b'Up to 36 h',,,,,,,,,,,"b'HTML, Adobe Flash'",,,,,,
b'sony_ericsson',b'Sony Ericsson Xperia active',b'https://fdn2.gsmarena.com/vv/bigpic/Sony-Ericsson-Xperia-active1.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 1900 / 2100 / 800',b'HSDPA 900 / 2100',b'IP67 dust/water resistant (up to 1m for 30 mins) Flashlight',,,b'HSPA 7.2/5.76 Mbps',"b'2011, June. Released 2011, October'",b'Discontinued',b'92 x 55 x 16.5 mm (3.62 x 2.17 x 0.65 in)',b'110.8 g (3.88 oz)',,b'Mini-SIM',b'ANT+ MP4/H.264 player MP3/eAAC+/WAV player TrackID music recognition Document viewer Voice memo Predictive text input',"b'LED-backlit LCD,'","b'3.0 inches, 26.8 cm2 (~53.0% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~192 ppi density)'",b'Scratch-resistant glass',"b'Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)'",b'Qualcomm MSM8255 Snapdragon S2',b'1.0 GHz Scorpion',b'Adreno 205',"b'microSDHC (dedicated slot), 2 GB included'","b'1GB (320MB user available), 512MB RAM'",,b'LED flash',b'720p',"b'5 MP, AF'",,,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, DLNA, hotspot'","b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",,"b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Removable Li-Ion 1200 mAh battery',,"b'Orange/Black, White/Black'",,b'1.12 W/kg (head) \xc2\xa0 \xc2\xa0 1.07 W/kg (body)',,b'About 170 EUR',,,b'Photo / Video',b'Voice 70dB / Noise 64dB / Ring 68dB',,,,,,,,,,,,,,,,,,,b'Noise -89.5dB / Crosstalk -91.4dB',,,,,,,,,,,b'Up to 351 h (2G) / Up to 335 h (3G)',b'Up to 4 h 53 min (2G) / Up to 5 h 31 min (3G)',b'Up to 25 h',,,,,,,,,,,"b'HTML, Adobe Flash'",,,,,,
b'sony_ericsson',b'Sony Ericsson txt',b'https://fdn2.gsmarena.com/vv/bigpic/se-txt-ofic.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'No',,b'SNS integration with native Facebook and Twitter clients MP4/H.264 player MP3/eAAC+/WAV player TrackID music recognition Voice memo Predictive text input',,,,"b'2011, June. Released 2011, October'",b'Discontinued',b'106 x 60 x 14.5 mm (4.17 x 2.36 x 0.57 in)',b'95 g (3.35 oz)',,b'Mini-SIM',,"b'TFT,  256K colors'","b'2.55 inches, 20.1 cm2 (~31.7% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~157 ppi density)'",b'Scratch-resistant glass',,,,,b'microSDHC (dedicated slot)',"b'120MB (100MB user available), 64MB RAM'",,b'fixed-focus',b'Yes',b'3.15 MP',,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP, EDR'",b'No',,"b'Stereo FM radio, RDS'",b'microUSB 2.0',b'',b'Removable Li-Ion 1000 mAh battery',,"b'Black, Blue, White, Pink'",,,b'0.92 W/kg (head)',b'About 60 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 60 kbps',b'Up to 177 kbps',,,,,b'Up to 416 h',b'Up to 3 h 12 min',b'Up to 23 h',,,,,"b'Yes, Photocall'",b'Yes',"b'SMS(threaded view), MMS, Email, Push email, IM'",b'Yes',"b'Yes, MIDP 2.1'",b'QWERTY',b'HTML',,,,,,
b'sony_ericsson',b'Sony Ericsson Mix Walkman',b'https://fdn2.gsmarena.com/vv/bigpic/sony-ericsson-mix-walkman.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - WT13i',b'No',,b'SNS integration Walkman player (MP3/eAAC+/WMA/MP4/H.263) SensMe TrackID music recognition Document viewer Voice memo Predictive text input',,,,"b'2011, June. Released 2011, August'",b'Discontinued',b'95.8 x 52.8 x 14.3 mm (3.77 x 2.08 x 0.56 in)',b'88 g (3.10 oz)',,b'Mini-SIM',,"b'TFT, 256K colors'","b'3.0 inches, 25.6 cm2 (~50.6% screen-to-body ratio)'","b'240 x 400 pixels, 5:3 ratio (~155 ppi density)'",b'Scratch-resistant glass',,,,,b'microSDHC (dedicated slot)',b'256MB (100MB user available)',,,b'320p',b'3.15 MP',,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP'",b'No',,"b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, proximity'",b'Removable Li-Ion 1000 mAh battery',,"b'Black with pink cloud band, Black with pink band, Black with green bird band, Black with green band'",,,b'0.91 W/kg (head)',b'About 70 EUR',,b'Contrast ratio: 751:1 (nominal)',b'Photo',b'Voice 70dB / Noise 72dB / Ring 75dB',,,,,,,,,,,,,,,,,,,,,,,,b'Up to 115 kbps',b'Up to 200 kbps',,,,,b'Up to 465 h',b'Up to 9 h 40 min',b'Up to 13 h',,,,,"b'Yes, Photocall'",b'Yes',"b'SMS(threaded view), MMS, Email, IM'",b'Yes',b'Yes',,"b'WAP 2.0/xHTML, HTML'",,,,,,
b'sony_ericsson',b'Sony Ericsson txt pro',b'https://fdn2.gsmarena.com/vv/bigpic/sony-ericsson-txt-pro.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'No',,b'SNS integration MP4/H.263 player MP3/eAAC+/WAV/WMA player TrackID music recognition Document viewer Voice memo Predictive text input',,,,"b'2011, June. Released 2011, July'",b'Discontinued',b'93 x 52 x 18 mm (3.66 x 2.05 x 0.71 in)',b'100 g (3.53 oz)',,b'Mini-SIM',,"b'TFT, 256K colors'","b'3.0 inches, 25.6 cm2 (~53.0% screen-to-body ratio)'","b'240 x 400 pixels, 5:3 ratio (~155 ppi density)'",b'Scratch-resistant glass',,,b'PNX-4910',,b'microSDHC (dedicated slot)',b'100MB 64MB RAM',,,b'320p',b'3.15 MP',,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP'",b'No',,"b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, proximity'",b'Removable Li-Ion 1000 mAh battery',,"b'Black, White, Pink'",,,b'0.80 W/kg (head)',b'About 80 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 85.6 kbps',b'Up to 236.8 kbps',,,,,b'Up to 400 h',b'Up to 5 h 10 min',,,,,,"b'Yes, Photocall'",b'Yes',"b'SMS(threaded view), MMS, Email, IM'",b'Yes',b'Yes',b'QWERTY',"b'WAP 2.0/xHTML, HTML'",,,,,,
b'sony_ericsson',b'Sony Ericsson Xperia mini',b'https://fdn2.gsmarena.com/vv/bigpic/se-xperia-mini-ofic.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',b'HSDPA 900 / 2100',b'No',,,b'HSPA 7.2/5.76 Mbps',"b'2011, May. Released 2011, August'",b'Discontinued',b'88 x 52 x 16 mm (3.46 x 2.05 x 0.63 in)',b'99 g (3.49 oz)',,b'Mini-SIM',b'ANT+ MP4/H.264/WMV player MP3/eAAC+/WMA/WAV player TrackID music recognition Document viewer Voice memo Predictive text input',"b'LED-backlit LCD,'","b'3.0 inches, 26.8 cm2 (~58.6% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~192 ppi density)'",b'Scratch-resistant glass',"b'Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)'",b'Qualcomm MSM8255 Snapdragon S2',b'1.0 GHz Scorpion',b'Adreno 205',"b'microSDHC (dedicated slot), 2 GB included'","b'512MB RAM, 320MB'",,b'LED flash',b'720p',"b'5 MP, AF'",,,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, DLNA, hotspot'","b'2.1, A2DP'","b'Yes, with A-GPS'",,"b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Removable Li-Ion 1200 mAh battery',,"b'Black, White, Blue, Dark pink'",b'ST15i',,b'0.78 W/kg (head)',b'About 120 EUR',,,b'Photo / Video',b'Voice 71dB / Noise 65dB / Ring 66dB',,,,,,,,,,,,,,,,,,,b'Noise -88.7dB / Crosstalk -90.6dB',,,,,,,,,,,b'Up to 340 h (2G) / Up to 320 h (3G)',b'Up to 4 h 30 min (2G) / Up to 4 h 30 min (3G)',b'Up to 25 h',,,,,,,,,,,"b'HTML, Adobe Flash'",,,,,,
b'sony_ericsson',b'Sony Ericsson Xperia mini pro',b'https://fdn2.gsmarena.com/vv/bigpic/se-xperia-mini-pro-ofic.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',b'HSDPA 900 / 2100',b'ANT+ MP4/H.264/WMV player MP3/eAAC+/WMA/WAV player TrackID music recognition Document viewer Voice memo Predictive text input',,,b'HSPA 7.2/5.76 Mbps',"b'2011, May. Released 2011, August'",b'Discontinued',b'92 x 53 x 18 mm (3.62 x 2.09 x 0.71 in)',b'136 g (4.80 oz)',,b'Mini-SIM',,"b'LED-backlit LCD,'","b'3.0 inches, 26.8 cm2 (~55.0% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~192 ppi density)'",b'Scratch-resistant glass',"b'Android 2.3 (Gingerbread), 4.0 (Ice Cream Sandwich), not upgradable to 4.1 (Jelly Bean)'",b'Qualcomm MSM8255 Snapdragon S2',b'1.0 GHz Scorpion',b'Adreno 205',"b'microSDHC (dedicated slot), 2 GB included'","b'512MB RAM, 400MB'",,b'LED flash',b'720p',"b'5 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, DLNA, hotspot'","b'2.1, A2DP'","b'Yes, with A-GPS'",,"b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Removable Li-Ion 1200 mAh battery',,"b'Black, White, Pink, Turquoise'",,,b'0.46 W/kg (head)',b'About 140 EUR',,b'Contrast ratio: 714:1 (nominal)',b'Photo / Video',b'Voice 70dB / Noise 62dB / Ring 70dB',,,,,,,,,,,,,b'VGA',,,,,,b'Noise -89.7dB / Crosstalk -91.0dB',,,,,,,,,,,b'Up to 331 h (2G) / Up to 340 h (3G)',b'Up to 5 h 40 min (2G) / Up to 5 h 25 min (3G)',b'Up to 29 h',,,,,,,,,,b'QWERTY',"b'HTML, Adobe Flash'",,,,,,
