Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,SAR,SAR EU,Price,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 12GB RAM,256GB 12GB RAM,512GB 16GB RAM,Triple,128GB 8GB RAM,256GB 8GB RAM,32GB 3GB RAM,64GB 4GB RAM,128GB 4GB RAM,Dual,128GB 6GB RAM,Single_1,512GB 12GB RAM,8GB 1GB RAM,16GB 1GB RAM,32GB 2GB RAM,64GB 6GB RAM,Audio quality,512GB 8GB RAM,16GB 2GB RAM,4GB 768MB RAM,4GB 1.5GB RAM,GPRS,EDGE,1TB 12GB RAM,32GB 4GB RAM,Triple_1,Dual_1,Stand-by,Talk time,Music play,256GB 6GB RAM,256GB 4GB RAM,Infrared port,Talk time_1,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Stand-by_1,Alert types,Clock,Alarm,Languages,64GB 3GB RAM
b'spice',b'Spice Smart Pulse (M-9010)',b'https://fdn2.gsmarena.com/vv/bigpic/spice-9010.jpg',b'GSM',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'No',,b'MP3 player',,,,"b'2014, July. Released 2014, July'",b'Discontinued',b'53.7 x 41.7 x 13.6 mm (2.11 x 1.64 x 0.54 in)',b'52.5 g (1.83 oz)',,b'Dual SIM (Mini-SIM/ Micro-SIM)',,"b'TFT, 256K colors'","b'1.6 inches, 7.9 cm2 (~35.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~250 ppi density)'",,b'Wearable platform',b'Mediatek MT6260',b'360 MHz',b'No',b'microSDHC (dedicated slot)',b'64MB 64MB',,,b'144p@7fps',b'VGA',,,b'Yes',b'No',b'No',"b'2.0, A2DP'",b'No',b'No',b'FM radio',b'No',b'No',"b'Li-Ion 420 mAh, non-removable'",,b'Black',,,b'0.54 W/kg (head)',,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 12',b'Class 12',,,,,b'Up to 24 h (mixed usage) (2G) / Up to 50 h (3G)',b'Up to 3 h (3G)',,,,,,,,,,,,,,,,,,
b'spice',b'Spice Fire One (Mi-FX-1)',b'https://fdn2.gsmarena.com/vv/bigpic/spice-firefox.jpg',b'GSM',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'MP4/H.263 player MP3/AAC player',,,,,,"b'2014, August. Released 2014, August'",b'Discontinued',b'115.6 x 62 x 11.2 mm (4.55 x 2.44 x 0.44 in)',b'65 g (2.29 oz)',,b'Dual SIM (Mini-SIM)',,"b'TFT, 256K colors'","b'3.5 inches, 36.5 cm2 (~50.9% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'",,b'Firefox OS',b'Spreadtrum 6821',b'1.0 GHz',,b'microSDHC (dedicated slot)',b'256MB 128MB RAM',,b'LED flash',b'Yes',b'1.3 MP',,b'',"b'Yes, dual speakers'",b'Yes',b'Wi-Fi 802.11 b/g/n',"b'2.1, A2DP'",b'No',b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',b'Li-Ion 1400 mAh battery',,"b'White, Black, Orange'",,,b'0.74 W/kg (head)',,,,,,,,,,,,,,,,,,b'VGA',,,,,,,,,,,b'Class 12',b'Class 12',,,,,b'Up to 120 h',b'Up to 8 h',b'Up to 20 h',,,,,,,,,,,,,,,,,
b'spice',b'Spice N-300',b'https://fdn2.gsmarena.com/vv/bigpic/N300.jpg',b'GSM',b'GSM 900 / 1800 - SIM 1 & SIM 2',,,,,,,"b'2014, August. Released 2014, August'",b'Discontinued',b'150.4 x 74.8 x 9.8 mm (5.92 x 2.94 x 0.39 in)',b'180 g (6.35 oz)',,b'Dual SIM (Mini-SIM/ Micro-SIM)',,"b'IPS LCD, 256K colors'","b'5.0 inches, 68.9 cm2 (~61.2% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",,b'Android 4.4.2 (KitKat)',b'Mediatek MT6571 (28 nm)',b'Dual-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDHC',b'4GB 512MB RAM',,"b'LED flash, panorama'",b'720p@30fps',"b'8 MP, AF'",,b'',"b'Yes, dual speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Li-Ion 2000 mAh battery',,b'Blue',,,b'0.82 W/kg (head)',,,,,,,,,,,,,,,,,,b'2 MP',,,,,,,,,,,b'Class 12',b'Class 12',,,,,b'Up to 200 h',b'Up to 5 h',b'Up to 30 h',,,,,,,,,,,,,,,,,
b'spice',b'Spice Smart Flo 508 (Mi-508)',b'https://fdn2.gsmarena.com/vv/bigpic/spice-508.jpg',b'GSM',b'GSM 900 / 1800 - SIM 1 & SIM 2',,,,,,,"b'2014, August. Released 2014, August'",b'Discontinued',b'150.4 x 74.8 x 9.8 mm (5.92 x 2.94 x 0.39 in)',b'180 g (6.35 oz)',,b'Dual SIM (Mini-SIM/ Micro-SIM)',,"b'IPS LCD, 256K colors'","b'5.0 inches, 68.9 cm2 (~61.2% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",,b'Android 4.4.2 (KitKat)',b'Mediatek MT6571 (28 nm)',b'Dual-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDHC',b'4GB 512MB RAM',,"b'LED flash, panorama'",b'720p@30fps',"b'8 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Li-Ion 2000 mAh battery',,b'Blue',,,b'0.82 W/kg (head)',,,,,,,,,,,,,,,,,,b'2 MP',,,,,,,,,,,b'Class 12',b'Class 12',,,,,b'Up to 200 h',b'Up to 5 h',b'Up to 30 h',,,,,,,,,,,,,,,,,
b'spice',b'Spice Smart Flo 503 (Mi-503)',b'https://fdn2.gsmarena.com/vv/bigpic/spice-503.jpg',b'GSM',b'GSM 900 / 1800 - SIM 1 & SIM 2',,,,,,,"b'2014, August. Released 2014, August'",b'Discontinued',b'150.4 x 74.8 x 9.8 mm (5.92 x 2.94 x 0.39 in)',b'180 g (6.35 oz)',,b'Dual SIM (Mini-SIM/ Micro-SIM)',,"b'IPS LCD, 256K colors'","b'5.0 inches, 68.9 cm2 (~61.2% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",,b'Android 4.4.2 (KitKat)',b'Mediatek MT6571 (28 nm)',b'Dual-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDHC',b'4GB 512MB RAM',,"b'LED flash, panorama'",b'720p@30fps',"b'8 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Li-Ion 2000 mAh battery',,"b'White, Gray'",,,b'0.82 W/kg (head)',,,,,,,,,,,,,,,,,,b'2 MP',,,,,,,,,,,b'Class 12',b'Class 12',,,,,b'Up to 200 h',b'Up to 5 h',b'Up to 30 h',,,,,,,,,,,,,,,,,
b'spice',b'Spice Smart Flo 359 (Mi-359)',b'https://fdn2.gsmarena.com/vv/bigpic/spice-359.jpg',b'GSM',b'GSM 900 / 1800 - SIM 1 & SIM 2',,,,,,,"b'2014, August. Released 2014, August'",b'Discontinued',b'117.5 x 62.9 x 12 mm (4.63 x 2.48 x 0.47 in)',b'130 g (4.59 oz)',,b'Dual SIM (Mini-SIM)',,"b'TFT, 256K colors'","b'3.5 inches, 36.5 cm2 (~49.4% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'",,b'Android 4.4.2 (KitKat)',b'Mediatek MT6571 (28 nm)',b'Dual-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDHC',b'512MB 256MB RAM',,b'LED flash',b'720p@25fps',b'2 MP',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'3.0, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',b'Li-Ion 1400 mAh battery',,"b'Titanium Grey, Silver'",,,b'0.51 W/kg (head)',,,,,,,,,,,,,,,,,,b'1.3 MP',,,,,,,,,,,b'Class 12',b'Class 12',,,,,b'Up to 280 h',b'Up to 6 h',b'Up to 20 h',,,,,,,,,,,,,,,,,
b'spice',b'Spice Smart Flo 358 (Mi-358)',b'https://fdn2.gsmarena.com/vv/bigpic/spice-358.jpg',b'GSM',b'GSM 900 / 1800 - SIM 1 & SIM 2',,,,,,,"b'2014, October. Released 2014, October'",b'Discontinued',b'118 x 60.4 x 10.8 mm (4.65 x 2.38 x 0.43 in)',b'130 g (4.59 oz)',,b'Dual SIM (Mini-SIM)',,"b'TFT, 256K colors'","b'3.5 inches, 36.5 cm2 (~51.2% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'",,b'Android 4.4.2 (KitKat)',b'Mediatek MT6571 (28 nm)',b'Dual-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDHC',b'512MB 256MB RAM',,b'LED flash',b'720p@25fps',b'2 MP',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'3.0, A2DP, EDR'",b'A-GPS',b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',b'Li-Ion 1450 mAh battery',,"b'White, Gray'",,,b'0.57 W/kg (head)',,,,,,,,,,,,,,,,,,b'1.3 MP',,,,,,,,,,,b'Class 12',b'Class 12',,,,,b'Up to 300 h',b'Up to 6 h 30 min',b'Up to 20 h',,,,,,,,,,,,,,,,,
b'spice',b'Spice Stellar 439 (Mi-439)',b'https://fdn2.gsmarena.com/vv/bigpic/spice-439.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',,b'HSDPA 2100',,,,b'HSPA 21.1/5.76 Mbps',"b'2014, August. Released 2014, August'",b'Discontinued',b'125 x 63 x 10 mm (4.92 x 2.48 x 0.39 in)',b'113.8 g (4.02 oz)',,b'Dual SIM (Mini-SIM)',,"b'TFT, 256K colors'","b'4.0 inches, 45.5 cm2 (~57.8% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",,b'Android 4.4.2 (KitKat)',b'Mediatek MT6572M (28 nm)',b'Dual-core 1.0 GHz Cortex-A7',b'Mali-400',b'microSDHC',b'4GB 512MB RAM',,,b'720p@25fps',b'3.15 MP',,b'',"b'Yes, dual speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'3.0, A2DP'",b'A-GPS',b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',b'Li-Ion 1400 mAh battery',,"b'Brown, Silver'",,,b'0.85 W/kg (head)',,,,,,,,,,,,,,,,,,b'1.3 MP',,,,,,,,,,,,,,,,,b'Up to 58 h',b'Up to 5 h 30 min',b'Up to 15 h',,,,,,,,,,,,,,,,,
b'spice',b'Spice Stellar 361 (Mi-361)',b'https://fdn2.gsmarena.com/vv/bigpic/spice-361.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',,b'HSDPA 2100',,,,b'HSPA 21.1/5.76 Mbps',"b'2014, July. Released 2014, July'",b'Discontinued',b'115.3 x 60.6 x 11.9 mm (4.54 x 2.39 x 0.47 in)',b'102 g (3.60 oz)',,b'Dual SIM (Mini-SIM)',,"b'TFT, 256K colors'","b'3.5 inches, 36.5 cm2 (~52.2% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'",,b'Android 4.2.2 (Jelly Bean)',b'Mediatek MT6572M (28 nm)',b'Dual-core 1.0 GHz Cortex-A7',b'Mali-400',b'microSDHC',b'512MB 256MB RAM',,b'LED flash',b'480p@25fps',b'2 MP',,b'',"b'Yes, dual speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',b'Li-Ion 1400 mAh battery',,"b'Black, White'",,,b'0.81 W/kg (head)',,,,,,,,,,,,,,,,,,b'1.3 MP',,,,,,,,,,,,,,,,,b'Up to 72 h',b'Up to 8 h',b'Up to 15 h',,,,,,,,,,,,,,,,,
b'spice',b'Spice Stellar 507 (Mi-507)',b'https://fdn2.gsmarena.com/vv/bigpic/spice-507.jpg',b'GSM / HSPA',b'GSM 900 / 1800 - SIM 1 & SIM 2',,b'HSDPA 2100',,,,b'HSPA 21.1/5.76 Mbps',"b'2014, August. Released 2014, August'",b'Discontinued',b'145.2 x 72.7 x 10.7 mm (5.72 x 2.86 x 0.42 in)',b'184 g (6.49 oz)',,b'Dual SIM (Mini-SIM/ Micro-SIM)',,"b'TFT, 256K colors'","b'5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",,b'Android 4.4.2 (KitKat)',b'Mediatek MT6572 (28 nm)',b'Dual-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDHC',b'4GB 512MB RAM',,"b'LED flash, panorama'",b'720p@30fps',"b'8 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, EDR'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Li-Ion 1800 mAh battery',,"b'Red/Black, Blue/Black'",,,b'0.94 W/kg (head)',,,,,,,,,,,,,,,,,,b'1.3 MP',,,,,,,,,,,,,,,,,b'Up to 200 h',b'Up to 8 h',b'Up to 28 h',,,,,,,,,,,,,,,,,
