Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,SAR,SAR EU,Price,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 12GB RAM,256GB 12GB RAM,512GB 16GB RAM,Triple,128GB 8GB RAM,256GB 8GB RAM,32GB 3GB RAM,64GB 4GB RAM,128GB 4GB RAM,Dual,128GB 6GB RAM,Single_1,512GB 12GB RAM,8GB 1GB RAM,16GB 1GB RAM,32GB 2GB RAM,64GB 6GB RAM,Audio quality,512GB 8GB RAM,16GB 2GB RAM,4GB 768MB RAM,4GB 1.5GB RAM,GPRS,EDGE,1TB 12GB RAM,32GB 4GB RAM,Triple_1,Dual_1,Stand-by,Talk time,Music play,256GB 6GB RAM,256GB 4GB RAM,Infrared port,Talk time_1,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Stand-by_1,Alert types,Clock,Alarm,Languages,64GB 3GB RAM
b't_mobile',b'T-Mobile REVVL 5G',b'https://fdn2.gsmarena.com/vv/bigpic/tmobile-revvl-4-5g.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900',,b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',,"b'1, 2, 3, 4, 7, 8, 12, 13, 20, 25, 26, 28, 38, 39, 40, 41, 66, 71'","b'2, 25, 41, 66, 71 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, August 27'","b'Available. Released 2020, September 04'",b'165.4 x 76.2 x 9.4 mm (6.51 x 3.00 x 0.37 in)',b'215 (7.58 oz)',,b'Nano-SIM',,b'IPS LCD',"b'6.53 inches, 104.7 cm2 (~83.1% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)'",,b'Android 10',b'Qualcomm SM7250 Snapdragon 765 (7 nm)',b'Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver)',b'Adreno 620',b'microSDXC',b'128GB 6GB RAM',,"b'Dual-LED flash, HDR, panorama'","b'4K@30fps, 1080p@30fps'",b'16 MP',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'Yes',b'No',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Ion 4500 mAh, non-removable'",,b'Nebula Black',,,,b'About 400 USD',,,,,,,,,"b'48 MP, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, (ultrawide) 5 MP, (macro)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b't_mobile',b'T-Mobile REVVL 4+',b'https://fdn2.gsmarena.com/vv/bigpic/tmobile-revvl-4-plus.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'eMMC 5.1',b'HSDPA 850 / 1700(AWS) / 1900',,"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 20, 25, 26, 28, 38, 39, 40, 41, 66, 71'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, August 27'","b'Available. Released 2020, September 04'",b'165.4 x 75.2 x 8.1 mm (6.51 x 2.96 x 0.32 in)',b'180 g (6.35 oz)',,b'Nano-SIM',,b'IPS LCD',"b'6.52 inches, 109.7 cm2 (~88.2% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~247 ppi density)'",,b'Android 10',b'Qualcomm SDM665 Snapdragon 665 (11 nm)',b'Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 610',b'microSDXC',b'64GB 4GB RAM',,"b'Dual-LED dual-tone flash, HDR, panorama'",b'1080p@30fps',b'16 MP',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'Yes',b'No',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 4000 mAh, non-removable'",,b'Steel Gray',"b'5062W, 5062Z'",,,b'About 190 USD',,,,,,,,,,,,,,,"b'16 MP, PDAF 5 MP'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b't_mobile',b'T-Mobile REVVL 4',b'https://fdn2.gsmarena.com/vv/bigpic/tmobile-revvl-4.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'eMMC 5.1',b'HSDPA 850 / 1700(AWS) / 1900',,"b'2, 4, 5, 7, 12, 25, 26, 41, 66, 71'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, August 27'","b'Available. Released 2020, September 04'",b'159 x 76 x 8.1 mm (6.26 x 2.99 x 0.32 in)',b'158.5 (5.61 oz)',,b'Nano-SIM',,b'IPS LCD',"b'6.22 inches, 96.6 cm2 (~79.9% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~270 ppi density)'",,b'Android 10',b'Mediatek MT6761 Helio A22 (12 nm)',b'Quad-core 2.0 GHz Cortex-A53',b'PowerVR GE8300',b'microSDXC',b'32GB 2GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'13 MP, PDAF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'No',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 3500 mAh, non-removable'",,b'Graphite',,,,b'About 120 USD',,,,,,,,,,,,,,,,,b'5 MP',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b't_mobile',b'T-Mobile Revvlry+',b'https://fdn2.gsmarena.com/vv/bigpic/t-mobile-revvlry-plus-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'IP54 splash proof',b'HSDPA 850 / 1700(AWS) / 1900',b'eMMC 5.1',"b'1, 2, 3, 4, 5, 7, 12, 13, 20, 66, 71'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat12 600/50 Mbps'","b'2019, July'","b'Available. Released 2019, July'",b'158.5 x 75.2 x 8.6 mm (6.24 x 2.96 x 0.34 in)',b'-',,b'Nano-SIM',,b'IPS LCD',"b'6.24 inches, 97.5 cm2 (~81.8% screen-to-body ratio)'","b'1080 x 2270 pixels, 19:9 ratio (~403 ppi density)'",,b'Android 9.0 (Pie)',b'Qualcomm SDM636 Snapdragon 636 (14 nm)',b'Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver)',b'Adreno 509',b'microSDXC (dedicated slot)',b'64GB 4GB RAM',,"b'Dual-LED dual-tone flash, panorama, HDR'","b'4K@30fps, 1080p@30/60/120fps, gyro-EIS'","b'12 MP, (wide), 1/2.8"", 1.25\xc2\xb5m'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 3000 mAh, non-removable'",b'Fast charging 27W',b'Black',,,,b'About 350 USD',,,,,,,,,,,,,,,"b'16 MP, f/1.7, 1.22\xc2\xb5m, PDAF, OIS 5 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b't_mobile',b'T-Mobile Revvlry',b'https://fdn2.gsmarena.com/vv/bigpic/t-mobile-revvlry-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'Splash resistant',b'HSDPA 850 / 1700(AWS) / 1900',b'eMMC 5.1',"b'2, 4, 5, 7, 12, 38, 66, 71'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2019, July'","b'Available. Released 2019, July'",b'148.6 x 71.4 x 8.1 mm (5.85 x 2.81 x 0.32 in)',b'-',,b'Nano-SIM',,b'IPS LCD',"b'5.7 inches, 81.1 cm2 (~76.4% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~295 ppi density)'",,b'Android 9.0 (Pie)',b'Qualcomm SDM632 Snapdragon 632 (14 nm)',b'Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver)',b'Adreno 506',b'microSDXC (dedicated slot)',b'32GB 3GB RAM',,"b'LED flash, panorama, HDR'",b'1080p@30fps',"b'13 MP, f/2.0, 1/3.1"", 1.12\xc2\xb5m, PDAF'",b'LED flash',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Ion 3000 mAh, non-removable'",b'Charging 10W',b'Black',,,,b'About 200 USD',,,,,,,,,,,,,,,,,"b'8 MP, f/2.2, 1/4"", 1.12\xc2\xb5m'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b't_mobile',b'T-Mobile Revvl',b'https://fdn2.gsmarena.com/vv/bigpic/t-mobile-revvl.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 / 1900',,b'HSDPA 1700 (AWS)/ 1900',,"b'2, 4, 5, 12, 66'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2017, August'","b'Available. Released 2017, August'",b'151.9 x 77 x 8.4 mm (5.98 x 3.03 x 0.33 in)',b'157.9 g (5.64 oz)',,b'Nano-SIM',,b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~71.3% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",,b'Android 7.0 (Nougat)',b'Mediatek MT6738',b'Quad-core 1.5 GHz Cortex-A53',b'Mali-T860MP2',b'microSDXC (dedicated slot)',b'32GB 2GB RAM',,"b'LED flash, HDR'",b'1080p@30fps',"b'13 MP, AF'",b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 3000 mAh, non-removable'",,b'Black',,,,b'About 125 USD',,,,,,,,,,,,,,,,,b'5 MP',,,,,,,,,,,,,,,,,b'Up to 288 h (3G)',b'Up to 12 h (3G)',,,,,,,,,,,,,,,,,,
b't_mobile',b'T-Mobile Prism II',b'https://fdn2.gsmarena.com/vv/bigpic/t-mobile-prism-ii.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'No',b'HSDPA 850 / 1700 / 1900 / 2100',,,,b'HSPA',"b'2013, June. Released 2013, June'",b'Discontinued',b'117 x 62 x 12.4 mm (4.61 x 2.44 x 0.49 in)',b'100 g (3.53 oz)',,b'Mini-SIM',,b'TFT',"b'3.5 inches, 36.5 cm2 (~50.3% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'",,b'Android 4.1 (Jelly Bean)',,b'1.0 GHz Cortex-A5',,b'microSDHC (dedicated slot)',b'4GB 512MB RAM',,,b'Yes',b'3.15 MP',,,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 1750 mAh, removable'",,b'Black',,,,b'About 90 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 260 h',b'Up to 8 h',,,,,,,,,,,,,,,,,,
b't_mobile',b'T-Mobile Concord',b'https://fdn2.gsmarena.com/vv/bigpic/zte-t-mobile-concord.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'No',b'HSDPA 850 / 1700 / 1900 / 2100',b'MP4/WMV/H.264 player MP3/WAV/WMA/eAAC+ player Organizer Document viewer Voice memo/dial Predictive text input',,,b'HSPA 7.2/5.76 Mbps',"b'2012, August. Released 2012, August'",b'Discontinued',b'117 x 62 x 11.4 mm (4.61 x 2.44 x 0.45 in)',b'100 g (3.53 oz)',,b'Mini-SIM',,"b'TFT, 256K colors'","b'3.5 inches, 36.5 cm2 (~50.3% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'",,b'Android 2.3.5 (Gingerbread)',b'BCM21553',b'832 MHz',,"b'microSDHC (dedicated slot), 2 GB included'",b'512MB 512MB RAM',,,b'480p',b'2 MP',,,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'3.0, A2DP'","b'Yes, with A-GPS'",,b'No',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Removable Li-Ion 1500 mAh battery',,b'Black',,,,b'About 80 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 300 h',b'Up to 8 h 30 min',,,,,,,,,,,,,,,,,,
b't_mobile',b'T-Mobile myTouch Q 2',b'https://fdn2.gsmarena.com/vv/bigpic/t-mobile-mytouch-q-2.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'T-Mobile TV MP4/WMV/H.264 player MP3/WAV/WMA/eAAC+ player Organizer Document viewer Voice memo/dial/commands Predictive text input (Swype)',b'HSDPA 1700 / 2100',,,,b'HSPA',"b'2012, August. Released 2012, August'",b'Discontinued',b'124.8 x 63.9 x 14.3 mm (4.91 x 2.52 x 0.56 in)',b'185 g (6.53 oz)',,b'Mini-SIM',,b'IPS LCD',"b'4.0 inches, 45.5 cm2 (~57.1% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",,b'Android 2.3 (Gingerbread)',b'Qualcomm MSM8255T Snapdragon S2',b'1.4 GHz Scorpion',b'Adreno 205',b'microSDHC (dedicated slot)',b'4GB 1GB RAM',,b'LED flash',b'720p@30fps',"b'5 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, DLNA, hotspot'",b'Yes',"b'Yes, with A-GPS'",,b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Removable Li-Ion 1500 mAh battery',,"b'Black, White'",,,,b'About 290 EUR',,,,,,,,,,,,,,,,,b'VGA',,,,,,,,,,,,,,,,,b'Up to 185 h',b'Up to 6 h',,,,,,,,,,,b'QWERTY',,,,,,,
b't_mobile',b'T-Mobile myTouch 2',b'https://fdn2.gsmarena.com/vv/bigpic/t-mobile-mytouch-2.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'T-Mobile TV MP4/WMV/H.264 player MP3/WAV/WMA/eAAC+ player Organizer Document viewer Voice memo/dial/commands Predictive text input (Swype)',b'HSDPA 1700 / 2100',,,,b'HSPA',"b'2012, August. Released 2012, August'",b'Discontinued',b'114 x 62 x 10 mm (4.49 x 2.44 x 0.39 in)',b'140 g (4.94 oz)',,b'Mini-SIM',,b'IPS LCD',"b'4.0 inches, 45.5 cm2 (~64.4% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",,b'Android 2.3 (Gingerbread)',b'Qualcomm MSM8255T Snapdragon S2',b'1.4 GHz Scorpion',b'Adreno 205',b'microSDHC (dedicated slot)',b'4GB 1GB RAM',,b'LED flash',b'720p@30fps',"b'5 MP, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, DLNA, hotspot'",b'Yes',"b'Yes, with A-GPS'",,b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Removable Li-Ion 1500 mAh battery',,"b'Black, Dark red'",,,,b'About 290 EUR',,,,,,,,,,,,,,,,,b'VGA',,,,,,,,,,,,,,,,,b'Up to 186 h',b'Up to 6 h 10',,,,,,,,,,,,,,,,,,
