Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,SAR,SAR EU,Price,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 12GB RAM,256GB 12GB RAM,512GB 16GB RAM,Triple,128GB 8GB RAM,256GB 8GB RAM,32GB 3GB RAM,64GB 4GB RAM,128GB 4GB RAM,Dual,128GB 6GB RAM,Single_1,512GB 12GB RAM,8GB 1GB RAM,16GB 1GB RAM,32GB 2GB RAM,64GB 6GB RAM,Audio quality,512GB 8GB RAM,16GB 2GB RAM,4GB 768MB RAM,4GB 1.5GB RAM,GPRS,EDGE,1TB 12GB RAM,32GB 4GB RAM,Triple_1,Dual_1,Stand-by,Talk time,Music play,256GB 6GB RAM,256GB 4GB RAM,Infrared port,Talk time_1,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Stand-by_1,Alert types,Clock,Alarm,Languages,64GB 3GB RAM
b'tcl',b'TCL Tab 10s',b'https://fdn2.gsmarena.com/vv/bigpic/tcl-tab-10s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',,b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',,"b'1, 2, 3, 4, 5, 7, 8, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2021, January 12'","b'Coming soon. Exp. release 2021, March'",b'241 x 158.6 x 8.3 mm (9.49 x 6.24 x 0.33 in)',b'464 g (1.02 lb)',,b'Nano-SIM',,b'IPS LCD',"b'10.1 inches, 328.8 cm2 (~86.0% screen-to-body ratio)'","b'2000 x 1920 pixels, 1:1 ratio (~274 ppi density)'",,b'Android 10',b'Mediatek MT8768',b'Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53)',b'PowerVR GE8320',b'microSDXC',"b'32GB 3GB RAM, 64GB 4GB RAM'",,b'LED flash',b'1080p@30fps',"b'8 MP, f/2.0, (wide), 1/4"", 1.12\xc2\xb5m, AF'",,b'1080p@30fps',"b'Yes, with dual speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'No',b'USB Type-C 2.0',"b'Accelerometer, proximity'","b'Li-Po 8000 mAh, non-removable'",b'Fast charging 18W',"b'Gray, Silver'",,,,b'About 200 EUR',,,,,,,,,,,,,,,,,"b'5 MP, f/2.2, (wide), 1/5"", 1.12\xc2\xb5m'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'tcl',b'TCL NxtPaper',b'https://fdn2.gsmarena.com/vv/bigpic/tcl-nxt-paper.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'Splash resistant',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',,"b'1, 2, 3, 4, 5, 7, 8, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2021, January 12'","b'Coming soon. Exp. release 2021, April'",b'203.8 x 150.8 x 7.5 mm (8.02 x 5.94 x 0.30 in)',b'316 g (11.15 oz)',,b'Nano-SIM',,b'NCVM',"b'8.88 inches, 244.2 cm2 (~79.5% screen-to-body ratio)'","b'1080 x 1440 pixels, 4:3 ratio (~203 ppi density)'",,b'Android 10',b'Mediatek MT8768E',b'Octa-core 2.0 GHz',b'PowerVR GE8320',b'microSDXC',b'64GB 4GB RAM',,,b'1080p@30fps',b'8 MP',,b'1080p@30fps',"b'Yes, with dual speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',"b'FM radio, built-in antenna'",b'USB Type-C 2.0',"b'Accelerometer, proximity'","b'Li-Ion 5500 mAh, non-removable'",b'Fast charging 18W',b'Ultramarine Green',,,,b'About 350 EUR',,,,,,,,,,,,,,,,,b'5 MP',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'tcl',b'TCL 20 5G',b'https://fdn2.gsmarena.com/vv/bigpic/tcl-20-5g.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only)',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',b'HSDPA 850 / 900 / 1900 / 2100',b'UFS 2.1',"b'1, 3, 5, 7, 8, 20, 26, 28, 32, 38, 40, 41'","b'1, 3, 5, 28, 41, 78 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, November 30'","b'Available. Released 2020, December 07'",b'166.2 x 76.8 x 9.1 mm (6.54 x 3.02 x 0.36 in)',b'206 g (7.27 oz)',,"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'24-bit/192kHz audio',"b'IPS LCD, HDR10, 450 nits (typ)'","b'6.67 inches, 107.4 cm2 (~84.2% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~395 ppi density)'",,"b'Android 10, TCL UI'",b'Qualcomm SM6350 Snapdragon 690 5G (8 nm)',b'Octa-core (2x2.0 GHz Kryo 560 Gold & 6x1.7 GHz Kryo 560 Silver)',b'Adreno 619L',b'microSDXC (uses shared SIM slot)',"b'128GB 6GB RAM, 256GB 6GB RAM'",,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60fps, gyro-EIS'","b'8 MP, f/2.0, 27mm, (wide), 1/4.0"", 1.12\xc2\xb5m'",b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO'",b'Yes',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4500 mAh, non-removable'",b'Fast charging 18W Quick Charge 4.0+',"b'Mist Gray, Placid Blue'","b'T781, T781K, T781H'",,,b'About 300 EUR',,,,,,,,,"b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 16mm, 118\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'tcl',b'TCL 20 SE',b'https://fdn2.gsmarena.com/vv/bigpic/tcl-20-se-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only)',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - LATAM',"b'HSDPA 850 / 900 / 1900 / 2100 - EMEA, SEA, APAC'","b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 26, 28, 66 - LATAM'","b'1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - EMEA, SEA, APAC'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2021, January 11'","b'Coming soon. Exp. release 2021, February'",b'172.1 x 77.1 x 9.1 mm (6.78 x 3.04 x 0.36 in)',b'206 g (7.27 oz)',,"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'24-bit/192kHz audio',"b'IPS LCD, 450 nits (typ)'","b'6.82 inches, 110.5 cm2 (~83.2% screen-to-body ratio)'",b'720 x 1640 pixels (~263 ppi density)',,"b'Android 11, TCL UI'",b'Qualcomm SM4250 Snapdragon 460 (11 nm)',b'Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240)',b'Adreno 610',b'microSDXC (uses shared SIM slot)',"b'64GB 4GB RAM, 128GB 4GB RAM'","b'16 MP, f/1.8, 27mm (wide), 1/2.0"", 1.12\xc2\xb5m, PDAF 5 MP, f/2.2, 14mm, 115\xcb\x9a (ultrawide), 1/5.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (depth) 2 MP, f/2.4, (macro) or 48 MP, f/2.0, 27mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 5 MP, f/2.2, 14mm, 115\xcb\x9a (ultrawide), 1/5.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (depth) 2 MP, f/2.4, (macro)'","b'Dual-LED flash, HDR, panorama'",b'1080p@30fps',"b'8 MP, f/2.0, 26mm (wide), 1/4.0"", 1.12\xc2\xb5m or 13 MP, f/2.2, 26mm (wide), 1/3.0"", 1.12\xc2\xb5m'",b'HDR',b'1080p@30fps',"b'Yes, with dual speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 18W',"b'Aurora Green, Nuit Black'",,,,b'About 150 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'tcl',b'TCL 10 5G UW',b'https://fdn2.gsmarena.com/vv/bigpic/tcl-10-5g-uw.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900',b'UFS 2.1',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',,"b'2, 3, 4, 5, 7, 12, 13, 20, 28, 46, 48, 66'","b'2, 5, 66, 260, 261 mmWave'","b'HSPA 42.2/5.76 Mbps, LTE-A (CA), 5G'","b'2020, October 27'","b'Available. Released 2020, October 29'",b'163.6 x 76.5 x 9.4 mm (6.44 x 3.01 x 0.37 in)',b'210 g (7.41 oz)',"b'Glass front, glass back, aluminum frame'",b'Nano-SIM',,"b'IPS LCD, HDR10, 450 nits (typ)'","b'6.53 inches, 104.7 cm2 (~83.6% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)'",,b'Android 10',b'Qualcomm SM7250 Snapdragon 765G (7 nm)',b'Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver)',b'Adreno 620',b'microSDXC (uses shared SIM slot)',b'128GB 6GB RAM',,"b'Dual-LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/60/120fps, gyro-EIS'","b'16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0\xc2\xb5m'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, GALILEO'",,b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4500 mAh, non-removable'",b'Fast charging 18W Quick Charge 3.0',b'Diamond Gray',,,,b'About 400 USD',,,,,,,,,"b'48 MP, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12\xc2\xb5m 5 MP, f/2.2, (macro), AF'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'tcl',b'TCL MoveTime',b'https://fdn2.gsmarena.com/vv/bigpic/tcl-movetime.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'IP67 dust/water resistant (up to 1m for 30 mins)',b'HSDPA 900 / 2100',b'eMMC',"b'3, 8, 20'",,"b'HSPA 21.1/5.76 Mbps, LTE, Cat4 150/50 Mbps'","b'2020, September 03'","b'Coming soon. Exp. release 2020, Q4'",b'45 x 41 x 14.5 mm (1.77 x 1.61 x 0.57 in)',b'50 g (1.76 oz)',,"b'Nano-SIM, eSIM'",b'No',b'AMOLED',"b'1.41 inches, 6.4 cm2 (~34.5% screen-to-body ratio)'",b'320 x 360 pixels (~342 ppi density)',,,b'Qualcomm MSM8909W Snapdragon Wear 2500 (28nm)',b'Quad-core 1.09 GHz Cortex-A7',b'Adreno 304',b'No',b'4GB 512MB RAM',,,,,,,b'Yes',b'No',b'Wi-Fi 802.11 b/g/n',"b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'No',b'No',"b'Accelerometer, gyro, heart rate'","b'Li-Ion 600 mAh, non-removable'",,b'Black',b'MT43A',,,b'About 230 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Yes',b'Yes',"b'SMS(threaded view), Email, IM'",b'No',b'No',,,,,,,,
b'tcl',b'TCL 10 TabMid',b'https://fdn2.gsmarena.com/vv/bigpic/tcl-tabmid10.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',,b'HSDPA 850 / 900 / 1900 / 2100',,"b'1, 3, 5, 7, 8, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41'",,"b'HSPA 42.2/11.5 Mbps, LTE-A Cat4 150/50 Mbps'","b'2020, September 03'","b'Coming soon. Exp. release 2020, Q4'",b'209.4 x 125.2 x 8.6 mm (8.24 x 4.93 x 0.34 in)',b'325 g (11.46 oz)',,b'Nano-SIM',,b'IPS LCD',"b'8.0 inches, 185.6 cm2 (~70.8% screen-to-body ratio)'","b'1200 x 1920 pixels, 16:10 ratio (~283 ppi density)'",,"b'Android 10, TCL UI'",b'Qualcomm SM6125 Snapdragon 665 (11 nm)',b'Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 610',b'microSDXC (dedicated slot)',b'32GB 3GB RAM',,b'LED flash',b'1080p@30fps',"b'5 MP, f/2.0, (wide), 1/4"", 1.12\xc2\xb5m'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'No',b'USB Type-C 2.0',b'Accelerometer',"b'Li-Po 5500 mAh, non-removable'",b'Fast charging 18W',b'Prime Black',,,,b'About 230 EUR',,,,,,,,,,,,,,,,,"b'5 MP, f/2.4, (wide), 1/5"", 1.12\xc2\xb5m'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'tcl',b'TCL 10 TabMax',b'https://fdn2.gsmarena.com/vv/bigpic/tcl-tabmax10.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'Stylus support',b'HSDPA 850 / 900 / 1900 / 2100',,"b'1, 3, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41'",,"b'HSPA 42.2/11.5 Mbps, LTE-A Cat6 300/50 Mbps'","b'2020, September 03'","b'Coming soon. Exp. release 2020, Q4'",b'247.8 x 157.6 x 7.7 mm (9.76 x 6.20 x 0.30 in)',b'-',,b'Nano-SIM',,b'IPS LCD',"b'10.36 inches, 305.5 cm2 (~78.2% screen-to-body ratio)'","b'1200 x 2000 pixels, 5:3 ratio (~225 ppi density)'",,"b'Android 10, TCL UI'",,b'Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)',b'Mali-G72 MP3',b'microSDXC (dedicated slot)',b'64GB 4GB RAM',,b'LED flash',b'1080p@30fps',"b'13 MP, f/1.8, (wide), 1/3"", 1.12\xc2\xb5m, AF'",,b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'No',b'USB Type-C 2.0',"b'Accelerometer, proximity'","b'Li-Po 8000 mAh, non-removable'",b'Fast charging 18W',b'Dark Blue',,,,b'About 250 EUR',,,,,,,,,,,,,,,,,"b'8 MP, f/2.0, (wide), 1/4"", 1.12\xc2\xb5m'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'tcl',b'TCL 10 SE',b'https://fdn2.gsmarena.com/vv/bigpic/tcl-10-se.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only)',b'HSDPA 800 / 850 / 900 / 2100',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',,"b'1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 400/75 Mbps'","b'2020, July 09'","b'Available. Released 2020, July 21'",b'164.9 x 74.7 x 8.4 mm (6.49 x 2.94 x 0.33 in)',b'166 g (5.86 oz)',,"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",,b'LCD',"b'6.52 inches, 102.6 cm2 (~83.3% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~269 ppi density)'",,"b'Android 10, TCL UI'",b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC (uses shared SIM slot)',b'128GB 4GB RAM',,"b'Dual-LED flash, HDR, panorama'",b'1080p@30fps',"b'8 MP, f/2.0, 26mm (wide), 1/4.0"", 1.12\xc2\xb5m or 13 MP, f/2.2, 26mm (wide), 1/3.1"", 1.12\xc2\xb5m'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",b'Fast charging 15W',"b'Black, Violet'",,,,,,,,,,,,,"b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 5 MP, f/2.2, 115\xcb\x9a (ultrawide), 1.12\xc2\xb5m 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'tcl',b'TCL 10 Plus',b'https://fdn2.gsmarena.com/vv/bigpic/tcl-10-plus.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only)',b'HSDPA 800 / 850 / 900 / 2100',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',,"b'1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 400/75 Mbps'","b'2020, July 09'","b'Available. Released 2020, August'",b'158.9 x 72.9 x 8.9 mm (6.26 x 2.87 x 0.35 in)',b'172 g (6.07 oz)',,"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",,"b'AMOLED, HDR'","b'6.47 inches, 102.8 cm2 (~88.7% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)'",,"b'Android 10, TCL UI'",b'Qualcomm SM6125 Snapdragon 665 (11 nm)',b'Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 610',b'microSDXC (uses shared SIM slot)',"b'64GB 6GB RAM, 128GB 6GB RAM, 256GB 8GB RAM'","b'48 MP, f/1.8, 26mm (wide), 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 118\xcb\x9a (ultrawide), 1.12\xc2\xb5m 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'Dual-LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/120fps'","b'16 MP, f/2.2, 26mm (wide), 1/3.1"", 1.0\xc2\xb5m'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4500 mAh, non-removable'",b'Quick Charge 3',"b'Blue, Violet'",b'T782H',,,b'About 300 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
