Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,SAR,SAR EU,Price,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 12GB RAM,256GB 12GB RAM,512GB 16GB RAM,Triple,128GB 8GB RAM,256GB 8GB RAM,32GB 3GB RAM,64GB 4GB RAM,128GB 4GB RAM,Dual,128GB 6GB RAM,Single_1,512GB 12GB RAM,8GB 1GB RAM,16GB 1GB RAM,32GB 2GB RAM,64GB 6GB RAM,Audio quality,512GB 8GB RAM,16GB 2GB RAM,4GB 768MB RAM,4GB 1.5GB RAM,GPRS,EDGE,1TB 12GB RAM,32GB 4GB RAM,Triple_1,Dual_1,Stand-by,Talk time,Music play,256GB 6GB RAM,256GB 4GB RAM,Infrared port,Talk time_1,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Stand-by_1,Alert types,Clock,Alarm,Languages,64GB 3GB RAM
b'tecno',b'Tecno Camon 16 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/tecno-camon-16-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',"b'1, 3, 7, 8, 20, 28'",b'HSDPA 900 / 2100',,"b'1, 3, 5, 7, 8, 20, 28, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, September 04'","b'Available. Released 2020, September'",b'170.9 x 77.2 x 9.2 mm (6.73 x 3.04 x 0.36 in)',b'207 g (7.30 oz)',,"b'Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'6.8 inches, 109.8 cm2 (~83.2% screen-to-body ratio)'",b'720 x 1640 pixels (~263 ppi density)',b'Corning Gorilla Glass 3',"b'Android 10, HIOS 7.0'",b'Mediatek Helio G70 (12 nm)',b'Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55)',b'Mali-G52 2EEMC2',b'Unspecified',"b'128GB 4GB RAM, 128GB 6GB RAM'","b'64 MP, f/1.8, 26mm (wide), 1/2.0"", 0.7\xc2\xb5m, PDAF 8 MP, f/2.3, 119\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro) 4th unknown camera'","b'Penta-LED flash, panorama, HDR'",b'1080p@30fps',,"b'Dual-LED flash, HDR'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 18W',"b'Onyx Black, Ice Crystal Blue'",,,,b'About 150 EUR',,,,,,,,,,,,,,,"b'16 MP, f/2.0, 27mm (wide), 1/3.0"", 1.0\xc2\xb5m 2nd unknown camera'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'tecno',b'Tecno Camon 16 S',b'https://fdn2.gsmarena.com/vv/bigpic/tecno-camon-16s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 900 / 2100',,"b'1, 3, 7, 8, 20, 28'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, November 05'","b'Available. Released 2020, November 05'",b'164.5 x 76.5 x 9 mm (6.48 x 3.01 x 0.35 in)',b'-',,"b'Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'6.6 inches, 105.2 cm2 (~83.6% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~266 ppi density)'",b'Corning Gorilla Glass 3',"b'Android 10, HIOS 6.2'",b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',b'Unspecified',b'128GB 4GB RAM',"b'48 MP, f/1.8, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth) 4th unknown camera'","b'Quad-LED flash, panorama, HDR'",b'1080p@30fps',b'8 MP',b'Dual-LED flash',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 5000 mAh, non-removable'",,"b'Ice Jadeite, Misty Grey, Blue Hawaii'",,,,b'About 130 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'tecno',b'Tecno Spark 6 Go',b'https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-6-go.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 2100',,"b'1, 3, 5, 7, 8, 20, 28, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, November 22'","b'Available. Released 2020, November 23'",b'165.6 x 76.3 x 9.1 mm (6.52 x 3.00 x 0.36 in)',b'-',,"b'Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'6.52 inches, 102.6 cm2 (~81.2% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~269 ppi density)'",b'Corning Gorilla Glass 3',"b'Android 10 (Go edition), HIOS 6.2'","b'Mediatek MT6761D Helio A20 (12 nm) - 2GB, 3GB modelMediaTek MT6762D Helio A25 (12 nm) - 4GB model'",b'Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53)Quad-core 1.8 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC',"b'32GB 2GB RAM, 32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM'",,"b'Dual-LED flash, panorama, HDR'",b'1080p@30fps',"b'8 MP, f/2.0'",b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 5000 mAh, non-removable'",,"b'Ice Jadelite, Mystery White, Aqua Blue'","b'KE5j, KE5k'",,,b'About 70 EUR',,,,,,,,,,,,,,,"b'13 MP, f/1.8, AF Secondary unspecified camera'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'tecno',b'Tecno Spark Go 2020',b'https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-go-2020.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 900 / 2100',,"b'1, 3, 7, 8, 20, 28, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, September 01'","b'Available. Released 2020, September 07'",b'165.6 x 76.3 x 9.1 mm (6.52 x 3.00 x 0.36 in)',b'-',,"b'Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'6.52 inches, 102.6 cm2 (~81.2% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~269 ppi density)'",b'Corning Gorilla Glass 3',"b'Android 10 (Go edition), HIOS 6.2'",b'Mediatek MT6761D Helio A20 (12 nm)',b'Quad-core 1.8 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC',b'32GB 2GB RAM',,"b'Dual-LED flash, panorama, HDR'",b'1080p@30fps',"b'8 MP, f/2.0'",b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 5000 mAh, non-removable'",,"b'Ice Jadeite, Aqua Blue, Sky Black'",,,,b'About 80 EUR',,,,,,,,,,,,,,,"b'13 MP, f/1.8, AF Secondary unspecified camera'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'tecno',b'Tecno Pova',b'https://fdn2.gsmarena.com/vv/bigpic/tecno-pova.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 900 / 2100',,"b'1, 3, 5, 8, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, October 03'","b'Available. Released 2020, October 16'",b'171.2 x 77.6 x 9.4 mm (6.74 x 3.06 x 0.37 in)',b'-',,"b'Dual SIM (Nano-SIM, dual stand-by)'",,"b'IPS LCD, 480 nits (peak)'","b'6.8 inches, 109.8 cm2 (~82.7% screen-to-body ratio)'",b'720 x 1640 pixels (~263 ppi density)',,"b'Android 10, HIOS 7.0'",b'Mediatek Helio G80 (12 nm)',b'Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55)',b'Mali-G52 MC2',b'microSDXC (dedicated slot)',"b'64GB 4GB RAM, 128GB 6GB RAM'","b'13 MP or 16 MP, f/1.9, (wide), PDAF 2 MP, (macro) 2 MP, (depth) 4th unknown camera'",b'Quad-LED flash',"b'1440p@30fps, 1080p@30fps'","b'8 MP, f/2.0'",b'Dual-LED flash',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GALILEO, BDS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 6000 mAh, non-removable'",b'Fast charging 18W',"b'Magic Blue, Speed Purple, Dazzle Black'","b'LD7, LD7j'",,,b'About 110 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'tecno',b'Tecno Camon 16',b'https://fdn2.gsmarena.com/vv/bigpic/tecno-camon-16.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 900 / 2100',,"b'1, 3, 5, 7, 8, 20, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, October 10'","b'Available. Released 2020, October 16'",b'170.9 x 77.2 x 9.2 mm (6.73 x 3.04 x 0.36 in)',b'207 g (7.30 oz)',,"b'Dual SIM (Nano-SIM, dual stand-by)'",,"b'IPS LCD, 480 nits (typ)'","b'6.8 inches, 109.8 cm2 (~83.2% screen-to-body ratio)'",b'720 x 1640 pixels (~263 ppi density)',,"b'Android 10, HIOS 6.0'",b'Mediatek Helio G70 (12 nm)',b'Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55)',b'Mali-G52 2EEMC2',b'microSDXC (dedicated slot)',"b'64GB 4GB RAM, 128GB 4GB RAM'","b'64 MP, 26mm (wide), 1/1.73"", 0.8\xc2\xb5m, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth) 2 MP'","b'Penta-LED flash, panorama, HDR'",b'1440p@30fps',"b'16 MP, (wide), AF'","b'Dual-LED flash, HDR'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",,"b'Cloud White, Purist Blue, Misty Grey'","b'CE7, CE7j, CE9h'",b'0.95 W/kg (head) \xc2\xa0 \xc2\xa0 0.82 W/kg (body)',,b'About 130 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'tecno',b'Tecno Spark 6 Air',b'https://fdn2.gsmarena.com/vv/bigpic/tecno-spark6-air.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 2100',,b'LTE',,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, July 30'","b'Available. Released 2020, August 06'",b'174.7 x 79.4 x 9.3 mm (6.88 x 3.13 x 0.37 in)',b'-',,"b'Dual SIM (Nano-SIM, dual stand-by)'",,"b'IPS LCD, 480 nits (typ)'","b'7.0 inches, 116.4 cm2 (~83.9% screen-to-body ratio)'",b'720 x 1640 pixels (~256 ppi density)',,"b'Android 10 (Go edition), HiOS 6.2'",b'Mediatek MT6761 Helio A22 (12 nm)',b'Quad-core 1.8 GHz Cortex-A53',b'PowerVR GE8320',b'microSDXC (dedicated slot)',"b'32GB 2GB RAM, 32GB 3GB RAM, 64GB 3GB RAM'",,"b'Quad-LED flash, HDR'",b'1080p@30fps',b'8 MP',b'Dual-LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 6000 mAh, non-removable'",b'Fast charging 18W',"b'Comet Black, Ocean Blue, Cloud White'","b'KE6, KE6j'",,,b'About 90 EUR',,,,,,,,,"b'13 MP, f/1.8, AF 2 MP, (depth) QVGA'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'tecno',b'Tecno Spark 6',b'https://fdn2.gsmarena.com/vv/bigpic/tecno-spark6.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.1',b'HSDPA 850 / 900 / 2100',,b'LTE',,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, September 25'","b'Available. Released 2020, September 25'",b'170.8 x 77.3 x 9.2 mm (6.72 x 3.04 x 0.36 in)',b'-',,"b'Dual SIM (Nano-SIM, dual stand-by)'",,"b'IPS LCD, 480 nits (typ)'","b'6.8 inches, 109.8 cm2 (~83.2% screen-to-body ratio)'",b'720 x 1640 pixels (~263 ppi density)',,"b'Android 10, HIOS 7.0'",b'Mediatek Helio G70 (12 nm)',b'Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55)',b'Mali-G52 2EEMC2',b'microSDXC (dedicated slot)',b'64GB 4GB RAM',"b'16 MP, PDAF 2 MP, (macro) 2 MP, (depth) QVGA'","b'Quad-LED flash, panorama, HDR'",b'1440p@30fps',b'8 MP',"b'Dual-LED flash, HDR'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'Yes',"b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 5000 mAh, non-removable'",b'Fast charging 18W',"b'Ocean Blue, Comet Black, Dynamic Orabge, Misty Violet'",b'KE7',,,b'About 110 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'tecno',b'Tecno Camon 16 Premier',b'https://fdn2.gsmarena.com/vv/bigpic/tecno-camon-16-premier.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100 - India',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',b'UFS 2.1',"b'1, 3, 5, 7, 8, 20, 38, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, September 04'","b'Available. Released 2020, September 04'",b'170.6 x 77.2 x 9.1 mm (6.72 x 3.04 x 0.36 in)',b'210 g (7.41 oz)',"b'Glass front, plastic frame, plastic back'","b'Dual SIM (Nano-SIM, dual stand-by)'",,"b'IPS LCD, 90Hz, HDR10+, 480 nits (typ)'","b'6.85 inches, 111.4 cm2 (~84.6% screen-to-body ratio)'",b'1080 x 2460 pixels (~392 ppi density)',,"b'Android 10, HIOS 6.0'",b'Mediatek MT6785 Helio G90T (12 nm)',b'Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)',b'Mali-G76 MC4',b'microSDXC (dedicated slot)',b'128GB 8GB RAM',"b'64 MP, f/1.9, 26mm (wide), 1/1.73"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.3, 119\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (dedicated video camera) 2 MP, f/2.4, (depth)'","b'Penta-LED flash, panorama, HDR'","b'4K@30fps, 1080p@30fps, 720p@960fps, gyro-EIS'",,"b'Dual-LED flash, HDR'",b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4500 mAh, non-removable'","b'Fast charging 33W, 70% in 30 min (advertised) Fast charging 18W (India model)'",b'Glacial Silver',"b'CE9, CD6j'",b'1.25 W/kg (head) \xc2\xa0 \xc2\xa0 0.88 W/kg (body)',,b'About 230 EUR',"b'AnTuTu: 283847 (v8) GeekBench: 6692 (v4.4), 1672 (v5.1) GFXBench: 15fps (ES 3.1 onscreen)'",b'Contrast ratio: 1896:1 (nominal)',b'Photo / Video',b'-28.1 LUFS (Average)',b'Endurance rating 118h',,,,,,,,,,"b'48 MP, f/2.2, 23mm (wide), 1/2.0"", 0.8\xc2\xb5m 8 MP, f/2.2, 105\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'tecno',b'Tecno Pouvoir 4 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/tecno-pouvoir-4-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 900 / 2100',,"b'1, 3, 7, 8, 20, 28'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, July 07'","b'Available. Released 2020, July 23'",b'174.9 x 79.6 x 9.2 mm (6.89 x 3.13 x 0.36 in)',b'-',"b'Glass front, plastic back, plastic frame'",b'Dual SIM',,"b'IPS LCD, 480 nits (typ)'","b'7.0 inches, 116.4 cm2 (~83.6% screen-to-body ratio)'",b'720 x 1640 pixels (~256 ppi density)',,"b'Android 10, HIOS 6.0'",b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core (4x2.0 GHz & 4x1.5 GHz)',b'PowerVR GE8320',b'microSDXC (dedicated slot)',"b'64GB 4GB RAM, 128GB 6GB RAM'","b'16 MP, f/1.9, (wide), AF 5 MP, f/2.2, (macro) 2 MP, f/2.4, (depth) QVGA'",b'Quad-LED flash',b'1080p@30fps',"b'16 MP, f/2.0, 27mm (wide)'",b'Dual-LED flash',b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 6000 mAh, non-removable'",b'Fast charging 18W',"b'Ice Jadeite, Misty Grey, Fascinating Purple'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
