Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,SAR,SAR EU,Price,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 12GB RAM,256GB 12GB RAM,512GB 16GB RAM,Triple,128GB 8GB RAM,256GB 8GB RAM,32GB 3GB RAM,64GB 4GB RAM,128GB 4GB RAM,Dual,128GB 6GB RAM,Single_1,512GB 12GB RAM,8GB 1GB RAM,16GB 1GB RAM,32GB 2GB RAM,64GB 6GB RAM,Audio quality,512GB 8GB RAM,16GB 2GB RAM,4GB 768MB RAM,4GB 1.5GB RAM,GPRS,EDGE,1TB 12GB RAM,32GB 4GB RAM,Triple_1,Dual_1,Stand-by,Talk time,Music play,256GB 6GB RAM,256GB 4GB RAM,Infrared port,Talk time_1,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Stand-by_1,Alert types,Clock,Alarm,Languages,64GB 3GB RAM
b'toshiba',b'Toshiba Excite Go',b'https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-go.jpg',b'No cellular connectivity',b'N/A',b'No',,,,,,"b'2014, May. Released 2014, July'",b'Discontinued',b'199 x 119.8 x 10.9 mm (7.83 x 4.72 x 0.43 in)',b'354.4 g (12.49 oz)',,b'No',,b'IPS LCD',"b'7.0 inches, 137.9 cm2 (~57.8% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio (~170 ppi density)'",,b'Android 4.4.2 (KitKat)',b'Intel Atom Z3735G',b'Quad-core 1.33 GHz',,b'microSDXC (dedicated slot)',b'8GB 1GB RAM',,,b'Yes',b'VGA',,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'",b'',b'No',b'No',b'microUSB 2.0',b'Accelerometer',"b'Li-Po 3500 mAh, non-removable (13 Wh)'",,"b'Black/Silver, Black/White'",,,,b'About 80 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,b'No',b'No',,,,,,b'Up to 7 h (multimedia)',,,,,,,,,,,,,,,,,,
b'toshiba',b'Toshiba Excite 7c AT7-B8',b'https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-7c-at7-b8.jpg',b'No cellular connectivity',b'N/A',b'No',,,,,,"b'2014, February. Released 2014, February'",b'Discontinued',b'199 x 119.8 x 10.9 mm (7.83 x 4.72 x 0.43 in)',b'354.4 g (12.49 oz)',,b'No',,b'IPS LCD',"b'7.0 inches, 137.9 cm2 (~57.8% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio (~170 ppi density)'",,b'Android 4.2.2 (Jelly Bean)',b'Rockchip RK3168',b'Dual-core 1.5 GHz Cortex-A9',,b'microSD (dedicated slot)',b'8GB 1GB RAM',,,b'Yes',b'VGA',,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'",b'No',b'No',b'No',b'microUSB 2.0',b'Accelerometer',"b'Li-Po 3500 mAh, non-removable (13 Wh)'",,b'Black/Silver',,,,b'About 70 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,b'No',b'No',,,,,,b'Up to 11 h (multimedia)',,,,,,,,,,,,,,,,,,
b'toshiba',b'Toshiba Excite Pro',b'https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-pro-new.jpg',b'No cellular connectivity',b'N/A',b'HDMI port',,,,,,"b'2013, June. Released 2013, July'",b'Discontinued',b'261.6 x 177.8 x 10.2 mm (10.30 x 7.00 x 0.40 in)',b'630.5 g (1.39 lb)',,b'No',,b'LED-backlit IPS LCD',"b'10.1 inches, 295.8 cm2 (~63.6% screen-to-body ratio)'","b'2560 x 1600 pixels, 16:10 ratio (~299 ppi density)'",,"b'Android 4.2.1 (Jelly Bean), upgrad\xd0\xb0ble to 4.3 (Jelly Bean)'",b'Nvidia Tegra 4',b'Quad-core Cortex-A15',b'ULP GeForce',b'microSDHC (dedicated slot)',b'32GB 2GB RAM',,b'LED flash',b'Yes',"b'8 MP, AF'",,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band'","b'4.0, A2DP'",b'Yes',b'No',b'No',b'microUSB 2.0',"b'Accelerometer, gyro, compass'",b'Li-Po (33 Wh)',,b'Silver',,,,b'About 210 EUR',,,,,,,,,,,,,,,,,b'1.2 MP',,,,,,,,,,,b'No',b'No',,,,,,b'Up to 11 h (multimedia)',,,,,,,,,,,,,,,,,,
b'toshiba',b'Toshiba Excite Write',b'https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-write-new.jpg',b'No cellular connectivity',b'N/A',b'Stylus',,b'HDMI port',,,,"b'2013, June. Released 2013, July'",b'Discontinued',b'261.6 x 177.8 x 10.2 mm (10.30 x 7.00 x 0.40 in)',b'671.3 g (1.48 lb)',,b'No',,b'LED-backlit IPS LCD',"b'10.1 inches, 295.8 cm2 (~63.6% screen-to-body ratio)'","b'2560 x 1600 pixels, 16:10 ratio (~299 ppi density)'",,b'Android 4.2.1 (Jelly Bean)',b'Nvidia Tegra 4',b'Quad-core Cortex-A15',b'ULP GeForce',b'microSDHC (dedicated slot)',b'32GB 2GB RAM',,b'LED flash',b'Yes',"b'8 MP, AF'",,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band'","b'4.0, A2DP'",b'Yes',b'No',b'No',b'microUSB 2.0',"b'Accelerometer, gyro, compass'",b'Li-Po (33 Wh)',,b'Silver',,,,b'About 440 EUR',,,,,,,,,,,,,,,,,b'1.2 MP',,,,,,,,,,,b'No',b'No',,,,,,b'Up to 11 h (multimedia)',,,,,,,,,,,,,,,,,,
b'toshiba',b'Toshiba Excite Pure',b'https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-pure-new.jpg',b'No cellular connectivity',b'N/A',b'No',,b'HDMI port',,,,"b'2013, June. Released 2013, July'",b'Discontinued',b'261.6 x 177.8 x 10.2 mm (10.30 x 7.00 x 0.40 in)',b'598.7 g (1.32 lb)',,b'No',,b'LED-backlit IPS LCD',"b'10.1 inches, 295.8 cm2 (~63.6% screen-to-body ratio)'","b'1280 x 800 pixels, 16:10 ratio (~149 ppi density)'",,"b'Android 4.2.1 (Jelly Bean), upgrad\xd0\xb0ble to 4.3 (Jelly Bean)'",b'Nvidia Tegra 3',b'Quad-core',,b'microSDHC (dedicated slot)',b'16GB 1GB RAM',,,b'Yes',b'1.2 MP',,,"b'Yes, with stereo speakers'",b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'",b'Yes',b'No',b'No',b'microUSB 2.0',"b'Accelerometer, gyro, compass'",b'Li-Po (25 Wh)',,b'Silver',,,,b'About 230 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,b'No',b'No',,,,,,b'Up to 13 h 30 min (multimedia)',,,,,,,,,,,,,,,,,,
b'toshiba',b'Toshiba Excite 10 SE',b'https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-10-se.jpg',b'No cellular connectivity',b'N/A',b'SRS audio',,,,,,"b'2012, December. Released 2012, December'",b'Discontinued',b'261.6 x 180.3 x 10.2 mm (10.30 x 7.10 x 0.40 in)',b'639.6 g (1.41 lb)',,b'No',,b'LED-backlit IPS LCD',"b'10.1 inches, 295.8 cm2 (~62.7% screen-to-body ratio)'","b'1280 x 800 pixels, 16:10 ratio (~149 ppi density)'",,b'Android 4.1 (Jelly Bean)',b'Nvidia Tegra 3',b'Quad-core 1.5 GHz',b'ULP GeForce 2',b'microSDHC (dedicated slot)',b'16GB 1GB RAM',,,b'Yes',"b'3.15 MP, AF'",,b'',"b'Yes, with stereo speakers'",b'Yes',b'Wi-Fi 802.11 b/g/n',"b'3.0, A2DP'",b'Yes',b'No',b'No',b'microUSB 2.0',"b'Accelerometer, gyro, compass'",b'Li-Po (25 Wh)',,b'Black/Silver',,,,b'About 250 EUR',,,,,,,,,,,,,,,,,b'1.2 MP',,,,,,,,,,,b'No',b'No',,,,,,b'Up to 12 h (multimedia)',,,,,,,,,,,,,,,,,,
b'toshiba',b'Toshiba Excite 13 AT335',b'https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-13-AT335.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'SRS audio',b'HSDPA',b'HDMI port MP3/WAV/WMA/eAAC+ player MP4/H.264/WMV player Organizer Document viewer Photo editor Voice memo Predictive text input',,,b'HSPA',"b'2012, April. Released 2012, July'",b'Discontinued',b'343.8 x 211.2 x 9.8 mm (13.54 x 8.31 x 0.39 in)',b'998 g (2.20 lb)',,b'Mini-SIM',,b'LED-backlit IPS LCD',"b'13.3 inches, 644.9 cm2 (~88.8% screen-to-body ratio)'","b'1600 x 900 pixels, 16:9 ratio (~120 ppi density)'",b'Corning Gorilla Glass',b'Android 4.0 (Ice Cream Sandwich)',b'Nvidia Tegra 3',b'Quad-core 1.5 GHz',b'ULP GeForce 2',b'SD/microSDHC (dedicated slot)',"b'32GB 1GB RAM, 64GB 1GB RAM'",,b'LED flash',b'1080p@30fps',"b'5 MP, AF'",,b'',"b'Yes, with four speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'3.0',"b'Yes, with A-GPS'",,b'No',b'miniUSB 2.0',"b'Accelerometer, gyro, compass'",b'Non-removable Li-Po battery (38 Wh)',,b'Dark gray metallic',,,,b'About 540 EUR',,,,,,,,,,,,,,,,,b'2 MP',,,,,,,,,,,b'Yes',b'Yes',,,,,b'Up to 168 h',b'Up to 13 h',,,,,,,,,,,,,,,,,,
b'toshiba',b'Toshiba Excite 10 AT305',b'https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-10-AT305.jpg',b'No cellular connectivity',b'N/A',b'SRS audio',,b'HDMI port MP3/WAV/WMA/eAAC+ player MP4/H.264/WMV player Organizer Document viewer Photo editor Voice memo Predictive text input',,,,"b'2012, April. Released 2012, May'",b'Discontinued',b'262 x 178 x 9 mm (10.31 x 7.01 x 0.35 in)',b'599 g (1.32 lb)',,b'No',,"b'LED-backlit LCD,'","b'10.1 inches, 295.8 cm2 (~63.4% screen-to-body ratio)'","b'1280 x 800 pixels, 16:10 ratio (~149 ppi density)'",b'Corning Gorilla Glass',b'Android 4.0 (Ice Cream Sandwich)',b'Nvidia Tegra 3',b'Quad-core 1.5 GHz',b'ULP GeForce 2',b'SD/microSDHC (dedicated slot)',"b'16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM'",,b'LED flash',b'720p',"b'5 MP, AF'",,b'',"b'Yes, with stereo speakers'",b'Yes',b'Wi-Fi 802.11 b/g/n',"b'3.0, A2DP'",b'Yes',,b'No',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, gyro, compass'",b'Non-removable Li-Po battery (25 Wh)',,b'Black/Silver',,,,b'About 290 EUR',,,,,,,,,,,,,,,,,b'2 MP',,,,,,,,,,,b'No',b'No',,,,,b'Up to 168 h',b'Up to 10 h',,,,,,,,,,,,,,,,,,
b'toshiba',b'Toshiba Excite 7.7 AT275',b'https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-77-AT275.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'SRS audio',b'HSDPA',b'MP3/WAV/WMA/eAAC+ player MP4/H.264/WMV player Organizer Document viewer Photo editor Voice memo Predictive text input',,,b'HSPA',"b'2012, April. Released 2012, July'",b'Discontinued',b'204.5 x 135.2 x 7.8 mm (8.05 x 5.32 x 0.31 in)',b'332 g (11.71 oz)',,b'Mini-SIM',,b'AMOLED',"b'7.7 inches, 171.9 cm2 (~62.2% screen-to-body ratio)'","b'1280 x 800 pixels, 16:10 ratio (~196 ppi density)'",b'Corning Gorilla Glass',b'Android 4.0 (Ice Cream Sandwich)',b'Nvidia Tegra 3',b'Quad-core 1.5 GHz',b'ULP GeForce 2',b'microSDHC (dedicated slot)',"b'16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM'",,b'LED flash',b'720p',"b'5 MP, AF'",,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'3.0',"b'Yes, with A-GPS'",,b'No',b'miniUSB 2.0',"b'Accelerometer, gyro, compass'",b'Non-removable Li-Po battery (15 Wh)',,b'Dark gray metallic',,,,b'About 410 EUR',,,,,,,,,,,,,,,,,b'2 MP',,,,,,,,,,,b'Yes',b'Yes',,,,,,,,,,,,,,,,,,,,,,,,
b'toshiba',b'Toshiba Excite AT200',b'https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-at200.jpg',b'No cellular connectivity',b'N/A',b'HDMI port MP3/WAV/WMA/eAAC+ player MP4/H.264/WMV player Organizer Document viewer Photo editor Voice memo Predictive text input',,,,,,"b'2011, September. Released 2012, January'",b'Discontinued',b'256 x 176 x 7.7 mm (10.08 x 6.93 x 0.30 in)',b'558 g (1.23 lb)',,b'No',,"b'LED-backlit LCD,'","b'10.1 inches, 295.8 cm2 (~65.6% screen-to-body ratio)'","b'1280 x 800 pixels, 16:10 ratio (~149 ppi density)'",,b'Android 3.2 (Honeycomb)',b'TI OMAP 4430',b'1.2 GHz',b'PowerVR SGX540',b'microSDHC (dedicated slot)',"b'16GB 1GB RAM, 32GB 1GB RAM'",,b'LED flash',b'720p',"b'5 MP, AF'",,b'',"b'Yes, with stereo speakers'",b'Yes',b'Wi-Fi 802.11 b/g/n',"b'2.1, A2DP, EDR'","b'Yes, with A-GPS'",,b'No',b'miniUSB 2.0',"b'Accelerometer, gyro, compass'",b'Non-removable Li-Ion battery',,b'Black',,,,b'About 530 EUR',,,,,,,,,,,,,,,,,b'2 MP',,,,,,,,,,,b'No',b'No',,,,,,b'Up to 8 h (multimedia)',,,,,,,,,,,,,,,,,,
