Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,SAR,SAR EU,Price,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 12GB RAM,256GB 12GB RAM,512GB 16GB RAM,Triple,128GB 8GB RAM,256GB 8GB RAM,32GB 3GB RAM,64GB 4GB RAM,128GB 4GB RAM,Dual,128GB 6GB RAM,Single_1,512GB 12GB RAM,8GB 1GB RAM,16GB 1GB RAM,32GB 2GB RAM,64GB 6GB RAM,Audio quality,512GB 8GB RAM,16GB 2GB RAM,4GB 768MB RAM,4GB 1.5GB RAM,GPRS,EDGE,1TB 12GB RAM,32GB 4GB RAM,Triple_1,Dual_1,Stand-by,Talk time,Music play,256GB 6GB RAM,256GB 4GB RAM,Infrared port,Talk time_1,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Stand-by_1,Alert types,Clock,Alarm,Languages,64GB 3GB RAM
b'unnecto',b'Unnecto Bolt',b'https://fdn2.gsmarena.com/vv/bigpic/unnecto-bolt.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 900 / 1900 / 2100',,"b'2, 3, 4, 12, 17'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2016, June'","b'Available. Released 2016, August'",b'145.2 x 73.5 x 9.2 mm (5.72 x 2.89 x 0.36 in)',b'170 g (6.00 oz)',,"b'Dual SIM (Micro-SIM, dual stand-by)'",,b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~64.6% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",,b'Android 5.1 (Lollipop)',,b'Quad-core 1.1 GHz',b'Adreno 304',b'microSDHC',b'8GB 1GB RAM',,"b'LED flash, HDR, panorama'",b'1080p@30fps',"b'8 MP, PDAF'",,b'',"b'Yes, with stereo speakers'",b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.1, LE'","b'Yes, with A-GPS'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2000 mAh, removable'",,"b'Black, Silver'",,b'1.25 W/kg (head) \xc2\xa0 \xc2\xa0 1.15 W/kg (body)',,,,,,,,,,,,,,,,,,,"b'2 MP, AF'",,,,,,,,,,,,,,,,,b'Up to 200 h (2G) / Up to 175 h (3G)',b'Up to 6 h (2G) / Up to 5 h (3G)',,,,,,,,,,,,,,,,,,
b'unnecto',b'Unnecto Neo V',b'https://fdn2.gsmarena.com/vv/bigpic/unnecto-neo-v.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',,b'HSDPA 850 / 1900 / 2100',,,,b'HSPA 42.2/11.5 Mbps',"b'2016, May'","b'Available. Released 2016, July'",b'143.5 x 70.5 x 9.2 mm (5.65 x 2.78 x 0.36 in)',b'177 g (6.24 oz)',,"b'Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)'",,b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~68.1% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",,b'Android 5.1 (Lollipop)',,b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDHC',b'8GB 1GB RAM',,"b'Dual-LED flash, HDR, panorama'",b'720p@30fps',"b'8 MP, PDAF'",b'LED flash',b'',"b'Yes, with stereo speakers'",b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, LE'","b'Yes, with A-GPS'",b'No',b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 2000 mAh, removable'",,"b'Black, White, Blue'",,b'0.62 W/kg (head) \xc2\xa0 \xc2\xa0 0.96 W/kg (body)',,,,,,,,,,,,,,,,,,,"b'1.3 MP, AF'",,,,,,,,,,,,,,,,,b'Up to 200 h (2G) / Up to 175 h (3G)',b'Up to 6 h (2G) / Up to 5 h (3G)',,,,,,,,,,,,,,,,,,
b'unnecto',b'Unnecto Quattro S',b'https://fdn2.gsmarena.com/vv/bigpic/unnecto-quattro-s.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 1900 / 2100',,,,b'HSPA 42.2/21 Mbps',"b'2016, May'","b'Available. Released 2016, July'",b'124.5 x 64.5 x 10.2 mm (4.90 x 2.54 x 0.40 in)',b'113 g (3.99 oz)',,"b'Dual SIM (Micro-SIM, dual stand-by)'",,"b'TFT, 256K colors'","b'4.0 inches, 45.5 cm2 (~56.7% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",,b'Android 5.1 (Lollipop)',,b'Quad-core 1.2 GHz',b'Mali-400',b'microSDHC',b'8GB 1GB RAM',,"b'LED flash, HDR, panorama'",b'720p@30fps',"b'5 MP, PDAF'",,b'',"b'Yes, with stereo speakers'",b'Yes',b'Wi-Fi 802.11 a/b/g/n',b'2.1',"b'Yes, with A-GPS'",b'No',b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Ion 1400 mAh, removable'",,"b'Black, White, Navy'",,,,,,,,,,,,,,,,,,,,,"b'1.3 MP, AF'",,,,,,,,,,,,,,,,,b'Up to 100 h (2G) / Up to 72 h (3G)',b'Up to 5 h (2G) / Up to 4 h (3G)',,,,,,,,,,,,,,,,,,
b'unnecto',b'Unnecto Quattro V',b'https://fdn2.gsmarena.com/vv/bigpic/unnecto-quattro-v.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',,b'HSDPA 850 / 1900 / 2100',,,,b'HSPA 42.2/11.5 Mbps',"b'2016, May'","b'Available. Released 2016, July'",b'120.3 x 63.2 x 11.7 mm (4.74 x 2.49 x 0.46 in)',b'163 g (5.75 oz)',,"b'Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)'",,b'IPS LCD',"b'4.0 inches, 45.5 cm2 (~59.9% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",,b'Android 5.1 (Lollipop)',,b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400',b'microSDHC',b'8GB 1GB RAM',,"b'LED flash, HDR, panorama'",b'720p@30fps',"b'5 MP, PDAF'",,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, LE'","b'Yes, with A-GPS'",b'No',b'Stereo FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity'","b'Li-Ion 1600 mAh, removable'",,"b'Black, White, Blue'",,b'0.87 W/kg (head) \xc2\xa0 \xc2\xa0 1.02 W/kg (body)',,,,,,,,,,,,,,,,,,,"b'1.3 MP, AF'",,,,,,,,,,,,,,,,,b'Up to 160 h (2G) / Up to 140 h (3G)',b'Up to 5 h (2G) / Up to 4 h (3G)',,,,,,,,,,,,,,,,,,
b'unnecto',b'Unnecto Drone XS',b'https://fdn2.gsmarena.com/vv/bigpic/unnecto-drone-xs.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',,b'HSDPA 850 / 1900 / 2100',,,,b'HSPA 21.1/5.76 Mbps',"b'2016, May'","b'Available. Released 2016, June'",b'115 x 61 x 10.5 mm (4.53 x 2.40 x 0.41 in)',b'113 g (3.99 oz)',,"b'Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)'",,b'IPS LCD',"b'3.5 inches, 36.5 cm2 (~52.0% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'",,b'Android 4.4 (KitKat)',,b'1.2 GHz Cortex-A7',b'Mali-400',b'microSDHC',b'4GB 512MB RAM',,"b'LED flash, HDR, panorama'",b'720p@30fps',"b'3 MP, PDAF'",,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'2.0',"b'Yes, with A-GPS'",b'No',b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity'","b'Li-Ion 1100 mAh, removable'",,"b'Black, White, Blue'",,,,,,,,,,,,,,,,,,,,,"b'1.3 MP, AF'",,,,,,,,,,,,,,,,,b'Up to 160 h (2G) / Up to 140 h (3G)',b'Up to 5 h (2G) / Up to 4 h (3G)',,,,,,,,,,,,,,,,,,
b'unnecto',b'Unnecto Primo 2G',b'https://fdn2.gsmarena.com/vv/bigpic/unnecto-primo-2g.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'No',,b'Audio/video player Organizer Voice memo',,,,"b'2016, March'","b'Available. Released 2016, April'",b'110.5 x 43 x 13.7 mm (4.35 x 1.69 x 0.54 in)',b'73 g (2.57 oz)',,b'Mini-SIM',,b'TFT',"b'1.8 inches, 10.2 cm2 (~21.5% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,,,,,b'microSDHC',b'32MB 32MB RAM',,,b'720p@30fps',"b'1 MP, AF'",,,b'Yes',b'Yes',b'No',b'2.0',b'No',b'No',b'Stereo FM radio',b'microUSB 2.0',b'',"b'Li-Ion 800 mAh, removable'",,b'Black/Grey',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Yes',b'Yes',,,,,b'Up to 160 h',b'Up to 8 h',,,,,,b'Yes',b'Yes',"b'SMS(threaded view), MMS'",b'No',b'No',,,,,,,,
b'unnecto',b'Unnecto Omnia',b'https://fdn2.gsmarena.com/vv/bigpic/unnecto-omnia.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 1700(AWS) / 1900 / 2100',,"b'2, 4, 12, 17'",,"b'HSPA, LTE'","b'2015, January. Released 2015, March'",b'Discontinued',b'142.9 x 72.6 x 8.9 mm (5.63 x 2.86 x 0.35 in)',b'163 g (5.75 oz)',,b'Dual SIM',,b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.4% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",,b'Android 5.1 (Lollipop)',,b'Quad-core 1.0 GHz',b'Mali-T720',b'microSDHC',b'8GB 1GB RAM',,b'LED flash',b'1080p@30fps',"b'8 MP, AF'",,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 2000 mAh, removable'",,"b'Black, White, Gray'",,,,,,,,,,,,,,,,,,,,,b'3 MP',,,,,,,,,,,,,,,,,b'Up to 188 h (3G)',b'Up to 6 h 30 min (3G)',b'Up to 24 h',,,,,,,,,,,,,,,,,
b'unnecto',b'Unnecto Swift',b'https://fdn2.gsmarena.com/vv/bigpic/unnecto-swift.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 1900 / 2100',,"b'2, 3, 4, 12'",,"b'HSPA, LTE'","b'2015, January. Released 2015, March'",b'Discontinued',b'119.3 x 63 x 10 mm (4.70 x 2.48 x 0.39 in)',b'120.5 g (4.27 oz)',,b'Dual SIM',,b'IPS LCD',"b'4.0 inches, 45.5 cm2 (~60.6% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",,b'Android 5.1 (Lollipop)',,b'Quad-core 1.0 GHz',b'Mali-T720',b'microSDHC',b'8GB 1GB RAM',,b'LED flash',b'1080p@30fps',b'5 MP',,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Ion 1600 mAh, removable'",,"b'Black, White, Blue'",,,,,,,,,,,,,,,,,,,,,b'VGA',,,,,,,,,,,,,,,,,b'Up to 188 h (3G)',b'Up to 6 h 30 min (3G)',b'Up to 24 h',,,,,,,,,,,,,,,,,
b'unnecto',b'Unnecto Quattro X',b'https://fdn2.gsmarena.com/vv/bigpic/unnecto-qx.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 1900 / 2100',,,,b'HSPA 21.1/5.76 Mbps',"b'2015, January. Released 2015, January'",b'Discontinued',b'123 x 64 x 9.2 mm (4.84 x 2.52 x 0.36 in)',b'120 g (4.23 oz)',,b'Dual SIM (dual stand-by)',,b'IPS LCD',"b'4.0 inches, 45.5 cm2 (~57.9% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",,b'Android 4.4.2 (KitKat)',,b'Dual-core 1.3 GHz',b'Mali-400',b'microSDHC',b'4GB 512MB RAM',,b'LED flash',b'Yes',b'5 MP',,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',b'Li-Ion 1600 mAh battery',,"b'Black, White, Blue'",,,,,,,,,,,,,,,,,,,,,b'VGA',,,,,,,,,,,,,,,,,b'Up to 45 h (3G)',b'Up to 6 h (3G)',b'Up to 24 h',,,,,,,,,,,,,,,,,
b'unnecto',b'Unnecto Drone XL',b'https://fdn2.gsmarena.com/vv/bigpic/unnecto-drone-xl.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 1900 / 2100',,,,b'HSPA 21.1/5.76 Mbps',"b'2015, January. Released 2015, March'",b'Discontinued',b'115 x 61 x 10.5 mm (4.53 x 2.40 x 0.41 in)',b'110 g (3.88 oz)',,b'Dual SIM (dual stand-by)',,b'IPS LCD',"b'3.5 inches, 36.5 cm2 (~52.0% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'",,b'Android 4.4.2 (KitKat)',,b'1.2 GHz',b'Mali-400',b'microSDHC',b'512MB 256MB RAM',,b'LED flash',b'Yes',b'3.15 MP',,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',b'Li-Ion 1100 mAh battery',,"b'Black, White, Blue'",,,,,,,,,,,,,,,,,,,,,b'VGA',,,,,,,,,,,,,,,,,b'Up to 40 h (3G)',b'Up to 5 h (3G)',b'Up to 20 h',,,,,,,,,,,,,,,,,
