Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,SAR,SAR EU,Price,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 12GB RAM,256GB 12GB RAM,512GB 16GB RAM,Triple,128GB 8GB RAM,256GB 8GB RAM,32GB 3GB RAM,64GB 4GB RAM,128GB 4GB RAM,Dual,128GB 6GB RAM,Single_1,512GB 12GB RAM,8GB 1GB RAM,16GB 1GB RAM,32GB 2GB RAM,64GB 6GB RAM,Audio quality,512GB 8GB RAM,16GB 2GB RAM,4GB 768MB RAM,4GB 1.5GB RAM,GPRS,EDGE,1TB 12GB RAM,32GB 4GB RAM,Triple_1,Dual_1,Stand-by,Talk time,Music play,256GB 6GB RAM,256GB 4GB RAM,Infrared port,Talk time_1,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Stand-by_1,Alert types,Clock,Alarm,Languages,64GB 3GB RAM
b'vertu',b'Vertu Signature Touch (2015)',b'https://fdn2.gsmarena.com/vv/bigpic/vertu-signature-touch-2015.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'TD-SCDMA',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',b'Titanium body (forged grade 5) and luxurious calf leather covered rear panel',"b'1, 5, 7, 8, 13, 17, 20, 25, 28, 29, 38, 39, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'","b'2015, September. Released 2015, October'",b'Discontinued',b'155 x 74 x 10.8 mm (6.10 x 2.91 x 0.43 in)',b'225-236 g (8.32 oz)',,b'Micro-SIM',b'eMMC 5.0',b'Sapphire crystal glass',"b'5.2 inches, 74.5 cm2 (~65.0% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~424 ppi density)'",b'Sapphire crystal glass',b'Android 5.1 (Lollipop)',b'Qualcomm MSM8994 Snapdragon 810 (20 nm)',b'Octa-core (4x1.56 GHz Cortex-A53 & 4x1.82 GHz Cortex-A57)',b'Adreno 430',b'microSDXC (dedicated slot)',b'64GB 4GB RAM',,"b'Dual-LED dual-tone flash, panorama, HDR'",b'Yes',"b'21 MP, PDAF'",,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE, aptX'","b'Yes, with A-GPS, GLONASS'",b'Yes',b'No',"b'microUSB 2.0 (MHL), USB On-The-Go'","b'Accelerometer, gyro, proximity, compass'","b'Li-Ion 3160 mAh, non-removable'",b'Fast charging 18W Quick Charge 2.0 Qi wireless charging',"b'Jet Calf, Garnet Calf, Grape Lizard, Pure Jet Lizard, Jet Alligator, Pure Navy Alligator, Clous de Paris Alligator, Pure Jet Red Gold'",,,,b'About 9000 EUR',,,,,,,,,,,,,,,,,b'2.1 MP',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'vertu',b'Vertu Aster',b'https://fdn2.gsmarena.com/vv/bigpic/vertu-aster1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'Titanium body (forged grade 5) and luxurious calf leather covered rear panel',b'HSDPA 850 / 900 / 1700 / 1900 / 2100',b'eMMC 5.0',"b'1, 5, 7, 8, 17, 20, 25'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2014, October. Released 2014, December'",b'Discontinued',b'143.4 x 69 x 11.2 mm (5.65 x 2.72 x 0.44 in)',b'193 g (6.81 oz)',,b'Nano-SIM',,b'Sapphire crystal glass',"b'4.7 inches, 59.9 cm2 (~60.5% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~473 ppi density)'","b'Sapphire crystal glass, oleophobic coating'",b'Android 4.4.2 (KitKat)',b'Qualcomm Snapdragon 801 (28 nm)',b'Quad-core 2.3 GHz Krait 400',b'Adreno 330',b'No',b'64GB 2GB RAM',,b'Dual-LED flash',b'Yes',"b'13 MP, Hasselblad certified, AF'",,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP, aptX, LE'","b'Yes, with A-GPS, GLONASS'",b'Yes',b'No',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, gyro, proximity, compass'","b'Li-Ion 2275 mAh, non-removable'",b'Qi wireless charging',"b'Onyx Calf, Lagoon Calf, Blush Calf, Caviar Karung, Tangerine Karung, Raspberry Ostrich, Cognac Ostrich'",,,,b'About 5440 EUR',,,,,,,,,,,,,,,,,b'2.1 MP',,,,,,,,,,,,,,,,,b'Up to 380 h (3G)',b'Up to 15 h 30 min (3G)',,,,,,,,,,,,,,,,,,
b'vertu',b'Vertu Signature Touch',b'https://fdn2.gsmarena.com/vv/bigpic/vertu-signature-touch-clous-de-paris.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'Titanium body (forged grade 5) and luxurious calf leather covered rear panel',b'HSDPA 850 / 900 / 1700 / 1900 / 2100',b'eMMC 5.0',"b'1, 5, 7, 8, 17, 20, 25'",,"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2014, June. Released 2014, June'",b'Discontinued',b'145 x 69 x 10.7 mm (5.71 x 2.72 x 0.42 in)',b'192 g (6.77 oz)',,b'Micro-SIM',b'Tuned by Bang & Olufsen',b'Sapphire crystal glass',"b'4.7 inches, 60.9 cm2 (~60.9% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~469 ppi density)'",b'Scratch-proof glass',b'Android 4.4.2 (KitKat)',b'Qualcomm Snapdragon 801 (28 nm)',b'Quad-core 2.3 GHz Krait 400',b'Adreno 330',b'No',b'64GB 2GB RAM',,b'Dual-LED flash',b'1080p@30fps',"b'13 MP, Hasselblad certified, AF'",,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'Yes',b'No',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, gyro, proximity, compass'","b'Li-Ion 2275 mAh, non-removable'",,"b'Jet/ Claret leather, pure Jet leather, pure Jet red gold, Seaspray/ Damson/ Pure navy lizard, Jet alligator, Clous De Paris'",,b'0.69 W/kg (head) \xc2\xa0 \xc2\xa0 1.29 W/kg (body)',b'0.49 W/kg (head)',b'About 8290 EUR',,,,,,,,,,,,,,,,,b'2.1 MP',,,,,,,,,,,,,,,,,b'Up to 380 h',b'Up to 15 h 30 min',,,,,,,,,,,,,,,,,,
b'vertu',b'Vertu Constellation 2013',b'https://fdn2.gsmarena.com/vv/bigpic/vertu-constellation-2013.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'Titanium body (forged grade 5) and luxurious calf leather covered rear panel',b'HSDPA 850 / 900 / 1700 / 1900 / 2100',,,,b'HSPA 42.2/5.76 Mbps',"b'2013, October. Released 2013, October'",b'Discontinued',b'142.2 x 70.4 x 11.2 mm (5.60 x 2.77 x 0.44 in)',b'179 g (6.31 oz)',,b'Nano-SIM',,b'Sapphire crystal glass',"b'4.3 inches, 51.0 cm2 (~50.9% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~342 ppi density)'",b'Scratch-proof glass',b'Android 4.2.2 (Jelly Bean)',,b'Dual-core 1.7 GHz',,b'No',b'32GB',,b'Dual-LED flash',b'Yes',"b'13 MP, AF'",,b'',"b'Yes, built-in amplifier'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'Yes',b'No',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'","b'Li-Ion 1800 mAh, non-removable'",,"b'Cappuccino, Black, Orange, Mocha, Raspberry, Pure Navy Alligator, Pure Plum Alligator'",,b'0.68 W/kg (head) \xc2\xa0 \xc2\xa0 0.98 W/kg (body)',b'0.49 W/kg (head)',b'About 5000 EUR',,,,,,,,,,,,,,,,,b'1.3 MP',,,,,,,,,,,,,,,,,b'Up to 405 h (3G)',b'Up to 14 h 30 min (3G)',b'Up to 43 h',,,,,,,,,,,,,,,,,
b'vertu',b'Vertu Ti',b'https://fdn2.gsmarena.com/vv/bigpic/vertu-ti.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'Titanium body (grade 5)',b'HSDPA 850 / 900 / 1900 / 2100',,,,b'HSPA 21.1/5.76 Mbps',"b'2013, February. Released 2013, February'",b'Discontinued',b'-',b'-',,b'Mini-SIM',,b'Sapphire crystal glass',"b'3.7 inches, 39.0 cm2'","b'480 x 800 pixels, 5:3 ratio (~252 ppi density)'",b'Scratch-resistant glass',b'Android 4.0 (Ice Cream Sandwich)',,b'Dual-core 1.7 GHz',,b'microSDHC (dedicated slot)',b'64GB 1GB RAM',,b'LED flash',b'1080p@30fps',"b'8 MP, AF'",,b'',"b'Yes, with stereo speakers (Bang&Olufsen)'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'No',b'microUSB 2.0',"b'Accelerometer, proximity, compass'","b'Li-Ion, non-removable'",,b'Black/Gray',,,,b'About 7900 EUR',,,,,,,,,,,,,,,,,b'1.3 MP',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'vertu',b'Vertu Constellation',b'https://fdn2.gsmarena.com/vv/bigpic/vertu-constelation.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'No',b'HSDPA 850 / 900 / 1900 / 2100',"b'Vertu Concierge service SNS support MP3/WMA/WAV/eAAC+ player DivX/XviD/MP4/H.264/WMV player Quickoffice document editor (Word, Excel, PowerPoint, PDF) Adobe Reader Voice memo/dial/command Predictive text input'",,,b'HSPA',"b'2011, October. Released 2011, October'",b'Discontinued',b'118.2 x 54.5 x 12.2 mm (4.65 x 2.15 x 0.48 in)',b'164g - 199g (7.02 oz)',,b'Mini-SIM',,b'AMOLED',"b'3.5 inches, 33.8 cm2 (~52.4% screen-to-body ratio)'","b'360 x 640 pixels, 16:9 ratio (~210 ppi density)'","b'Shatter proof sapphire crystal glass, oleophobic coating'","b'Symbian^3, upgradable to Nokia Belle OS'",,,,b'microSDHC (dedicated slot)',,,b'Dual-LED flash',"b'720p@25fps, 720p@30fps (via SW update)'",b'8 MP',,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g/n',"b'3.0, A2DP'","b'Yes, with A-GPS'",,,b'microUSB 2.0',"b'Accelerometer, proximity, compass'",b'Non-removable Li-Ion 1200 mAh battery (BL-5K)',,"b'Stain/Polished stainless steel, brown/black/pink leather or black alligator skin'",,,,b'About 2330 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 400 h (2G) / Up to 400 h (3G)',b'Up to 7 h (2G) / Up to 4 h 30 min (3G)',,,,,,,,,,,,,,,,,,
b'vertu',b'Vertu Ascent Ferrari GT',b'https://fdn2.gsmarena.com/vv/bigpic/vertu-ascent-ferrari-gt.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'Flashlight',b'HSDPA 850 / 900 / 1900 / 2100',b'Sapphire crystal stainless steel keys Chronograph stopwatch',,,b'HSPA',"b'2011, January. Released 2011, Q2'",b'Discontinued',b'118 x 45 x 18 mm (4.65 x 1.77 x 0.71 in)',b'187 g (6.60 oz)',,b'Mini-SIM',b'MP4/H.263 player MP3/WAV/AAC+ player synchronization service Vertu Concierge service Vertu Fortress secure back up service Organizer Voice memo/dial Predictive text input',"b'TFT, 16M colors'","b'2.0 inches, 12.4 cm2 (~23.3% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~200 ppi density)'",,,,,,b'No',b'32GB',,b'LED flash',b'Yes',"b'5 MP, AF'",,,b'Yes',b'No',b'No',"b'2.1, A2DP'","b'Yes, with A-GPS'",,b'No',b'microUSB 2.0',b'Accelerometer',b'Removable Li-Ion battery',,b'Black',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 300 h (2G) / Up to 300 h (3G)',b'Up to 4 h 50 min (2G) / Up to 4 h (3G)',,,,,,"b'2000 contacts, Photocall'",b'Yes',"b'SMS, MMS, Email'",b'Yes',"b'Yes, MIDP 2.0'",,"b'WAP 2.0/xHTML, HTML'",,,,,,
b'vertu',b'Vertu Constellation Quest',b'https://fdn2.gsmarena.com/vv/bigpic/vertu-constellation-quest.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'Optical trackpad',b'HSDPA 850 / 900 / 1900 / 2100',b'No',,,b'HSPA 10.2/2 Mbps',"b'2010, October. Released 2010, December'",b'Discontinued',"b'116.2 x 60.8 x 12.7 mm, 87 cc (4.57 x 2.39 x 0.5 in)'",b'165-185 g (6.53 oz)',,b'Mini-SIM',"b'Facebook, Twitter apps MP4/H.263 player MP3/WMA/WAV/eAAC+ player QuickOffice editor (Word, Excel, PowerPoint) PDF viewer Voice memo/dial/commands Organizer Vertu Concierge service Predictive text input'","b'TFT, 16M colors'","b'2.46 inches, 18.7 cm2 (~26.5% screen-to-body ratio)'","b'640 x 480 pixels, 4:3 ratio (~325 ppi density)'",,b'Symbian OS',,,,"b'microSDHC (dedicated slot), 32 GB included'",b'8GB',,b'Dual-LED flash',b'Yes',"b'5 MP, AF'",,,b'Yes',b'Yes',b'Wi-Fi 802.11 b/g',"b'2.1, A2DP'","b'Yes, with A-GPS'",,"b'Stereo FM radio, RDS'",b'microUSB 2.0',"b'Accelerometer, compass'",b'Non-removable Li-Po 1500 mAh battery',,"b'Silver, Pink, Black, Brown, Yellow Gold, Carbon fibre with gold, Carbon fibre'",,,,b'About 6140 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 350 h (2G) / Up to 430 h (3G)',b'Up to 7 h 30 min (2G) / Up to 5 h 40 min (3G)',,,,,,,,,,,b'QWERTY',"b'WAP 2.0/xHTML, HTML'",,,,,,
b'vertu',b'Vertu Ascent 2010',b'https://fdn2.gsmarena.com/vv/bigpic/vertu-ascent-2010.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'Flashlight',b'HSDPA 850 / 900 / 1900 / 2100',b'Sapphire crystal stainless steel keys Chronograph stopwatch',,,b'HSPA',"b'2010, April. Released 2010, April'",b'Discontinued',"b'117 x 46 x 19 mm, 82 cc (4.61 x 1.81 x 0.75 in)'",b'170 g (6.00 oz)',,b'Mini-SIM',b'Organizer MP4/H.263 player MP3/WAV/AAC+ player synchronization service Vertu Concierge service Vertu Fortress secure back up service Voice memo/dial Predictive text input',"b'TFT, 16M colors'","b'2.0 inches, 12.4 cm2 (~23.0% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~200 ppi density)'",,,,,,b'No',"b'8GB (Aluminium), 32GB (Titanium)'",,b'LED flash',b'Yes',"b'5 MP, AF'",,,b'Yes',b'No',b'No',"b'2.0, A2DP'","b'Yes, with A-GPS'",,b'No',b'microUSB 2.0',b'Accelerometer',b'Non-removable Li-Ion battery',,b'Aluminium and Titanium versions with various colors',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 300 h (2G) / Up to 300 h (3G)',b'Up to 5 h (2G) / Up to 4 h (3G)',,,,,,"b'2000 contacts, Photocall'",b'Yes',"b'SMS, MMS, Email'",b'Yes',"b'Yes, MIDP 2.0'",,"b'WAP 2.0/xHTML, HTML'",,,,,,
b'vertu',b'Vertu Constellation Ayxta',b'https://fdn2.gsmarena.com/vv/bigpic/vertu-constellation-ayxta.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',"b'External monochrome display, 128 x 160 pixels'",,b'1500 calendar notes 1000 SMS',,,,"b'2009, September. Released 2009, October'",b'Discontinued',"b'100 x 48 x 18 mm, 74 cc (3.94 x 1.89 x 0.71 in)'",b'175 g (6.17 oz)',,b'Mini-SIM',b'MP4/H.264/WMV player MP3/eAAC+/WMA player Organizer Voice memo Predictive text input',"b'TFT, 16M colors'","b'2.4 inches, 16.4 cm2 (~34.2% screen-to-body ratio)'","b'240 x 400 pixels, 5:3 ratio (~194 ppi density)'",b'Scratch-resistant glass',,,,,b'microSDHC (dedicated slot)',b'100MB',,b'LED flash',b'Yes',"b'3.15 MP, AF'",,,b'Yes',b'No',b'No',b'2.0',"b'Yes, with A-GPS; Google maps'",,b'No',b'2.0',b'',b'Non-removable Li-Ion 1000 mAh battery (BL-4UV)',,"b'Black, Dark Brown'",,,,b'About 5020 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'Class 10',,,,,b'Up to 300 h',b'Up to 5 h 30 min',,,,,,"b'2000 contacts, Photocall'","b'30 received, dialed and missed calls'","b'SMS, MMS, Email'",b'Yes',"b'Yes, MIDP 2.0'",,b'WAP 2.0 / xHTML',,,,,b'Yes',
