Brand,Model Name,Model Image,Technology,2G bands,,3G bands,_1,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,SAR,SAR EU,Price,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 12GB RAM,256GB 12GB RAM,512GB 16GB RAM,Triple,128GB 8GB RAM,256GB 8GB RAM,32GB 3GB RAM,64GB 4GB RAM,128GB 4GB RAM,Dual,128GB 6GB RAM,Single_1,512GB 12GB RAM,8GB 1GB RAM,16GB 1GB RAM,32GB 2GB RAM,64GB 6GB RAM,Audio quality,512GB 8GB RAM,16GB 2GB RAM,4GB 768MB RAM,4GB 1.5GB RAM,GPRS,EDGE,1TB 12GB RAM,32GB 4GB RAM,Triple_1,Dual_1,Stand-by,Talk time,Music play,256GB 6GB RAM,256GB 4GB RAM,Infrared port,Talk time_1,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Stand-by_1,Alert types,Clock,Alarm,Languages,64GB 3GB RAM
b'verykool',b'verykool s5702 Royale Quattro',b'https://fdn2.gsmarena.com/vv/bigpic/verykool-s5702.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 900 / 1900 / 2100',,,,b'HSPA 21.1/5.76 Mbps',"b'2018, February'","b'Available. Released 2018, February'",b'157 x 74.2 x 9.8 mm (6.18 x 2.92 x 0.39 in)',b'196 g (6.91 oz)',,b'Dual SIM (Micro-SIM)',,b'IPS LCD',"b'5.7 inches, 83.8 cm2 (~72.0% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~282 ppi density)'",b'Scratch-resistant glass',b'Android 7.0 (Nougat)',b'Mediatek MT6580 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'microSDXC',b'16GB 2GB RAM',,"b'Dual-LED flash, panorama'",b'1080p@30fps',,b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'Stereo FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 3200 mAh, non-removable'",,"b'Black, Blue, Gold'",,b'0.22 W/kg (head) \xc2\xa0 \xc2\xa0 0.41 W/kg (body)',,,,,,,,,,,,,,,,,"b'13 MP, AF 2 MP, (depth)'",,,,,,,,,,,,,,,,,,"b'5 MP 2 MP, depth sensor'",b'Up to 300 h (3G)',b'Up to 8 h (3G)',,,,,,,,,,,,,,,,,,
b'verykool',b'verykool s5037 Apollo Quattro',b'https://fdn2.gsmarena.com/vv/bigpic/verykool-s5037.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 900 / 1900 / 2100',,,,b'HSPA 21.1/5.76 Mbps',"b'2018, February'","b'Available. Released 2018, February'",b'144.5 x 73 x 10.4 mm (5.69 x 2.87 x 0.41 in)',b'163 g (5.75 oz)',,b'Dual SIM (Nano-SIM/ Micro-SIM)',,b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",b'Scratch-resistant glass',b'Android 7.0 (Nougat)',b'Mediatek MT6580 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'microSDXC',b'8GB 1GB RAM',,"b'Dual-LED flash, panorama'",b'1080p@30fps',,b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'Stereo FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer'","b'Li-Po 2000 mAh, non-removable'",,"b'Black, Blue, Gold'",,b'0.25 W/kg (head) \xc2\xa0 \xc2\xa0 0.56 W/kg (body)',,,,,,,,,,,,,,,,,"b'13 MP, AF 2 MP, (depth)'",,,,,,,,,,,,,,,,,,"b'5 MP 2 MP, depth sensor'",b'Up to 240 h (3G)',b'Up to 5 h (3G)',,,,,,,,,,,,,,,,,,
b'verykool',b'verykool s5036 Apollo',b'https://fdn2.gsmarena.com/vv/bigpic/verykool-s5036.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 900 / 1900 / 2100',,,,b'HSPA 21.1/5.76 Mbps',"b'2018, February'","b'Available. Released 2018, February'",b'144.5 x 73 x 10.4 mm (5.69 x 2.87 x 0.41 in)',b'163 g (5.75 oz)',,b'Dual SIM (Nano-SIM/ Micro-SIM)',,b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",b'Scratch-resistant glass',b'Android 7.0 (Nougat)',b'Mediatek MT6580M (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'microSDXC',b'8GB 1GB RAM',,"b'Dual-LED flash, panorama'",b'1080p@30fps',b'5 MP',b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'Stereo FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer'","b'Li-Po 2000 mAh, removable'",,"b'Black, Blue, Gold'",,b'0.25 W/kg (head) \xc2\xa0 \xc2\xa0 0.56 W/kg (body)',,,,,,,,,,,,,,,,,"b'8 MP, AF 2 MP, (depth)'",,,,,,,,,,,,,,,,,,,b'Up to 240 h (3G)',b'Up to 5 h (3G)',,,,,,,,,,,,,,,,,,
b'verykool',b'verykool s5200 Orion',b'https://fdn2.gsmarena.com/vv/bigpic/verykool-s5204-.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 900 / 1900 / 2100',,,,b'HSPA 21.1/5.76 Mbps',"b'2017, December'","b'Available. Released 2017, December'",b'148.6 x 74.3 x 9.6 mm (5.85 x 2.93 x 0.38 in)',b'164 g (5.78 oz)',,"b'Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'5.2 inches, 74.5 cm2 (~67.5% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~188 ppi density)'",b'Scratch-resistant glass',b'Android 7.0 (Nougat)',b'Mediatek MT6580 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'microSDXC',b'16GB 1GB RAM',,"b'LED flash, panorama'",b'Yes',"b'8 MP, AF'",b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'Stereo FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer'","b'Li-Ion 2000 mAh, removable'",,"b'Black, Gold, Blue'",,,,,,,,,,,,,,,,,,,,,b'5 MP',,,,,,,,,,,,,,,,,b'Up to 216 h (3G)',b'Up to 5 h (3G)',,,,,,,,,,,,,,,,,,
b'verykool',b'verykool s5031 Bolt Turbo',b'https://fdn2.gsmarena.com/vv/bigpic/verykool-s5031.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 1900 / 2100',,,,b'HSPA 21.1/5.76 Mbps',"b'2017, November'","b'Available. Released 2017, November'",b'145 x 72 x 9.5 mm (5.71 x 2.83 x 0.37 in)',b'145 g (5.11 oz)',,"b'Dual SIM (Micro-SIM, dual stand-by)'",,b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",b'Scratch-resistant glass',b'Android 7.0 (Nougat)',b'Mediatek MT6580 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'microSDHC',b'16GB 2GB RAM',,"b'LED flash, panorama'",b'1080p@30fps',"b'8 MP, AF'",b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'Stereo FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'",b'Li-Ion 2000 mAh battery',,"b'Gold, Blue'",,,,,,,,,,,,,,,,,,,,,b'8 MP',,,,,,,,,,,,,,,,,b'Up to 240 h (3G)',b'Up to 5 h (3G)',,,,,,,,,,,,,,,,,,
b'verykool',b'verykool sl5029 Bolt Pro LTE',b'https://fdn2.gsmarena.com/vv/bigpic/verykool-sl5029.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'eMMC 5.0',b'HSDPA 850 / 900 / 1900 / 2100',,"b'2, 4, 5, 7'",,"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2017, November'","b'Available. Released 2017, November'",b'144.8 x 72 x 9.6 mm (5.70 x 2.83 x 0.38 in)',b'142 g (5.01 oz)',,"b'Dual SIM (Nano-SIM, dual stand-by)'",,b'TFT',"b'5.0 inches, 68.9 cm2 (~66.1% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",b'Scratch-resistant glass',b'Android 7.0 (Nougat)',b'Mediatek MT6737 (28 nm)',b'Quad-core 1.25 GHz Cortex-A53',b'Mali-T720',b'microSDXC',b'8GB 1GB RAM',,"b'LED flash, panorama'",b'1080p@30fps',"b'8 MP, AF'",b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'Stereo FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer'",b'Li-Ion 2000 mAh battery',,"b'Black, Gold, Silver'",,,,,,,,,,,,,,,,,,,,,b'5 MP',,,,,,,,,,,,,,,,,b'Up to 240 h (3G)',b'Up to 5 h (3G)',,,,,,,,,,,,,,,,,,
b'verykool',b'verykool s5029 Bolt Pro',b'https://fdn2.gsmarena.com/vv/bigpic/verykool-s5029.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 1900 / 2100',,,,b'HSPA 21.1/5.76 Mbps',"b'2017, November'","b'Available. Released 2017, November'",b'145 x 72 x 9.5 mm (5.71 x 2.83 x 0.37 in)',b'145 g (5.11 oz)',,"b'Dual SIM (Micro-SIM, dual stand-by)'",,b'TFT',"b'5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",b'Scratch-resistant glass',b'Android 7.0 (Nougat)',b'Mediatek MT6580 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'microSDXC',b'8GB 1GB RAM',,"b'LED flash, panorama'",b'1080p@30fps',b'8 MP',b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'Stereo FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'",b'Li-Ion 2000 mAh battery',,"b'Black, Gold, Blue'",,,,,,,,,,,,,,,,,,,,,b'5 MP',,,,,,,,,,,,,,,,,b'Up to 240 h (3G)',b'Up to 5 h (3G)',,,,,,,,,,,,,,,,,,
b'verykool',b'verykool s5205 Orion Pro',b'https://fdn2.gsmarena.com/vv/bigpic/verykool-s5205.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 900 / 1900 / 2100',,,,b'HSPA 21.1/5.76 Mbps',"b'2017, November'","b'Available. Released 2017, November'",b'148.6 x 74.3 x 9.6 mm (5.85 x 2.93 x 0.38 in)',b'164 g (5.78 oz)',,"b'Dual SIM (Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'5.2 inches, 74.5 cm2 (~67.5% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~188 ppi density)'",b'Scratch-resistant glass',b'Android 7.0 (Nougat)',b'Mediatek MT6580 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'microSDXC',b'16GB 1GB RAM',,"b'LED flash, panorama'",b'1080p@30fps',"b'8 MP, AF'",b'LED flash',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'Stereo FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer'",b'Li-Ion 2000 mAh battery',,"b'Black, Gold, Blue'",,,,,,,,,,,,,,,,,,,,,b'8 MP',,,,,,,,,,,,,,,,,b'Up to 216 h (3G)',b'Up to 5 h (3G)',,,,,,,,,,,,,,,,,,
b'verykool',b'verykool s6005X Cyprus Pro',b'https://fdn2.gsmarena.com/vv/bigpic/verykool-s6005x.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 1700(AWS) / 1900',,,,b'HSPA 21.1/5.76 Mbps',"b'2017, November'","b'Available. Released 2017, November'",b'166 x 85.3 x 9 mm (6.54 x 3.36 x 0.35 in)',b'165 g (5.82 oz)',,"b'Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)'",,b'IPS LCD',"b'6.0 inches, 99.2 cm2 (~70.1% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~245 ppi density)'",b'Asahi Dragontrail Glass',b'Android 7.0 (Nougat)',b'Mediatek MT6580 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'microSDXC',b'16GB 1GB RAM',,"b'LED flash, panorama'",b'1080p@30fps',"b'13 MP, f/2.2, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Li-Ion 3000 mAh battery',,"b'Gray, Gold'",,,,,,,,,,,,,,,,,,,,,"b'8 MP, f/2.8'",,,,,,,,,,,,,,,,,b'Up to 264 h (3G)',b'Up to 8 h (3G)',,,,,,,,,,,,,,,,,,
b'verykool',b'verykool s5527 Alpha Pro',b'https://fdn2.gsmarena.com/vv/bigpic/verykool-s5527.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,b'HSDPA 850 / 1700(AWS) / 1900 / 900',,,,b'HSPA 21.1/5.76 Mbps',"b'2017, August'","b'Available. Released 2017, August'",b'152.9 x 76.8 x 8.2 mm (6.02 x 3.02 x 0.32 in)',b'148 g (5.22 oz)',,"b'Dual SIM (Micro-SIM/Mini-SIM, dual stand-by)'",,b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~71.0% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~267 ppi density)'",b'Scratch-resistant glass',b'Android 6.0 (Marshmallow)',b'Mediatek MT6580 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',b'microSDXC',b'16GB 1GB RAM',,"b'LED flash, panorama'",b'1080p@30fps',"b'13 MP, f/2.2, AF'",,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'Stereo FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'","b'Li-Po 2800 mAh, removable'",,b'Black',,b'0.49 W/kg (head) \xc2\xa0 \xc2\xa0 1.27 W/kg (body)',,,,,,,,,,,,,,,,,,,"b'8 MP, f/2.8'",,,,,,,,,,,,,,,,,b'Up to 288 h (3G)',b'Up to 9 h (3G)',,,,,,,,,,,,,,,,,,
