Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,,Card slot,Phonebook,Call records,Internal,Single,Video,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Type_1,Stand-by,Talk time,Colors,Price,3G bands,Speed,Single_1,Video_1,Infrared port,Features,4G bands,Protection,OS,Chipset,CPU,GPU,Dual,NFC,Models,SAR EU,Features_1,Charging,SAR,Keyboard,Music play,Languages,Triple,Build,5G bands,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 4GB RAM,64GB 4GB RAM,Quad,128GB 6GB RAM,128GB 8GB RAM,256GB 8GB RAM,256GB 12GB RAM,Unspecified storage,64GB 6GB RAM,32GB 2GB RAM,512GB 8GB RAM,32GB 3GB RAM,64GB 3GB RAM,128GB 12GB RAM,Audio quality,Five,Triple_1,16GB 2GB RAM,Dual_1,32GB 4GB RAM
b'xiaomi',b'Xiaomi Redmi Note 9T',b'https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-note-9t-5g.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2021, January 08'","b'Available. Released 2021, January 18'",b'161.2 x 77.3 x 9.1 mm (6.35 x 3.04 x 0.36 in)',b'199 g (7.02 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 450 nits (typ)'","b'6.53 inches, 104.7 cm2 (~84.0% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)'",b'Water-repellent coating',b'microSDXC (dedicated slot)',,,"b'64GB 4GB RAM, 128GB 4GB RAM'","b'13 MP, f/2.3, 29mm (standard), 1/3.1"", 1.12\xc2\xb5m'","b'4K@30fps, 1080p@30/60fps'",b'UFS 2.1 - 64GB UFS 2.2 - 128GB',"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'","b'FM radio, recording'",b'USB Type-C 2.0',"b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'",,,,,b'24-bit/192kHz audio',"b'Li-Po 5000 mAh, non-removable'",,,"b'Nightfall Black, Daybreak Purple'",b'$\xe2\x80\x89270.99 / \xe2\x82\xac\xe2\x80\x89199.90 / \xc2\xa3\xe2\x80\x89229.00',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'",,b'1080p@30fps',b'Yes',"b'LED flash, HDR, panorama'","b'1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 32, 38, 40, 41, 42'",b'Corning Gorilla Glass 5',"b'Android 10, MIUI 12'",b'MediaTek Dimensity 800U 5G (7 nm)',b'Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)',b'Mali-G57 MC3',,b'Yes',b'J22',,,"b'Fast charging 18W, 33% in 30 min'",,,,,"b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'Glass front (Gorilla Glass 5), plastic back, plastic frame'","b'1, 3, 5, 7, 8, 20, 28, 38, 41, 77, 78, 79 SA/NSA/Sub6'",b'AnTuTu: 288732 (v8) GeekBench: 1775 (v5.1)',b'Contrast ratio: 1226:1 (nominal)',b'Photo / Video',b'-26.3 LUFS (Good)',b'Endurance rating 118h',b'$\xe2\x80\x89335.00',b'$\xe2\x80\x89270.99',,,,,,,,,,,,,,,,,,
b'xiaomi',b'Xiaomi Redmi 9T',b'https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-9-power.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2021, January 08'","b'Available. Released 2021, January 18'",b'162.3 x 77.3 x 9.6 mm (6.39 x 3.04 x 0.38 in)',b'198 g (6.98 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 400 nits (typ)'","b'6.53 inches, 104.7 cm2 (~83.4% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)'",b'Water-repellent coating',b'microSDXC (dedicated slot)',,,"b'64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM'","b'8 MP, f/2.1, 27mm (wide), 1/4.0"", 1.12\xc2\xb5m'",b'1080p@30fps',b'UFS 2.1 - 64GB UFS 2.2 - 128GB',"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, proximity, compass'",,,,,b'24-bit/192kHz audio',"b'Li-Po 6000 mAh, non-removable'",,,"b'Carbon Gray, Twilight Blue, Sunrise Orange, Ocean Green'",b'$\xe2\x80\x89180.99',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'",,b'1080p@30fps',b'Yes',"b'LED flash, HDR, panorama'","b'1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41'",b'Corning Gorilla Glass 3',"b'Android 10, MIUI 12'",b'Qualcomm SM6115 Snapdragon 662 (11 nm)',b'Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 610',,b'Yes (market/region dependent)',"b'J19S, M2010J19SG'",,,b'Fast charging 18W Reverse charging 2.5W',,,,,,"b'Glass front (Gorilla Glass 3), plastic frame, plastic back'",,,,,,,b'$\xe2\x80\x89210.99',b'$\xe2\x80\x89180.99',"b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 120\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",b'$\xe2\x80\x89243.00',,,,,,,,,,,,,,,,
b'xiaomi',b'Xiaomi Mi 10i 5G',b'https://fdn2.gsmarena.com/vv/bigpic/xiaomi-mi-10i-5g.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2021, January 05'","b'Available. Released 2021, January 08'",b'165.4 x 76.8 x 9 mm (6.51 x 3.02 x 0.35 in)',b'214.5 g (7.55 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, HDR10, 120Hz, 450 nits (typ)'","b'6.67 inches, 107.4 cm2 (~84.6% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~395 ppi density)'",b'UFS 2.2',b'microSDXC (uses shared SIM slot)',,,"b'128GB 6GB RAM, 128GB 8GB RAM'","b'16 MP, f/2.5, (wide), 1/3.06"", 1.0\xc2\xb5m'","b'4K@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS'",b'24-bit/192kHz audio',"b'Yes, with stereo speakers'",,b'Yes',b'Yes',b'Yes',"b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO'",b'Unspecified',b'USB Type-C 2.0',"b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'",,,,,,"b'Li-Po 4820 mAh, non-removable'",,,"b'Pacific Sunrise, Midnight Black, Atlantic Blue'","b'\xe2\x82\xb9\xe2\x80\x8923,999'",b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'",,"b'1080p@30fps, 720p@120fps'",b'Yes',"b'Dual-LED dual-tone flash, HDR, panorama'","b'1, 3, 5, 7, 8, 38, 40, 41'",b'Corning Gorilla Glass 5',"b'Android 10, MIUI 12'",b'Qualcomm SM7225 Snapdragon 750G 5G (8 nm)',b'Octa-core (2x2.2 GHz Kryo 570 & 6x1.8 GHz Kryo 570)',b'Adreno 619',,b'Yes',b'M2007J17I',,b'Panorama',"b'Fast charging 33W, 100% in 58 min (advertised) Power delivery'",,,,,,"b'Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5)'","b'77, 78 Sub6'",,,,,,,,"b'108 MP, f/1.8, 26mm (wide), 1/1.52"", 0.7\xc2\xb5m, PDAF 8 MP, f/2.2, 120\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",,"b'\xe2\x82\xb9\xe2\x80\x8923,999'",,,,,,,,,,,,,,,
b'xiaomi',b'Xiaomi Mi 11',b'https://fdn2.gsmarena.com/vv/bigpic/xiaomi-mi11.jpg',b'GSM / CDMA / HSPA / EVDO / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2020, December 28'","b'Available. Released 2021, January 01'",b'164.3 x 74.6 x 8.1 mm (Glass) / 8.6 mm (Leather)',b'196 g (Glass) / 194 g (Leather) (6.84 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED, 1B colors, 120Hz, HDR10+, 1500 nits (peak)'","b'6.81 inches, 112.0 cm2 (~91.4% screen-to-body ratio)'","b'1440 x 3200 pixels, 20:9 ratio (~515 ppi density)'",b'CDMA 800',b'No',,,"b'128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM'","b'20 MP, 27mm (wide), 1/3.4"", 0.8\xc2\xb5m'","b'8K@24/30fps, 4K@30/60fps, 1080p@30/60/120/240/480fps; gyro-EIS'",b'CDMA2000 1xEV-DO',"b'Yes, with stereo speakers'",,b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.2, A2DP, LE, aptX HD, aptX Adaptive'","b'Yes, with dual-band A-GPS, GLONASS, GALILEO, BDS, QZSS, NavIC'",b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'",,,,,b'24-bit/192kHz audio',"b'Li-Po 4600 mAh, non-removable'",,,"b'Black, White, Blue, Purple, Khaki'",b'$\xe2\x80\x89799.99',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'",,"b'1080p@30fps, 720p@120fps'",b'Yes',"b'Dual-LED dual-tone flash, HDR, panorama'","b'1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 42'",b'Corning Gorilla Glass Victus',"b'Android 11, MIUI 12.5'",b'Qualcomm SM8350 Snapdragon 888 (5 nm)',b'Octa-core (1x2.84 GHz Kryo 680 & 3x2.42 GHz Kryo 680 & 4x1.80 GHz Kryo 680',b'Adreno 660',,b'Yes',,,"b'HDR, panorama'","b'Fast charging 55W, 100% in 45 min (advertised) Fast wireless charging 50W Reverse wireless charging 10W Power Delivery 3.0 Quick Charge 4+'",,,,,"b'108 MP, f/1.9, 26mm (wide), 1/1.33"", 0.8\xc2\xb5m, PDAF, OIS 13 MP, f/2.4, 123\xcb\x9a (ultrawide), 1/3.06"", 1.12\xc2\xb5m 5 MP, f/2.4, (macro), 1/5.0"", 1.12\xc2\xb5m'","b'Glass front (Gorilla Glass Victus), glass back (Gorilla Glass) or eco leather back, aluminum frame'","b'1, 3, 28, 41, 77, 78, 79 SA/NSA'",,,,,,,,,,b'$\xe2\x80\x89799.99',b'$\xe2\x80\x89929.99',b'$\xe2\x80\x89999.99',,,,,,,,,,,,,
b'xiaomi',b'Xiaomi Redmi 9 Power',b'https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-9-power.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2020, December 17'","b'Available. Released 2020, December 22'",b'162.3 x 77.3 x 9.6 mm (6.39 x 3.04 x 0.38 in)',b'198 g (6.98 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 400 nits (typ)'","b'6.53 inches, 104.7 cm2 (~83.4% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)'",b'Water-repellent coating',b'microSDXC (dedicated slot)',,,"b'64GB 4GB RAM, 128GB 4GB RAM'","b'8 MP, f/2.0, 27mm (wide), 1/4.0"", 1.12\xc2\xb5m'",b'1080p@30fps',b'UFS 2.1 - 64GB UFS 2.2 - 128GB',"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, proximity, compass'",,,,,b'24-bit/192kHz audio',"b'Li-Po 6000 mAh, non-removable'",,,"b'Mighty Black, Fiery Red, Electric Green, Blazing Blue'","b'\xe2\x82\xb9\xe2\x80\x8910,999'",b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'",,b'1080p@30fps',b'Yes',"b'LED flash, HDR, panorama'","b'1, 3, 5, 8, 40, 41'",b'Corning Gorilla Glass 3',"b'Android 10, MIUI 12'",b'Qualcomm SM6115 Snapdragon 662 (11 nm)',b'Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 610',,b'No',b'M2010J19SI',,,b'Fast charging 18W Reverse charging 2.5W',,,,,,"b'Glass front (Gorilla Glass 3), plastic frame, plastic back'",,,,,,,"b'\xe2\x82\xb9\xe2\x80\x8911,999'","b'\xe2\x82\xb9\xe2\x80\x8910,999'","b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 120\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,
b'xiaomi',b'Xiaomi Mi Watch Lite',b'https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-watch.jpg',b'No cellular connectivity',b'N/A',b'No',b'No',"b'2020, December 10'","b'Available. Released 2020, December 18'",b'41 x 35 x 11.9 mm (1.61 x 1.38 x 0.47 in)',b'35 g (1.23 oz)',b'No',"b'IPS LCD, 350 nits (typ)'","b'1.4 inches, 6.3 cm2 (~44.1% screen-to-body ratio)'","b'320 x 320 pixels, 1:1 ratio (~323 ppi density)'",b'Waterproof (5ATM) 50m water resistant',b'No',b'No',b'No',b'Unspecified storage',,,b'No',b'No',,b'No',b'No',"b'5.0, A2DP, LE'","b'Yes, with GLONASS'",b'No',b'No',"b'Accelerometer, gyro, heart rate, barometer'","b'Email, IM'",,b'No',b'No',,"b'Li-Ion 230 mAh, non-removable'",,,"b'Black, Blue, Ivory'",b'\xe2\x82\xac\xe2\x80\x8958.75',b'N/A',b'No',,,,,b'N/A',,,,,,,b'No',,,,,,,,,,"b'Plastic back, plastic frame'",,,,,,,,,,,,,,b'\xe2\x82\xac\xe2\x80\x8958.75',,,,,,,,,,,,
b'xiaomi',b'Xiaomi Redmi Note 9 Pro 5G',b'https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-note9-pro.jpg',b'GSM / CDMA / HSPA / EVDO / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2020, November 26'","b'Available. Released 2020, December 01'",b'165.4 x 76.8 x 9 mm (6.51 x 3.02 x 0.35 in)',b'215 g (7.58 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, HDR10, 120Hz, 450 nits (typ)'","b'6.67 inches, 107.4 cm2 (~84.6% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~395 ppi density)'",b'CDMA 800',b'microSDXC (uses shared SIM slot)',,,"b'128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM'","b'16 MP, f/2.5, (wide), 1/3.06"", 1.0\xc2\xb5m'","b'4K@30fps, 1080p@30/60fps, gyro-EIS'",b'CDMA2000 1xEV-DO',"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, GNSS'",b'Unspecified',b'USB Type-C 2.0',"b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'",,,,,b'24-bit/192kHz audio',"b'Li-Po 4820 mAh, non-removable'",,,"b'Gray, Blue, Red/Mint'",b'$\xe2\x80\x89304.99',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'",,"b'1080p@30fps, gyro-EIS'",b'Yes',"b'Dual-LED dual-tone flash, HDR, panorama'","b'1, 3, 5, 7, 8, 34, 38, 39, 40, 41'",b'Corning Gorilla Glass 5',"b'Android 10, MIUI 12'",b'Qualcomm SM7225 Snapdragon 750G 5G (8 nm)',b'Octa-core (2x2.2 GHz Kryo 570 & 6x1.8 GHz Kryo 570)',b'Adreno 619',,b'Yes',b'M2007J17C',,"b'HDR, panorama'","b'Fast charging 33W, 100% in 58 min (advertised)'",,,,,,"b'Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5)'","b'1, 3, 41, 78, 79 SA/NSA/Sub6'",,,,,,,,"b'108 MP, f/1.8, 26mm (wide), 1/1.52"", 0.7\xc2\xb5m, PDAF 8 MP, f/2.2, 118\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",b'$\xe2\x80\x89304.99',b'$\xe2\x80\x89389.99',b'$\xe2\x80\x89419.99',,,,,,,,,,,,,,
b'xiaomi',b'Xiaomi Redmi Note 9 5G',b'https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-note-9-5g.jpg',b'GSM / CDMA / HSPA / EVDO / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2020, November 26'","b'Available. Released 2020, December 01'",b'162 x 77.3 x 9.2 mm (6.38 x 3.04 x 0.36 in)',b'199 g (7.02 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 450 nits (typ)'","b'6.53 inches, 104.7 cm2 (~83.6% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)'",b'CDMA 800',b'microSDXC (dedicated slot)',,,"b'128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM'","b'13 MP, f/2.3, 29mm (standard), 1/3.1"", 1.12\xc2\xb5m'","b'4K@30fps, 1080p@30/60fps'",b'CDMA2000 1xEV-DO',"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS'",b'Unspecified',b'USB Type-C 2.0',"b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'",,,,,b'24-bit/192kHz audio',"b'Li-Po 5000 mAh, non-removable'",,,"b'Gray, Green, Violet'",b'$\xe2\x80\x89289.99',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'",,b'1080p@30fps',b'Yes',"b'LED flash, HDR, panorama'","b'1, 2, 3, 4, 5, 7, 8, 34, 38, 39, 40, 41'",b'Corning Gorilla Glass 5',"b'Android 10, MIUI 12'",b'MediaTek Dimensity 800U 5G (7 nm)',b'Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)',b'Mali-G57 MC3',,b'No',b'M2007J22C',,,b'Fast charging 18W',,,,,"b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 118\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro)'","b'Glass front (Gorilla Glass 5), plastic back'","b'1, 3, 41, 78, 79 SA/NSA/Sub6'",,,,,,,,,b'$\xe2\x80\x89289.99',b'$\xe2\x80\x89319.99',b'$\xe2\x80\x89349.99',,,,,,,,,,,,,,
b'xiaomi',b'Xiaomi Redmi Note 9 4G',b'https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-note9-4g.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2020, November 26'","b'Available. Released 2020, November 26'",b'162.3 x 77.3 x 9.6 mm (6.39 x 3.04 x 0.38 in)',b'198 g (6.98 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 400 nits (typ)'","b'6.53 inches, 104.7 cm2 (~83.4% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)'",b'CDMA 800',b'microSDXC (dedicated slot)',,,"b'128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM'","b'8 MP, f/2.0, 27mm (wide), 1/4.0"", 1.12\xc2\xb5m'",b'1080p@30fps',b'Water-repellent coating',"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, proximity, compass'",,,,,b'24-bit/192kHz audio',"b'Li-Po 6000 mAh, non-removable'",,,"b'Gray, Green, Blue, Orange'",b'$\xe2\x80\x89229.99',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'",,b'1080p@30fps',b'Yes',"b'LED flash, HDR, panorama'","b'1, 3, 5, 8, 34, 38, 39, 40, 41'",b'Corning Gorilla Glass 3',"b'Android 10, MIUI 12'",b'Qualcomm SM6115 Snapdragon 662 (11 nm)',b'Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 610',,b'No',b'M2010J19SC',,,b'Fast charging 18W Reverse charging 2.5W',,,,,"b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 120\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (depth)'","b'Glass front (Gorilla Glass 3), plastic frame, plastic back'",,,,,,,b'$\xe2\x80\x89229.99',,,b'$\xe2\x80\x89249.99',b'$\xe2\x80\x89289.99',,,,,,,,,,,,,,,
b'xiaomi',b'Xiaomi Redmi Watch',b'https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-watch.jpg',b'No cellular connectivity',b'N/A',b'No',b'No',"b'2020, November 26'","b'Available. Released 2020, December 01'",b'41 x 35 x 11.9 mm (1.61 x 1.38 x 0.47 in)',b'35 g (1.23 oz)',b'No',b'IPS LCD',"b'1.4 inches, 6.3 cm2 (~44.1% screen-to-body ratio)'","b'320 x 320 pixels, 1:1 ratio (~323 ppi density)'",b'Waterproof (5ATM) 50m water resistant',b'No',b'No',b'No',,,,b'No',b'No',,b'No',b'No',"b'5.0, A2DP, LE'",b'No',b'No',b'No',"b'Accelerometer, heart rate, compass'","b'Email, IM'",,b'No',b'No',,"b'Li-Ion 230 mAh, non-removable'",,,"b'Black, Blue, Ivory'",b'About 30 EUR',b'N/A',b'No',,,,,b'N/A',,,,,,,b'Yes',b'REDMIWT01',,,,,,,,,"b'Plastic back, plastic frame'",,,,,,,,,,,,,,,,,,,,,,,,,,
