Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,,Card slot,Phonebook,Call records,Internal,Single,Video,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Type_1,Stand-by,Talk time,Colors,Price,3G bands,Speed,Single_1,Video_1,Infrared port,Features,4G bands,Protection,OS,Chipset,CPU,GPU,Dual,NFC,Models,SAR EU,Features_1,Charging,SAR,Keyboard,Music play,Languages,Triple,Build,5G bands,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 4GB RAM,64GB 4GB RAM,Quad,128GB 6GB RAM,128GB 8GB RAM,256GB 8GB RAM,256GB 12GB RAM,Unspecified storage,64GB 6GB RAM,32GB 2GB RAM,512GB 8GB RAM,32GB 3GB RAM,64GB 3GB RAM,128GB 12GB RAM,Audio quality,Five,Triple_1,16GB 2GB RAM,Dual_1,32GB 4GB RAM
b'xolo',b'XOLO Era 2X',b'https://fdn2.gsmarena.com/vv/bigpic/lava-xolo-2x.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2017, January'","b'Available. Released 2017, January'",b'144 x 72.3 x 9.5 mm (5.67 x 2.85 x 0.37 in)',b'-',b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'eMMC 5.0',b'microSDHC',,,"b'16GB 2GB RAM, 16GB 3GB RAM'","b'8 MP, f/2.0, AF'",b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'",,,,,,"b'Li-Ion 2500 mAh, removable'",b'Up to 322 h (3G)',b'Up to 16 h (2G) / Up to 12 h (3G)',"b'Black/Gun Metal, Latte Gold'",,b'HSDPA 900 / 2100',"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'5 MP, f/2.4'",b'',,"b'LED flash, HDR, panorama'","b'3, 5, 40'",,b'Android 6.0 (Marshmallow)',b'Mediatek MT6737 (28 nm)',b'Quad-core 1.25 GHz Cortex-A53',b'Mali-T720MP2',,b'No',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'xolo',b'XOLO Era 2',b'https://fdn2.gsmarena.com/vv/bigpic/xolo-era-2.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2016, October'","b'Available. Released 2016, October'",b'146.5 x 73 x 9.2 mm (5.77 x 2.87 x 0.36 in)',b'-',b'Dual SIM',b'TFT',"b'5.0 inches, 68.9 cm2 (~64.4% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",,b'microSDHC',,,b'8GB 1GB RAM',"b'5 MP, f/2.0, 1.4\xc2\xb5m, AF'",b'720p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,"b'Li-Ion 2350 mAh, removable'",,,"b'Black, Blue, Gold'",,b'HSDPA 900 / 2100',"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'",b'5 MP',b'',,"b'Panorama, LED flash'","b'3, 5, 40'",,b'Android 6.0 (Marshmallow)',b'Spreadtrum SC9832A',b'Quad-core 1.3 GHz',b'Mali-400MP3',,b'No',b'era 2',,b'LED flash',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'xolo',b'XOLO Era 1X',b'https://fdn2.gsmarena.com/vv/bigpic/xolo-era-1x.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2016, September'","b'Available. Released 2016, September'",b'145.5 x 72 x 8.6 mm (5.73 x 2.83 x 0.34 in)',b'-',b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",,b'microSDHC',,,b'8GB 1GB RAM',"b'8 MP, AF'",b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,"b'Li-Po 2500 mAh, removable'",b'Up to 185 h',b'Up to 22 h (2G) / Up to 13 h 30 min (3G)',"b'Black, Brown/Gold'",,b'HSDPA 900 / 2100',"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'",b'5 MP',b'',,"b'LED flash, panorama, HDR'","b'3, 5, 40'",,b'Android 6.0 (Marshmallow)',b'Spreadtrum SC9832A',b'Quad-core 1.3 GHz',b'Mali-400MP3',,b'No',,,b'dual-LED flash',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'xolo',b'XOLO Era X',b'https://fdn2.gsmarena.com/vv/bigpic/xolo-era-x.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',,,"b'2016, February'","b'Available. Released 2016, February'",b'145.5 x 72 x 8.5 mm (5.73 x 2.83 x 0.33 in)',b'-',b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",,b'microSDHC',,,b'8GB 2GB RAM',"b'8 MP, AF'",b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,"b'Li-Po 2500 mAh, removable'",,,b'Black',,b'HSDPA 900 / 2100',"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'",b'5 MP',b'',,"b'LED flash, panorama, HDR'","b'3, 5, 40'",b'Corning Gorilla Glass',"b'Android 5.1.1 (Lollipop), upgradable to 6.0 (Marshmallow)'",b'Spreadtrum SC9830A',b'Quad-core 1.5 GHz',,,b'No',,,b'LED flash',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'xolo',b'XOLO Era 4K',b'https://fdn2.gsmarena.com/vv/bigpic/xolo-era-4k.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',,,"b'2016, February'","b'Available. Released 2016, February'",b'143 x 71.8 x 9.2 mm (5.63 x 2.83 x 0.36 in)',b'-',b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~67.1% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",,b'microSDHC',,,b'8GB 2GB RAM',"b'8 MP, f/2.0, AF'",b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,"b'Li-Ion 4000 mAh, non-removable'",b'Up to 624 h (2G) / Up to 528 h (3G)',b'Up to 32 h (2G) / Up to 17 h (3G)',"b'Blue, White'",,b'HSDPA 900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'5 MP, f/2.2'",b'',,"b'Dual-LED flash, panorama, HDR'","b'3, 40'",b'Corning Gorilla Glass 3',b'Android 5.1.1 (Lollipop)',b'Mediatek MT6735P (28 nm)',b'Quad-core 1.0 GHz Cortex-A53',b'Mali-T720MP2',,b'No',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'xolo',b'XOLO Era 4G',b'https://fdn2.gsmarena.com/vv/bigpic/xolo-era-4g-.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',,,"b'2016, February'","b'Available. Released 2016, February'",b'145.5 x 72 x 8.5 mm (5.73 x 2.83 x 0.33 in)',b'-',b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",,b'microSDHC',,,b'8GB 1GB RAM',"b'5 MP, AF'",b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,"b'Li-Po 2500 mAh, removable'",b'Up to 455 h (2G) / Up to 329 h (3G)',b'Up to 13 h 30 min (2G) / Up to 10 h 45 min (3G)',b'Black',,b'HSDPA 900 / 2100',b'HSPA 21.1/5.76 Mbps',b'2 MP',b'',,"b'LED flash, panorama, HDR'","b'3, 5, 40'",b'Corning Gorilla Glass',"b'Android 5.1.1 (Lollipop), upgradable to 6.0 (Marshmallow)'",b'Spreadtrum SC9830A',b'Quad-core 1.5 GHz',b'Mali-400MP2',,b'No',,b'0.26 W/kg (head) \xc2\xa0 \xc2\xa0 0.23 W/kg (body)',b'LED flash',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'xolo',b'XOLO One HD',b'https://fdn2.gsmarena.com/vv/bigpic/xolo-one-hd.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2015, December'","b'Available. Released 2016, January'",b'143 x 72.6 x 9.5 mm (5.63 x 2.86 x 0.37 in)',b'-',b'Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.4% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",,b'microSDXC',,,b'8GB 1GB RAM',"b'8 MP, f/2.2, AF'",b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,"b'Li-Po 2300 mAh, removable'",b'Up to 200 h (2G) / Up to 182 h (3G)',b'Up to 5 h (2G) / Up to 4 h 30 min (3G)',"b'Space Gray, White'",,b'HSDPA 900 / 2100',b'HSPA 21.1/5.76 Mbps',b'5 MP',b'',,"b'LED flash, panorama, HDR'",,,b'Android 5.1 (Lollipop)',b'Mediatek MT6580M (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',,b'No',,b'0.22 W/kg (head) \xc2\xa0 \xc2\xa0 0.48 W/kg (body)',b'LED flash',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'xolo',b'XOLO Black 3GB',b'https://fdn2.gsmarena.com/vv/bigpic/xolo-black-3gb.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2015, December. Released 2015, December'",b'Discontinued',b'155.5 x 76.6 x 7.3 mm (6.12 x 3.02 x 0.29 in)',b'-',b'Dual SIM',b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~70.0% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'",b'eMMC 4.5',b'microSDHC',,,b'16GB 3GB RAM',b'5 MP',b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, gyro, proximity, compass'",,,,,,"b'Li-Po 3200 mAh, non-removable'",b'Up to 798 h (2G) / Up to 634 h (3G)',b'Up to 36 h (2G) / Up to 27 h (3G)',b'Black',,b'HSDPA 900 / 2100',"b'HSPA 42.2/7.2 Mbps, LTE Cat4 150/50 Mbps'",,b'',,"b'LED flash, panorama, HDR'","b'3, 40'",b'Corning Gorilla Glass 3',"b'Android 5.0 (Lollipop) , HIVE Atlas UI'",b'Qualcomm MSM8939 Snapdragon 615 (28 nm)',b'Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',b'Adreno 405',"b'13 MP, f/2.0, AF 2 MP, f/2.4, (depth)'",b'No',,b'0.13 W/kg (head) \xc2\xa0 \xc2\xa0 0.27 W/kg (body)',b'LED flash',,,,,,,"b'Glass front (Gorilla Glass 3), glass back (Gorilla Glass 3), aluminum frame'",,,,,,,,,,,,,,,,,,,,,,,,,,
b'xolo',b'XOLO Black 1X',b'https://fdn2.gsmarena.com/vv/bigpic/xolo-black-1x.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2015, October. Released 2015, October'",b'Discontinued',b'144.6 x 72 x 7.6 mm (5.69 x 2.83 x 0.30 in)',b'-',b'Hybrid Dual SIM',b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~441 ppi density)'",,b'microSDXC (uses shared SIM slot)',,,b'32GB 3GB RAM',"b'13 MP, PDAF'",b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, gyro, proximity, compass'",,,,,,"b'Li-Po 2400 mAh, non-removable'",b'Up to 394 h (2G) / Up to 354 h (3G)',b'Up to 27 h (2G) / Up to 12 h (3G)',b'Black',b'About 140 EUR',b'HSDPA 900 / 2100',"b'HSPA 42.2/7.2 Mbps, LTE Cat4 150/50 Mbps'",b'5 MP',b'',,"b'LED flash, panorama, HDR'",b'LTE 1800 TD-LTE 2300',b'Asahi Dragontrail Glass',"b'Android 5.1 (Lollipop), upgradable to 6.0 (Marshmallow), HIVE Atlas UI'",b'Mediatek MT6753 (28 nm)',b'Octa-core 1.3 GHz Cortex-A53',b'Mali-T720MP3',,b'No',,b'0.09 W/kg (head) \xc2\xa0 \xc2\xa0 0.14 W/kg (body)',b'LED flash',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'xolo',b'XOLO Black',b'https://fdn2.gsmarena.com/vv/bigpic/xolo-black-2015.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2015, July. Released 2015, July'",b'Discontinued',b'155.5 x 76.6 x 7.3 mm (6.12 x 3.02 x 0.29 in)',b'-',b'Hybrid Dual SIM (Micro-SIM/Nano-SIM)',b'IPS LCD',"b'5.5 inches, 82.6 cm2 (~69.3% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~403 ppi density)'",b'eMMC 4.5',b'microSDHC (uses shared SIM slot)',,,b'16GB 2GB RAM',b'5 MP',b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS, GLONASS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'",,,,,,"b'Li-Po 3200 mAh, non-removable'",b'Up to 736 h (2G) / Up to 699 h (3G)',b'Up to 36 h (2G) / Up to 24 h (3G)',b'Black',b'About 180 EUR',b'HSDPA 900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'",,b'',,"b'LED flash, panorama, HDR'",b'LTE 1800 TD-LTE 2300',b'Corning Gorilla Glass 3',"b'Android 5.0 (Lollipop), HIVE Atlas UI'",b'Qualcomm MSM8939 Snapdragon 615 (28 nm)',b'Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',b'Adreno 405',"b'13 MP, AF 2 MP, (depth)'",b'No',,b'0.13 W/kg (head) \xc2\xa0 \xc2\xa0 0.27 W/kg (body)',b'LED flash',,,,,,,"b'Glass front (Gorilla Glass 3), glass back (Gorilla Glass 3), aluminum frame'",,,,,,,,,,,,,,,,,,,,,,,,,,
