Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,,Card slot,Phonebook,Call records,Internal,Single,Video,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Type_1,Stand-by,Talk time,Colors,Price,3G bands,Speed,Single_1,Video_1,Infrared port,Features,4G bands,Protection,OS,Chipset,CPU,GPU,Dual,NFC,Models,SAR EU,Features_1,Charging,SAR,Keyboard,Music play,Languages,Triple,Build,5G bands,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 4GB RAM,64GB 4GB RAM,Quad,128GB 6GB RAM,128GB 8GB RAM,256GB 8GB RAM,256GB 12GB RAM,Unspecified storage,64GB 6GB RAM,32GB 2GB RAM,512GB 8GB RAM,32GB 3GB RAM,64GB 3GB RAM,128GB 12GB RAM,Audio quality,Five,Triple_1,16GB 2GB RAM,Dual_1,32GB 4GB RAM
b'yezz',b'Yezz Art 1 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/yezz-art-1-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2020, August'","b'Available. Released 2020, November'",b'163.9 x 77.9 x 8.9 mm (6.45 x 3.07 x 0.35 in)',b'-',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.53 inches, 104.7 cm2 (~82.0% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~263 ppi density)'",,b'microSDXC (uses shared SIM slot)',,,b'64GB 4GB RAM',"b'8 MP, f/2.4'","b'1080p@30fps, gyro-EIS'",,b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'","b'Stereo FM radio, recording'",b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'",,,,,,"b'Li-Ion 4000 mAh, non-removable'",,,b'Stellar Blue',b'About 130 USD',b'HSDPA 900 / 1900 / 850',"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'",,b'',,b'LED flash',"b'2, 3, 4, 7, 12, 17, 28'",b'AGC glass',b'Android 10',b'MediaTek MT6762D Helio A25 (12 nm)',b'Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53)',b'PowerVR GE8320',,b'No',,,,,b'0.40 W/kg (head) \xc2\xa0 \xc2\xa0 0.74 W/kg (body)',,,,"b'16 MP, f/2.8, AF 2 MP 2 MP'",,,,,,,,,,,,,,,,,,,,,,,,,,,
b'yezz',b'Yezz Liv 2 LTE',b'https://fdn2.gsmarena.com/vv/bigpic/yezz-liv-2-lte.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2020, March'","b'Available. Released 2020, August'",b'149 x 72.5 x 9.7 mm (5.87 x 2.85 x 0.38 in)',b'112 g (3.95 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'",b'TFT',"b'5.0 inches, 68.9 cm2 (~63.8% screen-to-body ratio)'","b'540 x 960 pixels, 16:9 ratio (~220 ppi density)'",,b'microSDXC (dedicated slot)',,,b'16GB 1GB RAM',,b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'","b'FM radio, recording'",b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,"b'Li-Ion 2450 mAh, removable'",,,"b'Black, Green, Red, Gray'",,b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'",,b'1080p@30fps',,"b'LED flash, HDR'","b'2, 3, 4, 7, 12, 17, 28'",b'Corning Gorilla Glass 3 or Asahi Dragontrail Glass',b'Android 10 (Go edition)',b'Mediatek MT6739 (28 nm)',b'Quad-core 1.5 GHz Cortex-A53',,"b'8 MP, AF 2 MP'",b'No',,,b'LED flash',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"b'12 MP, f/1.8, 25mm (wide), 1/2.55"", 1.4\xc2\xb5m 8 MP, 12mm, (ultrawide)'",
b'yezz',b'Yezz Art 1',b'https://fdn2.gsmarena.com/vv/bigpic/yezz-art1.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2020, March'","b'Available. Released 2020, August'",b'155.2 x 72.9 x 9.7 mm (6.11 x 2.87 x 0.38 in)',b'120 g (4.23 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'TFT',"b'6.1 inches, 91.3 cm2 (~80.7% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)'",,b'microSDXC (dedicated slot)',,,b'32GB 3GB RAM',b'8 MP',b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'",,,,,,"b'Li-Ion 3000 mAh, removable'",,,"b'Green, Blue'",,b'HSDPA 900 / 1900 / 850',"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'",,b'',,"b'Dual-LED flash, panorama, HDR'","b'2, 3, 4, 7, 12, 17, 28'",b'AGC glass',b'Android 10',b'Mediatek MT6739 (28 nm)',b'Quad-core 1.5 GHz Cortex-A53',,"b'13 MP, AF 0.3 MP'",b'No',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'yezz',b'Yezz GO 1',b'https://fdn2.gsmarena.com/vv/bigpic/yezz-go1.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2020, February'","b'Available. Released 2020, July 28'",b'128.5 x 65.2 x 11 mm (5.06 x 2.57 x 0.43 in)',b'123 g (4.34 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'TFT',"b'4.0 inches, 45.5 cm2 (~54.4% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~233 ppi density)'",,b'microSDXC (dedicated slot)',,,b'8GB 1GB RAM',b'5 MP',b'720p',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,"b'Li-Ion 1400 mAh, removable'",,,b'Black',,b'HSDPA 850 / 900 / 1900 / 2100',b'HSPA 21.1/5.76 Mbps',b'2 MP',b'',,"b'LED flash, Panorama, HDR'",,,b'Android 10 (Go edition)',b'Mediatek MT6580 (28 nm)',b'Quad-core 1.3 GHz',b'Mali-400',,b'No',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'yezz',b'Yezz Max 1 Plus',b'https://fdn2.gsmarena.com/vv/bigpic/yezz-max-1-plus.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2019, August'","b'Available. Released 2019, September'",b'148.7 x 70.9 x 8.9 mm (5.85 x 2.79 x 0.35 in)',b'154.8 g (5.47 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS',"b'5.45 inches, 76.7 cm2 (~72.7% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'",,b'microSDXC (dedicated slot)',,,b'16GB 2GB RAM',b'8 MP',b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',b'',,,,,,"b'Li-Ion 2800 mAh, removable'",b'Up to 280 h',b'Up to 9 h',"b'Black, Gun Metal, Blue'",b'About 90 USD',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'",,b'',,"b'LED flash, panorama, HDR'","b'2, 3, 4, 7, 12, 17'",b'AGC glass',b'Android 9.1 (Pie)',b'Unisoc SC9832E (28nm)',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-T820 MP1',"b'8 MP, AF 0.3 MP'",b'No',,,b'LED flash',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'yezz',b'Yezz LIV1',b'https://fdn2.gsmarena.com/vv/bigpic/yezz-liv1.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2019, August'","b'Available. Released 2019, September'",b'138.5 x 65.8 x 9.5 mm (5.45 x 2.59 x 0.37 in)',b'133.3 g (4.69 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'TFT',"b'5.0 inches, 64.5 cm2 (~70.8% screen-to-body ratio)'","b'480 x 960 pixels, 18:9 ratio (~215 ppi density)'",,b'microSDXC (dedicated slot)',,,b'16GB 1GB RAM',b'5 MP',b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,"b'Li-Ion 2000 mAh, removable'",b'Up to 220 h',b'Up to 7 h 30 min',"b'Black, Gun Metal, Blue, Red'",b'About 55 USD',b'HSDPA 850 / 900 / 1900 / 2100',b'HSPA 21.1/5.76 Mbps',b'2 MP',b'720p@30fps',,"b'LED flash, panorama, HDR'",,b'AGC glass',b'Android 9.1 Pie (Go edition)',b'Unisoc SC7731E (28nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-T820 MP1',,b'No',,,b'LED flash',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'yezz',b'Yezz Max 1',b'https://fdn2.gsmarena.com/vv/bigpic/yezz-max1.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2018, October'","b'Available. Released 2018, December'",b'139 x 65.8 x 8.8 mm (5.47 x 2.59 x 0.35 in)',b'120 g (4.23 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'TFT',"b'5.0 inches, 64.5 cm2 (~70.5% screen-to-body ratio)'","b'480 x 960 pixels, 18:9 ratio (~215 ppi density)'",,b'microSDHC (dedicated slot)',,,b'16GB 2GB RAM',b'8 MP',b'720p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,"b'Li-Ion 2000 mAh, removable'",b'Up to 180 h',b'Up to 5 h 30 min',b'Black',b'About 65 USD',b'HSDPA 850 / 900 / 1900 / 2100',b'HSPA 42.2/5.76 Mbps',b'8 MP',b'720p@30fps',,"b'LED flash, panorama, HDR'",,,b'Android 8.1 (Oreo)',b'Mediatek MT6580M (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400',,b'No',,,b'LED flash',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'yezz',b'Yezz Andy 4E7',b'https://fdn2.gsmarena.com/vv/bigpic/yezz-4e7.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2018, September'","b'Available. Released 2018, September'",b'126 x 65 x 10.7 mm (4.96 x 2.56 x 0.42 in)',b'112 g (3.95 oz)',"b'Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)'",b'TN',"b'5.0 inches, 71.2 cm2 (~86.9% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~187 ppi density)'",,b'microSDHC (dedicated slot)',,,b'8GB 1GB RAM',b'5 MP',b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'","b'FM radio, recording'",b'microUSB 2.0',"b'Accelerometer, proximity'",,,,,,"b'Li-Ion 1400 mAh, removable'",b'Up to 300 h',b'Up to 4 h',"b'Black, Dark Gray, Gold'",,b'HSDPA 850 / 900 / 1900 / 2100',b'HSPA 21.1/5.76 Mbps',b'2 MP',b'',,b'LED flash',,,b'Android 8.1 Oreo (Go edition)',b'Mediatek MT6580M (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400',,b'No',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'yezz',b'Yezz Andy 5E5',b'https://fdn2.gsmarena.com/vv/bigpic/yezz-5e5.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2018, August'","b'Available. Released 2018, August'",b'139.8 x 71.5 x 8.6 mm (5.50 x 2.81 x 0.34 in)',b'125 g (4.41 oz)',"b'Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)'",b'TN',"b'5.0 inches, 68.9 cm2 (~68.9% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",b'HSDPA 850 / 1900 - 5E5043',b'microSDHC (dedicated slot)',,,b'8GB 1GB RAM',b'5 MP',b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'Stereo FM radio',b'microUSB 2.0',b'Accelerometer',,,,,,"b'Li-Ion 2000 mAh, non-removable'",b'Up to 180 h (3G)',b'Up to 6 h (3G)',"b'Black, Dark Gray, Gold'",,b'HSDPA 850 / 900 / 1900 / 2100 - 5E5052',b'HSPA 21.1/5.76 Mbps',b'2 MP',b'',,b'LED flash',,b'Yes',b'Android 8.0 Oreo (Go edition)',b'Mediatek MT6580M (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'Mali-400MP2',,b'No',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'yezz',b'Yezz Epic T',b'https://fdn2.gsmarena.com/vv/bigpic/yezz-epic-t.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2018, March'","b'Available. Released 2018, April'",b'168.8 x 86.5 x 15.9 mm (6.65 x 3.41 x 0.63 in)',b'469 g (1.03 lb)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~57.1% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'",b'IP68 dust/water resistant (up to 1.5m for 30 mins) MIL-STD-810G compliant Flashlight',b'microSDXC (dedicated slot)',,,b'32GB 3GB RAM',"b'16 MP, AF'",b'1080p@60fps',b'eMMC 5.1',b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",,,,,,"b'Li-Po 9000 mAh, non-removable'",b'Up to 650 h (3G)',b'Up to 30 h (3G)',b'Black',b'About 250 EUR',b'HSDPA 850 / 1900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE-A (2CA) Cat6 300/50 Mbps'",b'8 MP',b'',,"b'LED flash, panorama, HDR'","b'2, 4, 7, 17, 28'",b'Corning Gorilla Glass 3',b'Android 7.0 (Nougat)',b'Mediatek MT6750 (28 nm)',b'Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',b'Mali-T860MP2',,b'No',,,,b'Charging 10W',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
