Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,,Card slot,Phonebook,Call records,Internal,Single,Video,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Type_1,Stand-by,Talk time,Colors,Price,3G bands,Speed,Single_1,Video_1,Infrared port,Features,4G bands,Protection,OS,Chipset,CPU,GPU,Dual,NFC,Models,SAR EU,Features_1,Charging,SAR,Keyboard,Music play,Languages,Triple,Build,5G bands,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 4GB RAM,64GB 4GB RAM,Quad,128GB 6GB RAM,128GB 8GB RAM,256GB 8GB RAM,256GB 12GB RAM,Unspecified storage,64GB 6GB RAM,32GB 2GB RAM,512GB 8GB RAM,32GB 3GB RAM,64GB 3GB RAM,128GB 12GB RAM,Audio quality,Five,Triple_1,16GB 2GB RAM,Dual_1,32GB 4GB RAM
b'yu',b'YU Ace',b'https://fdn2.gsmarena.com/vv/bigpic/yu-ace-2.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2018, August'","b'Available. Released 2018, September'",b'148 x 70.5 x 9.6 mm (5.83 x 2.78 x 0.38 in)',b'159 g (5.61 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.45 inches, 76.7 cm2 (~73.5% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'",b'eMMC 5.1',b'microSDXC (dedicated slot)',,,"b'16GB 2GB RAM, 32GB 3GB RAM'","b'13 MP, AF'",b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.1, A2DP'","b'Yes, with A-GPS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'",,,,,,"b'Li-Po 4000 mAh, removable'",,,"b'Charcoal Grey, Elektric Blue, Rose Gold'",b'About 6000 INR',b'HSDPA 900 / 2100',"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'",b'5 MP',b'720p@30fps',,b'LED flash',"b'1, 3, 5, 40, 41'",,b'Android 8.0 (Oreo)',b'Mediatek MT6739WW (28 nm)',b'Quad-core 1.5 GHz Cortex-A53',b'PowerVR GE8100',,b'No',b'YU5014',,b'LED flash',b'Charging 10W',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'yu',b'YU Yureka 2',b'https://fdn2.gsmarena.com/vv/bigpic/yu-yureka2-yu5551.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2017, September'","b'Available. Released 2017, September'",b'152.6 x 76.5 x 8.2 mm (6.01 x 3.01 x 0.32 in)',b'-',b'Hybrid Dual SIM (Micro-SIM/Nano SIM)',b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'",b'eMMC 5.1',b'microSDXC (uses shared SIM slot)',,,b'64GB 4GB RAM',"b'16 MP, AF'",b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",,,,,,"b'Li-Ion 3930 mAh, non-removable'",,,b'Gold',b'About 12000 INR',b'HSDPA 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE'",b'8 MP',b'',,"b'Dual-LED dual-tone flash, HDR, panorama'","b'3, 5, 40'",b'To be confirmed',b'Android 6.0 (Marshmallow)',b'Qualcomm MSM8953 Snapdragon 625 (14 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'Adreno 506',,b'No',b'YU5551',,,b'Charging 10W',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'yu',b'YU Yunique 2',b'https://fdn2.gsmarena.com/vv/bigpic/yu-yunique-2-yu5011.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2017, July'","b'Available. Released 2017, July'",b'145 x 72.7 x 9.2 mm (5.71 x 2.86 x 0.36 in)',b'159 g (5.61 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~65.4% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'eMMC 5.0',b'microSDXC (dedicated slot)',,,b'16GB 2GB RAM',"b'13 MP, f/2.0, AF'",b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'","b'Stereo FM radio, RDS, recording'","b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity'",,,,,,"b'Li-Po 2500 mAh, removable'",,,"b'Champagne Gold, Coal Black'",b'About 6000 INR',b'HSDPA 900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'",b'5 MP',b'',,"b'LED flash, HDR, panorama'","b'3, 40'",b'Corning Gorilla Glass 3',b'Android 7.0 (Nougat)',b'Mediatek MT6737 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'Mali-T720',,b'No',"b'YU5011, YU5012'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'yu',b'YU Yureka Black',b'https://fdn2.gsmarena.com/vv/bigpic/yu-yureka-yu5040.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2017, June'","b'Available. Released 2017, June'",b'142 x 69.6 x 8.7 mm (5.59 x 2.74 x 0.34 in)',b'152 g (5.36 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~69.7% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~441 ppi density)'",b'eMMC 5.1',b'microSDXC (uses shared SIM slot)',,,b'32GB 4GB RAM',"b'13 MP, 1/3.1"", 1.12\xc2\xb5m, PDAF'",b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (front-mounted), accelerometer, proximity'",,,,,,"b'Li-Po 3000 mAh, non-removable'",b'Up to 168 h (2G) / Up to 168 h (3G)',b'Up to 28 h (2G) / Up to 21 h (3G)',"b'Matte Black, Chrome Black'",b'About 9000 INR',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE'",b'8 MP',b'',,"b'Dual-LED flash, panorama'","b'1, 3, 5, 40'",b'Corning Gorilla Glass 3',b'Android 6.0 (Marshmallow)',b'Qualcomm MSM8937 Snapdragon 430 (28 nm)',b'Octa-core 1.4 GHz Cortex-A53',b'Adreno 505',,b'No',b'YU5040',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'yu',b'YU Yunique Plus',b'https://fdn2.gsmarena.com/vv/bigpic/yu-yunique-plus.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2016, August'","b'Available. Released 2016, August'",b'8.3 mm thickness',b'128 g (4.52 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'4.7 inches, 60.9 cm2'","b'720 x 1280 pixels, 16:9 ratio (~312 ppi density)'",b'eMMC 4.5',b'microSDHC',,,b'8GB 2GB RAM',"b'8 MP, f/2.0, AF'",b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, aptX'","b'Yes, with A-GPS, GLONASS'","b'Stereo FM radio, RDS, recording'","b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity'",,,,,,"b'Li-Po 2000 mAh, non-removable'",b'Up to 345 h',b'Up to 7 h',b'Black',b'About 80 EUR',b'HSDPA 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'",b'2 MP',b'',,"b'LED flash, HDR, panorama'","b'3, 40'",b'Corning Gorilla Glass 3',b'Android 5.1.1 (Lollipop)',b'Qualcomm MSM8916 Snapdragon 410 (28 nm)',b'Quad-core 1.2 GHz Cortex-A53',b'Adreno 306',,b'No',,,b'HDR',,,,b'Up to 12 h',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'yu',b'YU Yureka S',b'https://fdn2.gsmarena.com/vv/bigpic/yu-yureka-s.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2016, August'","b'Available. Released 2016, August'",b'154.8 x 78 x 8.8 mm (6.09 x 3.07 x 0.35 in)',b'172 g (6.07 oz)',"b'Hybrid Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'5.2 inches, 74.5 cm2 (~61.7% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~424 ppi density)'",b'eMMC 4.5',b'microSDXC (uses shared SIM slot)',,,b'16GB 3GB RAM',"b'13 MP, f/2.2, 1/3.1"", 1.12\xc2\xb5m, AF'",b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'",,,,,,"b'Li-Ion 3000 mAh, non-removable'",b'Up to 450 h',b'Up to 9 h',"b'Dark Grey, Rose Gold, White'",b'About 170 EUR',b'HSDPA 900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'5 MP, f/2.2'",b'',,"b'LED flash, panorama'","b'3, 40'",b'Corning Gorilla Glass 3',b'Android 5.1.1 (Lollipop)',b'Qualcomm MSM8939 Snapdragon 615 (28 nm)',b'Octa-core (4x1.7 GHz Cortex-A53 & 4x1.1 GHz Cortex-A53)',b'Adreno 405',,b'No',b'YU5200',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'yu',b'YU Yunicorn',b'https://fdn2.gsmarena.com/vv/bigpic/yu-yunicorn.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2016, May'","b'Available. Released 2016, June'",b'153.3 x 75.4 x 8.5 mm (6.04 x 2.97 x 0.33 in)',b'172 g (6.07 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.5 inches, 83.4 cm2 (~72.1% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'",b'Around YU 2',b'microSDXC (uses shared SIM slot)',,,b'32GB 4GB RAM',"b'13 MP, f/2.2, PDAF'",b'1080p@30fps',b'eMMC 5.1',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'4.1, A2DP'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (front-mounted), accelerometer, proximity'",,,,,,"b'Li-Po 4000 mAh, non-removable'",b'Up to 500 h (3G)',b'Up to 20 h (3G)',"b'Silver, graphite, gold'",b'About 180 EUR',b'HSDPA 900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'5 MP, f/2.0'",b'',,"b'Dual-LED dual-tone flash, HDR, panorama'","b'3, 5, 40'",,b'Android 5.1.1 (Lollipop)',b'Mediatek MT6755 Helio P10 (28 nm)',b'Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)',b'Mali-T860MP2',,b'No',"b'YU5530, U55'",,,,b'0.52 W/kg (head) \xc2\xa0 \xc2\xa0 0.81 W/kg (body)',,b'Up to 100 h',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'yu',b'YU Yureka Note',b'https://fdn2.gsmarena.com/vv/bigpic/yu-yureka-note.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2016, April'","b'Available. Released 2016, May'",b'159 x 84.1 x 7.9 mm (6.26 x 3.31 x 0.31 in)',b'184 g (6.49 oz)',"b'Hybrid Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'6.0 inches, 99.2 cm2 (~74.2% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~367 ppi density)'",,b'microSDXC (uses shared SIM slot)',,,b'16GB 3GB RAM',"b'13 MP, PDAF'",b'1080p@30fps',,"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity'",,,,,,"b'Li-Po 4000 mAh, non-removable'",,,b'Black',b'About 180 EUR',b'HSDPA 900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'",b'8 MP',b'',,"b'Dual-LED flash, HDR, panorama'",b'LTE (unspecified)',b'Corning Concore Glass 3',b'Android 5.1.1 (Lollipop)',b'Mediatek MT6753 (28 nm)',b'Octa-core 1.5 GHz Cortex-A53',b'Mali-T720MP3',,b'No',"b'U60, 6000'",,,b'Fast charging 18W Quick Charge 2.0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'yu',b'YU Yutopia',b'https://fdn2.gsmarena.com/vv/bigpic/yu-yutopia.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2015, December. Released 2015, December'",b'Discontinued',b'146.6 x 72.7 x 7.2 mm (5.77 x 2.86 x 0.28 in)',b'159 g (5.61 oz)',"b'Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)'",b'IPS LCD',"b'5.2 inches, 74.5 cm2 (~69.9% screen-to-body ratio)'","b'1440 x 2560 pixels, 16:9 ratio (~565 ppi density)'",b'eMMC 5.0',b'microSDXC (uses shared SIM slot)',,,b'32GB 4GB RAM',"b'21 MP, f/2.2, 27mm (wide), 1/2.4"", 1.12\xc2\xb5m, PDAF, OIS'","b'4K@30fps, 720p@120fps'",,"b'Yes, with stereo speakers'",,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, barometer, compass'",,,,,,"b'Li-Po 3000 mAh, non-removable'",b'Up to 300 h (3G)',b'Up to 8 h (3G)',b'Silver',b'About 420 EUR',b'HSDPA 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'8 MP, f/2.2, 1/3.2"", 1.4\xc2\xb5m'",b'',,"b'Dual-LED dual-tone flash, HDR, panorama'","b'3, 5, 7, 20, 40'",b'Corning Concore Glass',"b'Android 5.1.1 (Lollipop), Cyanogen 12.1'",b'Qualcomm MSM8994 Snapdragon 810 (20 nm)',b'Octa-core (4x2.0 GHz Cortex A57 & 4x1.5 GHz Cortex-A53)',b'Adreno 430',,b'No',b'YU5050',,,b'Fast charging 18W Quick Charge 2.0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'yu',b'YU Yunique',b'https://fdn2.gsmarena.com/vv/bigpic/yu-yunique-.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2015, September. Released 2015, September'",b'Discontinued',b'134.5 x 67.5 x 8.3 mm (5.30 x 2.66 x 0.33 in)',b'128 g (4.52 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'",b'IPS LCD',"b'4.7 inches, 60.9 cm2 (~67.1% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~312 ppi density)'",b'eMMC 4.5',b'microSDHC (dedicated slot)',,,b'8GB 1GB RAM',"b'8 MP, f/2.0, AF'",b'1080p@30fps',,b'Yes',,b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, aptX'","b'Yes, with A-GPS, GLONASS'","b'Stereo FM radio, RDS, recording'","b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity'",,,,,,"b'Li-Po 2000 mAh, non-removable'",b'Up to 271 h',b'Up to 7 h',b'Black',b'About 70 EUR',b'HSDPA 900 / 2100',"b'HSPA, LTE Cat4 150/50 Mbps'",b'2 MP',b'',,"b'LED flash, HDR, panorama'","b'3, 40'",b'Corning Gorilla Glass 3',b'Android 5.1.1 (Lollipop)',b'Qualcomm MSM8916 Snapdragon 410 (28 nm)',b'Quad-core 1.2 GHz Cortex-A53',b'Adreno 306',,b'No',b'YU4711',,b'HDR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
